E,T,R0,R,E/V0,N_R0
4.64006E-06,2.84175,2.84253,2.84253,4.64006E-08,0.5000686103
1.28891E-05,2.81588,2.81741,2.81741,1.28891E-07,0.5001357999
2.52625E-05,2.78948,2.79169,2.79169,2.52625E-07,0.5001979872
4.17605E-05,2.76259,2.76539,2.76539,4.17605E-07,0.5002532571
0.000062383,2.73524,2.73851,2.73851,6.2383E-07,0.5002986983
0.00008713,2.70746,2.71106,2.71106,8.713E-07,0.500332194
0.000116001,2.67928,2.68304,2.68304,0.00000116,0.5003505945
0.000148997,2.65073,2.65448,2.65448,0.00000149,0.5003534262
0.000186118,2.62184,2.62536,2.62536,1.86118E-06,0.500335417
0.000227363,2.59263,2.59572,2.59572,2.27363E-06,0.5002977825
0.000272732,2.56314,2.56554,2.56554,2.72732E-06,0.5002339783
0.000322226,2.53338,2.53485,2.53485,3.22226E-06,0.500145021
0.000375845,2.5034,2.50366,2.50366,3.75845E-06,0.5000259633
0.000433588,2.4732,2.47197,2.47197,4.33588E-06,0.4998756362
0.000495455,2.44282,2.43981,2.43981,4.95455E-06,0.4996917645
0.000561447,2.41228,2.40717,2.40717,5.61447E-06,0.4994698565
0.000631564,2.3816,2.37408,2.37408,6.31564E-06,0.4992093665
0.000705805,2.35081,2.34055,2.34055,7.05805E-06,0.4989065005
0.00078417,2.31993,2.30658,2.30658,7.8417E-06,0.4985572278
0.00086666,2.28898,2.27221,2.27221,8.6666E-06,0.498161664
0.000953275,2.25798,2.23744,2.23744,9.53275E-06,0.4977154526
0.00104401,2.22695,2.20228,2.20228,1.04401E-05,0.4972150916
0.00113888,2.19591,2.16676,2.16676,1.13888E-05,0.496659156
0.00123786,2.16488,2.13089,2.13089,1.23786E-05,0.4960437826
0.00134098,2.13388,2.09469,2.09469,1.34098E-05,0.4953660457
0.00144821,2.10292,2.05817,2.05817,1.44821E-05,0.4946228032
0.00155958,2.07202,2.02135,2.02135,1.55958E-05,0.4938107232
0.00167506,2.04121,1.98426,1.98426,1.67506E-05,0.4929262918
0.00179467,2.01048,1.94691,1.94691,1.79467E-05,0.4919681912
0.00191841,1.97987,1.90932,1.90932,1.91841E-05,0.490929988
0.00204627,1.94937,1.87151,1.87151,2.04627E-05,0.4898112477
0.00217825,1.91901,1.8335,1.8335,2.17825E-05,0.4886062929
0.00231436,1.88881,1.79531,1.79531,2.31436E-05,0.4873104025
0.00245459,1.85876,1.75696,1.75696,2.45459E-05,0.4859225825
0.00259895,1.82889,1.71848,1.71848,2.59895E-05,0.4844377666
0.00274743,1.79921,1.67989,1.67989,2.74743E-05,0.482851887
0.00290004,1.76972,1.64121,1.64121,2.90004E-05,0.4811620291
0.00305677,1.74043,1.60245,1.60245,3.05677E-05,0.4793621069
0.00321762,1.71137,1.56366,1.56366,3.21762E-05,0.4774490615
0.0033826,1.68252,1.52484,1.52484,0.000033826,0.4754190362
0.00355171,1.65392,1.48602,1.48602,3.55171E-05,0.4732638203
0.00372494,1.62555,1.44723,1.44723,3.72494E-05,0.4709839299
0.00390229,1.59744,1.40849,1.40849,3.90229E-05,0.4685704591
0.00408377,1.56958,1.36983,1.36983,4.08377E-05,0.4660220929
0.00426937,1.54199,1.33126,1.33126,4.26937E-05,0.4633289829
0.0044591,1.51467,1.29282,1.29282,0.000044591,0.4604896188
0.00465295,1.48762,1.25453,1.25453,4.65295E-05,0.457498678
0.00485092,1.46086,1.21642,1.21642,4.85092E-05,0.4543491902
0.00505303,1.43438,1.1785,1.1785,5.05303E-05,0.4510348734
0.00525925,1.4082,1.14081,1.14081,5.25925E-05,0.4475502254
0.0054696,1.38231,1.10337,1.10337,0.000054696,0.4438906054
0.00568407,1.35672,1.06621,1.06621,5.68407E-05,0.440049857
0.00590267,1.33144,1.02935,1.02935,5.90267E-05,0.4360192986
0.00612539,1.30646,0.992818,0.992818,6.12539E-05,0.4317955463
0.00635224,1.28179,0.956638,0.956638,6.35224E-05,0.4273704582
0.00658321,1.25743,0.920838,0.920838,6.58321E-05,0.4227386162
0.00681831,1.23339,0.885441,0.885441,6.81831E-05,0.4178912806
0.00705753,1.20966,0.850473,0.850473,7.05753E-05,0.4128243177
0.00730088,1.18626,0.815959,0.815959,7.30088E-05,0.4075273484
0.00754835,1.16317,0.781924,0.781924,7.54835E-05,0.4019980525
0.00779994,1.1404,0.748393,0.748393,7.79994E-05,0.3962281732
0.00805566,1.11795,0.715389,0.715389,8.05566E-05,0.3902109757
0.0083155,1.09582,0.682937,0.682937,0.000083155,0.3839405832
0.00857947,1.07401,0.65106,0.65106,8.57947E-05,0.3774107717
0.00884756,1.05252,0.619782,0.619782,8.84756E-05,0.3706160729
