E,T,R0,R,N_R0,E/V0
4.64006e-06,2.84175,2.84253,2.84253,0.500069,4.64006e-08
1.28891e-05,2.81588,2.81741,2.81741,0.500136,1.28891e-07
2.52625e-05,2.78948,2.79169,2.79169,0.500198,2.52625e-07
4.17605e-05,2.76259,2.76539,2.76539,0.500253,4.17605e-07
6.2383e-05,2.73524,2.73851,2.73851,0.500298,6.2383e-07
8.713e-05,2.70746,2.71106,2.71106,0.500331,8.713e-07
0.000116001,2.67928,2.68304,2.68304,0.50035,1.16001e-06
0.000148997,2.65073,2.65448,2.65448,0.500353,1.48997e-06
0.000186118,2.62184,2.62536,2.62536,0.500336,1.86118e-06
0.000227363,2.59263,2.59572,2.59572,0.500297,2.27363e-06
0.000272732,2.56314,2.56554,2.56554,0.500234,2.72732e-06
0.000322226,2.53338,2.53485,2.53485,0.500145,3.22226e-06
0.000375845,2.5034,2.50366,2.50366,0.500027,3.75845e-06
0.000433588,2.4732,2.47197,2.47197,0.499876,4.33588e-06
0.000495455,2.44282,2.43981,2.43981,0.499692,4.95455e-06
0.000561447,2.41228,2.40717,2.40717,0.49947,5.61447e-06
0.000631564,2.3816,2.37408,2.37408,0.499209,6.31564e-06
0.000705805,2.35081,2.34055,2.34055,0.498906,7.05805e-06
0.00078417,2.31993,2.30658,2.30658,0.498558,7.8417e-06
0.00086666,2.28898,2.27221,2.27221,0.498162,8.6666e-06
0.000953275,2.25798,2.23744,2.23744,0.497716,9.53275e-06
0.00104401,2.22695,2.20228,2.20228,0.497216,1.04401e-05
0.00113888,2.19591,2.16676,2.16676,0.49666,1.13888e-05
0.00123786,2.16488,2.13089,2.13089,0.496044,1.23786e-05
0.00134098,2.13388,2.09469,2.09469,0.495366,1.34098e-05
0.00144821,2.10292,2.05817,2.05817,0.494623,1.44821e-05
0.00155958,2.07202,2.02135,2.02135,0.493811,1.55958e-05
0.00167506,2.04121,1.98426,1.98426,0.492927,1.67506e-05
0.00179467,2.01048,1.94691,1.94691,0.491968,1.79467e-05
0.00191841,1.97987,1.90932,1.90932,0.49093,1.91841e-05
0.00204627,1.94937,1.87151,1.87151,0.48981,2.04627e-05
0.00217825,1.91901,1.8335,1.8335,0.488605,2.17825e-05
0.00231436,1.88881,1.79531,1.79531,0.48731,2.31436e-05
0.00245459,1.85876,1.75696,1.75696,0.485923,2.45459e-05
0.00259895,1.82889,1.71848,1.71848,0.484438,2.59895e-05
0.00274743,1.79921,1.67989,1.67989,0.482852,2.74743e-05
0.00290004,1.76972,1.64121,1.64121,0.481162,2.90004e-05
0.00305677,1.74043,1.60245,1.60245,0.479362,3.05677e-05
0.00321762,1.71137,1.56366,1.56366,0.477449,3.21762e-05
0.0033826,1.68252,1.52484,1.52484,0.475418,3.3826e-05
0.00355171,1.65392,1.48602,1.48602,0.473265,3.55171e-05
0.00372494,1.62555,1.44723,1.44723,0.470984,3.72494e-05
0.00390229,1.59744,1.40849,1.40849,0.468571,3.90229e-05
0.00408377,1.56958,1.36983,1.36983,0.466022,4.08377e-05
0.00426937,1.54199,1.33126,1.33126,0.46333,4.26937e-05
0.0044591,1.51467,1.29282,1.29282,0.460491,4.4591e-05
0.00465295,1.48762,1.25453,1.25453,0.457499,4.65295e-05
