t,T+R,N_0,N_1
0,1,5.19025e-27,4.99172e-43
10,1,5.08864e-27,9.04275e-34
20,1,4.26566e-27,1.10093e-32
30,1,1.82352e-27,2.77001e-33
40,1,5.0689e-27,4.12767e-31
50,1,5.14435e-27,4.92168e-31
60,1,4.03608e-27,2.47165e-31
70,1,4.72989e-27,8.99084e-31
80,1,4.26173e-27,1.32465e-29
90,1,3.68132e-27,8.64678e-29
100,1,2.10944e-27,7.86648e-29
110,1,3.78431e-27,1.41611e-29
120,1,2.97911e-27,1.72419e-29
130,1,3.23379e-27,4.81769e-29
140,0.999754,9.22613e-25,5.93928e-25
150,1.01315,1.02731e-20,7.00405e-21
160,1.13881,2.75803e-17,1.9133e-17
170,1.77615,2.32498e-14,1.65904e-14
180,2.05738,7.64589e-12,5.6693e-12
190,1.87411,1.14416e-09,8.90753e-10
200,12.1749,8.69936e-08,7.18789e-08
210,0.474556,3.6391e-06,3.22802e-06
220,1.09739,8.86981e-05,8.5536e-05
230,9.22198,0.0013112,0.00139404
240,3.22293,0.0120622,0.0143554
250,2.69952,0.0699826,0.0945929
260,2.15646,0.257336,0.397362
270,2.0311,0.605676,1.0365
280,2.98112,0.963034,1.57183
290,2.5288,1.18126,1.1809
300,1.52138,1.1449,0.265172
310,0.80348,0.66471,0.0780507
320,0.707337,0.432706,0.244406
330,0.894912,0.754292,0.123489
340,0.739672,0.618189,0.112578
350,0.780978,0.627965,0.14863
360,0.972403,0.830303,0.139476
370,0.891538,0.748621,0.141777
380,1.02208,0.860223,0.161141
390,1.01581,0.862333,0.153151
400,0.993511,0.83919,0.154139
410,1.01707,0.857064,0.159912
420,0.985425,0.835403,0.149974
430,0.994979,0.837755,0.157197
440,0.999122,0.845183,0.153925
450,0.99527,0.841018,0.154245
460,0.998451,0.842734,0.155713
470,0.99687,0.842934,0.153934
480,0.995313,0.840305,0.155007
490,0.997998,0.843289,0.154708
500,0.996546,0.84194,0.154605
600,0.99683,0.842131,0.154698
700,0.996809,0.842103,0.154706
800,0.996806,0.842101,0.154705
900,0.996807,0.842102,0.154705
1000,0.996807,0.842102,0.154705
1100,0.996807,0.842102,0.154705
1200,0.996807,0.842102,0.154705
1300,0.996807,0.842102,0.154705
1400,0.996807,0.842102,0.154705
1500,0.996807,0.842102,0.154705
1600,0.996807,0.842102,0.154705
1700,0.996807,0.842102,0.154705
1800,0.996807,0.842102,0.154705
1900,0.996807,0.842102,0.154705
2000,0.996807,0.842102,0.154705
2100,0.996807,0.842102,0.154705
2200,0.996807,0.842102,0.154705
2300,0.996807,0.842102,0.154705
2400,0.996807,0.842102,0.154705
2500,0.996807,0.842102,0.154705
2600,0.996807,0.842102,0.154705
2700,0.996807,0.842102,0.154705
2800,0.996807,0.842102,0.154705
2900,0.996807,0.842102,0.154705
3000,0.996807,0.842102,0.154705
3100,0.996807,0.842102,0.154705
3200,0.996807,0.842102,0.154705
3300,0.996807,0.842102,0.154705
3400,0.996807,0.842102,0.154705
3500,0.996807,0.842102,0.154705
3600,0.996807,0.842102,0.154705
3700,0.996807,0.842102,0.154705
3800,0.996807,0.842102,0.154705
3900,0.996807,0.842102,0.154705
4000,0.996807,0.842102,0.154705
4100,0.996807,0.842102,0.154705
4200,0.996807,0.842102,0.154705
4300,0.996807,0.842102,0.154705
4400,0.996807,0.842102,0.154705
4500,0.996807,0.842102,0.154705
4600,0.996807,0.842102,0.154705
4700,0.996807,0.842102,0.154705
4800,0.996807,0.842102,0.154705
4900,0.996807,0.842102,0.154705
5000,0.996807,0.842102,0.154705
5100,0.996807,0.842102,0.154705
5200,0.996807,0.842102,0.154705
5300,0.996807,0.842102,0.154705
5400,0.996807,0.842102,0.154705
5500,0.996807,0.842102,0.154705
5600,0.996807,0.842102,0.154705
5700,0.996807,0.842102,0.154705
5800,0.996807,0.842102,0.154705
5900,0.996807,0.842102,0.154705
6000,0.996807,0.842102,0.154705
6100,0.996807,0.842102,0.154705
6200,0.996807,0.842102,0.154705
6300,0.996807,0.842102,0.154705
6400,0.996807,0.842102,0.154705
6500,0.996807,0.842102,0.154705
6600,0.996807,0.842102,0.154705
6700,0.996807,0.842102,0.154705
6800,0.996807,0.842102,0.154705
6900,0.996807,0.842102,0.154705
7000,0.996807,0.842102,0.154705
7100,0.996807,0.842102,0.154705
7200,0.996807,0.842102,0.154705
7300,0.996807,0.842102,0.154705
7400,0.996807,0.842102,0.154705
7500,0.996807,0.842102,0.154705
7600,0.996807,0.842102,0.154705
7700,0.996807,0.842102,0.154705
7800,0.996807,0.842102,0.154705
7900,0.996807,0.842102,0.154705
8000,0.996807,0.842102,0.154705
8100,0.996807,0.842102,0.154705
8200,0.996807,0.842102,0.154705
8300,0.996807,0.842102,0.154705
8400,0.996807,0.842102,0.154705
