t,T+R,N_0,N_1
0,1,6.74891e-29,1.70206e-43
10,1,1.77911e-28,2.33318e-37
20,1,2.89061e-28,3.39838e-34
30,1,3.26989e-28,1.38459e-33
40,1,2.72588e-28,7.97241e-33
50,1,3.79348e-28,2.36161e-31
60,1,8.44013e-28,6.55193e-31
70,1,8.91342e-28,4.51302e-31
80,1,5.88743e-28,1.64094e-31
90,1,5.61494e-28,3.0241e-31
100,1,7.50151e-28,8.12199e-31
110,1,7.3128e-28,3.39078e-30
120,1,5.08295e-28,4.23983e-30
130,1.0002,4.44846e-28,4.43549e-30
140,1.00611,2.99082e-28,6.60521e-29
150,1.05612,9.54673e-25,7.21277e-25
160,0.670611,5.3322e-21,3.97417e-21
170,1.91907,8.45596e-18,6.56512e-18
180,1.10164,4.8744e-15,3.96944e-15
190,0.528886,1.19331e-12,1.02719e-12
200,0.0370806,1.39819e-10,1.28278e-10
210,0.120833,8.60585e-09,8.49325e-09
220,0.0627313,2.9924e-07,3.21098e-07
230,0.110513,6.21742e-06,7.3475e-06
240,0.130049,8.0486e-05,0.000106436
250,0.159157,0.000668167,0.0010094
260,0.202092,0.00361686,0.00641889
270,0.269087,0.0128257,0.0278284
280,0.384576,0.0295906,0.0833523
290,0.536288,0.0437867,0.175777
300,0.676414,0.0416545,0.272486
310,0.773004,0.0286003,0.339822
320,0.844393,0.0196293,0.383207
330,0.901807,0.0149382,0.414914
340,0.940861,0.0113717,0.433678
350,0.966726,0.00953386,0.443432
360,0.982932,0.00851741,0.447573
370,0.992138,0.00806333,0.448009
380,0.996851,0.00787752,0.446578
390,0.998698,0.0078445,0.444257
400,0.998912,0.00786888,0.441754
410,0.998284,0.0079245,0.43942
420,0.997301,0.00798434,0.437432
430,0.99626,0.00804469,0.435843
440,0.995305,0.00809952,0.434633
450,0.994503,0.00814759,0.433754
460,0.993866,0.00818879,0.433141
470,0.993381,0.00822257,0.432733
480,0.993026,0.00824976,0.432475
490,0.992773,0.00827096,0.432322
500,0.992598,0.00828691,0.432239
600,0.992278,0.00831917,0.432262
700,0.992282,0.00831745,0.432272
800,0.992282,0.00831742,0.432271
900,0.992282,0.00831743,0.432271
1000,0.992282,0.00831743,0.432271
1100,0.992282,0.00831743,0.432271
1200,0.992282,0.00831743,0.432271
1300,0.992282,0.00831743,0.432271
1400,0.992282,0.00831743,0.432271
1500,0.992282,0.00831743,0.432271
1600,0.992282,0.00831743,0.432271
1700,0.992282,0.00831743,0.432271
1800,0.992282,0.00831743,0.432271
1900,0.992282,0.00831743,0.432271
2000,0.992282,0.00831743,0.432271
2100,0.992282,0.00831743,0.432271
2200,0.992282,0.00831743,0.432271
2300,0.992282,0.00831743,0.432271
2400,0.992282,0.00831743,0.432271
2500,0.992282,0.00831743,0.432271
2600,0.992282,0.00831743,0.432271
2700,0.992282,0.00831743,0.432271
2800,0.992282,0.00831743,0.432271
2900,0.992282,0.00831743,0.432271
3000,0.992282,0.00831743,0.432271
3100,0.992282,0.00831743,0.432271
3200,0.992282,0.00831743,0.432271
3300,0.992282,0.00831743,0.432271
3400,0.992282,0.00831743,0.432271
3500,0.992282,0.00831743,0.432271
3600,0.992282,0.00831743,0.432271
3700,0.992282,0.00831743,0.432271
3800,0.992282,0.00831743,0.432271
3900,0.992282,0.00831743,0.432271
4000,0.992282,0.00831743,0.432271
4100,0.992282,0.00831743,0.432271
4200,0.992282,0.00831743,0.432271
4300,0.992282,0.00831743,0.432271
4400,0.992282,0.00831743,0.432271
4500,0.992282,0.00831743,0.432271
4600,0.992282,0.00831743,0.432271
4700,0.992282,0.00831743,0.432271
4800,0.992282,0.00831743,0.432271
4900,0.992282,0.00831743,0.432271
5000,0.992282,0.00831743,0.432271
5100,0.992282,0.00831743,0.432271
5200,0.992282,0.00831743,0.432271
5300,0.992282,0.00831743,0.432271
5400,0.992282,0.00831743,0.432271
5500,0.992282,0.00831743,0.432271
5600,0.992282,0.00831743,0.432271
5700,0.992282,0.00831743,0.432271
5800,0.992282,0.00831743,0.432271
5900,0.992282,0.00831743,0.432271
6000,0.992282,0.00831743,0.432271
6100,0.992282,0.00831743,0.432271
6200,0.992282,0.00831743,0.432271
6300,0.992282,0.00831743,0.432271
6400,0.992282,0.00831743,0.432271
6500,0.992282,0.00831743,0.432271
6600,0.992282,0.00831743,0.432271
6700,0.992282,0.00831743,0.432271
6800,0.992282,0.00831743,0.432271
6900,0.992282,0.00831743,0.432271
7000,0.992282,0.00831743,0.432271
7100,0.992282,0.00831743,0.432271
7200,0.992282,0.00831743,0.432271
7300,0.992282,0.00831743,0.432271
7400,0.992282,0.00831743,0.432271
7500,0.992282,0.00831743,0.432271
7600,0.992282,0.00831743,0.432271
7700,0.992282,0.00831743,0.432271
7800,0.992282,0.00831743,0.432271
7900,0.992282,0.00831743,0.432271
8000,0.992282,0.00831743,0.432271
8100,0.992282,0.00831743,0.432271
8200,0.992282,0.00831743,0.432271
8300,0.992282,0.00831743,0.432271
8400,0.992282,0.00831743,0.432271
