t,T+R,N_0,N_1,N_2
0,1,1.36951e-28,2.55886e-43,2.22491e-49
10,1,1.45685e-28,4.65708e-36,5.40805e-38
20,1,1.27007e-28,4.64864e-34,2.24667e-35
30,1,1.29005e-28,1.17986e-33,5.62251e-35
40,1,2.05717e-28,2.67138e-32,1.19981e-34
50,1,3.22127e-28,3.94711e-31,1.11486e-32
60,1,2.23967e-28,3.8196e-31,3.18972e-32
70,1,1.76999e-28,7.07545e-32,1.48795e-32
80,1,2.69939e-28,2.39225e-31,1.41029e-32
90,1,2.77222e-28,6.53418e-31,2.79565e-31
100,1,2.9543e-28,1.17791e-30,1.84651e-30
110,1,3.29292e-28,1.5791e-30,5.49219e-30
120,1,3.34946e-28,1.29393e-30,7.53972e-30
130,0.999965,5.215e-28,1.6578e-30,1.1891e-29
140,0.99657,1.95508e-28,1.74536e-28,1.4711e-28
150,0.972279,3.24281e-24,4.21877e-24,2.68241e-24
160,1.26707,1.56538e-20,2.01331e-20,1.33144e-20
170,0.7298,2.17277e-17,2.85454e-17,1.98809e-17
180,2.08124,1.10578e-14,1.48045e-14,1.09811e-14
190,1.32104,2.41416e-12,3.27144e-12,2.61536e-12
200,0.424134,2.5509e-10,3.45677e-10,3.01878e-10
210,0.0986999,1.43613e-08,1.90831e-08,1.84919e-08
220,0.140764,4.66148e-07,5.89119e-07,6.45556e-07
230,0.0718545,9.3219e-06,1.0706e-05,1.3582e-05
240,0.118522,0.000121485,0.000118899,0.000179877
250,0.113257,0.00107978,0.000828531,0.00155099
260,0.134076,0.00675847,0.00369696,0.0089404
270,0.188201,0.0302725,0.010861,0.0352373
280,0.320923,0.0972387,0.0225434,0.0972006
290,0.549696,0.223188,0.0387482,0.193579
300,0.806475,0.368243,0.0643875,0.291991
310,0.982039,0.45464,0.0994191,0.358273
320,1.04449,0.464122,0.131396,0.390238
330,1.05321,0.444385,0.153332,0.405363
340,1.04403,0.420415,0.166849,0.412593
350,1.01895,0.393404,0.173174,0.411807
