t,T+R,N_0,N_1,N_2
0,1,1.92374e-26,4.26526e-40,3.81852e-46
10,1,1.62084e-26,9.40471e-34,1.87937e-35
20,1,1.6301e-26,9.2344e-33,4.8146e-34
30,1,1.75311e-26,8.58179e-34,3.68541e-34
40,1,1.48889e-26,3.59974e-32,5.73366e-33
50,1,2.12122e-26,8.36628e-32,1.71801e-32
60,1,2.33003e-26,2.42706e-31,4.89659e-32
70,1,2.81469e-26,1.36141e-31,2.04523e-32
80,1,2.77792e-26,8.92644e-32,5.23397e-32
90,1,3.10496e-26,1.15279e-31,3.14578e-30
100,1,1.90377e-26,1.11699e-30,9.36121e-30
110,1.00003,2.01379e-26,3.81654e-30,1.76031e-29
120,1.00919,1.8476e-26,4.72163e-31,3.95672e-29
130,0.852426,2.5234e-26,1.25986e-31,5.38705e-29
140,0.336285,1.86668e-26,3.6775e-30,4.87447e-29
150,0.0484867,2.80589e-26,1.7668e-26,1.14753e-26
160,0.0638947,8.23445e-23,1.47834e-22,1.10084e-22
170,0.147467,1.55349e-19,2.85605e-19,2.25444e-19
180,0.564658,7.85077e-17,1.52713e-16,1.29281e-16
190,1.22646,1.26173e-14,2.62014e-14,2.41279e-14
200,1.19994,7.50591e-13,1.66622e-12,1.6975e-12
210,0.87117,1.99057e-11,4.66081e-11,5.35073e-11
220,1.06831,2.79203e-10,6.72403e-10,8.8996e-10
230,0.963369,2.30452e-09,5.4456e-09,8.60646e-09
240,1.01008,1.22722e-08,2.56916e-08,5.11907e-08
250,1.00338,4.62748e-08,7.04297e-08,1.93626e-07
260,0.992853,1.3287e-07,1.05175e-07,4.72087e-07
270,0.998043,2.91393e-07,6.89949e-08,7.38263e-07
280,1.0008,4.55283e-07,1.42773e-08,7.23892e-07
290,0.999514,4.6547e-07,6.02096e-08,4.28522e-07
300,0.998088,3.04287e-07,1.36472e-07,1.46828e-07
310,0.998088,1.57822e-07,1.21092e-07,2.84607e-08
320,0.998848,9.48894e-08,6.41499e-08,4.89315e-09
330,0.999141,5.63478e-08,2.51865e-08,5.75899e-09
340,0.99879,3.0971e-08,6.41931e-09,6.96236e-09
350,0.99851,1.67684e-08,7.58241e-10,5.45334e-09
360,0.998623,8.53706e-09,4.15041e-11,3.19115e-09
370,0.998811,4.37664e-09,2.19172e-10,1.56141e-09
380,0.998824,2.27303e-09,2.20702e-10,7.15735e-10
390,0.998739,1.23705e-09,1.00683e-10,3.44513e-10
400,0.99869,6.81042e-10,1.88185e-11,1.74818e-10
410,0.998703,3.68825e-10,3.16918e-12,8.33107e-11
420,0.998737,1.88811e-10,1.51593e-11,3.24478e-11
430,0.998751,9.01905e-11,2.31554e-11,9.31398e-12
440,0.99874,4.0261e-11,2.02771e-11,2.73719e-12
450,0.998726,1.70839e-11,1.23902e-11,2.7077e-12
460,0.998726,7.202e-12,5.53112e-12,3.4159e-12
470,0.998733,3.18435e-12,1.75411e-12,3.12256e-12
480,0.998735,1.55436e-12,3.78758e-13,2.14205e-12
490,0.998733,8.58665e-13,1.09582e-13,1.14707e-12
500,0.998731,5.27111e-13,1.18199e-13,4.838e-13
600,0.998732,9.78763e-16,3.03488e-16,4.57249e-16
700,0.998732,6.51221e-18,3.34042e-18,4.15431e-18
800,0.998732,1.22576e-18,4.22861e-18,3.69797e-18
900,0.998732,1.16043e-18,4.06708e-18,3.77706e-18
1000,0.998732,1.15518e-18,4.0671e-18,3.77728e-18
1100,0.998732,1.1552e-18,4.06711e-18,3.77737e-18
1200,0.998732,1.15524e-18,4.06718e-18,3.77722e-18
1300,0.998732,1.15537e-18,4.06724e-18,3.77725e-18
1400,0.998732,1.15544e-18,4.06707e-18,3.77723e-18
1500,0.998732,1.15531e-18,4.06709e-18,3.77723e-18
1600,0.998732,1.15469e-18,4.06714e-18,3.77692e-18
1700,0.998732,1.15429e-18,4.06681e-18,3.77756e-18
1800,0.998732,1.15449e-18,4.067e-18,3.77723e-18
1900,0.998732,1.15463e-18,4.06694e-18,3.77725e-18
2000,0.998732,1.15464e-18,4.06683e-18,3.77743e-18
