t,T+R,N_0,N_1,N_2,N_3
0,1,2.02345e-29,4.6556e-43,6.38087e-49,7.07865e-55
10,1,2.64751e-29,5.87572e-36,1.03709e-37,2.32649e-39
20,1,4.71804e-29,4.51946e-35,5.76185e-36,6.68945e-37
30,1,3.45912e-29,2.00171e-33,1.152e-34,1.10799e-35
40,1,5.51189e-29,5.90572e-35,4.53332e-35,3.33435e-35
50,1,6.34681e-29,4.85504e-32,1.7582e-33,2.0799e-34
60,1,7.22976e-29,3.91005e-31,2.00229e-32,3.24999e-33
70,1,3.98606e-29,7.1142e-31,4.56263e-32,1.08061e-32
80,1,1.10307e-29,9.36808e-31,6.97438e-32,4.54103e-32
90,1,4.31879e-29,7.83535e-31,7.81794e-32,3.18509e-32
100,1,3.64061e-29,1.36637e-31,3.83063e-32,7.27487e-31
110,1,-8.19751e-30,1.63503e-29,6.09849e-33,5.24954e-31
120,1.00001,-1.5152e-29,7.58346e-29,4.85925e-33,7.33429e-31
130,1.00045,6.49998e-30,7.33097e-29,3.40983e-33,6.06997e-30
140,1.01894,5.87692e-30,1.88077e-29,9.82953e-30,8.34836e-30
150,0.930606,1.51332e-25,2.089e-25,2.59656e-25,1.60442e-25
160,1.4689,9.39631e-22,1.26227e-21,1.66095e-21,1.07067e-21
170,0.656443,1.66535e-18,2.14588e-18,2.9827e-18,2.05868e-18
180,0.184726,1.03711e-15,1.25631e-15,1.85096e-15,1.38479e-15
190,0.0410754,2.66724e-13,2.96893e-13,4.6383e-13,3.81484e-13
200,0.0686084,3.20913e-11,3.20486e-11,5.28475e-11,4.85842e-11
210,0.0796185,1.98789e-09,1.74404e-09,2.99449e-09,3.14107e-09
220,0.157316,6.80615e-08,5.18816e-08,9.00463e-08,1.10687e-07
230,0.241927,1.35169e-06,9.04063e-07,1.49838e-06,2.23887e-06
240,0.389027,1.59864e-05,9.80106e-06,1.40378e-05,2.68988e-05
250,0.577887,0.000113016,6.93237e-05,7.30066e-05,0.000195331
260,0.797109,0.00046687,0.000327089,0.000197307,0.000857345
270,0.984498,0.00105922,0.0010139,0.000232305,0.00222877
280,1.08385,0.00114028,0.00196528,0.00011488,0.00326752
290,1.0808,0.000367286,0.00224384,0.000423676,0.00244003
300,1.02643,8.43734e-06,0.00150042,0.00110526,0.000749514
310,0.983828,0.000257405,0.000693918,0.00112094,0.000243704
320,0.976158,0.000297681,0.000225635,0.00072304,0.000735155
330,0.987729,0.000176177,1.67279e-05,0.000569606,0.00122108
340,0.996239,3.38712e-05,2.98955e-05,0.000646676,0.00134197
350,0.994933,1.9763e-05,0.000106844,0.000732339,0.00126106
360,0.990191,9.62327e-05,0.000138255,0.000755418,0.00116626
370,0.989047,0.000155978,0.00012572,0.000754842,0.00111616
380,0.991957,0.000149561,0.000111752,0.000745453,0.00110872
390,0.994878,0.00010633,0.000109653,0.000730129,0.00112139
400,0.995005,7.52685e-05,0.000107446,0.000727629,0.00112675
410,0.993156,7.24397e-05,0.000100378,0.000741128,0.00112096
420,0.991659,8.39472e-05,9.47623e-05,0.000750027,0.00112142
430,0.991586,9.27684e-05,9.44225e-05,0.000744141,0.00113415
440,0.992332,9.36299e-05,9.71836e-05,0.000735571,0.00114523
450,0.992917,9.04299e-05,0.000100076,0.000735347,0.00114382
460,0.992987,8.81428e-05,0.000101725,0.000739833,0.00113532
470,0.992772,8.8278e-05,0.000101644,0.000741761,0.00112993
480,0.992592,8.93614e-05,0.000100278,0.000740632,0.00113018
490,0.992565,8.97097e-05,9.89718e-05,0.000739465,0.00113257
500,0.992625,8.91729e-05,9.868e-05,0.000739241,0.00113423
600,0.992644,8.90816e-05,9.94263e-05,0.000739421,0.00113367
700,0.992648,8.9063e-05,9.94405e-05,0.000739416,0.00113365
800,0.992648,8.9063e-05,9.94401e-05,0.000739414,0.00113365
900,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1000,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1100,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1200,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1300,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1400,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1500,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1600,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1700,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1800,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
1900,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
2000,0.992648,8.9063e-05,9.944e-05,0.000739414,0.00113365
