t,T+R,N_0,N_1,N_2,N_3
0,1,6.74891e-29,1.70206e-43,2.16764e-49,2.52409e-55
10,1,1.8312e-28,1.1014e-36,1.66442e-38,3.60459e-40
20,1,3.1018e-28,3.81516e-34,1.89512e-35,1.30681e-36
30,1,3.29173e-28,7.54687e-34,1.9013e-35,2.36398e-36
40,1,2.89241e-28,7.79323e-33,9.06364e-35,5.66015e-35
50,1,4.03352e-28,2.26713e-31,4.73465e-33,4.02463e-34
60,1,9.22011e-28,5.92354e-31,2.43088e-32,5.50744e-33
70,1,9.65917e-28,3.76677e-31,1.85013e-32,1.11525e-32
80,1,6.6975e-28,1.409e-31,8.0934e-33,3.0201e-32
90,1,6.23764e-28,7.75141e-33,3.50398e-32,5.21634e-32
100,1,8.37866e-28,2.53505e-30,1.02502e-31,4.40394e-31
110,1,8.84989e-28,2.05963e-29,2.10755e-31,9.60051e-31
120,1,5.76202e-28,6.29663e-29,2.23262e-31,6.63485e-30
130,1.0002,6.14554e-28,1.35497e-28,3.41721e-31,1.62416e-29
140,1.00611,5.16774e-28,3.03398e-28,6.87022e-29,1.35907e-28
150,1.0561,9.16797e-25,1.2651e-24,1.46885e-24,8.816e-25
160,0.670469,4.99295e-21,6.30068e-21,7.7527e-21,4.87555e-21
170,1.91933,7.58927e-18,9.2018e-18,1.18999e-17,8.0067e-18
180,1.10146,4.19109e-15,4.78425e-15,6.51365e-15,4.75256e-15
190,0.529499,9.86936e-13,1.0362e-12,1.48055e-12,1.18956e-12
200,0.0358831,1.12254e-10,1.05833e-10,1.56879e-10,1.41319e-10
210,0.122414,6.80205e-09,5.65152e-09,8.46538e-09,8.73979e-09
220,0.0615276,2.37098e-07,1.72953e-07,2.48713e-07,3.02594e-07
230,0.111413,5.03946e-06,3.30382e-06,4.17743e-06,6.21086e-06
240,0.129781,6.81038e-05,4.24472e-05,4.1468e-05,7.90754e-05
250,0.159367,0.00060139,0.000384935,0.000248276,0.000647688
260,0.202163,0.00352308,0.00249084,0.00090882,0.00352072
270,0.267688,0.013771,0.0113235,0.00209306,0.013084
280,0.378964,0.0359144,0.0355069,0.00339094,0.0343551
290,0.524105,0.0626164,0.0767765,0.00499746,0.0664324
300,0.658825,0.07505,0.119352,0.00754269,0.100055
310,0.750896,0.0693055,0.148881,0.0098721,0.126395
320,0.818538,0.0612965,0.171244,0.010813,0.144708
330,0.87409,0.0566325,0.19112,0.0109413,0.157525
340,0.912332,0.0513629,0.205421,0.0107303,0.165713
350,0.938242,0.0469472,0.215435,0.0104728,0.170313
360,0.955493,0.0435198,0.221859,0.0104028,0.172695
370,0.966382,0.0407703,0.22528,0.0104732,0.173902
380,0.973362,0.0387687,0.226628,0.01061,0.174614
390,0.977733,0.0373003,0.226662,0.0107382,0.175094
400,0.980515,0.0362876,0.22608,0.0108287,0.175385
410,0.982266,0.0355977,0.225337,0.0108765,0.175472
420,0.983352,0.0351398,0.224677,0.0108897,0.175381
430,0.984011,0.0348403,0.224185,0.0108765,0.175179
440,0.984391,0.0346411,0.223853,0.0108455,0.174942
450,0.9846,0.0345081,0.223643,0.0108065,0.174724
460,0.984704,0.0344148,0.223514,0.010769,0.174549
470,0.984751,0.0343469,0.223434,0.0107396,0.174421
480,0.984769,0.034296,0.223382,0.0107208,0.174335
490,0.984774,0.0342566,0.223345,0.0107112,0.174281
500,0.984775,0.0342265,0.223317,0.0107077,0.174253
600,0.984723,0.0341493,0.223261,0.0107002,0.174225
700,0.9847,0.0341482,0.223256,0.0107001,0.174223
800,0.9847,0.0341483,0.223256,0.0107001,0.174223
900,0.9847,0.0341483,0.223256,0.0107001,0.174223
1000,0.9847,0.0341483,0.223256,0.0107001,0.174223
1100,0.9847,0.0341483,0.223256,0.0107001,0.174223
1200,0.9847,0.0341483,0.223256,0.0107001,0.174223
1300,0.9847,0.0341483,0.223256,0.0107001,0.174223
1400,0.9847,0.0341483,0.223256,0.0107001,0.174223
1500,0.9847,0.0341483,0.223256,0.0107001,0.174223
1600,0.9847,0.0341483,0.223256,0.0107001,0.174223
1700,0.9847,0.0341483,0.223256,0.0107001,0.174223
1800,0.9847,0.0341483,0.223256,0.0107001,0.174223
1900,0.9847,0.0341483,0.223256,0.0107001,0.174223
2000,0.9847,0.0341483,0.223256,0.0107001,0.174223
2100,0.9847,0.0341483,0.223256,0.0107001,0.174223
2200,0.9847,0.0341483,0.223256,0.0107001,0.174223
2300,0.9847,0.0341483,0.223256,0.0107001,0.174223
2400,0.9847,0.0341483,0.223256,0.0107001,0.174223
2500,0.9847,0.0341483,0.223256,0.0107001,0.174223
2600,0.9847,0.0341483,0.223256,0.0107001,0.174223
2700,0.9847,0.0341483,0.223256,0.0107001,0.174223
2800,0.9847,0.0341483,0.223256,0.0107001,0.174223
2900,0.9847,0.0341483,0.223256,0.0107001,0.174223
3000,0.9847,0.0341483,0.223256,0.0107001,0.174223
3100,0.9847,0.0341483,0.223256,0.0107001,0.174223
3200,0.9847,0.0341483,0.223256,0.0107001,0.174223
3300,0.9847,0.0341483,0.223256,0.0107001,0.174223
3400,0.9847,0.0341483,0.223256,0.0107001,0.174223
3500,0.9847,0.0341483,0.223256,0.0107001,0.174223
3600,0.9847,0.0341483,0.223256,0.0107001,0.174223
3700,0.9847,0.0341483,0.223256,0.0107001,0.174223
3800,0.9847,0.0341483,0.223256,0.0107001,0.174223
3900,0.9847,0.0341483,0.223256,0.0107001,0.174223
4000,0.9847,0.0341483,0.223256,0.0107001,0.174223
4100,0.9847,0.0341483,0.223256,0.0107001,0.174223
4200,0.9847,0.0341483,0.223256,0.0107001,0.174223
