t,T+R,N_0
0,1,6.00054e-24
10,1,6.01678e-24
20,1,6.02667e-24
30,1,6.13402e-24
40,1,5.95455e-24
50,1,5.94329e-24
60,1,5.95513e-24
70,1,5.92256e-24
80,1,5.93733e-24
90,1,5.95793e-24
100,1,6.04357e-24
110,1,5.93485e-24
120,1,5.98505e-24
130,1,5.9751e-24
140,0.999734,5.29541e-24
150,1.01281,7.28389e-21
160,1.13932,1.89154e-17
170,1.774,1.64119e-14
180,2.00278,5.61874e-12
190,1.83975,8.87034e-10
200,12.4987,7.22967e-08
210,0.121023,3.30317e-06
220,0.540537,8.98689e-05
230,10.4764,0.00152092
240,2.00351,0.0164906
250,3.3004,0.116392
260,1.8478,0.535276
270,1.90385,1.57411
280,3.34607,2.814
290,2.8115,2.72851
300,1.27609,1.1309
310,0.504825,0.470495
320,1.03338,0.997632
330,0.760381,0.748797
340,0.669029,0.660329
350,0.943546,0.93988
360,0.825292,0.823226
370,0.978719,0.977593
380,1.01112,1.01062
390,0.989897,0.989583
400,1.03823,1.03809
410,0.988594,0.988517
420,1.00247,1.00243
430,0.998548,0.998529
440,0.995053,0.995042
450,1.00594,1.00593
460,0.997428,0.997425
470,1.00074,1.00074
480,0.999911,0.99991
490,0.999322,0.999322
500,1.00104,1.00104
600,1.00004,1.00004
700,0.999999,0.999999
800,0.999998,0.999998
900,0.999998,0.999998
1000,0.999998,0.999998
1100,0.999998,0.999998
1200,0.999998,0.999998
1300,0.999998,0.999998
1400,0.999998,0.999998
1500,0.999998,0.999998
1600,0.999998,0.999998
1700,0.999998,0.999998
1800,0.999998,0.999998
1900,0.999998,0.999998
2000,0.999998,0.999998
2100,0.999998,0.999998
2200,0.999998,0.999998
2300,0.999998,0.999998
2400,0.999998,0.999998
2500,0.999998,0.999998
2600,0.999998,0.999998
2700,0.999998,0.999998
2800,0.999998,0.999998
2900,0.999998,0.999998
3000,0.999998,0.999998
3100,0.999998,0.999998
3200,0.999998,0.999998
3300,0.999998,0.999998
3400,0.999998,0.999998
3500,0.999998,0.999998
3600,0.999998,0.999998
3700,0.999998,0.999998
3800,0.999998,0.999998
3900,0.999998,0.999998
4000,0.999998,0.999998
4100,0.999998,0.999998
4200,0.999998,0.999998
4300,0.999998,0.999998
4400,0.999998,0.999998
4500,0.999998,0.999998
4600,0.999998,0.999998
4700,0.999998,0.999998
4800,0.999998,0.999998
4900,0.999998,0.999998
5000,0.999998,0.999998
5100,0.999998,0.999998
5200,0.999998,0.999998
5300,0.999998,0.999998
5400,0.999998,0.999998
5500,0.999998,0.999998
5600,0.999998,0.999998
5700,0.999998,0.999998
5800,0.999998,0.999998
5900,0.999998,0.999998
6000,0.999998,0.999998
6100,0.999998,0.999998
6200,0.999998,0.999998
6300,0.999998,0.999998
6400,0.999998,0.999998
6500,0.999998,0.999998
6600,0.999998,0.999998
6700,0.999998,0.999998
6800,0.999998,0.999998
6900,0.999998,0.999998
7000,0.999998,0.999998
7100,0.999998,0.999998
7200,0.999998,0.999998
7300,0.999998,0.999998
7400,0.999998,0.999998
7500,0.999998,0.999998
7600,0.999998,0.999998
7700,0.999998,0.999998
7800,0.999998,0.999998
7900,0.999998,0.999998
8000,0.999998,0.999998
8100,0.999998,0.999998
8200,0.999998,0.999998
8300,0.999998,0.999998
8400,0.999998,0.999998
