t,T+R,N_0,N_1
0,1,1.01492e-23,2.60929e-43
10,1,1.01505e-23,4.41492e-36
20,1,1.01623e-23,1.09908e-33
30,1,1.01537e-23,3.59265e-32
40,1,1.01411e-23,4.4782e-31
50,1,1.0122e-23,2.93725e-30
60,1,1.01218e-23,3.88763e-30
70,1,1.01266e-23,2.8466e-30
80,1,1.01146e-23,3.79383e-30
90,1,1.01212e-23,6.18178e-30
100,1,1.01331e-23,1.20285e-29
110,1,1.01284e-23,2.11482e-29
120,1,1.01398e-23,3.13087e-29
130,0.999967,1.0125e-23,3.64715e-29
140,0.996797,1.01538e-23,3.46897e-29
150,0.973372,1.41294e-23,2.07037e-24
160,1.25429,2.88752e-21,1.07705e-20
170,0.749514,3.95306e-18,1.6763e-17
180,2.05903,1.86873e-15,9.70426e-15
190,1.31754,3.74174e-13,2.43905e-12
200,0.43854,3.56022e-11,2.99341e-10
210,0.091995,1.75252e-09,1.96574e-08
220,0.145855,4.75832e-08,7.42374e-07
230,0.0694877,7.48313e-07,1.70674e-05
240,0.115549,7.13258e-06,0.000249727
250,0.110936,4.45247e-05,0.00240586
260,0.125451,0.000219612,0.0156501
270,0.177559,0.0010879,0.0699989
280,0.318221,0.00509752,0.21824
290,0.580958,0.0179875,0.481008
300,0.877152,0.0433873,0.768236
310,1.06161,0.0727282,0.939376
320,1.10295,0.0932363,0.974603
330,1.0902,0.10483,0.961572
340,1.06875,0.110377,0.942486
350,1.03622,0.108235,0.916951
360,1.0097,0.101747,0.899436
370,0.995708,0.0948677,0.89331
380,0.988551,0.0891361,0.891995
390,0.986823,0.0857518,0.893361
400,0.986773,0.0844881,0.89416
410,0.987208,0.0847007,0.893994
420,0.987508,0.0856048,0.893086
430,0.987789,0.0865934,0.892176
440,0.988169,0.0873382,0.8917
450,0.988719,0.0877505,0.891798
460,0.989323,0.087888,0.892274
470,0.989864,0.0878641,0.892876
480,0.990215,0.0877771,0.893359
490,0.99036,0.0876923,0.893629
500,0.990325,0.0876335,0.893682
600,0.989876,0.0875884,0.89328
700,0.989872,0.0875897,0.893276
800,0.989872,0.0875899,0.893276
900,0.989872,0.0875899,0.893276
1000,0.989872,0.0875899,0.893276
1100,0.989872,0.0875899,0.893276
1200,0.989872,0.0875899,0.893276
1300,0.989872,0.0875899,0.893276
1400,0.989872,0.0875899,0.893276
1500,0.989872,0.0875899,0.893276
1600,0.989872,0.0875899,0.893276
1700,0.989872,0.0875899,0.893276
1800,0.989872,0.0875899,0.893276
1900,0.989872,0.0875899,0.893276
2000,0.989872,0.0875899,0.893276
2100,0.989872,0.0875899,0.893276
2200,0.989872,0.0875899,0.893276
2300,0.989872,0.0875899,0.893276
2400,0.989872,0.0875899,0.893276
2500,0.989872,0.0875899,0.893276
2600,0.989872,0.0875899,0.893276
2700,0.989872,0.0875899,0.893276
2800,0.989872,0.0875899,0.893276
2900,0.989872,0.0875899,0.893276
3000,0.989872,0.0875899,0.893276
3100,0.989872,0.0875899,0.893276
3200,0.989872,0.0875899,0.893276
3300,0.989872,0.0875899,0.893276
3400,0.989872,0.0875899,0.893276
3500,0.989872,0.0875899,0.893276
3600,0.989872,0.0875899,0.893276
3700,0.989872,0.0875899,0.893276
3800,0.989872,0.0875899,0.893276
3900,0.989872,0.0875899,0.893276
4000,0.989872,0.0875899,0.893276
4100,0.989872,0.0875899,0.893276
4200,0.989872,0.0875899,0.893276
4300,0.989872,0.0875899,0.893276
4400,0.989872,0.0875899,0.893276
4500,0.989872,0.0875899,0.893276
4600,0.989872,0.0875899,0.893276
4700,0.989872,0.0875899,0.893276
4800,0.989872,0.0875899,0.893276
4900,0.989872,0.0875899,0.893276
5000,0.989872,0.0875899,0.893276
5100,0.989872,0.0875899,0.893276
5200,0.989872,0.0875899,0.893276
5300,0.989872,0.0875899,0.893276
5400,0.989872,0.0875899,0.893276
5500,0.989872,0.0875899,0.893276
5600,0.989872,0.0875899,0.893276
5700,0.989872,0.0875899,0.893276
5800,0.989872,0.0875899,0.893276
5900,0.989872,0.0875899,0.893276
6000,0.989872,0.0875899,0.893276
6100,0.989872,0.0875899,0.893276
6200,0.989872,0.0875899,0.893276
6300,0.989872,0.0875899,0.893276
6400,0.989872,0.0875899,0.893276
6500,0.989872,0.0875899,0.893276
6600,0.989872,0.0875899,0.893276
6700,0.989872,0.0875899,0.893276
6800,0.989872,0.0875899,0.893276
6900,0.989872,0.0875899,0.893276
7000,0.989872,0.0875899,0.893276
7100,0.989872,0.0875899,0.893276
7200,0.989872,0.0875899,0.893276
7300,0.989872,0.0875899,0.893276
7400,0.989872,0.0875899,0.893276
7500,0.989872,0.0875899,0.893276
7600,0.989872,0.0875899,0.893276
7700,0.989872,0.0875899,0.893276
7800,0.989872,0.0875899,0.893276
7900,0.989872,0.0875899,0.893276
8000,0.989872,0.0875899,0.893276
8100,0.989872,0.0875899,0.893276
8200,0.989872,0.0875899,0.893276
8300,0.989872,0.0875899,0.893276
8400,0.989872,0.0875899,0.893276
