t,T+R,N_0,N_1
0,1,1.6644e-23,5.90675e-44
10,1,1.66058e-23,3.54786e-36
20,1,1.65531e-23,5.83158e-34
30,1,1.65542e-23,2.56563e-32
40,1,1.65624e-23,1.9773e-31
50,1,1.65318e-23,1.71029e-30
60,1,1.64575e-23,4.21674e-30
70,1,1.64637e-23,3.87001e-30
80,1,1.65046e-23,2.66928e-30
90,1,1.64933e-23,1.49926e-30
100,1,1.64589e-23,1.4139e-30
110,1,1.64818e-23,3.27038e-30
120,1,1.65066e-23,5.9629e-30
130,1.00018,1.64831e-23,8.32262e-30
140,1.00568,1.64694e-23,1.59392e-29
150,1.05417,1.98201e-23,6.13828e-25
160,0.684619,8.09876e-22,3.53769e-21
170,1.90093,1.3122e-18,6.08456e-18
180,1.09974,6.6202e-16,3.83154e-15
190,0.539073,1.39121e-13,1.03209e-12
200,0.034839,1.36447e-11,1.34007e-10
210,0.123583,6.80003e-10,9.20786e-09
220,0.0617751,1.8333e-08,3.60382e-07
230,0.108148,2.80073e-07,8.51029e-06
240,0.128626,2.53961e-06,0.000126717
250,0.154016,1.52286e-05,0.00122862
260,0.194052,8.05879e-05,0.00792731
270,0.252576,0.000470167,0.0344786
280,0.359387,0.00235757,0.101833
290,0.506654,0.00801876,0.206515
300,0.645174,0.0177453,0.299207
310,0.733979,0.0275045,0.346202
320,0.79889,0.0355244,0.375945
330,0.857837,0.0440716,0.404653
340,0.899235,0.0519569,0.421361
350,0.929132,0.0583165,0.432313
360,0.950796,0.0637499,0.439241
370,0.965426,0.067958,0.442919
380,0.975553,0.0712756,0.44486
390,0.982179,0.0737577,0.44552
400,0.986526,0.0756204,0.445516
410,0.989273,0.0769697,0.445136
420,0.990961,0.0779436,0.444583
430,0.991973,0.0786295,0.444001
440,0.99254,0.0791061,0.443439
450,0.992844,0.0794323,0.442947
460,0.992984,0.0796501,0.44253
470,0.993034,0.0797934,0.442189
480,0.993036,0.0798851,0.44192
490,0.993014,0.0799418,0.441711
500,0.992985,0.0799757,0.441552
600,0.992852,0.0799997,0.441152
700,0.992849,0.0799955,0.441147
800,0.992849,0.0799953,0.441147
900,0.992849,0.0799953,0.441147
1000,0.992849,0.0799953,0.441147
1100,0.992849,0.0799953,0.441147
1200,0.992849,0.0799953,0.441147
1300,0.992849,0.0799953,0.441147
1400,0.992849,0.0799953,0.441147
1500,0.992849,0.0799953,0.441147
1600,0.992849,0.0799953,0.441147
1700,0.992849,0.0799953,0.441147
1800,0.992849,0.0799953,0.441147
1900,0.992849,0.0799953,0.441147
2000,0.992849,0.0799953,0.441147
2100,0.992849,0.0799953,0.441147
2200,0.992849,0.0799953,0.441147
2300,0.992849,0.0799953,0.441147
2400,0.992849,0.0799953,0.441147
2500,0.992849,0.0799953,0.441147
2600,0.992849,0.0799953,0.441147
2700,0.992849,0.0799953,0.441147
2800,0.992849,0.0799953,0.441147
2900,0.992849,0.0799953,0.441147
3000,0.992849,0.0799953,0.441147
3100,0.992849,0.0799953,0.441147
3200,0.992849,0.0799953,0.441147
3300,0.992849,0.0799953,0.441147
3400,0.992849,0.0799953,0.441147
3500,0.992849,0.0799953,0.441147
3600,0.992849,0.0799953,0.441147
3700,0.992849,0.0799953,0.441147
3800,0.992849,0.0799953,0.441147
3900,0.992849,0.0799953,0.441147
4000,0.992849,0.0799953,0.441147
4100,0.992849,0.0799953,0.441147
4200,0.992849,0.0799953,0.441147
4300,0.992849,0.0799953,0.441147
4400,0.992849,0.0799953,0.441147
4500,0.992849,0.0799953,0.441147
4600,0.992849,0.0799953,0.441147
4700,0.992849,0.0799953,0.441147
4800,0.992849,0.0799953,0.441147
4900,0.992849,0.0799953,0.441147
5000,0.992849,0.0799953,0.441147
5100,0.992849,0.0799953,0.441147
5200,0.992849,0.0799953,0.441147
5300,0.992849,0.0799953,0.441147
5400,0.992849,0.0799953,0.441147
5500,0.992849,0.0799953,0.441147
5600,0.992849,0.0799953,0.441147
5700,0.992849,0.0799953,0.441147
5800,0.992849,0.0799953,0.441147
5900,0.992849,0.0799953,0.441147
6000,0.992849,0.0799953,0.441147
6100,0.992849,0.0799953,0.441147
6200,0.992849,0.0799953,0.441147
6300,0.992849,0.0799953,0.441147
6400,0.992849,0.0799953,0.441147
6500,0.992849,0.0799953,0.441147
6600,0.992849,0.0799953,0.441147
6700,0.992849,0.0799953,0.441147
6800,0.992849,0.0799953,0.441147
6900,0.992849,0.0799953,0.441147
7000,0.992849,0.0799953,0.441147
7100,0.992849,0.0799953,0.441147
7200,0.992849,0.0799953,0.441147
7300,0.992849,0.0799953,0.441147
7400,0.992849,0.0799953,0.441147
7500,0.992849,0.0799953,0.441147
7600,0.992849,0.0799953,0.441147
7700,0.992849,0.0799953,0.441147
7800,0.992849,0.0799953,0.441147
7900,0.992849,0.0799953,0.441147
8000,0.992849,0.0799953,0.441147
8100,0.992849,0.0799953,0.441147
8200,0.992849,0.0799953,0.441147
8300,0.992849,0.0799953,0.441147
8400,0.992849,0.0799953,0.441147
