t,T+R,N_0,N_1,N_2
0,1,6.00054e-24,2.5019e-42,3.54635e-49
10,1,6.0187e-24,3.63247e-34,1.27586e-35
20,1,6.03511e-24,5.83142e-33,7.2195e-34
30,1,6.12106e-24,2.06379e-31,2.66103e-34
40,1,5.93791e-24,6.46972e-31,6.46635e-33
50,1,5.93278e-24,1.55038e-31,2.03451e-32
60,1,5.96172e-24,6.65435e-32,1.79995e-32
70,1,5.92074e-24,4.9784e-31,4.5813e-31
80,1,5.94859e-24,5.01498e-30,2.19654e-29
90,1,5.9614e-24,2.67046e-29,1.33636e-28
100,1,6.00234e-24,3.26963e-29,1.69697e-28
110,1,5.96247e-24,2.09667e-29,1.11341e-30
120,1,5.99823e-24,1.28071e-29,7.86282e-29
130,1,5.95062e-24,4.10695e-29,1.55339e-28
140,0.999785,5.32795e-24,1.73845e-25,4.52987e-25
150,1.01179,3.93713e-21,1.91653e-21,5.71804e-21
160,1.12623,9.65451e-18,4.78992e-18,1.66016e-17
170,1.72089,8.05134e-15,3.7035e-15,1.52596e-14
180,2.0566,2.64774e-12,1.09387e-12,5.50603e-12
190,2.13272,4.01775e-10,1.43035e-10,9.0882e-10
200,12.1105,3.1554e-08,9.16991e-09,7.65424e-08
210,0.406935,1.39506e-06,3.09039e-07,3.5587e-06
220,0.885504,3.69232e-05,5.75146e-06,9.66774e-05
230,9.67772,0.000611102,6.22746e-05,0.00159729
240,2.66494,0.00650409,0.000445894,0.0164673
250,2.96604,0.045085,0.00283368,0.107193
260,2.06364,0.202687,0.0181402,0.43894
270,2.12235,0.575756,0.086893,1.1034
280,3.28967,0.972633,0.241496,1.60687
290,2.50507,0.861883,0.32601,1.20089
300,1.00282,0.334946,0.142678,0.406669
310,0.586988,0.214939,0.00949206,0.319987
320,0.964164,0.32431,0.114083,0.496779
330,0.66264,0.212,0.070519,0.367077
340,0.706897,0.253189,0.0562473,0.39022
350,0.886551,0.271822,0.109904,0.501087
360,0.816697,0.265873,0.0812965,0.467656
370,0.978346,0.314406,0.112001,0.550933
380,0.972402,0.29856,0.11217,0.561155
390,0.98817,0.322481,0.109584,0.555849
400,1.00124,0.314115,0.114242,0.572737
410,0.964647,0.311206,0.107643,0.545729
420,0.977751,0.315225,0.107673,0.554817
430,0.966903,0.308315,0.108738,0.54983
440,0.975267,0.314256,0.107852,0.553149
450,0.976762,0.311951,0.109544,0.555262
460,0.973174,0.311938,0.10859,0.552643
470,0.974892,0.313062,0.108488,0.553341
480,0.972965,0.31139,0.108725,0.552849
490,0.974957,0.312855,0.108596,0.553506
500,0.974262,0.312117,0.108777,0.553368
600,0.974196,0.312272,0.108664,0.55326
700,0.974203,0.312279,0.108665,0.553259
800,0.974203,0.312279,0.108665,0.553259
900,0.974203,0.312279,0.108665,0.553259
1000,0.974203,0.312279,0.108665,0.553259
1100,0.974203,0.312279,0.108665,0.553259
1200,0.974203,0.312279,0.108665,0.553259
1300,0.974203,0.312279,0.108665,0.553259
1400,0.974203,0.312279,0.108665,0.553259
1500,0.974203,0.312279,0.108665,0.553259
1600,0.974203,0.312279,0.108665,0.553259
1700,0.974203,0.312279,0.108665,0.553259
1800,0.974203,0.312279,0.108665,0.553259
1900,0.974203,0.312279,0.108665,0.553259
2000,0.974203,0.312279,0.108665,0.553259
2100,0.974203,0.312279,0.108665,0.553259
2200,0.974203,0.312279,0.108665,0.553259
2300,0.974203,0.312279,0.108665,0.553259
2400,0.974203,0.312279,0.108665,0.553259
2500,0.974203,0.312279,0.108665,0.553259
2600,0.974203,0.312279,0.108665,0.553259
2700,0.974203,0.312279,0.108665,0.553259
2800,0.974203,0.312279,0.108665,0.553259
2900,0.974203,0.312279,0.108665,0.553259
3000,0.974203,0.312279,0.108665,0.553259
3100,0.974203,0.312279,0.108665,0.553259
3200,0.974203,0.312279,0.108665,0.553259
3300,0.974203,0.312279,0.108665,0.553259
3400,0.974203,0.312279,0.108665,0.553259
3500,0.974203,0.312279,0.108665,0.553259
3600,0.974203,0.312279,0.108665,0.553259
3700,0.974203,0.312279,0.108665,0.553259
3800,0.974203,0.312279,0.108665,0.553259
3900,0.974203,0.312279,0.108665,0.553259
4000,0.974203,0.312279,0.108665,0.553259
4100,0.974203,0.312279,0.108665,0.553259
4200,0.974203,0.312279,0.108665,0.553259
4300,0.974203,0.312279,0.108665,0.553259
4400,0.974203,0.312279,0.108665,0.553259
4500,0.974203,0.312279,0.108665,0.553259
4600,0.974203,0.312279,0.108665,0.553259
4700,0.974203,0.312279,0.108665,0.553259
4800,0.974203,0.312279,0.108665,0.553259
4900,0.974203,0.312279,0.108665,0.553259
5000,0.974203,0.312279,0.108665,0.553259
5100,0.974203,0.312279,0.108665,0.553259
5200,0.974203,0.312279,0.108665,0.553259
5300,0.974203,0.312279,0.108665,0.553259
5400,0.974203,0.312279,0.108665,0.553259
5500,0.974203,0.312279,0.108665,0.553259
5600,0.974203,0.312279,0.108665,0.553259
5700,0.974203,0.312279,0.108665,0.553259
5800,0.974203,0.312279,0.108665,0.553259
5900,0.974203,0.312279,0.108665,0.553259
6000,0.974203,0.312279,0.108665,0.553259
6100,0.974203,0.312279,0.108665,0.553259
6200,0.974203,0.312279,0.108665,0.553259
6300,0.974203,0.312279,0.108665,0.553259
6400,0.974203,0.312279,0.108665,0.553259
6500,0.974203,0.312279,0.108665,0.553259
6600,0.974203,0.312279,0.108665,0.553259
6700,0.974203,0.312279,0.108665,0.553259
6800,0.974203,0.312279,0.108665,0.553259
6900,0.974203,0.312279,0.108665,0.553259
7000,0.974203,0.312279,0.108665,0.553259
7100,0.974203,0.312279,0.108665,0.553259
7200,0.974203,0.312279,0.108665,0.553259
7300,0.974203,0.312279,0.108665,0.553259
7400,0.974203,0.312279,0.108665,0.553259
7500,0.974203,0.312279,0.108665,0.553259
7600,0.974203,0.312279,0.108665,0.553259
7700,0.974203,0.312279,0.108665,0.553259
7800,0.974203,0.312279,0.108665,0.553259
7900,0.974203,0.312279,0.108665,0.553259
8000,0.974203,0.312279,0.108665,0.553259
8100,0.974203,0.312279,0.108665,0.553259
8200,0.974203,0.312279,0.108665,0.553259
8300,0.974203,0.312279,0.108665,0.553259
8400,0.974203,0.312279,0.108665,0.553259
