t,T+R,N_0,N_1,N_2
0,1,1.6644e-23,5.90675e-44,1.47053e-50
10,1,1.66094e-23,2.32813e-36,2.52852e-38
20,1,1.65571e-23,4.18668e-34,2.60706e-35
30,1,1.65571e-23,2.17597e-32,8.57246e-34
40,1,1.65632e-23,1.83499e-31,7.19417e-33
50,1,1.65339e-23,1.57925e-30,1.13631e-31
60,1,1.64631e-23,3.59035e-30,3.94073e-31
70,1,1.64744e-23,3.27615e-30,4.02293e-31
80,1,1.65166e-23,2.56925e-30,8.44034e-32
90,1,1.64993e-23,4.17631e-30,4.86773e-31
100,1,1.64841e-23,1.05734e-29,4.07074e-30
110,1,1.65191e-23,1.8625e-29,2.00106e-29
120,1,1.65532e-23,2.34226e-29,3.64682e-29
130,1.00018,1.65304e-23,1.89171e-29,4.07388e-29
140,1.00569,1.65242e-23,1.95951e-30,3.21407e-29
150,1.05419,2.07036e-23,1.1181e-25,5.14084e-25
160,0.683857,1.35848e-21,5.14115e-22,3.06951e-21
170,1.90206,2.39995e-18,6.5901e-19,5.4032e-18
180,1.09937,1.39514e-15,2.88606e-16,3.46182e-15
190,0.538786,3.50068e-13,4.91366e-14,9.41446e-13
200,0.0348716,4.28349e-11,3.54357e-12,1.22285e-10
210,0.124039,2.81069e-09,1.1982e-10,8.31899e-09
220,0.0608999,1.06504e-07,2.99984e-09,3.18715e-07
230,0.108757,2.46717e-06,1.11515e-07,7.27857e-06
240,0.12758,3.64577e-05,3.51019e-06,0.000103498
250,0.15382,0.000354213,6.39274e-05,0.000946264
260,0.193247,0.00230819,0.000678462,0.00568613
270,0.253145,0.0102101,0.00439535,0.0227557
280,0.362236,0.0309162,0.0179666,0.0611017
290,0.511927,0.065041,0.0475275,0.111248
300,0.650144,0.0993776,0.0846671,0.143148
310,0.736266,0.122539,0.111961,0.14798
320,0.798591,0.139822,0.130005,0.14898
330,0.855534,0.155499,0.146726,0.152814
340,0.894804,0.167136,0.158342,0.152878
350,0.923077,0.176013,0.165532,0.153192
360,0.943636,0.182693,0.170221,0.153682
370,0.957696,0.187568,0.172642,0.154218
380,0.967741,0.19116,0.173928,0.154985
390,0.974657,0.193775,0.174412,0.155751
400,0.979556,0.195699,0.174563,0.156492
410,0.982996,0.197123,0.174543,0.157131
420,0.985425,0.198187,0.174491,0.157635
430,0.987154,0.198993,0.174452,0.158016
440,0.988365,0.199605,0.174439,0.158274
450,0.989219,0.200072,0.174452,0.158442
460,0.989808,0.200428,0.174477,0.15854
470,0.990207,0.200698,0.174506,0.158591
480,0.990474,0.200901,0.174533,0.158615
490,0.990645,0.201051,0.174553,0.158624
500,0.990752,0.201161,0.174566,0.158625
600,0.990891,0.201415,0.174546,0.158654
700,0.99089,0.201421,0.174546,0.158659
800,0.99089,0.201421,0.174546,0.158659
900,0.99089,0.201421,0.174546,0.158659
1000,0.99089,0.201421,0.174546,0.158659
1100,0.99089,0.201421,0.174546,0.158659
1200,0.99089,0.201421,0.174546,0.158659
1300,0.99089,0.201421,0.174546,0.158659
1400,0.99089,0.201421,0.174546,0.158659
1500,0.99089,0.201421,0.174546,0.158659
1600,0.99089,0.201421,0.174546,0.158659
1700,0.99089,0.201421,0.174546,0.158659
1800,0.99089,0.201421,0.174546,0.158659
1900,0.99089,0.201421,0.174546,0.158659
2000,0.99089,0.201421,0.174546,0.158659
2100,0.99089,0.201421,0.174546,0.158659
2200,0.99089,0.201421,0.174546,0.158659
2300,0.99089,0.201421,0.174546,0.158659
2400,0.99089,0.201421,0.174546,0.158659
2500,0.99089,0.201421,0.174546,0.158659
