t,T+R,N_0,N_1,N_2,N_3
0,1,4.54037e-23,1.75886e-43,1.59371e-49,1.89569e-55
10,1,4.53825e-23,6.79451e-36,5.82138e-38,3.57001e-40
20,1,4.53632e-23,1.43267e-34,3.15013e-36,8.02127e-37
30,1,4.53533e-23,1.24986e-32,4.30892e-34,6.75466e-35
40,1,4.53332e-23,1.13416e-32,6.24038e-34,1.6963e-34
50,1,4.52895e-23,1.45222e-31,2.22474e-32,1.91921e-33
60,1,4.5269e-23,1.21934e-30,1.9423e-31,3.31557e-32
70,1,4.52906e-23,2.28471e-30,3.84738e-31,9.70245e-32
80,1,4.53118e-23,2.05849e-30,6.24471e-31,8.13398e-32
90,1,4.52993e-23,1.44133e-30,4.48613e-31,7.07329e-31
100,1,4.52983e-23,8.43592e-30,8.99805e-31,3.58517e-30
110,1,4.53084e-23,1.07102e-29,2.19837e-30,1.56866e-29
120,1.00001,4.53323e-23,1.84421e-29,8.63892e-31,2.12835e-29
130,1.00041,4.53479e-23,1.83831e-29,1.30687e-31,2.89331e-29
140,1.01798,4.53303e-23,4.2694e-29,2.50579e-31,8.72427e-29
150,0.935002,4.4297e-23,3.65296e-26,9.37531e-27,6.73366e-26
160,1.46036,4.46664e-22,2.6418e-22,4.79268e-23,4.71202e-22
170,0.659398,4.05463e-19,5.23197e-19,6.40166e-20,9.83985e-19
180,0.191196,2.54342e-16,3.71139e-16,2.82352e-17,7.15384e-16
190,0.039547,6.46865e-14,1.10268e-13,5.48602e-15,2.11427e-13
200,0.0706727,7.61603e-12,1.5458e-11,7.39297e-13,2.86026e-11
210,0.0771927,4.55131e-10,1.11847e-09,7.93705e-11,1.94093e-09
220,0.15562,1.47887e-08,4.46282e-08,5.1899e-09,7.08027e-08
230,0.237712,2.74453e-07,1.02862e-06,1.83768e-07,1.45919e-06
240,0.382602,3.00274e-06,1.40981e-05,3.55235e-06,1.75318e-05
250,0.569704,1.96962e-05,0.000116361,3.83965e-05,0.000124436
260,0.790253,7.81118e-05,0.000576026,0.000233708,0.000518925
270,0.984856,0.000191064,0.00167171,0.000784308,0.00124156
280,1.09541,0.000312156,0.00271744,0.00135917,0.00165195
290,1.09887,0.000397857,0.0023043,0.00103594,0.00126162
300,1.03932,0.000411479,0.00094387,0.000203518,0.000738154
310,0.984026,0.000317034,0.000173969,1.40609e-05,0.000461279
320,0.967473,0.000207937,6.20425e-06,0.000177599,0.000324479
330,0.980329,0.000114362,0.000113756,0.000290367,0.000194131
340,0.996849,4.19476e-05,0.000245811,0.000237717,6.98163e-05
350,1.00252,1.44558e-05,0.000282181,0.000127155,2.78469e-05
360,0.999045,1.4865e-05,0.000233677,6.44737e-05,3.50756e-05
370,0.994292,2.098e-05,0.000173714,6.99772e-05,4.73329e-05
380,0.992768,2.00085e-05,0.000147432,9.84946e-05,4.56998e-05
390,0.993871,1.2348e-05,0.000153181,0.000112032,3.66507e-05
400,0.995161,4.55383e-06,0.000167425,0.000107473,3.21226e-05
410,0.995357,1.21092e-06,0.000174601,9.95505e-05,3.44769e-05
420,0.9948,2.03782e-06,0.000174833,9.80212e-05,3.85968e-05
430,0.994339,4.14056e-06,0.000174193,0.000101545,4.01369e-05
440,0.994353,5.22226e-06,0.000175221,0.000104789,3.90434e-05
450,0.994649,4.9247e-06,0.000176242,0.000105349,3.75248e-05
460,0.994875,4.11764e-06,0.000175531,0.000104324,3.70794e-05
470,0.99488,3.63052e-06,0.000173668,0.000103452,3.762e-05
480,0.994749,3.64214e-06,0.000172388,0.000103274,3.83388e-05
490,0.994636,3.86988e-06,0.000172516,0.000103398,3.86879e-05
500,0.994618,4.01941e-06,0.000173453,0.000103433,3.8636e-05
600,0.994704,3.9284e-06,0.000173648,0.000103318,3.82173e-05
700,0.994701,3.93077e-06,0.000173635,0.000103311,3.82323e-05
800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
1900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
2900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
3900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
4900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
5900,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6000,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6100,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6200,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6300,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6400,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6500,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6600,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6700,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
6800,0.9947,3.93074e-06,0.000173636,0.000103311,3.82324e-05
