t,T+R,N_0,N_1,N_2,N_3
0,1,1.6644e-23,5.90675e-44,1.47053e-50,3.52154e-57
10,1,1.66093e-23,2.36724e-36,2.3993e-38,1.08059e-39
20,1,1.65559e-23,4.02785e-34,2.20128e-35,2.38839e-36
30,1,1.65528e-23,2.28212e-32,7.07158e-34,9.50045e-35
40,1,1.6561e-23,1.81661e-31,6.16696e-33,4.67415e-34
50,1,1.65323e-23,1.55774e-30,9.85375e-32,7.84415e-33
60,1,1.64649e-23,3.63196e-30,3.17229e-31,4.40156e-32
70,1,1.64683e-23,3.29219e-30,2.95629e-31,6.11731e-32
80,1,1.65101e-23,1.95434e-30,3.02843e-31,1.95891e-33
90,1,1.64966e-23,1.91836e-30,1.78677e-31,1.04522e-31
100,1,1.64604e-23,2.595e-31,1.86811e-31,1.12771e-30
110,1,1.64822e-23,4.49965e-31,2.55636e-31,7.2737e-30
120,1,1.65052e-23,1.08808e-30,6.36508e-31,3.01974e-29
130,1.00018,1.64808e-23,5.89851e-30,2.45059e-30,8.45966e-29
140,1.00569,1.64577e-23,3.3622e-29,9.00933e-30,6.18019e-29
150,1.05419,2.04196e-23,2.56078e-25,7.18115e-26,3.95221e-25
160,0.68389,1.19702e-21,1.42038e-21,3.16698e-22,2.47119e-21
170,1.90202,2.04607e-18,2.38242e-18,3.81351e-19,4.41788e-18
180,1.09938,1.13238e-15,1.47878e-15,1.52509e-16,2.85337e-15
190,0.53882,2.66588e-13,3.97589e-13,2.38535e-14,7.75427e-13
200,0.0348308,3.00912e-11,5.21611e-11,1.94981e-12,9.96947e-11
210,0.124044,1.78831e-09,3.6578e-09,1.42488e-10,6.64886e-09
220,0.0608977,6.02913e-08,1.47009e-07,9.47713e-09,2.4755e-07
230,0.108627,1.22498e-06,3.57035e-06,3.93496e-07,5.45858e-06
240,0.12752,1.5767e-05,5.45112e-05,9.28492e-06,7.47731e-05
250,0.153553,0.000134067,0.000538392,0.000128229,0.00066127
260,0.193374,0.000779818,0.00350871,0.0010779,0.00389121
270,0.254591,0.0031857,0.0152901,0.00567679,0.0155671
280,0.367232,0.00927926,0.0450483,0.0190993,0.0428733
290,0.520826,0.0193959,0.0914567,0.0418208,0.0820177
300,0.659184,0.0296569,0.134598,0.0620967,0.112514
310,0.741483,0.0360407,0.160751,0.0699927,0.124288
320,0.80147,0.0408627,0.178856,0.0724634,0.133548
330,0.857689,0.0466563,0.194241,0.0754897,0.145464
340,0.8958,0.0515299,0.204264,0.0766686,0.152022
350,0.923494,0.0555848,0.2113,0.0772994,0.156453
360,0.943649,0.0591004,0.21621,0.0779627,0.159023
370,0.95736,0.0618757,0.219507,0.0784473,0.160022
380,0.967037,0.0641451,0.221743,0.0789044,0.160293
390,0.973506,0.0659104,0.223154,0.079196,0.160099
400,0.977881,0.0672992,0.223987,0.079362,0.159789
410,0.980763,0.0683624,0.224408,0.0794061,0.159484
420,0.982639,0.069171,0.224559,0.0793743,0.159231
430,0.983872,0.069776,0.224555,0.0793125,0.159051
440,0.984668,0.0702198,0.224473,0.0792462,0.158909
450,0.985203,0.0705418,0.22437,0.0791973,0.1588
460,0.985565,0.0707703,0.224274,0.0791673,0.15871
470,0.985818,0.0709305,0.224196,0.0791536,0.158634
480,0.986003,0.0710413,0.224138,0.0791506,0.158575
490,0.986138,0.0711168,0.224097,0.0791515,0.158529
500,0.986241,0.0711679,0.224068,0.0791532,0.158499
600,0.986562,0.0712634,0.224012,0.079153,0.158478
700,0.986582,0.0712646,0.224015,0.0791539,0.15848
800,0.986582,0.0712647,0.224015,0.0791539,0.15848
900,0.986582,0.0712647,0.224015,0.0791539,0.15848
1000,0.986582,0.0712647,0.224015,0.0791539,0.15848
1100,0.986582,0.0712647,0.224015,0.0791539,0.15848
1200,0.986582,0.0712647,0.224015,0.0791539,0.15848
1300,0.986582,0.0712647,0.224015,0.0791539,0.15848
1400,0.986582,0.0712647,0.224015,0.0791539,0.15848
1500,0.986582,0.0712647,0.224015,0.0791539,0.15848
1600,0.986582,0.0712647,0.224015,0.0791539,0.15848
1700,0.986582,0.0712647,0.224015,0.0791539,0.15848
1800,0.986582,0.0712647,0.224015,0.0791539,0.15848
1900,0.986582,0.0712647,0.224015,0.0791539,0.15848
2000,0.986582,0.0712647,0.224015,0.0791539,0.15848
2100,0.986582,0.0712647,0.224015,0.0791539,0.15848
2200,0.986582,0.0712647,0.224015,0.0791539,0.15848
2300,0.986582,0.0712647,0.224015,0.0791539,0.15848
2400,0.986582,0.0712647,0.224015,0.0791539,0.15848
2500,0.986582,0.0712647,0.224015,0.0791539,0.15848
2600,0.986582,0.0712647,0.224015,0.0791539,0.15848
2700,0.986582,0.0712647,0.224015,0.0791539,0.15848
2800,0.986582,0.0712647,0.224015,0.0791539,0.15848
2900,0.986582,0.0712647,0.224015,0.0791539,0.15848
3000,0.986582,0.0712647,0.224015,0.0791539,0.15848
3100,0.986582,0.0712647,0.224015,0.0791539,0.15848
3200,0.986582,0.0712647,0.224015,0.0791539,0.15848
3300,0.986582,0.0712647,0.224015,0.0791539,0.15848
3400,0.986582,0.0712647,0.224015,0.0791539,0.15848
3500,0.986582,0.0712647,0.224015,0.0791539,0.15848
3600,0.986582,0.0712647,0.224015,0.0791539,0.15848
3700,0.986582,0.0712647,0.224015,0.0791539,0.15848
3800,0.986582,0.0712647,0.224015,0.0791539,0.15848
3900,0.986582,0.0712647,0.224015,0.0791539,0.15848
4000,0.986582,0.0712647,0.224015,0.0791539,0.15848
4100,0.986582,0.0712647,0.224015,0.0791539,0.15848
4200,0.986582,0.0712647,0.224015,0.0791539,0.15848
4300,0.986582,0.0712647,0.224015,0.0791539,0.15848
4400,0.986582,0.0712647,0.224015,0.0791539,0.15848
4500,0.986582,0.0712647,0.224015,0.0791539,0.15848
4600,0.986582,0.0712647,0.224015,0.0791539,0.15848
4700,0.986582,0.0712647,0.224015,0.0791539,0.15848
4800,0.986582,0.0712647,0.224015,0.0791539,0.15848
4900,0.986582,0.0712647,0.224015,0.0791539,0.15848
5000,0.986582,0.0712647,0.224015,0.0791539,0.15848
5100,0.986582,0.0712647,0.224015,0.0791539,0.15848
5200,0.986582,0.0712647,0.224015,0.0791539,0.15848
5300,0.986582,0.0712647,0.224015,0.0791539,0.15848
5400,0.986582,0.0712647,0.224015,0.0791539,0.15848
5500,0.986582,0.0712647,0.224015,0.0791539,0.15848
5600,0.986582,0.0712647,0.224015,0.0791539,0.15848
5700,0.986582,0.0712647,0.224015,0.0791539,0.15848
