t,T+R,N_0,N_1
0,1,6.00054e-24,1.31819e-41
10,1,6.00013e-24,3.28823e-33
20,1,6.01627e-24,3.49114e-32
30,1,6.1137e-24,1.39924e-32
40,1,5.92373e-24,1.73161e-30
50,1,5.91966e-24,1.54345e-30
60,1,5.92999e-24,1.3019e-30
70,1,5.88059e-24,4.47188e-30
80,1,5.91919e-24,4.50753e-29
90,1,5.9118e-24,1.9275e-28
100,1,5.91791e-24,1.50434e-28
110,1,5.885e-24,4.33048e-29
120,1,5.91119e-24,5.1334e-29
130,1,5.89549e-24,1.48272e-28
140,0.999815,9.2247e-24,3.44577e-24
150,1.01413,2.99206e-20,3.98729e-20
160,1.13695,7.70948e-17,1.06768e-16
170,1.78097,6.37755e-14,9.01858e-14
180,2.21161,2.03964e-11,2.97568e-11
190,1.96971,2.92986e-09,4.46323e-09
200,11.2806,2.10264e-07,3.391e-07
210,1.43367,8.12699e-06,1.41039e-05
220,2.51928,0.000178037,0.000339353
230,6.20406,0.00227789,0.00490246
240,5.93305,0.0171519,0.0434259
250,1.58914,0.0743066,0.236947
260,2.72252,0.171504,0.78566
270,2.269,0.17198,1.53405
280,2.10327,0.0722419,1.72979
290,1.95392,0.305907,1.35919
300,1.96246,0.687706,1.18341
310,1.28394,0.501458,0.695898
320,0.51625,0.221813,0.259765
330,0.807605,0.238354,0.546123
340,0.876605,0.401342,0.464455
350,0.776083,0.379306,0.390146
360,0.853104,0.355067,0.494997
370,1.01183,0.493503,0.516435
380,0.945112,0.452036,0.492203
390,1.00635,0.469025,0.536815
400,1.02144,0.489068,0.532118
410,0.977853,0.467016,0.510695
420,0.989622,0.461245,0.528303
430,0.992422,0.473524,0.518859
440,0.982729,0.464319,0.518388
450,0.991943,0.468573,0.523359
460,0.992075,0.470694,0.521375
470,0.985882,0.466543,0.519336
480,0.990429,0.468024,0.522403
490,0.989623,0.469102,0.52052
500,0.98857,0.467713,0.520856
600,0.989305,0.468261,0.521044
700,0.98925,0.468227,0.521022
800,0.989251,0.468228,0.521023
900,0.989251,0.468228,0.521023
1000,0.989251,0.468228,0.521023
1100,0.989251,0.468228,0.521023
1200,0.989251,0.468228,0.521023
1300,0.989251,0.468228,0.521023
1400,0.989251,0.468228,0.521023
1500,0.989251,0.468228,0.521023
1600,0.989251,0.468228,0.521023
1700,0.989251,0.468228,0.521023
1800,0.989251,0.468228,0.521023
1900,0.989251,0.468228,0.521023
2000,0.989251,0.468228,0.521023
2100,0.989251,0.468228,0.521023
2200,0.989251,0.468228,0.521023
2300,0.989251,0.468228,0.521023
2400,0.989251,0.468228,0.521023
2500,0.989251,0.468228,0.521023
2600,0.989251,0.468228,0.521023
2700,0.989251,0.468228,0.521023
2800,0.989251,0.468228,0.521023
2900,0.989251,0.468228,0.521023
3000,0.989251,0.468228,0.521023
3100,0.989251,0.468228,0.521023
3200,0.989251,0.468228,0.521023
3300,0.989251,0.468228,0.521023
3400,0.989251,0.468228,0.521023
3500,0.989251,0.468228,0.521023
3600,0.989251,0.468228,0.521023
3700,0.989251,0.468228,0.521023
3800,0.989251,0.468228,0.521023
3900,0.989251,0.468228,0.521023
4000,0.989251,0.468228,0.521023
4100,0.989251,0.468228,0.521023
4200,0.989251,0.468228,0.521023
4300,0.989251,0.468228,0.521023
4400,0.989251,0.468228,0.521023
4500,0.989251,0.468228,0.521023
4600,0.989251,0.468228,0.521023
4700,0.989251,0.468228,0.521023
4800,0.989251,0.468228,0.521023
4900,0.989251,0.468228,0.521023
5000,0.989251,0.468228,0.521023
5100,0.989251,0.468228,0.521023
5200,0.989251,0.468228,0.521023
5300,0.989251,0.468228,0.521023
5400,0.989251,0.468228,0.521023
5500,0.989251,0.468228,0.521023
5600,0.989251,0.468228,0.521023
5700,0.989251,0.468228,0.521023
5800,0.989251,0.468228,0.521023
5900,0.989251,0.468228,0.521023
6000,0.989251,0.468228,0.521023
6100,0.989251,0.468228,0.521023
6200,0.989251,0.468228,0.521023
6300,0.989251,0.468228,0.521023
6400,0.989251,0.468228,0.521023
6500,0.989251,0.468228,0.521023
6600,0.989251,0.468228,0.521023
6700,0.989251,0.468228,0.521023
6800,0.989251,0.468228,0.521023
6900,0.989251,0.468228,0.521023
7000,0.989251,0.468228,0.521023
7100,0.989251,0.468228,0.521023
7200,0.989251,0.468228,0.521023
7300,0.989251,0.468228,0.521023
7400,0.989251,0.468228,0.521023
7500,0.989251,0.468228,0.521023
7600,0.989251,0.468228,0.521023
7700,0.989251,0.468228,0.521023
7800,0.989251,0.468228,0.521023
7900,0.989251,0.468228,0.521023
8000,0.989251,0.468228,0.521023
8100,0.989251,0.468228,0.521023
8200,0.989251,0.468228,0.521023
8300,0.989251,0.468228,0.521023
8400,0.989251,0.468228,0.521023
