t,T+R,N_0,N_1
0,1,1.36648e-21,1.0317e-39
10,1,1.36484e-21,1.1791e-33
20,1,1.36451e-21,2.26528e-33
30,1,1.36361e-21,4.16113e-32
40,1,1.36288e-21,1.60065e-31
50,1,1.36305e-21,6.98592e-31
60,1,1.36391e-21,1.85108e-30
70,1,1.36503e-21,8.36129e-31
80,1,1.36504e-21,1.93706e-30
90,1,1.36667e-21,2.4141e-29
100,1,1.36496e-21,2.36202e-29
110,1.00003,1.36541e-21,1.20611e-29
120,1.00919,1.36521e-21,2.36827e-29
130,0.853277,1.36433e-21,3.14229e-29
140,0.333629,1.36409e-21,6.86854e-29
150,0.055137,1.36125e-21,5.57424e-26
160,0.0580052,1.12418e-21,5.06783e-22
170,0.15042,7.60798e-19,1.00509e-18
180,0.571367,4.05839e-16,5.53912e-16
190,1.21121,6.9869e-14,9.88216e-14
200,1.19415,4.52113e-12,6.62518e-12
210,0.878662,1.30835e-10,1.99003e-10
220,1.05753,1.99586e-09,3.14918e-09
230,0.967159,1.76588e-08,2.88042e-08
240,1.00756,9.60585e-08,1.60518e-07
250,0.996377,3.34103e-07,5.59996e-07
260,0.994608,7.6408e-07,1.22558e-06
270,0.998017,1.18082e-06,1.63747e-06
280,0.995475,1.28238e-06,1.25284e-06
290,0.995633,1.02109e-06,5.17357e-07
300,0.997703,5.8583e-07,2.06734e-07
310,0.997344,2.12333e-07,2.0119e-07
320,0.996064,4.10644e-08,1.56438e-07
330,0.996133,7.26302e-09,8.96361e-08
340,0.99666,1.03275e-08,4.02166e-08
350,0.996612,1.39968e-08,1.3234e-08
360,0.996464,1.13086e-08,3.39269e-09
370,0.996582,6.49303e-09,1.24299e-09
380,0.996652,2.66539e-09,1.20133e-09
390,0.996554,7.27212e-10,1.14883e-09
400,0.996498,9.33374e-11,8.10536e-10
410,0.996539,2.32732e-11,4.29774e-10
420,0.996563,7.02186e-11,1.7006e-10
430,0.99655,8.42307e-11,4.73779e-11
440,0.996548,6.17319e-11,9.48571e-12
450,0.996559,3.19684e-11,5.04793e-12
460,0.996556,1.16345e-11,6.71831e-12
470,0.996548,2.51413e-12,6.30707e-12
480,0.996548,1.26549e-13,4.14222e-12
490,0.996551,1.81699e-13,2.0032e-12
500,0.996552,4.95618e-13,6.9997e-13
600,0.996551,1.54852e-15,2.3508e-17
700,0.996551,1.58213e-17,1.1033e-17
800,0.996551,9.39072e-18,1.19216e-17
900,0.996551,9.28553e-18,1.18275e-17
1000,0.996551,9.29981e-18,1.18255e-17
1100,0.996551,9.2994e-18,1.18257e-17
1200,0.996551,9.29978e-18,1.1826e-17
1300,0.996551,9.29974e-18,1.1826e-17
1400,0.996551,9.2996e-18,1.18251e-17
1500,0.996551,9.2994e-18,1.1825e-17
1600,0.996551,9.29831e-18,1.18251e-17
1700,0.996551,9.29847e-18,1.1824e-17
1800,0.996551,9.2988e-18,1.18248e-17
1900,0.996551,9.29822e-18,1.18245e-17
2000,0.996551,9.29837e-18,1.18247e-17
2100,0.996551,9.29799e-18,1.18257e-17
2200,0.996551,9.29891e-18,1.18256e-17
2300,0.996551,9.29904e-18,1.18257e-17
2400,0.996551,9.29922e-18,1.18266e-17
2500,0.996551,9.29974e-18,1.18253e-17
2600,0.996551,9.29927e-18,1.18264e-17
2700,0.996551,9.29912e-18,1.18254e-17
2800,0.996551,9.29892e-18,1.18253e-17
2900,0.996551,9.29858e-18,1.18258e-17
3000,0.996551,9.29782e-18,1.18258e-17
3100,0.996551,9.29735e-18,1.18248e-17
3200,0.996551,9.29764e-18,1.18247e-17
3300,0.996551,9.29776e-18,1.18254e-17
3400,0.996551,9.29834e-18,1.18256e-17
3500,0.996551,9.2984e-18,1.1826e-17
3600,0.996551,9.29696e-18,1.18264e-17
3700,0.996551,9.2977e-18,1.18252e-17
3800,0.996551,9.29561e-18,1.18256e-17
3900,0.996551,9.29755e-18,1.18283e-17
4000,0.996551,9.29652e-18,1.18296e-17
4100,0.996551,9.29616e-18,1.18291e-17
4200,0.996551,9.29412e-18,1.18279e-17
4300,0.996551,9.29618e-18,1.18267e-17
4400,0.996551,9.29927e-18,1.18234e-17
4500,0.996551,9.29854e-18,1.18218e-17
4600,0.996551,9.3042e-18,1.18235e-17
4700,0.996551,9.30554e-18,1.18226e-17
4800,0.996551,9.3038e-18,1.18209e-17
4900,0.996551,9.30428e-18,1.18254e-17
5000,0.996551,9.30461e-18,1.1823e-17
5100,0.996551,9.30481e-18,1.18257e-17
5200,0.996551,9.30561e-18,1.18235e-17
5300,0.996551,9.30521e-18,1.18246e-17
5400,0.996551,9.30242e-18,1.18234e-17
5500,0.996551,9.30352e-18,1.18244e-17
5600,0.996551,9.30255e-18,1.18231e-17
5700,0.996551,9.30245e-18,1.1825e-17
5800,0.996551,9.30248e-18,1.18264e-17
5900,0.996551,9.30305e-18,1.18268e-17
6000,0.996551,9.30177e-18,1.18225e-17
6100,0.996551,9.30183e-18,1.18253e-17
6200,0.996551,9.30214e-18,1.18256e-17
6300,0.996551,9.30372e-18,1.18232e-17
6400,0.996551,9.30374e-18,1.18243e-17
6500,0.996551,9.30891e-18,1.18258e-17
6600,0.996551,9.30988e-18,1.18284e-17
6700,0.996551,9.30679e-18,1.18261e-17
6800,0.996551,9.30382e-18,1.18249e-17
6900,0.996551,9.3074e-18,1.18288e-17
7000,0.996551,9.3045e-18,1.18278e-17
7100,0.996551,9.30022e-18,1.18292e-17
7200,0.996551,9.2981e-18,1.18296e-17
7300,0.996551,9.29998e-18,1.18329e-17
7400,0.996551,9.29952e-18,1.18311e-17
7500,0.996551,9.30151e-18,1.18296e-17
7600,0.996551,9.29927e-18,1.18337e-17
7700,0.996551,9.3019e-18,1.18354e-17
7800,0.996551,9.29831e-18,1.183e-17
7900,0.996551,9.29884e-18,1.18309e-17
8000,0.996551,9.29891e-18,1.18333e-17
8100,0.996551,9.29771e-18,1.18346e-17
8200,0.996551,9.29849e-18,1.18366e-17
8300,0.996551,9.29779e-18,1.18348e-17
8400,0.996551,9.29612e-18,1.18321e-17
