t,T+R,N_0,N_1,N_2
0,1,4.54037e-23,9.41992e-44,1.49062e-48
10,1,4.53848e-23,1.63518e-35,9.90312e-37
20,1,4.5366e-23,2.01664e-34,5.87265e-35
30,1,4.53495e-23,4.9755e-33,1.67333e-33
40,1,4.53342e-23,3.50761e-34,8.07198e-34
50,1,4.53104e-23,1.80136e-31,2.33137e-32
60,1,4.52915e-23,1.05052e-30,2.51932e-31
70,1,4.53129e-23,1.57514e-30,5.81344e-31
80,1,4.53392e-23,1.6488e-30,9.62113e-31
90,1,4.53357e-23,1.8371e-30,1.77767e-30
100,1,4.53325e-23,2.7415e-30,8.78091e-31
110,1,4.53681e-23,3.27117e-30,2.40657e-30
120,1.00001,4.5399e-23,4.15125e-30,1.08867e-29
130,1.00043,4.54275e-23,5.22321e-30,1.82007e-29
140,1.01866,4.54356e-23,2.47196e-28,1.84186e-28
150,0.934329,3.31035e-23,6.0323e-24,6.25923e-24
160,1.46719,6.03592e-21,3.73404e-20,3.95202e-20
170,0.656167,8.07969e-18,6.44959e-17,7.01485e-17
180,0.186379,4.05866e-15,3.82275e-14,4.29521e-14
190,0.0444791,7.8067e-13,9.09579e-12,1.0604e-11
200,0.0658337,6.44198e-11,9.79874e-10,1.18897e-09
210,0.0841562,2.49963e-09,5.24093e-08,6.62666e-08
220,0.157162,5.21722e-08,1.49189e-06,1.96143e-06
230,0.244239,8.01189e-07,2.37762e-05,3.22294e-05
240,0.389198,1.21288e-05,0.000219764,0.000300759
250,0.575085,0.000143743,0.00120777,0.00159281
260,0.788195,0.001017,0.00403913,0.00465541
270,0.967045,0.00392325,0.00851947,0.00716617
280,1.06074,0.00784594,0.012073,0.00649194
290,1.06352,0.00748838,0.0128472,0.00814901
300,1.02007,0.00299852,0.0128926,0.0133038
310,0.976647,0.000917427,0.0140788,0.0154122
320,0.958392,0.00180625,0.0143878,0.0158783
330,0.968459,0.00321696,0.015177,0.0150241
340,0.990125,0.00376267,0.016429,0.0141279
350,1.00187,0.00363845,0.0165057,0.0146049
360,0.999402,0.00318747,0.0162484,0.0155386
370,0.992813,0.00283032,0.0164518,0.015935
380,0.989398,0.00283867,0.0166411,0.0159912
390,0.989563,0.00306113,0.0166445,0.0159685
400,0.991679,0.00320466,0.0167405,0.0158651
