t,T+R,N_0,N_1,N_2
0,1,1.36648e-21,1.0317e-39,4.12154e-45
10,1,1.36428e-21,7.79098e-34,7.60989e-35
20,1,1.36398e-21,1.6823e-32,4.42958e-33
30,1,1.36488e-21,3.32619e-33,2.52254e-33
40,1,1.36503e-21,1.39576e-31,1.24771e-31
50,1,1.36478e-21,1.11433e-31,2.34502e-31
60,1,1.36545e-21,5.97657e-31,7.37012e-31
70,1,1.36642e-21,2.21554e-31,2.83434e-31
80,1,1.36676e-21,1.04079e-31,2.85078e-31
90,1,1.36771e-21,5.15617e-31,2.49462e-30
100,1,1.3655e-21,5.85583e-31,1.52033e-29
110,1.00003,1.36814e-21,2.17067e-30,1.81638e-29
120,1.00919,1.36546e-21,2.19406e-30,1.47244e-29
130,0.853202,1.36658e-21,1.75506e-29,5.25319e-30
140,0.334222,1.36522e-21,1.52083e-30,1.96435e-29
150,0.0536976,1.34535e-21,6.6346e-25,6.7682e-25
160,0.0597139,1.24065e-22,5.44487e-21,5.6388e-21
170,0.151395,1.17088e-18,1.01085e-17,1.07194e-17
180,0.569024,5.61165e-16,5.1761e-15,5.62616e-15
190,1.21247,8.0031e-14,8.44415e-13,9.4121e-13
200,1.19064,4.16318e-12,5.01774e-11,5.7302e-11
210,0.878124,9.63382e-11,1.27533e-09,1.48641e-09
220,1.05601,1.26306e-09,1.63594e-08,1.92578e-08
230,0.966084,1.12359e-08,1.16466e-07,1.35547e-07
240,1.00474,7.16413e-08,4.81124e-07,5.31275e-07
250,0.998627,3.11294e-07,1.18086e-06,1.13904e-06
260,0.991082,8.51099e-07,1.733e-06,1.233e-06
270,0.994172,1.36934e-06,1.50968e-06,5.97466e-07
280,0.997916,1.22816e-06,7.58564e-07,3.46253e-07
290,0.99609,6.26234e-07,2.21751e-07,5.43483e-07
300,0.99399,2.76662e-07,7.98577e-08,3.83573e-07
310,0.994781,1.88226e-07,4.52942e-08,1.44357e-07
320,0.995571,1.36357e-07,3.33728e-08,3.4476e-08
330,0.995729,7.56758e-08,3.52766e-08,3.757e-10
340,0.995506,3.2815e-08,1.56399e-08,6.75392e-09
350,0.995131,1.29506e-08,2.44181e-09,1.07034e-08
360,0.995198,5.52579e-09,7.86921e-10,6.35709e-09
370,0.995406,3.64319e-09,8.86539e-10,2.31152e-09
380,0.995412,2.7287e-09,3.9998e-10,6.01291e-10
390,0.995353,1.61377e-09,3.22485e-10,5.01361e-11
400,0.995302,6.99918e-10,2.82637e-10,3.35567e-11
410,0.995301,2.49292e-10,9.52062e-11,1.39975e-10
420,0.995342,9.50948e-11,3.80083e-12,1.25314e-10
430,0.995352,5.58297e-11,9.58113e-12,5.10954e-11
440,0.995337,4.49581e-11,1.11854e-11,1.01778e-11
450,0.995329,3.20599e-11,3.77393e-12,7.99884e-13
460,0.99533,1.68033e-11,2.32972e-12,9.43577e-14
470,0.995336,6.43253e-12,1.88156e-12,1.1085e-12
480,0.995339,2.11914e-12,4.5665e-13,1.83666e-12
490,0.995336,9.02197e-13,2.43492e-15,1.21779e-12
500,0.995334,6.19896e-13,1.64322e-13,3.28852e-13
600,0.995335,1.59867e-15,5.96436e-16,1.11508e-15
700,0.995335,4.71466e-17,3.9644e-16,3.75271e-16
800,0.995335,5.22806e-17,3.87077e-16,3.88477e-16
900,0.995335,5.23339e-17,3.87363e-16,3.8782e-16
1000,0.995335,5.23338e-17,3.87399e-16,3.87793e-16
1100,0.995335,5.23355e-17,3.87398e-16,3.87794e-16
1200,0.995335,5.23349e-17,3.87398e-16,3.8779e-16
1300,0.995335,5.23337e-17,3.87398e-16,3.87789e-16
1400,0.995335,5.23325e-17,3.87399e-16,3.87785e-16
1500,0.995335,5.23291e-17,3.87399e-16,3.87787e-16
1600,0.995335,5.23364e-17,3.87402e-16,3.87776e-16
1700,0.995335,5.23335e-17,3.87401e-16,3.8778e-16
1800,0.995335,5.23334e-17,3.87402e-16,3.87778e-16
1900,0.995335,5.23336e-17,3.87402e-16,3.87781e-16
2000,0.995335,5.2336e-17,3.87402e-16,3.87781e-16
2100,0.995335,5.23379e-17,3.87401e-16,3.87782e-16
2200,0.995335,5.23388e-17,3.874e-16,3.87784e-16
2300,0.995335,5.2338e-17,3.87402e-16,3.87785e-16
2400,0.995335,5.23376e-17,3.87402e-16,3.87785e-16
2500,0.995335,5.23417e-17,3.87402e-16,3.87789e-16
2600,0.995335,5.23431e-17,3.87401e-16,3.87796e-16
2700,0.995335,5.23454e-17,3.87402e-16,3.8779e-16
2800,0.995335,5.23445e-17,3.87402e-16,3.87787e-16
2900,0.995335,5.23417e-17,3.87402e-16,3.87786e-16
3000,0.995335,5.23414e-17,3.87399e-16,3.87781e-16
3100,0.995335,5.23457e-17,3.874e-16,3.87786e-16
3200,0.995335,5.2344e-17,3.874e-16,3.87783e-16
3300,0.995335,5.23443e-17,3.87399e-16,3.87781e-16
3400,0.995335,5.23451e-17,3.87399e-16,3.87781e-16
3500,0.995335,5.2345e-17,3.874e-16,3.8778e-16
3600,0.995335,5.23406e-17,3.87395e-16,3.8778e-16
3700,0.995335,5.23449e-17,3.87398e-16,3.87769e-16
3800,0.995335,5.23426e-17,3.87403e-16,3.8778e-16
3900,0.995335,5.23431e-17,3.87393e-16,3.87801e-16
4000,0.995335,5.23476e-17,3.87392e-16,3.87803e-16
4100,0.995335,5.2346e-17,3.87402e-16,3.87797e-16
4200,0.995335,5.23466e-17,3.87397e-16,3.87792e-16
4300,0.995335,5.23497e-17,3.87399e-16,3.87786e-16
4400,0.995335,5.23624e-17,3.87394e-16,3.87758e-16
4500,0.995335,5.23515e-17,3.87398e-16,3.87748e-16
4600,0.995335,5.23586e-17,3.87385e-16,3.87782e-16
4700,0.995335,5.23464e-17,3.8737e-16,3.87809e-16
4800,0.995335,5.23494e-17,3.8737e-16,3.87817e-16
4900,0.995335,5.23431e-17,3.8737e-16,3.87809e-16
5000,0.995335,5.23467e-17,3.87373e-16,3.87821e-16
5100,0.995335,5.2349e-17,3.87372e-16,3.87839e-16
5200,0.995335,5.23466e-17,3.87373e-16,3.87837e-16
5300,0.995335,5.2349e-17,3.87374e-16,3.87816e-16
5400,0.995335,5.23396e-17,3.87374e-16,3.87809e-16
5500,0.995335,5.23354e-17,3.87374e-16,3.8781e-16
5600,0.995335,5.23357e-17,3.87376e-16,3.87813e-16
5700,0.995335,5.23371e-17,3.87375e-16,3.87826e-16
5800,0.995335,5.2339e-17,3.87372e-16,3.87821e-16
5900,0.995335,5.23424e-17,3.87373e-16,3.87805e-16
6000,0.995335,5.23303e-17,3.8738e-16,3.87821e-16
6100,0.995335,5.2336e-17,3.87372e-16,3.87807e-16
6200,0.995335,5.23315e-17,3.87374e-16,3.87812e-16
6300,0.995335,5.23383e-17,3.87383e-16,3.87805e-16
6400,0.995335,5.23377e-17,3.87372e-16,3.87809e-16
6500,0.995335,5.23421e-17,3.87365e-16,3.87806e-16
6600,0.995335,5.23621e-17,3.87377e-16,3.87794e-16
6700,0.995335,5.23637e-17,3.87392e-16,3.87834e-16
6800,0.995335,5.23609e-17,3.87393e-16,3.87862e-16
6900,0.995335,5.23599e-17,3.87399e-16,3.87867e-16
7000,0.995335,5.23605e-17,3.87397e-16,3.87864e-16
7100,0.995335,5.23637e-17,3.87404e-16,3.87852e-16
7200,0.995335,5.23774e-17,3.87416e-16,3.8785e-16
7300,0.995335,5.23747e-17,3.87418e-16,3.8782e-16
7400,0.995335,5.23722e-17,3.87418e-16,3.87828e-16
7500,0.995335,5.23802e-17,3.87424e-16,3.87826e-16
7600,0.995335,5.23815e-17,3.87421e-16,3.87851e-16
7700,0.995335,5.23903e-17,3.87419e-16,3.8783e-16
7800,0.995335,5.23851e-17,3.87429e-16,3.87844e-16
7900,0.995335,5.23931e-17,3.8743e-16,3.87863e-16
8000,0.995335,5.23878e-17,3.87433e-16,3.87875e-16
8100,0.995335,5.23793e-17,3.87433e-16,3.87871e-16
8200,0.995335,5.23978e-17,3.87429e-16,3.87887e-16
8300,0.995335,5.23902e-17,3.8743e-16,3.87852e-16
8400,0.995335,5.23819e-17,3.87431e-16,3.87862e-16
