t,T+R,N_0,N_1,N_2,N_3
0,1,4.54037e-23,9.41992e-44,1.4906e-48,1.14237e-53
10,1,4.53798e-23,2.20376e-35,1.19657e-36,8.88162e-38
20,1,4.53518e-23,2.45979e-34,4.26008e-35,3.28494e-35
30,1,4.53364e-23,5.88297e-33,1.1297e-33,7.80875e-34
40,1,4.52962e-23,1.2409e-33,1.51293e-34,3.24452e-34
50,1,4.52466e-23,1.70284e-31,1.91439e-32,5.38338e-33
60,1,4.52274e-23,1.22816e-30,1.38069e-31,5.55221e-32
70,1,4.5243e-23,2.13801e-30,2.36838e-31,1.70323e-31
80,1,4.52674e-23,2.48758e-30,2.43873e-31,3.5139e-31
90,1,4.5261e-23,4.57714e-30,2.28976e-31,4.20522e-31
100,1,4.52746e-23,8.03633e-30,2.58544e-31,1.24015e-30
110,1,4.52965e-23,2.1402e-29,3.04755e-31,9.5878e-31
120,1.00001,4.53065e-23,5.31356e-29,3.42128e-31,9.0814e-32
130,1.00043,4.52725e-23,1.02061e-28,2.66832e-31,9.1056e-30
140,1.01867,4.53286e-23,8.18999e-28,1.756e-27,1.93431e-27
150,0.934387,3.77812e-23,1.18435e-23,4.93184e-23,4.42468e-23
160,1.46732,2.11421e-21,6.24545e-20,2.85772e-19,2.62206e-19
170,0.655053,1.43337e-18,8.79262e-17,4.50813e-16,4.25285e-16
180,0.18848,1.36258e-16,4.08438e-14,2.37545e-13,2.31192e-13
190,0.0427904,1.70704e-14,7.41408e-12,4.87469e-11,4.90035e-11
200,0.0665659,1.76549e-11,6.14313e-10,4.37626e-09,4.53292e-09
210,0.0850589,2.64705e-09,2.73357e-08,1.87597e-07,1.98473e-07
220,0.156069,1.42539e-07,7.58227e-07,4.09643e-06,4.3361e-06
230,0.245517,3.5019e-06,1.39079e-05,4.77622e-05,4.83502e-05
240,0.387269,4.36032e-05,0.000161673,0.000308319,0.000270284
250,0.572927,0.000290775,0.00111659,0.00114249,0.000687392
260,0.779504,0.00107723,0.00437288,0.00255281,0.000554437
270,0.950016,0.00234679,0.00931832,0.00364636,0.000100463
280,1.03338,0.00348966,0.0102024,0.00349879,0.00196018
290,1.0316,0.00425383,0.00545083,0.00282817,0.00430055
300,1.00253,0.00368971,0.00222507,0.00312588,0.00380413
310,0.994133,0.00153009,0.00192396,0.00349329,0.00316954
320,1.00395,0.000240262,0.00156216,0.00320149,0.00320992
330,1.00624,0.000260817,0.00122845,0.00286505,0.00309039
340,0.992627,0.000576847,0.00130697,0.00287381,0.00263028
350,0.977964,0.000650557,0.00172364,0.00307362,0.00223844
360,0.974887,0.000579941,0.00211914,0.00312778,0.00219157
370,0.980276,0.000601767,0.00219724,0.00310497,0.00233776
380,0.985015,0.000709871,0.00209503,0.00304647,0.00248102
390,0.985673,0.000763834,0.00201504,0.00303783,0.0025131
400,0.984723,0.000726713,0.00198503,0.00307506,0.00249482
410,0.984788,0.000664085,0.00197712,0.00307758,0.00250287
420,0.985617,0.000638612,0.00195529,0.0030639,0.00251714
430,0.985852,0.000649425,0.0019291,0.00305666,0.00251559
440,0.985289,0.000661061,0.00192987,0.00305582,0.00249964
450,0.984686,0.000659917,0.00194692,0.00306454,0.00248256
460,0.984559,0.000655771,0.00196062,0.00306762,0.00248
470,0.984757,0.000657168,0.00196508,0.00306366,0.00248579
480,0.984903,0.000662448,0.00196214,0.0030624,0.00248911
490,0.984894,0.000665178,0.00196006,0.0030625,0.00248971
500,0.984855,0.000663703,0.00196058,0.00306336,0.00248926
600,0.98489,0.000661476,0.0019588,0.0030633,0.00248987
700,0.984892,0.000661398,0.00195873,0.00306327,0.00248992
800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
1900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
2900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
