t,T+R,N_0,N_1,N_2,N_3
0,1,1.6644e-23,4.11121e-43,1.98491e-48,7.72438e-54
10,1,1.66089e-23,1.07337e-35,1.5942e-37,6.28918e-39
20,1,1.65599e-23,8.12464e-34,1.76027e-34,7.5682e-35
30,1,1.65552e-23,5.08638e-33,4.6732e-34,3.15765e-34
40,1,1.65609e-23,3.64338e-32,3.46179e-34,1.63229e-33
50,1,1.65341e-23,8.24625e-31,4.87357e-32,8.20521e-33
60,1,1.64655e-23,1.88163e-30,1.39666e-31,7.89439e-32
70,1,1.64699e-23,1.32687e-30,7.35398e-32,1.02744e-31
80,1,1.65112e-23,5.97483e-31,2.52854e-32,1.49708e-31
90,1,1.64962e-23,8.3937e-31,6.27311e-32,2.95006e-31
100,1,1.64692e-23,3.86882e-31,2.2513e-31,1.11824e-30
110,1,1.64813e-23,1.46895e-30,4.02591e-31,5.22002e-30
120,1,1.6484e-23,1.73332e-29,7.02206e-31,1.49466e-29
130,1.0002,1.64395e-23,3.05824e-29,9.44453e-31,1.63065e-29
140,1.00602,1.63983e-23,2.60012e-27,1.06149e-26,9.55295e-27
150,1.05692,2.50718e-23,5.84836e-23,2.43231e-22,2.21106e-22
160,0.682964,1.04959e-20,2.52924e-19,1.16679e-18,1.08596e-18
170,1.89725,5.94072e-18,2.98938e-16,1.57016e-15,1.50531e-15
180,1.12923,5.19468e-16,1.1813e-13,7.23647e-13,7.18553e-13
190,0.503228,4.89885e-14,1.82776e-11,1.32319e-10,1.3663e-10
200,0.065513,5.23379e-11,1.28768e-09,1.07072e-08,1.15163e-08
210,0.102364,7.575e-09,4.99439e-08,4.15345e-07,4.64297e-07
220,0.0761765,3.96814e-07,1.32066e-06,8.16835e-06,9.40455e-06
230,0.107087,9.67109e-06,2.55151e-05,8.44285e-05,9.80574e-05
240,0.135464,0.000123397,0.000327361,0.000468483,0.000530017
250,0.16734,0.000888606,0.00260051,0.0014226,0.00157067
260,0.221767,0.00383108,0.01297,0.00250332,0.00388481
270,0.31153,0.010432,0.0433131,0.00313756,0.0133806
280,0.457224,0.0193353,0.103003,0.00427658,0.0380495
290,0.630744,0.0298466,0.177698,0.00706453,0.0677722
300,0.77427,0.0512623,0.225949,0.0100256,0.0833122
310,0.869952,0.0883377,0.232104,0.0110746,0.0841101
320,0.934583,0.122785,0.222622,0.0112337,0.080798
330,0.975773,0.143688,0.212788,0.0115245,0.0759025
340,0.998787,0.156948,0.202099,0.0111274,0.0698329
350,1.00937,0.163357,0.191923,0.0103466,0.0655594
360,1.01164,0.165018,0.183222,0.0100312,0.0627849
370,1.00961,0.164122,0.177568,0.00990696,0.0606841
380,1.00602,0.162033,0.174613,0.00970496,0.0592346
390,1.00269,0.159925,0.173305,0.00943958,0.0585242
400,0.999997,0.158175,0.172826,0.00925779,0.058405
410,0.997831,0.156845,0.17287,0.00919077,0.0585843
420,0.996088,0.155861,0.173297,0.0091797,0.0588322
430,0.994815,0.155177,0.173927,0.00916562,0.0590549
440,0.993968,0.154763,0.174504,0.00914127,0.0592546
450,0.993392,0.154536,0.174893,0.00912845,0.059443
460,0.992953,0.15441,0.175123,0.00913785,0.0595935
