E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
4.64006e-06,2.84175,2.84253,0,0,0,2.84253,0.500069,0,0,0,4.64006e-08
1.28891e-05,2.81587,2.8174,0,0,0,2.8174,0.500136,0,0,0,1.28891e-07
2.52625e-05,2.78948,2.79168,0,0,0,2.79168,0.500198,0,0,0,2.52625e-07
4.17605e-05,2.76259,2.76538,0,0,0,2.76538,0.500253,0,0,0,4.17605e-07
6.2383e-05,2.73524,2.7385,0,0,0,2.7385,0.500298,0,0,0,6.2383e-07
8.713e-05,2.70746,2.71105,0,0,0,2.71105,0.500331,0,0,0,8.713e-07
0.000116001,2.67928,2.68304,0,0,0,2.68304,0.50035,0,0,0,1.16001e-06
0.000148997,2.65073,2.65447,0,0,0,2.65447,0.500352,0,0,0,1.48997e-06
0.000186118,2.62184,2.62536,0,0,0,2.62536,0.500335,0,0,0,1.86118e-06
0.000227363,2.59263,2.59571,0,0,0,2.59571,0.500297,0,0,0,2.27363e-06
0.000272732,2.56314,2.56554,0,0,0,2.56554,0.500234,0,0,0,2.72732e-06
0.000322226,2.53338,2.53485,0,0,0,2.53485,0.500145,0,0,0,3.22226e-06
0.000375845,2.50339,2.50365,0,0,0,2.50365,0.500026,0,0,0,3.75845e-06
0.000433588,2.4732,2.47197,0,0,0,2.47197,0.499876,0,0,0,4.33588e-06
0.000495455,2.44282,2.4398,0,0,0,2.4398,0.499691,0,0,0,4.95455e-06
0.000561447,2.41228,2.40716,0,0,0,2.40716,0.49947,0,0,0,5.61447e-06
0.000631564,2.3816,2.37407,0,0,0,2.37407,0.499209,0,0,0,6.31564e-06
0.000705805,2.35081,2.34054,0,0,0,2.34054,0.498905,0,0,0,7.05805e-06
0.00078417,2.31993,2.30658,0,0,0,2.30658,0.498557,0,0,0,7.8417e-06
0.00086666,2.28898,2.2722,0,0,0,2.2722,0.498161,0,0,0,8.6666e-06
0.000953275,2.25798,2.23743,0,0,0,2.23743,0.497715,0,0,0,9.53275e-06
0.00104401,2.22695,2.20227,0,0,0,2.20227,0.497215,0,0,0,1.04401e-05
0.00113888,2.19591,2.16675,0,0,0,2.16675,0.496658,0,0,0,1.13888e-05
0.00123786,2.16488,2.13088,0,0,0,2.13088,0.496043,0,0,0,1.23786e-05
0.00134098,2.13388,2.09468,0,0,0,2.09468,0.495365,0,0,0,1.34098e-05
0.00144821,2.10292,2.05816,0,0,0,2.05816,0.494622,0,0,0,1.44821e-05
0.00155958,2.07202,2.02134,0,0,0,2.02134,0.493809,0,0,0,1.55958e-05
0.00167506,2.04121,1.98425,0,0,0,1.98425,0.492926,0,0,0,1.67506e-05
0.00179467,2.01048,1.9469,0,0,0,1.9469,0.491966,0,0,0,1.79467e-05
0.00191841,1.97987,1.90931,0,0,0,1.90931,0.490929,0,0,0,1.91841e-05
0.00204627,1.94937,1.8715,0,0,0,1.8715,0.489809,0,0,0,2.04627e-05
0.00217825,1.91902,1.83349,0,0,0,1.83349,0.488604,0,0,0,2.17825e-05
0.00231436,1.88881,1.7953,0,0,0,1.7953,0.487309,0,0,0,2.31436e-05
0.00245459,1.85876,1.75695,0,0,0,1.75695,0.485921,0,0,0,2.45459e-05
0.00259895,1.82889,1.71847,0,0,0,1.71847,0.484436,0,0,0,2.59895e-05
0.00274743,1.79921,1.67988,0,0,0,1.67988,0.482851,0,0,0,2.74743e-05
0.00290004,1.76972,1.6412,0,0,0,1.6412,0.48116,0,0,0,2.90004e-05
0.00305677,1.74043,1.60244,0,0,0,1.60244,0.47936,0,0,0,3.05677e-05
0.00321762,1.71137,1.56365,0,0,0,1.56365,0.477447,0,0,0,3.21762e-05
0.0033826,1.68253,1.52483,0,0,0,1.52483,0.475416,0,0,0,3.3826e-05
0.00355171,1.65392,1.48601,0,0,0,1.48601,0.473263,0,0,0,3.55171e-05
0.00372494,1.62556,1.44722,0,0,0,1.44722,0.470982,0,0,0,3.72494e-05
0.00390229,1.59744,1.40848,0,0,0,1.40848,0.468569,0,0,0,3.90229e-05
0.00408377,1.56958,1.36982,0,0,0,1.36982,0.466019,0,0,0,4.08377e-05
0.00426937,1.54199,1.33125,0,0,0,1.33125,0.463327,0,0,0,4.26937e-05
0.0044591,1.51467,1.29281,0,0,0,1.29281,0.460488,0,0,0,4.4591e-05
0.00465295,1.48763,1.25452,0,0,0,1.25452,0.457496,0,0,0,4.65295e-05
0.00485092,1.46086,1.21641,0,0,0,1.21641,0.454346,0,0,0,4.85092e-05
0.00505303,1.43439,1.17849,0,0,0,1.17849,0.451032,0,0,0,5.05303e-05
0.00525925,1.4082,1.1408,0,0,0,1.1408,0.447548,0,0,0,5.25925e-05
0.0054696,1.38231,1.10336,0,0,0,1.10336,0.443888,0,0,0,5.4696e-05
0.00568407,1.35672,1.0662,0,0,0,1.0662,0.440047,0,0,0,5.68407e-05
0.00590267,1.33144,1.02934,0,0,0,1.02934,0.436017,0,0,0,5.90267e-05
0.00612539,1.30646,0.992808,0,0,0,0.992808,0.431793,0,0,0,6.12539e-05
0.00635224,1.28179,0.956629,0,0,0,0.956629,0.427368,0,0,0,6.35224e-05
0.00658321,1.25744,0.920828,0,0,0,0.920828,0.422735,0,0,0,6.58321e-05
0.00681831,1.23339,0.885431,0,0,0,0.885431,0.417888,0,0,0,6.81831e-05
0.00705753,1.20967,0.850464,0,0,0,0.850464,0.41282,0,0,0,7.05753e-05
0.00730088,1.18626,0.81595,0,0,0,0.81595,0.407525,0,0,0,7.30088e-05
0.00754835,1.16317,0.781915,0,0,0,0.781915,0.401996,0,0,0,7.54835e-05
0.00779994,1.1404,0.748384,0,0,0,0.748384,0.396226,0,0,0,7.79994e-05
