E,T,R0,R1,R,E/V0,N_R0,N_R1
4.64006E-06,2.84174,2.84252,0,2.84252,4.64006E-08,0.5000686105,0
1.28891E-05,2.81586,2.81739,0,2.81739,1.28891E-07,0.5001358008,0
2.52625E-05,2.78947,2.79167,0,2.79167,2.52625E-07,0.5001970924,0
4.17605E-05,2.76258,2.76537,0,2.76537,4.17605E-07,0.5002523539,0
0.000062383,2.73523,2.73849,0,2.73849,6.2383E-07,0.5002977865,0
0.00008713,2.70745,2.71103,0,2.71103,8.713E-07,0.5003303509,0
0.000116001,2.67928,2.68302,0,2.68302,0.00000116,0.500348731,0
0.000148997,2.65073,2.65445,0,2.65445,0.00000149,0.5003506007,0
0.000186118,2.62183,2.62534,0,2.62534,1.86118E-06,0.500334466,0
0.000227363,2.59263,2.59569,0,2.59569,2.27363E-06,0.5002948931,0
0.000272732,2.56313,2.56552,0,2.56552,2.72732E-06,0.5002330048,0
0.000322226,2.53338,2.53483,0,2.53483,3.22226E-06,0.5001430485,0
0.000375845,2.50339,2.50364,0,2.50364,3.75845E-06,0.5000249649,0
0.000433588,2.4732,2.47195,0,2.47195,4.33588E-06,0.4998736135,0
0.000495455,2.44282,2.43978,0,2.43978,4.95455E-06,0.4996886905,0
0.000561447,2.41228,2.40714,0,2.40714,5.61447E-06,0.4994667408,0
0.000631564,2.3816,2.37405,0,2.37405,6.31564E-06,0.4992062074,0
0.000705805,2.35081,2.34052,0,2.34052,7.05805E-06,0.4989032961,0
0.00078417,2.31993,2.30655,0,2.30655,7.8417E-06,0.4985539762,0
0.00086666,2.28898,2.27218,0,2.27218,8.6666E-06,0.4981583632,0
0.000953275,2.25798,2.23741,0,2.23741,9.53275E-06,0.4977121006,0
0.00104401,2.22695,2.20225,0,2.20225,1.04401E-05,0.4972116861,0
0.00113888,2.19591,2.16673,0,2.16673,1.13888E-05,0.4966556947,0
0.00123786,2.16488,2.13086,0,2.13086,1.23786E-05,0.4960402631,0
0.00134098,2.13388,2.09465,0,2.09465,1.34098E-05,0.4953612721,0
0.00144821,2.10292,2.05813,0,2.05813,1.44821E-05,0.494617945,0
0.00155958,2.07203,2.02132,0,2.02132,1.55958E-05,0.493805807,0
0.00167506,2.04121,1.98423,0,1.98423,1.67506E-05,0.4929225128,0
0.00179467,2.01049,1.94687,0,1.94687,1.79467E-05,0.4919618129,0
0.00191841,1.97987,1.90928,0,1.90928,1.91841E-05,0.4909247522,0
0.00204627,1.94938,1.87147,0,1.87147,2.04627E-05,0.4898046246,0
0.00217825,1.91902,1.83346,0,1.83346,2.17825E-05,0.4885995395,0
0.00231436,1.88882,1.79527,0,1.79527,2.31436E-05,0.4873035132,0
0.00245459,1.85877,1.75693,0,1.75693,2.45459E-05,0.4859169732,0
0.00259895,1.8289,1.71845,0,1.71845,2.59895E-05,0.4844320408,0
0.00274743,1.79921,1.67985,0,1.67985,2.74743E-05,0.4828459411,0
0.00290004,1.76973,1.64117,0,1.64117,2.90004E-05,0.481154534,0
0.00305677,1.74044,1.60242,0,1.60242,3.05677E-05,0.4793560006,0
0.00321762,1.71138,1.56362,0,1.56362,3.21762E-05,0.4774412214,0
0.0033826,1.68253,1.5248,0,1.5248,0.000033826,0.4754110117,0
0.00355171,1.65393,1.48598,0,1.48598,3.55171E-05,0.4732556029,0
0.00372494,1.62556,1.44719,0,1.44719,3.72494E-05,0.4709755105,0
0.00390229,1.59745,1.40845,0,1.40845,3.90229E-05,0.4685618284,0
0.00408377,1.56959,1.36979,0,1.36979,4.08377E-05,0.4660132409,0
0.00426937,1.542,1.33122,0,1.33122,4.26937E-05,0.4633198989,0
0.0044591,1.51468,1.29278,0,1.29278,0.000044591,0.4604802918,0
0.00465295,1.48763,1.25449,0,1.25449,4.65295E-05,0.457489096,0
0.00485092,1.46087,1.21638,0,1.21638,4.85092E-05,0.4543393407,0
0.00505303,1.43439,1.17846,0,1.17846,5.05303E-05,0.4510247431,0
0.00525925,1.40821,1.14077,0,1.14077,5.25925E-05,0.4475398002,0
0.0054696,1.38232,1.10333,0,1.10333,0.000054696,0.4438798705,0
0.00568407,1.35673,1.06617,0,1.06617,5.68407E-05,0.4400387965,0
0.00590267,1.33145,1.02931,0,1.02931,5.90267E-05,0.4360078958,0
0.00612539,1.30647,0.992779,0,0.992779,6.12539E-05,0.4317840304,0
0.00635224,1.2818,0.9566,0,0.9566,6.35224E-05,0.4273588277,0
0.00658321,1.25745,0.9208,0,0.9208,6.58321E-05,0.4227246643,0
