E,T,R0,R1,R2,R,N_R0,N_R1,N_R2,E/V0
4.64006e-06,2.84169,2.84247,0,0,2.84247,0.500068,0,0,4.64006e-08
1.28891e-05,2.81583,2.81734,0,0,2.81734,0.500134,0,0,1.28891e-07
2.52625e-05,2.78943,2.79162,0,0,2.79162,0.500196,0,0,2.52625e-07
4.17605e-05,2.76255,2.76531,0,0,2.76531,0.50025,0,0,4.17605e-07
6.2383e-05,2.7352,2.73843,0,0,2.73843,0.500295,0,0,6.2383e-07
8.713e-05,2.70743,2.71098,0,0,2.71098,0.500327,0,0,8.713e-07
0.000116001,2.67925,2.68296,0,0,2.68296,0.500346,0,0,1.16001e-06
0.000148997,2.65071,2.65439,0,0,2.65439,0.500347,0,0,1.48997e-06
0.000186118,2.62182,2.62528,0,0,2.62528,0.50033,0,0,1.86118e-06
0.000227363,2.59261,2.59562,0,0,2.59562,0.50029,0,0,2.27363e-06
0.000272732,2.56312,2.56545,0,0,2.56545,0.500227,0,0,2.72732e-06
0.000322226,2.53337,2.53476,0,0,2.53476,0.500137,0,0,3.22226e-06
0.000375845,2.50339,2.50356,0,0,2.50356,0.500017,0,0,3.75845e-06
0.000433588,2.47319,2.47187,0,0,2.47187,0.499867,0,0,4.33588e-06
0.000495455,2.44281,2.4397,0,0,2.4397,0.499681,0,0,4.95455e-06
0.000561447,2.41228,2.40706,0,0,2.40706,0.499459,0,0,5.61447e-06
0.000631564,2.3816,2.37397,0,0,2.37397,0.499197,0,0,6.31564e-06
0.000705805,2.35081,2.34043,0,0,2.34043,0.498893,0,0,7.05805e-06
0.00078417,2.31993,2.30647,0,0,2.30647,0.498545,0,0,7.8417e-06
0.00086666,2.28899,2.27209,0,0,2.27209,0.498148,0,0,8.6666e-06
0.000953275,2.25799,2.23731,0,0,2.23731,0.497701,0,0,9.53275e-06
0.00104401,2.22696,2.20216,0,0,2.20216,0.4972,0,0,1.04401e-05
0.00113888,2.19592,2.16663,0,0,2.16663,0.496643,0,0,1.13888e-05
0.00123786,2.1649,2.13076,0,0,2.13076,0.496027,0,0,1.23786e-05
0.00134098,2.1339,2.09455,0,0,2.09455,0.495348,0,0,1.34098e-05
0.00144821,2.10294,2.05803,0,0,2.05803,0.494604,0,0,1.44821e-05
0.00155958,2.07205,2.02122,0,0,2.02122,0.493791,0,0,1.55958e-05
0.00167506,2.04123,1.98412,0,0,1.98412,0.492906,0,0,1.67506e-05
0.00179467,2.01051,1.94677,0,0,1.94677,0.491947,0,0,1.79467e-05
0.00191841,1.97989,1.90918,0,0,1.90918,0.490908,0,0,1.91841e-05
0.00204627,1.9494,1.87136,0,0,1.87136,0.489787,0,0,2.04627e-05
0.00217825,1.91905,1.83335,0,0,1.83335,0.488581,0,0,2.17825e-05
0.00231436,1.88884,1.79516,0,0,1.79516,0.487286,0,0,2.31436e-05
0.00245459,1.8588,1.75682,0,0,1.75682,0.485897,0,0,2.45459e-05
0.00259895,1.82893,1.71833,0,0,1.71833,0.484412,0,0,2.59895e-05
0.00274743,1.79924,1.67974,0,0,1.67974,0.482825,0,0,2.74743e-05
0.00290004,1.76975,1.64105,0,0,1.64105,0.481134,0,0,2.90004e-05
0.00305677,1.74047,1.6023,0,0,1.6023,0.479333,0,0,3.05677e-05
0.00321762,1.71141,1.5635,0,0,1.5635,0.477419,0,0,3.21762e-05
0.0033826,1.68257,1.52469,0,0,1.52469,0.475387,0,0,3.3826e-05
0.00355171,1.65396,1.48587,0,0,1.48587,0.473233,0,0,3.55171e-05
0.00372494,1.6256,1.44708,0,0,1.44708,0.470951,0,0,3.72494e-05
0.00390229,1.59748,1.40834,0,0,1.40834,0.468537,0,0,3.90229e-05
0.00408377,1.56963,1.36967,0,0,1.36967,0.465986,0,0,4.08377e-05
0.00426937,1.54203,1.33111,0,0,1.33111,0.463294,0,0,4.26937e-05
0.0044591,1.51471,1.29267,0,0,1.29267,0.460454,0,0,4.4591e-05
0.00465295,1.48767,1.25438,0,0,1.25438,0.457461,0,0,4.65295e-05
0.00485092,1.4609,1.21626,0,0,1.21626,0.454309,0,0,4.85092e-05
0.00505303,1.43443,1.17835,0,0,1.17835,0.450994,0,0,5.05303e-05
0.00525925,1.40825,1.14066,0,0,1.14066,0.447509,0,0,5.25925e-05
0.0054696,1.38236,1.10322,0,0,1.10322,0.443848,0,0,5.4696e-05
0.00568407,1.35677,1.06606,0,0,1.06606,0.440006,0,0,5.68407e-05
0.00590267,1.33148,1.0292,0,0,1.0292,0.435975,0,0,5.90267e-05
0.00612539,1.30651,0.992666,0,0,0.992666,0.431749,0,0,6.12539e-05
0.00635224,1.28184,0.956488,0,0,0.956488,0.427323,0,0,6.35224e-05
0.00658321,1.25748,0.920688,0,0,0.920688,0.422689,0,0,6.58321e-05
0.00681831,1.23344,0.885292,0,0,0.885292,0.417841,0,0,6.81831e-05
0.00705753,1.20971,0.850326,0,0,0.850326,0.412772,0,0,7.05753e-05
0.00730088,1.1863,0.815814,0,0,0.815814,0.407475,0,0,7.30088e-05
0.00754835,1.16321,0.78178,0,0,0.78178,0.401945,0,0,7.54835e-05
0.00779994,1.14044,0.74825,0,0,0.74825,0.396173,0,0,7.79994e-05
0.00805566,1.11799,0.715248,0,0,0.715248,0.390155,0,0,8.05566e-05
0.0083155,1.09587,0.682798,0,0,0.682798,0.383883,0,0,8.3155e-05
0.00857947,1.07406,0.650923,0,0,0.650923,0.377351,0,0,8.57947e-05
0.00884756,1.05257,0.619647,0,0,0.619647,0.370554,0,0,8.84756e-05
0.00911978,1.03141,0.588993,0,0,0.588993,0.363486,0,0,9.11978e-05
0.00939612,1.01056,0.558984,0,0,0.558984,0.356143,0,0,9.39612e-05
0.00967659,0.990039,0.52964,0,0,0.52964,0.348521,0,0,9.67659e-05
0.00996118,0.969834,0.500985,0,0,0.500985,0.340616,0,0,9.96118e-05
0.0102499,0.949947,0.473038,0,0,0.473038,0.332427,0,0,0.000102499
0.0105427,0.930378,0.445821,0,0,0.445821,0.323951,0,0,0.000105427
0.0108397,0.911123,0.419353,0,0,0.419353,0.31519,0,0,0.000108397
0.0111408,0.892183,0.393653,0,0,0.393653,0.306146,0,0,0.000111408
0.011446,0.873554,0.368741,0,0,0.368741,0.296822,0,0,0.00011446
0.0117553,0.855237,0.344633,0,0,0.344633,0.287225,0,0,0.000117553
0.0120688,0.837227,0.321347,0,0,0.321347,0.277364,0,0,0.000120688
0.0123864,0.819524,0.2989,0,0,0.2989,0.267251,0,0,0.000123864
0.0127081,0.802125,0.277307,0,0,0.277307,0.256901,0,0,0.000127081
0.0130339,0.785028,0.256582,0,0,0.256582,0.246332,0,0,0.000130339
0.0133639,0.76823,0.23674,0,0,0.23674,0.235569,0,0,0.000133639
0.013698,0.751729,0.217794,0,0,0.217794,0.22464,0,0,0.00013698
0.0140362,0.735522,0.199755,0,0,0.199755,0.213579,0,0,0.000140362
0.0143785,0.719606,0.182636,0,0,0.182636,0.202424,0,0,0.000143785
0.014725,0.703978,0.166445,0,0,0.166445,0.191223,0,0,0.00014725
0.0150756,0.688637,0.151193,0,0,0.151193,0.180028,0,0,0.000150756
0.0154303,0.673577,0.136888,0,0,0.136888,0.1689,0,0,0.000154303
0.0157891,0.658797,0.123536,0,0,0.123536,0.157907,0,0,0.000157891
0.016152,0.644294,0.111144,0,0,0.111144,0.147125,0,0,0.00016152
0.0165191,0.630064,0.0997171,0,0,0.0997171,0.13664,0,0,0.000165191
0.0168903,0.616103,0.0892588,0,0,0.0892588,0.126543,0,0,0.000168903
0.0172657,0.60241,0.0797722,0,0,0.0797722,0.116937,0,0,0.000172657
0.0176451,0.58898,0.0712587,0,0,0.0712587,0.107929,0,0,0.000176451
0.0180287,0.57581,0.0637189,0,0,0.0637189,0.0996341,0,0,0.000180287
0.0184164,0.562897,0.0571521,0,0,0.0571521,0.0921735,0,0,0.000184164
0.0188082,0.550237,0.0515563,0,0,0.0515563,0.0856712,0,0,0.000188082
0.0192042,0.537827,0.0469287,0,0,0.0469287,0.0802535,0,0,0.000192042
0.0196043,0.525663,0.0432648,0,0,0.0432648,0.0760461,0,0,0.000196043
0.0200085,0.513743,0.0405592,0,0,0.0405592,0.0731716,0,0,0.000200085
0.0204168,0.502062,0.0388051,0,0,0.0388051,0.0717462,0,0,0.000204168
0.0208292,0.490617,0.0379948,0,0,0.0379948,0.0718765,0,0,0.000208292
0.0212458,0.479405,0.038119,0,0,0.038119,0.0736565,0,0,0.000212458
0.0216665,0.468422,0.0391673,0,0,0.0391673,0.0771635,0,0,0.000216665
0.0220913,0.457664,0.0411283,0,0,0.0411283,0.0824557,0,0,0.000220913
0.0225203,0.447129,0.043989,0,0,0.043989,0.0895692,0,0,0.000225203
0.0229533,0.436812,0.0477356,0,0,0.0477356,0.0985157,0,0,0.000229533
0.0233905,0.42671,0.0523527,0,0,0.0523527,0.109281,0,0,0.000233905
0.0238319,0.41682,0.057824,0,0,0.057824,0.121826,0,0,0.000238319
0.0242773,0.407139,0.064132,0,0,0.064132,0.136083,0,0,0.000242773
0.0247269,0.397662,0.071258,0,0,0.071258,0.151962,0,0,0.000247269
0.0251806,0.388386,0.079182,0,0,0.079182,0.169349,0,0,0.000251806
0.0256384,0.379309,0.0878832,0,0,0.0878832,0.188109,0,0,0.000256384
0.0261003,0.370426,0.0973394,0,0,0.0973394,0.208095,0,0,0.000261003
0.0265664,0.361734,0.107528,0,0,0.107528,0.229142,0,0,0.000265664
0.0270366,0.35323,0.118423,0,0,0.118423,0.251082,0,0,0.000270366
0.0275109,0.34491,0.130002,0,0,0.130002,0.273739,0,0,0.000275109
0.0279894,0.336772,0.142237,0,0,0.142237,0.29694,0,0,0.000279894
0.0284719,0.328812,0.155101,0,0,0.155101,0.320514,0,0,0.000284719
0.0289586,0.321027,0.168566,0,0,0.168566,0.344298,0,0,0.000289586
0.0294494,0.313413,0.182604,0,0,0.182604,0.36814,0,0,0.000294494
0.0299444,0.305968,0.197184,0,0,0.197184,0.391897,0,0,0.000299444
0.0304434,0.298688,0.212276,0,0,0.212276,0.415442,0,0,0.000304434
0.0309466,0.29157,0.227849,0,0,0.227849,0.438661,0,0,0.000309466
0.0314539,0.284611,0.243871,0,0,0.243871,0.461455,0,0,0.000314539
0.0319654,0.277808,0.260308,0,0,0.260308,0.48374,0,0,0.000319654
0.0324809,0.271158,0.277129,0,0,0.277129,0.505445,0,0,0.000324809
0.0330006,0.264659,0.294299,0,0,0.294299,0.526514,0,0,0.000330006
0.0335244,0.258306,0.311785,0,0,0.311785,0.546903,0,0,0.000335244
0.0340524,0.252098,0.32955,0,0,0.32955,0.56658,0,0,0.000340524
0.0345844,0.246031,0.347561,0,0,0.347561,0.585521,0,0,0.000345844
0.0351206,0.240103,0.365781,0,0,0.365781,0.603715,0,0,0.000351206
0.0356609,0.234311,0.384176,0,0,0.384176,0.621155,0,0,0.000356609
0.0362054,0.228651,0.402709,0,0,0.402709,0.637844,0,0,0.000362054
0.0367539,0.223122,0.421345,0,0,0.421345,0.653788,0,0,0.000367539
0.0373066,0.217721,0.440048,0,0,0.440048,0.669001,0,0,0.000373066
0.0378634,0.212445,0.458781,0,0,0.458781,0.683497,0,0,0.000378634
0.0384243,0.207291,0.477508,0,0,0.477508,0.697297,0,0,0.000384243
0.0389894,0.202257,0.496195,0,0,0.496195,0.710421,0,0,0.000389894
0.0395586,0.197341,0.514805,0,0,0.514805,0.722892,0,0,0.000395586
0.0401319,0.19254,0.533302,0,0,0.533302,0.734736,0,0,0.000401319
0.0407093,0.187851,0.551653,0,0,0.551653,0.745977,0,0,0.000407093
0.0412909,0.183272,0.569822,0,0,0.569822,0.756641,0,0,0.000412909
0.0418765,0.178801,0.587776,0,0,0.587776,0.766754,0,0,0.000418765
0.0424663,0.174436,0.605481,0,0,0.605481,0.77634,0,0,0.000424663
0.0430603,0.170174,0.622903,0,0,0.622903,0.785426,0,0,0.000430603
0.0436583,0.166013,0.640012,0,0,0.640012,0.794035,0,0,0.000436583
0.0442605,0.16195,0.656774,0,0,0.656774,0.802192,0,0,0.000442605
0.0448668,0.157985,0.673161,0,0,0.673161,0.809919,0,0,0.000448668
0.0454772,0.154113,0.689141,0,0,0.689141,0.81724,0,0,0.000454772
0.0460918,0.150335,0.704687,0,0,0.704687,0.824174,0,0,0.000460918
0.0467105,0.146646,0.71977,0,0,0.71977,0.830744,0,0,0.000467105
0.0473333,0.143047,0.734364,0,0,0.734364,0.836967,0,0,0.000473333
0.0479602,0.139533,0.748443,0,0,0.748443,0.842864,0,0,0.000479602
0.0485912,0.136104,0.761982,0,0,0.761982,0.848451,0,0,0.000485912
0.0492264,0.132758,0.77496,0,0,0.77496,0.853746,0,0,0.000492264
0.0498657,0.129492,0.787353,0,0,0.787353,0.858763,0,0,0.000498657
0.0505091,0.126305,0.799142,0,0,0.799142,0.86352,0,0,0.000505091
0.0511567,0.123196,0.810307,0,0,0.810307,0.868028,0,0,0.000511567
0.0518083,0.120162,0.82083,0,0,0.82083,0.872303,0,0,0.000518083
0.0524641,0.117201,0.830697,0,0,0.830697,0.876357,0,0,0.000524641
0.053124,0.114312,0.839892,0,0,0.839892,0.880201,0,0,0.00053124
0.0537881,0.111494,0.848402,0,0,0.848402,0.883848,0,0,0.000537881
0.0544563,0.108744,0.856216,0,0,0.856216,0.887307,0,0,0.000544563
0.0551286,0.106062,0.863324,0,0,0.863324,0.890588,0,0,0.000551286
0.055805,0.103445,0.869718,0,0,0.869718,0.893702,0,0,0.00055805
0.0564855,0.100892,0.875392,0,0,0.875392,0.896657,0,0,0.000564855
0.0571702,0.0984017,0.880342,0,0,0.880342,0.899461,0,0,0.000571702
0.057859,0.0959724,0.884564,0,0,0.884564,0.902123,0,0,0.00057859
0.0585519,0.0936027,0.888057,0,0,0.888057,0.904649,0,0,0.000585519
0.0592489,0.0912912,0.890823,0,0,0.890823,0.907046,0,0,0.000592489
0.0599501,0.0890366,0.892863,0,0,0.892863,0.909322,0,0,0.000599501
