t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
0,1,6.00054e-24,3.29548e-42,3.8147e-48,4.49293e-54,5.27524e-60,5.26947e-65,3.51702e-64,2.41329e-64,3.20151e-67,1.69947e-65
10,1,6.00799e-24,7.60558e-34,1.34309e-35,2.83645e-37,6.71482e-39,1.71113e-40,4.59365e-42,1.28316e-43,3.69653e-45,1.15914e-46
20,1,6.00941e-24,7.66681e-33,4.5701e-34,2.95139e-35,2.16911e-36,1.73807e-37,1.48395e-38,1.33951e-39,1.25608e-40,1.54054e-41
30,1,6.1107e-24,3.69133e-33,8.57045e-34,1.83752e-34,3.44819e-35,6.81231e-36,1.42391e-36,3.18125e-37,6.68582e-38,2.55862e-38
40,1,5.92026e-24,3.63566e-31,1.32759e-32,2.08215e-33,5.5193e-34,1.70691e-34,5.54239e-35,1.96018e-35,5.47185e-36,4.07302e-36
50,1,5.93244e-24,3.45657e-31,3.29628e-32,8.52133e-33,3.27281e-33,1.40874e-33,6.08203e-34,2.99527e-34,9.1043e-35,1.16011e-34
60,1,5.96315e-24,3.02861e-31,2.50595e-32,4.42175e-33,3.32729e-33,2.78369e-33,1.75241e-33,1.35976e-33,4.00787e-34,8.88005e-34
70,1,5.89524e-24,7.82217e-31,1.9301e-31,5.10756e-32,1.99372e-32,1.30203e-32,6.93264e-33,6.37063e-33,1.47384e-33,4.61513e-33
80,1,5.90068e-24,9.29242e-30,2.78471e-30,9.88481e-31,3.89055e-31,2.08278e-31,7.70394e-32,4.92859e-32,1.14996e-32,3.39194e-32
90,1,5.9203e-24,4.16406e-29,1.57839e-29,5.65552e-30,2.07212e-30,1.13825e-30,3.87053e-31,4.96911e-31,8.49747e-32,2.47381e-31
100,1,5.97807e-24,5.85773e-29,1.51639e-29,8.02726e-30,5.4068e-30,2.81077e-30,1.83845e-30,9.87897e-31,2.73667e-31,5.36592e-31
110,1,5.88104e-24,1.68328e-30,1.36753e-30,1.32042e-30,1.49562e-30,1.01939e-30,4.96815e-31,3.72472e-30,3.90268e-31,8.53007e-31
120,1,5.96454e-24,5.19046e-29,4.86761e-30,1.04149e-30,3.93035e-30,2.04081e-30,1.25823e-31,1.60942e-30,3.10116e-31,9.07011e-31
130,1,5.94741e-24,6.69153e-29,3.26537e-29,9.61601e-30,1.01994e-29,1.81275e-29,2.8353e-30,1.02506e-29,1.37681e-30,1.70591e-30
140,0.999754,6.09741e-24,9.69172e-25,8.97972e-25,7.5204e-25,5.55863e-25,3.71898e-25,2.24162e-25,1.29402e-25,7.83466e-26,3.53454e-26
150,1.01314,1.06104e-20,1.06101e-20,9.72327e-21,7.89518e-21,5.75449e-21,3.80975e-21,2.29468e-21,1.31316e-21,8.7532e-22,4.44846e-22
160,1.1387,2.65131e-17,2.6902e-17,2.40081e-17,1.91036e-17,1.37567e-17,9.09624e-18,5.47346e-18,3.06433e-18,2.24723e-18,1.32418e-18
170,1.77552,2.17401e-14,2.12945e-14,1.84487e-14,1.43522e-14,1.01857e-14,6.736e-15,4.08174e-15,2.16095e-15,1.72036e-15,1.21602e-15
180,2.05349,6.94737e-12,6.52674e-12,5.46234e-12,4.13738e-12,2.878e-12,1.89698e-12,1.18129e-12,5.77159e-13,4.71034e-13,4.15418e-13
