t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
0,1,1.6644e-23,1.02781e-43,1.24058e-49,1.20694e-55,1.29957e-61,1.96821e-66,1.40336e-65,1.43094e-66,1.77869e-68,9.57893e-66
10,1,1.66109e-23,2.9207e-36,6.99335e-39,8.04774e-41,5.51875e-42,3.442e-43,1.77742e-44,8.14615e-46,3.45118e-47,1.4846e-48
20,1,1.65622e-23,2.80866e-34,1.90783e-35,1.39814e-36,1.08898e-37,8.98743e-39,7.81244e-40,7.09502e-41,6.55559e-42,7.615e-43
30,1,1.65622e-23,1.25192e-33,4.19128e-35,3.79739e-36,4.13959e-37,5.10667e-38,6.82348e-39,9.57349e-40,1.36633e-40,2.59076e-41
40,1,1.65679e-23,1.00222e-32,1.83161e-34,5.54645e-35,1.09874e-35,1.95384e-36,3.52412e-37,7.18107e-38,1.37615e-38,8.04627e-39
50,1,1.65388e-23,2.26351e-31,4.75248e-33,2.35616e-34,3.39269e-35,1.02763e-35,3.95724e-36,1.95917e-36,5.73259e-37,7.08501e-37
60,1,1.64666e-23,5.73707e-31,2.57854e-32,3.12711e-33,6.97059e-34,2.30521e-34,8.51492e-35,4.5122e-35,1.18834e-35,1.84882e-35
70,1,1.64738e-23,3.74688e-31,2.4871e-32,5.28652e-33,1.71178e-33,7.72858e-34,3.20373e-34,2.46648e-34,6.16979e-35,1.32811e-34
80,1,1.65179e-23,1.13203e-31,1.7084e-32,7.79433e-33,4.41475e-33,1.82663e-33,1.64749e-33,2.13335e-33,2.77227e-34,1.1055e-33
90,1,1.65064e-23,7.7271e-32,6.71133e-32,4.93035e-32,9.512e-33,3.82199e-32,1.31136e-32,5.04595e-34,1.38964e-33,2.07737e-33
100,1,1.64752e-23,8.64618e-31,7.83425e-32,5.32396e-32,1.49307e-31,3.76081e-32,2.1416e-31,1.135e-31,8.8134e-33,5.44282e-32
110,1,1.65099e-23,3.87954e-30,2.03305e-30,1.84555e-30,1.28314e-30,2.3873e-33,5.93291e-31,1.1051e-30,2.91518e-32,1.35172e-31
120,1,1.6519e-23,2.15698e-29,4.65228e-30,7.50537e-30,8.53686e-30,7.62815e-32,5.17236e-31,6.0077e-30,7.05256e-32,5.36036e-31
130,1.0002,1.64852e-23,3.97602e-29,2.53322e-30,2.0433e-29,2.57234e-29,3.05849e-31,5.75915e-31,1.51549e-29,1.23657e-31,2.49163e-30
140,1.00611,1.64805e-23,1.59167e-28,5.71182e-29,1.19966e-28,1.28905e-30,4.63434e-29,5.11e-29,9.07112e-29,1.54743e-29,1.87658e-29
150,1.0561,2.52986e-23,1.1843e-24,1.26992e-24,1.21105e-24,1.02566e-24,8.05703e-25,5.59411e-25,3.90203e-25,3.29485e-25,1.80494e-25
160,0.670469,4.85384e-21,5.93098e-21,6.20666e-21,5.7908e-21,4.8959e-21,3.78872e-21,2.58377e-21,1.68668e-21,1.65778e-21,1.05792e-21
170,1.91933,7.60587e-18,8.69043e-18,8.79127e-18,7.98687e-18,6.62375e-18,5.13581e-18,3.49151e-18,2.02714e-18,2.2515e-18,1.73329e-18
180,1.10146,4.22302e-15,4.5979e-15,4.47272e-15,3.93565e-15,3.17317e-15,2.4574e-15,1.72835e-15,8.533e-16,9.99788e-16,9.64126e-16
190,0.529501,9.97859e-13,1.03121e-12,9.60192e-13,8.16163e-13,6.34584e-13,4.81118e-13,3.66112e-13,1.61152e-13,1.68567e-13,2.12935e-13
200,0.0358744,1.13575e-10,1.10993e-10,9.85496e-11,8.08722e-11,6.07393e-11,4.33041e-11,3.63037e-11,1.6666e-11,1.22807e-11,2.12936e-11
210,0.122444,6.85553e-09,6.32254e-09,5.33747e-09,4.21852e-09,3.11519e-09,2.01165e-09,1.77939e-09,1.00078e-09,4.3973e-10,1.08255e-09
