t,Norm_0,AvgX_0
0,1,-99.9537
1,1,-99.4903
2,1,-99.0268
3,1,-98.5634
4,1,-98.1
5,1,-97.6366
6,1,-97.1732
7,1,-96.7098
8,1,-96.2464
9,1,-95.783
10,1,-95.3196
11,1,-94.8562
12,1,-94.3928
13,1,-93.9294
14,1,-93.466
15,1,-93.0026
16,1,-92.5392
17,1,-92.0758
18,1,-91.6124
19,1,-91.149
20,1,-90.6855
21,1,-90.2221
22,1,-89.7587
23,1,-89.2953
24,1,-88.8319
25,1,-88.3685
26,1,-87.9051
27,1,-87.4417
28,1,-86.9783
29,1,-86.5149
30,1,-86.0515
31,1,-85.5881
32,1,-85.1247
33,1,-84.6613
34,1,-84.1979
35,1,-83.7345
36,1,-83.2711
37,1,-82.8076
38,1,-82.3442
39,1,-81.8808
40,1,-81.4174
41,1,-80.954
42,1,-80.4906
43,1,-80.0272
44,1,-79.5638
45,1,-79.1004
46,1,-78.637
47,1,-78.1736
48,1,-77.7102
49,1,-77.2468
50,1,-76.7834
51,1,-76.32
52,1,-75.8566
53,1,-75.3932
54,1,-74.9298
55,1,-74.4663
56,1,-74.0029
57,1,-73.5395
58,1,-73.0761
59,1,-72.6127
60,1,-72.1493
61,1,-71.6859
62,1,-71.2225
63,1,-70.7591
64,1,-70.2957
65,1,-69.8323
66,1,-69.3689
67,1,-68.9055
68,1,-68.4421
69,1,-67.9787
70,1,-67.5153
71,1,-67.0519
72,1,-66.5884
73,1,-66.125
74,1,-65.6616
75,1,-65.1982
76,1,-64.7348
77,1,-64.2714
78,1,-63.808
79,1,-63.3446
80,1,-62.8812
81,1,-62.4178
82,1,-61.9544
83,1,-61.491
84,1,-61.0276
85,1,-60.5642
86,1,-60.1008
87,1,-59.6374
88,1,-59.174
89,1,-58.7106
90,1,-58.2471
91,1,-57.7837
92,1,-57.3203
93,1,-56.8569
94,1,-56.3935
95,1,-55.9301
96,1,-55.4667
97,1,-55.0033
98,1,-54.5399
99,1,-54.0765
100,1,-53.6131
101,1,-53.1497
102,1,-52.6863
103,1,-52.2229
104,1,-51.7595
105,1,-51.2961
106,1,-50.8327
107,1,-50.3692
108,1,-49.9058
109,1,-49.4424
110,1,-48.979
111,1,-48.5156
112,1,-48.0522
113,1,-47.5888
114,1,-47.1254
115,1,-46.662
116,1,-46.1986
117,1,-45.7352
118,1,-45.2718
119,1,-44.8084
120,1,-44.345
121,1,-43.8816
122,1,-43.4182
123,1,-42.9548
124,1,-42.4914
125,1,-42.028
126,1,-41.5645
127,1,-41.1011
128,1,-40.6377
129,1,-40.1743
130,1,-39.711
131,1,-39.2476
132,1,-38.7842
133,1,-38.3208
134,1,-37.8574
135,1,-37.3941
136,1,-36.9307
137,1,-36.4674
138,1,-36.0041
139,1,-35.5408
140,1,-35.0775
141,1,-34.6143
142,1,-34.1511
143,1,-33.688
144,1,-33.2249
145,1,-32.762
146,1,-32.2991
147,1,-31.8363
148,1,-31.3737
149,1,-30.9112
150,1,-30.4489
151,1,-29.9868
152,1,-29.5249
153,1,-29.0633
154,1,-28.6021
155,1,-28.1411
156,1,-27.6806
157,1,-27.2206
158,1,-26.761
159,1,-26.302
160,1,-25.8436
161,1,-25.386
162,1,-24.9291
163,1,-24.473
164,1,-24.0178
165,1,-23.5637
166,1,-23.1107
167,1,-22.6588
168,1,-22.2082
169,1,-21.7589
170,1,-21.3112
171,1,-20.8649
172,1,-20.4204
173,1,-19.9776
174,1,-19.5367
175,1,-19.0978
176,1,-18.6609
177,1,-18.2262
178,1,-17.7938
179,1,-17.3638
180,1,-16.9362
181,1,-16.5112
182,1,-16.0889
183,1,-15.6693
184,1,-15.2526
185,1,-14.8387
186,1,-14.4279
187,1,-14.0201
188,1,-13.6154
189,1,-13.2139
190,1,-12.8157
191,1,-12.4207
192,1,-12.0291
193,1,-11.6408
194,1,-11.2559
195,1,-10.8745
196,1,-10.4965
197,1,-10.1219
198,1,-9.7508
199,1,-9.38316
200,1,-9.01898
201,1,-8.65825
202,1,-8.30095
203,1,-7.94707
204,1,-7.59658
205,1,-7.24945
206,1,-6.90565
207,1,-6.56515
208,1,-6.2279
209,1,-5.89387
210,1,-5.563
211,1,-5.23526
212,1,-4.91058
213,1,-4.58892
214,1,-4.27023
215,1,-3.95445
216,1,-3.64153
217,1,-3.33142
218,1,-3.02405
219,1,-2.71938
220,1,-2.41736
221,1,-2.11793
222,1,-1.82104
223,1,-1.52665
224,1,-1.2347
