t,T+R,N_0
0,1,1.01492e-23
1,1,1.01484e-23
2,1,1.015e-23
3,1,1.0151e-23
4,1,1.01507e-23
5,1,1.01509e-23
6,1,1.01492e-23
7,1,1.01488e-23
8,1,1.01483e-23
9,1,1.0151e-23
10,1,1.015e-23
11,1,1.01505e-23
12,1,1.01501e-23
13,1,1.01498e-23
14,1,1.01524e-23
15,1,1.01542e-23
16,1,1.01546e-23
17,1,1.01558e-23
18,1,1.01555e-23
19,1,1.01532e-23
20,1,1.01534e-23
21,1,1.0154e-23
22,1,1.01552e-23
23,1,1.01559e-23
24,1,1.01557e-23
25,1,1.01554e-23
26,1,1.01551e-23
27,1,1.01542e-23
28,1,1.01531e-23
29,1,1.01527e-23
30,1,1.01522e-23
31,1,1.01499e-23
32,1,1.0152e-23
33,1,1.01501e-23
34,1,1.01507e-23
35,1,1.01499e-23
36,1,1.01454e-23
37,1,1.01444e-23
38,1,1.01412e-23
39,1,1.01388e-23
40,1,1.01379e-23
41,1,1.01359e-23
42,1,1.01345e-23
43,1,1.01304e-23
44,1,1.01309e-23
45,1,1.01296e-23
46,1,1.01269e-23
47,1,1.01239e-23
48,1,1.01203e-23
49,1,1.012e-23
50,1,1.01171e-23
51,1,1.01153e-23
52,1,1.01144e-23
53,1,1.01139e-23
54,1,1.01131e-23
55,1,1.0113e-23
56,1,1.01135e-23
57,1,1.01145e-23
58,1,1.01158e-23
59,1,1.01166e-23
60,1,1.01185e-23
61,1,1.01209e-23
62,1,1.01221e-23
63,1,1.01225e-23
64,1,1.01239e-23
65,1,1.01258e-23
66,1,1.01279e-23
67,1,1.01273e-23
68,1,1.01269e-23
69,1,1.01273e-23
70,1,1.01266e-23
71,1,1.0125e-23
72,1,1.01224e-23
73,1,1.0119e-23
74,1,1.01172e-23
75,1,1.01161e-23
76,1,1.01146e-23
77,1,1.01147e-23
78,1,1.01117e-23
79,1,1.01088e-23
80,1,1.01089e-23
81,1,1.01092e-23
82,1,1.01104e-23
83,1,1.011e-23
84,1,1.0112e-23
85,1,1.01135e-23
86,1,1.01136e-23
87,1,1.01156e-23
88,1,1.01165e-23
89,1,1.01195e-23
90,1,1.01198e-23
91,1,1.01214e-23
92,1,1.01219e-23
93,1,1.01234e-23
94,1,1.01248e-23
95,1,1.01273e-23
96,1,1.01257e-23
