t,T+R,N_0
0,1,1.36648e-21
1,1,1.36677e-21
2,1,1.36682e-21
3,1,1.36656e-21
4,1,1.3658e-21
5,1,1.36494e-21
6,1,1.36408e-21
7,1,1.3636e-21
8,1,1.36396e-21
9,1,1.36407e-21
10,1,1.36464e-21
11,1,1.36525e-21
12,1,1.36579e-21
13,1,1.36586e-21
14,1,1.36548e-21
15,1,1.36505e-21
16,1,1.3645e-21
17,1,1.36383e-21
18,1,1.36371e-21
19,1,1.36376e-21
20,1,1.36391e-21
21,1,1.36473e-21
22,1,1.36546e-21
23,1,1.36542e-21
24,1,1.36568e-21
25,1,1.3654e-21
26,1,1.36493e-21
27,1,1.36491e-21
28,1,1.36503e-21
29,1,1.36495e-21
30,1,1.36515e-21
31,1,1.36594e-21
32,1,1.36657e-21
33,1,1.36678e-21
34,1,1.36704e-21
35,1,1.36708e-21
36,1,1.36659e-21
37,1,1.36603e-21
38,1,1.36551e-21
39,1,1.36492e-21
40,1,1.36472e-21
41,1,1.36473e-21
42,1,1.36496e-21
43,1,1.36597e-21
44,1,1.36635e-21
45,1,1.36633e-21
46,1,1.36655e-21
47,1,1.36619e-21
48,1,1.36514e-21
49,1,1.36462e-21
50,1,1.36391e-21
51,1,1.36363e-21
52,1,1.36395e-21
53,1,1.36415e-21
54,1,1.36483e-21
55,1,1.36565e-21
56,1,1.36627e-21
57,1,1.36631e-21
58,1,1.36603e-21
59,1,1.36528e-21
60,1,1.36446e-21
61,1,1.36389e-21
62,1,1.36348e-21
63,1,1.36351e-21
64,1,1.36371e-21
65,1,1.36443e-21
66,1,1.36523e-21
67,1,1.36542e-21
68,1,1.36607e-21
69,1,1.36588e-21
70,1,1.36542e-21
71,1,1.36483e-21
72,1,1.36441e-21
73,1,1.36428e-21
74,1,1.3644e-21
75,1,1.36491e-21
76,1,1.36565e-21
77,1,1.36607e-21
78,1,1.36654e-21
79,1,1.36674e-21
80,1,1.36693e-21
81,1,1.3668e-21
82,1,1.36623e-21
83,1,1.3656e-21
84,1,1.36527e-21
85,1,1.36557e-21
86,1,1.36597e-21
87,1,1.36657e-21
88,1,1.36725e-21
89,1,1.36783e-21
90,1,1.36817e-21
91,1,1.36809e-21
92,1,1.36751e-21
93,1,1.36683e-21
94,1,1.3655e-21
95,1,1.36518e-21
96,1,1.36481e-21
97,1,1.36529e-21
98,1,1.36624e-21
99,1,1.36701e-21
100,1,1.36773e-21
101,1,1.36775e-21
102,0.999999,1.36772e-21
103,0.999999,1.36783e-21
104,0.999999,1.36745e-21
105,0.999999,1.3671e-21
106,1,1.36709e-21
107,1,1.36713e-21
108,1.00001,1.36734e-21
109,1.00002,1.36807e-21
110,1.00003,1.36854e-21
111,1.00004,1.36848e-21
112,1.00006,1.36833e-21
113,1.00011,1.3681e-21
114,1.00024,1.36748e-21
115,1.00055,1.36645e-21
116,1.00118,1.36616e-21
117,1.00228,1.36561e-21
