t,Norm_0,AvgX_0,Norm_1,AvgX_1
0,1,-99.9537,1.57233e-39,-6.88881e-40
1,1,-99.4903,2.32901e-35,-1.06476e-35
2,1,-99.0268,3.29935e-34,-1.32636e-34
3,1,-98.5634,1.70013e-33,-5.47927e-34
4,1,-98.1,5.67203e-33,-1.24867e-33
5,1,-97.6366,1.47672e-32,-1.61779e-33
6,1,-97.1732,3.27233e-32,-1.94919e-34
7,1,-96.7098,6.49012e-32,5.34488e-33
8,1,-96.2464,1.18749e-31,1.86091e-32
9,1,-95.783,2.04298e-31,4.49494e-32
10,1,-95.3196,3.34919e-31,9.12808e-32
11,1,-94.8562,5.28309e-31,1.66562e-31
12,1,-94.3928,8.07868e-31,2.83156e-31
13,1,-93.9294,1.20462e-30,4.59376e-31
14,1,-93.466,1.75984e-30,7.22291e-31
15,1,-93.0026,2.5292e-30,1.11264e-30
16,1,-92.5392,3.58973e-30,1.69611e-30
17,1,-92.0758,5.05086e-30,2.58694e-30
18,1,-91.6124,7.07448e-30,4.00007e-30
19,1,-91.149,9.91243e-30,6.40309e-30
20,1,-90.6855,1.39789e-29,1.10543e-29
21,1,-90.2221,2.01172e-29,2.06979e-29
22,1,-89.7587,3.52736e-29,8.73056e-30
23,1,-89.2953,1.29393e-28,-1.63795e-28
24,1,-88.8319,5.24327e-28,4.32409e-28
25,1,-88.3685,1.24901e-27,5.12827e-27
26,1,-87.9051,1.94123e-27,1.39452e-26
27,1,-87.4417,2.61897e-27,2.40171e-26
28,1,-86.9783,3.67604e-27,3.64407e-26
29,1,-86.5149,5.29957e-27,5.52747e-26
30,1,-86.0515,7.15974e-27,8.35653e-26
31,1,-85.5881,8.72142e-27,1.19055e-25
32,1,-85.1247,9.87367e-27,1.57543e-25
33,1,-84.6613,1.07772e-26,1.98062e-25
34,1,-84.1979,1.14688e-26,2.40663e-25
35,1,-83.7345,1.19677e-26,2.84128e-25
36,1,-83.2711,1.24431e-26,3.2754e-25
37,1,-82.8076,1.31706e-26,3.71249e-25
38,1,-82.3442,1.45164e-26,4.16469e-25
39,1,-81.8808,1.69484e-26,4.66143e-25
40,1,-81.4174,2.08017e-26,5.26359e-25
41,1,-80.954,2.58543e-26,6.04457e-25
42,1,-80.4906,3.12346e-26,7.03629e-25
43,1,-80.0272,3.59142e-26,8.19843e-25
44,1,-79.5638,3.93169e-26,9.44848e-25
45,1,-79.1004,4.14902e-26,1.07163e-24
46,1,-78.637,4.28419e-26,1.19712e-24
47,1,-78.1736,4.3799e-26,1.32149e-24
48,1,-77.7102,4.46242e-26,1.44613e-24
49,1,-77.2468,4.53998e-26,1.57222e-24
50,1,-76.7834,4.61008e-26,1.70007e-24
51,1,-76.32,4.66818e-26,1.82926e-24
52,1,-75.8566,4.71337e-26,1.95908e-24
53,1,-75.3932,4.74919e-26,2.08907e-24
54,1,-74.9298,4.78137e-26,2.21911e-24
55,1,-74.4663,4.81516e-26,2.34939e-24
56,1,-74.0029,4.85451e-26,2.48011e-24
57,1,-73.5395,4.90325e-26,2.61139e-24
58,1,-73.0761,4.96788e-26,2.74315e-24
59,1,-72.6127,5.06156e-26,2.87514e-24
60,1,-72.1493,5.20915e-26,3.00715e-24
61,1,-71.6859,5.45282e-26,3.13927e-24
62,1,-71.2225,5.85587e-26,3.27262e-24
63,1,-70.7591,6.50153e-26,3.41032e-24
64,1,-70.2957,7.48339e-26,3.55836e-24
65,1,-69.8323,8.88725e-26,3.72618e-24
66,1,-69.3689,1.07678e-25,3.92603e-24
67,1,-68.9055,1.31274e-25,4.17144e-24
68,1,-68.4421,1.59052e-25,4.47468e-24
69,1,-67.9787,1.89804e-25,4.84421e-24
70,1,-67.5153,2.21915e-25,5.2829e-24
71,1,-67.0519,2.53638e-25,5.78751e-24
72,1,-66.5884,2.83382e-25,6.34953e-24
73,1,-66.125,3.09936e-25,6.95713e-24
74,1,-65.6616,3.32583e-25,7.59736e-24
75,1,-65.1982,3.51099e-25,8.25813e-24
76,1,-64.7348,3.65666e-25,8.92948e-24
77,1,-64.2714,3.76761e-25,9.60378e-24
78,1,-63.808,3.851e-25,1.0274e-23
79,1,-63.3446,3.91907e-25,1.09259e-23
80,1,-62.8812,4.00611e-25,1.15031e-23
81,1,-62.4178,4.24585e-25,1.1762e-23
82,1,-61.9544,5.19992e-25,1.06748e-23
83,1,-61.491,9.18935e-25,4.07583e-24
84,1,-61.0276,2.54798e-24,-2.42625e-23
85,1,-60.5642,8.97021e-24,-1.35169e-22
86,1,-60.1008,3.33878e-23,-5.48269e-22
87,1,-59.6374,1.22972e-22,-2.02808e-21
88,1,-59.174,4.40383e-22,-7.14254e-21
89,1,-58.7106,1.52745e-21,-2.42222e-20
90,1,-58.2471,5.12902e-21,-7.93888e-20
91,1,-57.7837,1.6682e-20,-2.51882e-19
92,1,-57.3203,5.25917e-20,-7.74425e-19
93,1,-56.8569,1.60833e-19,-2.30931e-18
94,1,-56.3935,4.77482e-19,-6.6842e-18
95,1,-55.9301,1.37717e-18,-1.87938e-17
96,1,-55.4667,3.86184e-18,-5.1369e-17
97,1,-55.0033,1.05363e-17,-1.36591e-16
98,1,-54.5399,2.79887e-17,-3.5358e-16
99,1,-54.0765,7.24396e-17,-8.91655e-16
100,1,-53.6131,1.82795e-16,-2.19202e-15
101,1,-53.1497,4.50026e-16,-5.25672e-15
102,1,-52.6863,1.08162e-15,-1.23053e-14
103,1,-52.2229,2.53954e-15,-2.81348e-14
104,1,-51.7595,5.82833e-15,-6.28697e-14
105,1,-51.2961,1.3083e-14,-1.37386e-13
106,1,-50.8327,2.87407e-14,-2.93766e-13
107,1,-50.3692,6.18258e-14,-6.14985e-13
108,1,-49.9058,1.30306e-13,-1.26117e-12
109,1,-49.4424,2.6923e-13,-2.5349e-12
110,1,-48.979,5.45605e-13,-4.99641e-12
111,1,-48.5156,1.08506e-12,-9.66242e-12
112,1,-48.0522,2.11873e-12,-1.83426e-11
113,1,-47.5888,4.06401e-12,-3.41973e-11
114,1,-47.1254,7.66132e-12,-6.26447e-11
115,1,-46.662,1.42013e-11,-1.12807e-10
116,1,-46.1986,2.58956e-11,-1.99776e-10
117,1,-45.7352,4.64722e-11,-3.48089e-10
118,1,-45.2718,8.21143e-11,-5.9698e-10
119,1,-44.8084,1.42918e-10,-1.00815e-09
120,1,-44.345,2.4512e-10,-1.67712e-09
121,1,-43.8816,4.14445e-10,-2.74938e-09
122,1,-43.4182,6.91072e-10,-4.44325e-09
123,1,-42.9548,1.13688e-09,-7.08134e-09
124,1,-42.4914,1.84585e-09,-1.11334e-08
125,1,-42.028,2.95891e-09,-1.72737e-08
126,1,-41.5645,4.68457e-09,-2.64558e-08
127,1,-41.1011,7.32758e-09,-4.00104e-08
128,1,-40.6377,1.13278e-08,-5.97678e-08
129,1,-40.1743,1.73129e-08,-8.82119e-08
130,1,-39.711,2.61677e-08,-1.28668e-07
131,1,-39.2476,3.91261e-08,-1.85529e-07
132,1,-38.7842,5.78898e-08,-2.64517e-07
133,1,-38.3208,8.47805e-08,-3.72991e-07
134,1,-37.8574,1.22934e-07,-5.20287e-07
135,1,-37.3941,1.76541e-07,-7.18083e-07
136,1,-36.9307,2.51151e-07,-9.80792e-07
137,1,-36.4674,3.54037e-07,-1.32595e-06
138,1,-36.0041,4.9465e-07,-1.77456e-06
139,0.999999,-35.5408,6.85151e-07,-2.35145e-06
140,0.999999,-35.0775,9.41061e-07,-3.08539e-06
141,0.999999,-34.6143,1.28201e-06,-4.00923e-06
142,0.999998,-34.1511,1.73262e-06,-5.15968e-06
143,0.999998,-33.688,2.32353e-06,-6.57687e-06
144,0.999997,-33.2249,3.09255e-06,-8.30349e-06
145,0.999996,-32.7619,4.08599e-06,-1.03835e-05
146,0.999995,-32.2991,5.36016e-06,-1.28603e-05
147,0.999993,-31.8363,6.98298e-06,-1.57739e-05
148,0.999991,-31.3736,9.03584e-06,-1.91577e-05
149,0.999988,-30.9112,1.16155e-05,-2.30342e-05
150,0.999985,-30.4488,1.48364e-05,-2.74093e-05
151,0.999981,-29.9867,1.88328e-05,-3.22657e-05
152,0.999976,-29.5249,2.37612e-05,-3.75551e-05
153,0.99997,-29.0633,2.9803e-05,-4.31886e-05
154,0.999963,-28.602,3.71669e-05,-4.90257e-05
155,0.999954,-28.1411,4.60922e-05,-5.4862e-05
156,0.999943,-27.6806,5.68507e-05,-6.04146e-05
157,0.99993,-27.2205,6.97502e-05,-6.53062e-05
158,0.999915,-26.7609,8.51367e-05,-6.90477e-05
159,0.999897,-26.3019,0.000103398,-7.10183e-05
160,0.999875,-25.8436,0.000124963,-7.0445e-05
161,0.99985,-25.3859,0.000150311,-6.63796e-05
162,0.99982,-24.929,0.000179965,-5.76749e-05
163,0.999785,-24.473,0.000214502,-4.29593e-05
164,0.999745,-24.0178,0.000254547,-2.06107e-05
165,0.999699,-23.5637,0.000300781,1.12711e-05
166,0.999646,-23.1107,0.000353937,5.48916e-05
167,0.999585,-22.6589,0.000414806,0.00011279
168,0.999516,-22.2084,0.00048423,0.000187868
169,0.999437,-21.7592,0.000563107,0.000283417
170,0.999348,-21.3116,0.00065239,0.000403143
171,0.999247,-20.8655,0.000753085,0.000551196
172,0.999134,-20.4211,0.000866245,0.000732196
173,0.999007,-19.9786,0.000992977,0.000951251
174,0.998866,-19.5379,0.00113443,0.00121398
175,0.998708,-19.0993,0.0012918,0.00152654
176,0.998534,-18.6628,0.00146632,0.00189562
177,0.998341,-18.2286,0.00165926,0.00232849
178,0.998128,-17.7966,0.00187192,0.00283298
179,0.997894,-17.3672,0.00210563,0.0034175
180,0.997638,-16.9403,0.00236174,0.00409103
181,0.997358,-16.5161,0.00264161,0.00486315
182,0.997053,-16.0947,0.00294662,0.00574402
183,0.996722,-15.6761,0.00327816,0.00674435
184,0.996362,-15.2605,0.00363761,0.00787543
185,0.995974,-14.8479,0.00402636,0.00914908
186,0.995554,-14.4385,0.00444575,0.0105777
187,0.995103,-14.0323,0.00489716,0.012174
188,0.994618,-13.6294,0.00538189,0.0139515
189,0.994099,-13.2299,0.00590126,0.0159239
