t,T+R,N_0,N_1
0,1,1.01492e-23,7.10104e-44
1,1,1.01494e-23,1.29249e-40
2,1,1.01488e-23,5.30903e-40
3,1,1.01495e-23,1.07788e-39
4,1,1.01502e-23,9.65827e-40
5,1,1.01498e-23,1.04181e-39
6,1,1.01495e-23,8.97883e-40
7,1,1.01497e-23,2.83587e-39
8,1,1.01497e-23,1.71263e-38
9,1,1.01499e-23,7.2827e-38
10,1,1.01504e-23,2.47995e-37
11,1,1.01496e-23,7.34512e-37
12,1,1.01491e-23,1.8393e-36
13,1,1.01488e-23,3.97922e-36
14,1,1.01483e-23,7.85586e-36
15,1,1.0148e-23,1.42841e-35
16,1,1.01475e-23,2.43645e-35
17,1,1.01461e-23,3.96904e-35
18,1,1.01462e-23,6.16884e-35
19,1,1.01463e-23,9.12509e-35
20,1,1.01447e-23,1.28727e-34
21,1,1.01458e-23,1.7273e-34
22,1,1.01447e-23,2.19926e-34
23,1,1.01436e-23,2.65556e-34
24,1,1.01438e-23,3.02692e-34
25,1,1.01432e-23,3.26228e-34
26,1,1.01433e-23,3.34958e-34
27,1,1.01405e-23,3.34669e-34
28,1,1.01402e-23,3.41234e-34
29,1,1.01412e-23,3.77348e-34
30,1,1.01385e-23,4.67094e-34
31,1,1.0137e-23,6.28602e-34
32,1,1.01334e-23,8.66544e-34
33,1,1.01318e-23,1.16998e-33
34,1,1.01305e-23,1.51729e-33
35,1,1.01294e-23,1.89376e-33
36,1,1.01298e-23,2.31962e-33
37,1,1.01273e-23,2.87183e-33
38,1,1.01247e-23,3.7007e-33
39,1,1.01215e-23,5.03049e-33
40,1,1.01211e-23,7.15809e-33
41,1,1.01205e-23,1.04093e-32
42,1,1.01176e-23,1.50872e-32
43,1,1.01158e-23,2.14404e-32
44,1,1.01137e-23,2.96313e-32
45,1,1.01128e-23,3.9696e-32
46,1,1.01115e-23,5.15115e-32
47,1,1.011e-23,6.48436e-32
48,1,1.01072e-23,7.92629e-32
49,1,1.01058e-23,9.41979e-32
50,1,1.0103e-23,1.08933e-31
51,1,1.01011e-23,1.22612e-31
52,1,1.0099e-23,1.34389e-31
53,1,1.00961e-23,1.43568e-31
54,1,1.00933e-23,1.49583e-31
55,1,1.00924e-23,1.52176e-31
56,1,1.00925e-23,1.5138e-31
57,1,1.00943e-23,1.47489e-31
58,1,1.00962e-23,1.40954e-31
59,1,1.0097e-23,1.32324e-31
60,1,1.00995e-23,1.22147e-31
61,1,1.00989e-23,1.10938e-31
62,1,1.00993e-23,9.91035e-32
63,1,1.01005e-23,8.69766e-32
64,1,1.01008e-23,7.48179e-32
65,1,1.01009e-23,6.28499e-32
66,1,1.01006e-23,5.13561e-32
67,1,1.01011e-23,4.07032e-32
68,1,1.01024e-23,3.13456e-32
69,1,1.01036e-23,2.37666e-32
70,1,1.01014e-23,1.83696e-32
71,1,1.01005e-23,1.5337e-32
72,1,1.01014e-23,1.4542e-32
73,1,1.01001e-23,1.55193e-32
74,1,1.00979e-23,1.75616e-32
75,1,1.00977e-23,1.99238e-32
76,1,1.00951e-23,2.20331e-32
77,1,1.00932e-23,2.36431e-32
78,1,1.00906e-23,2.48882e-32
79,1,1.0089e-23,2.61967e-32
80,1,1.00868e-23,2.81403e-32
81,1,1.00854e-23,3.12729e-32
82,1,1.00861e-23,3.5965e-32
83,1,1.00859e-23,4.23117e-32
84,1,1.00865e-23,5.01385e-32
85,1,1.00868e-23,5.90799e-32
86,1,1.00876e-23,6.87269e-32
87,1,1.00899e-23,7.87686e-32
