t,T+R,N_0,N_1
0,1,1.6644e-23,2.56952e-44
1,1,1.66429e-23,6.25176e-41
2,1,1.66416e-23,4.91549e-40
3,1,1.66403e-23,2.50268e-39
4,1,1.6637e-23,7.59866e-39
5,1,1.66329e-23,8.43295e-39
6,1,1.66295e-23,6.18701e-39
7,1,1.66242e-23,9.71502e-39
8,1,1.66197e-23,3.46869e-38
9,1,1.66148e-23,1.03662e-37
10,1,1.66092e-23,2.49956e-37
11,1,1.66042e-23,5.11576e-37
12,1,1.65991e-23,9.08263e-37
13,1,1.65933e-23,1.50322e-36
14,1,1.65889e-23,2.54782e-36
15,1,1.65852e-23,4.51448e-36
16,1,1.65807e-23,8.25522e-36
17,1,1.65755e-23,1.51912e-35
18,1,1.65699e-23,2.70145e-35
19,1,1.65658e-23,4.57849e-35
20,1,1.65622e-23,7.39892e-35
21,1,1.65593e-23,1.13364e-34
22,1,1.65548e-23,1.64496e-34
23,1,1.6551e-23,2.26453e-34
24,1,1.65506e-23,2.94542e-34
25,1,1.65503e-23,3.60798e-34
26,1,1.65512e-23,4.14911e-34
27,1,1.65529e-23,4.45464e-34
28,1,1.65535e-23,4.46895e-34
29,1,1.65555e-23,4.23557e-34
30,1,1.65569e-23,3.90074e-34
31,1,1.65591e-23,3.69109e-34
32,1,1.6561e-23,3.85252e-34
33,1,1.65634e-23,4.58457e-34
34,1,1.65629e-23,5.90427e-34
35,1,1.65637e-23,7.61792e-34
36,1,1.65632e-23,9.45227e-34
37,1,1.65639e-23,1.12424e-33
38,1,1.65636e-23,1.30831e-33
39,1,1.65638e-23,1.56064e-33
40,1,1.65643e-23,2.00892e-33
41,1,1.65641e-23,2.84686e-33
42,1,1.65635e-23,4.30544e-33
43,1,1.65619e-23,6.63265e-33
44,1,1.65613e-23,1.00665e-32
45,1,1.65595e-23,1.48038e-32
46,1,1.65573e-23,2.09904e-32
47,1,1.65537e-23,2.87359e-32
48,1,1.655e-23,3.80779e-32
49,1,1.65452e-23,4.89811e-32
50,1,1.65385e-23,6.13505e-32
51,1,1.65311e-23,7.49364e-32
52,1,1.65239e-23,8.93198e-32
53,1,1.65165e-23,1.04002e-31
54,1,1.6508e-23,1.18356e-31
55,1,1.64998e-23,1.31743e-31
56,1,1.64893e-23,1.43609e-31
57,1,1.64823e-23,1.53546e-31
58,1,1.64773e-23,1.6131e-31
59,1,1.64721e-23,1.66831e-31
60,1,1.64679e-23,1.70193e-31
61,1,1.64644e-23,1.71628e-31
62,1,1.64614e-23,1.71432e-31
63,1,1.64598e-23,1.69886e-31
64,1,1.64592e-23,1.67216e-31
65,1,1.64607e-23,1.63509e-31
66,1,1.64612e-23,1.58717e-31
67,1,1.64639e-23,1.52711e-31
68,1,1.64655e-23,1.45326e-31
69,1,1.64687e-23,1.36486e-31
70,1,1.6475e-23,1.2626e-31
71,1,1.64794e-23,1.14943e-31
72,1,1.64861e-23,1.03025e-31
73,1,1.64927e-23,9.11838e-32
74,1,1.64982e-23,8.01831e-32
75,1,1.65034e-23,7.07163e-32
76,1,1.65075e-23,6.3274e-32
77,1,1.65119e-23,5.80336e-32
78,1,1.65146e-23,5.48267e-32
79,1,1.6519e-23,5.32564e-32
80,1,1.65212e-23,5.28245e-32
81,1,1.65215e-23,5.30596e-32
82,1,1.6522e-23,5.36103e-32
83,1,1.65226e-23,5.43019e-32
84,1,1.65221e-23,5.50844e-32
85,1,1.65214e-23,5.59911e-32
86,1,1.65195e-23,5.70723e-32
87,1,1.6519e-23,5.83909e-32
88,1,1.65169e-23,6.00109e-32
89,1,1.65158e-23,6.20358e-32
90,1,1.65137e-23,6.47079e-32
91,1,1.65104e-23,6.84791e-32
92,1,1.6507e-23,7.40641e-32
93,1,1.65047e-23,8.24373e-32
94,1,1.65003e-23,9.46187e-32
95,1,1.6495e-23,1.11386e-31
96,1,1.64906e-23,1.32995e-31
97,1,1.64862e-23,1.58996e-31
