t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,1,-99.9537,1.57233e-39,-6.8888e-40,2.86135e-46,-6.20174e-47
1,1,-99.4903,2.32888e-35,-1.06473e-35,8.77684e-40,-1.81085e-40
2,1,-99.0268,3.29871e-34,-1.32625e-34,4.26947e-38,-6.14218e-39
3,1,-98.5634,1.69948e-33,-5.47847e-34,4.3861e-37,-2.87807e-38
4,1,-98.1,5.6686e-33,-1.24847e-33,2.31392e-36,6.72034e-38
5,1,-97.6366,1.47547e-32,-1.61776e-33,8.42928e-36,1.00043e-36
6,1,-97.1732,3.26902e-32,-2.07721e-34,2.43211e-35,4.55072e-36
7,1,-96.7098,6.48206e-32,5.32183e-33,5.99638e-35,1.36141e-35
8,1,-96.2464,1.18571e-31,1.85834e-32,1.32146e-34,3.21256e-35
9,1,-95.783,2.0394e-31,4.48718e-32,2.67466e-34,6.54832e-35
10,1,-95.3196,3.34237e-31,9.12077e-32,5.06176e-34,1.20127e-34
11,1,-94.8562,5.27126e-31,1.66923e-31,9.07431e-34,2.02929e-34
12,1,-94.3928,8.05847e-31,2.84633e-31,1.55594e-33,3.22616e-34
13,1,-93.9294,1.20114e-30,4.61469e-31,2.57051e-33,4.89669e-34
14,1,-93.466,1.75401e-30,7.23654e-31,4.11575e-33,7.20519e-34
15,1,-93.0026,2.51968e-30,1.11211e-30,6.417e-33,1.04552e-33
16,1,-92.5392,3.57442e-30,1.69133e-30,9.78082e-33,1.51421e-33
17,1,-92.0758,5.02709e-30,2.57505e-30,1.46253e-32,2.21654e-33
18,1,-91.6124,7.03857e-30,3.98155e-30,2.15227e-32,3.33609e-33
19,1,-91.149,9.85908e-30,6.37755e-30,3.12642e-32,5.2427e-33
20,1,-90.6855,1.39005e-29,1.10136e-29,4.49689e-32,8.75992e-33
21,1,-90.2221,2.00036e-29,2.06143e-29,6.42678e-32,1.6141e-32
22,1,-89.7587,3.51146e-29,8.52139e-30,9.15152e-32,3.53699e-32
23,1,-89.2953,1.29182e-28,-1.64261e-28,1.33286e-31,8.52309e-32
24,1,-88.8319,5.23941e-28,4.31528e-28,2.87194e-31,3.42729e-31
25,1,-88.3685,1.2479e-27,5.1238e-27,8.62449e-31,3.25693e-30
26,1,-87.9051,1.93911e-27,1.393e-26,1.64652e-30,1.16451e-29
27,1,-87.4417,2.61608e-27,2.39887e-26,2.23986e-30,2.19401e-29
28,1,-86.9783,3.6721e-27,3.63967e-26,3.05778e-30,3.39875e-29
29,1,-86.5149,5.29354e-27,5.52065e-26,4.64585e-30,5.25055e-29
30,1,-86.0515,7.15039e-27,8.34559e-26,7.15733e-30,8.36966e-29
31,1,-85.5881,8.70864e-27,1.18887e-25,9.75003e-30,1.2826e-28
32,1,-85.1247,9.85833e-27,1.57309e-25,1.16805e-29,1.78224e-28
33,1,-84.6613,1.07597e-26,1.97758e-25,1.32615e-29,2.30162e-28
34,1,-84.1979,1.14494e-26,2.40284e-25,1.47346e-29,2.86407e-28
35,1,-83.7345,1.19469e-26,2.83671e-25,1.58407e-29,3.45798e-28
36,1,-83.2711,1.24213e-26,3.27004e-25,1.65913e-29,4.0518e-28
37,1,-82.8076,1.31477e-26,3.70633e-25,1.74174e-29,4.6485e-28
38,1,-82.3442,1.44916e-26,4.1577e-25,1.88646e-29,5.27784e-28
39,1,-81.8808,1.69197e-26,4.65351e-25,2.17789e-29,5.98362e-28
40,1,-81.4174,2.0765e-26,5.2545e-25,2.77133e-29,6.86527e-28
41,1,-80.954,2.58035e-26,6.03381e-25,3.82194e-29,8.12542e-28
42,1,-80.4906,3.11642e-26,7.02305e-25,5.28648e-29,9.97766e-28
43,1,-80.0272,3.58229e-26,8.1819e-25,6.85877e-29,1.24427e-27
44,1,-79.5638,3.92079e-26,9.42815e-25,8.18257e-29,1.52997e-27
45,1,-79.1004,4.1369e-26,1.0692e-24,9.09247e-29,1.82651e-27
46,1,-78.637,4.27134e-26,1.1943e-24,9.6431e-29,2.11711e-27
47,1,-78.1736,4.36659e-26,1.31829e-24,9.98841e-29,2.39934e-27
48,1,-77.7102,4.44874e-26,1.44257e-24,1.02684e-28,2.6786e-27
49,1,-77.2468,4.52591e-26,1.56828e-24,1.05594e-28,2.96152e-27
50,1,-76.7834,4.5956e-26,1.69574e-24,1.08705e-28,3.25218e-27
51,1,-76.32,4.65331e-26,1.82453e-24,1.11689e-28,3.55071e-27
52,1,-75.8566,4.69816e-26,1.95395e-24,1.14182e-28,3.85412e-27
53,1,-75.3932,4.73373e-26,2.08353e-24,1.16076e-28,4.15885e-27
54,1,-74.9298,4.76571e-26,2.21317e-24,1.17557e-28,4.46313e-27
55,1,-74.4663,4.79933e-26,2.34304e-24,1.18941e-28,4.76749e-27
56,1,-74.0029,4.83848e-26,2.47336e-24,1.20479e-28,5.0737e-27
57,1,-73.5395,4.88698e-26,2.60422e-24,1.22307e-28,5.38343e-27
58,1,-73.0761,4.95132e-26,2.73556e-24,1.24507e-28,5.69765e-27
59,1,-72.6127,5.04463e-26,2.86713e-24,1.2723e-28,6.01699e-27
60,1,-72.1493,5.19174e-26,2.9987e-24,1.30846e-28,6.34223e-27
61,1,-71.6859,5.4347e-26,3.13037e-24,1.3618e-28,6.67516e-27
62,1,-71.2225,5.83658e-26,3.26327e-24,1.44944e-28,7.01999e-27
63,1,-70.7591,6.48018e-26,3.40048e-24,1.60352e-28,7.38697e-27
64,1,-70.2957,7.45838e-26,3.54798e-24,1.87714e-28,7.7988e-27
65,1,-69.8323,8.85598e-26,3.71512e-24,2.34581e-28,8.29893e-27
66,1,-69.3689,1.07264e-25,3.9141e-24,3.09975e-28,8.95826e-27
67,1,-68.9055,1.3071e-25,4.15829e-24,4.22555e-28,9.87503e-27
68,1,-68.4421,1.5828e-25,4.4598e-24,5.78089e-28,1.11643e-26
69,1,-67.9787,1.88767e-25,4.82696e-24,7.77102e-28,1.29374e-26
70,1,-67.5153,2.20563e-25,5.26254e-24,1.01368e-27,1.52769e-26
71,1,-67.0519,2.51936e-25,5.76322e-24,1.27601e-27,1.82162e-26
72,1,-66.5884,2.81316e-25,6.32055e-24,1.54851e-27,2.17306e-26
73,1,-66.125,3.07515e-25,6.92279e-24,1.81485e-27,2.57431e-26
74,1,-65.6616,3.29834e-25,7.55715e-24,2.06091e-27,3.01423e-26
75,1,-65.1982,3.48061e-25,8.2117e-24,2.27671e-27,3.48046e-26
76,1,-64.7348,3.62387e-25,8.87663e-24,2.45722e-27,3.96152e-26
77,1,-64.2714,3.73289e-25,9.54443e-24,2.60188e-27,4.4482e-26
78,1,-63.808,3.81478e-25,1.02082e-23,2.7135e-27,4.93415e-26
79,1,-63.3446,3.88174e-25,1.08536e-23,2.79688e-27,5.4157e-26
80,1,-62.8812,3.96797e-25,1.14245e-23,2.85756e-27,5.89135e-26
81,1,-62.4178,4.20713e-25,1.16771e-23,2.90091e-27,6.36105e-26
82,1,-61.9544,5.16079e-25,1.05837e-23,2.93161e-27,6.82556e-26
83,1,-61.491,9.14993e-25,3.97857e-24,2.95346e-27,7.28595e-26
84,1,-61.0276,2.54402e-24,-2.43659e-23,2.96958e-27,7.74308e-26
85,1,-60.5642,8.96623e-24,-1.35278e-22,2.98355e-27,8.19654e-26
86,1,-60.1008,3.33838e-23,-5.48385e-22,3.00549e-27,8.63932e-26
87,1,-59.6374,1.22967e-22,-2.0282e-21,3.08302e-27,9.03149e-26
88,1,-59.174,4.40379e-22,-7.14267e-21,3.45402e-27,9.17457e-26
89,1,-58.7106,1.52744e-21,-2.42223e-20,5.26414e-27,8.14113e-26
90,1,-58.2471,5.129e-21,-7.93888e-20,1.37733e-26,1.8136e-26
91,1,-57.7837,1.66819e-20,-2.51882e-19,5.20153e-26,-2.72331e-25
92,1,-57.3203,5.25914e-20,-7.74423e-19,2.16336e-25,-1.49403e-24
93,1,-56.8569,1.60832e-19,-2.3093e-18,8.92229e-25,-6.36669e-24
94,1,-56.3935,4.77477e-19,-6.68417e-18,3.55715e-24,-2.49487e-23
95,1,-55.9301,1.37716e-18,-1.87937e-17,1.36424e-23,-9.28999e-23
96,1,-55.4667,3.86178e-18,-5.13685e-17,5.03233e-23,-3.31568e-22
97,1,-55.0033,1.05361e-17,-1.3659e-16,1.78702e-22,-1.13779e-21
98,1,-54.5399,2.79879e-17,-3.53575e-16,6.11584e-22,-3.76028e-21
99,1,-54.0765,7.2437e-17,-8.9164e-16,2.01953e-21,-1.19839e-20
100,1,-53.6131,1.82787e-16,-2.19197e-15,6.44171e-21,-3.68721e-20
101,1,-53.1497,4.49999e-16,-5.25658e-15,1.98696e-20,-1.09644e-19
102,1,-52.6863,1.08154e-15,-1.23048e-14,5.933e-20,-3.15433e-19
103,1,-52.2229,2.53931e-15,-2.81336e-14,1.71675e-19,-8.7881e-19
104,1,-51.7595,5.82769e-15,-6.28665e-14,4.81857e-19,-2.37335e-18
105,1,-51.2961,1.30812e-14,-1.37378e-13,1.3132e-18,-6.21874e-18
106,1,-50.8327,2.87361e-14,-2.93745e-13,3.47811e-18,-1.58234e-17
107,1,-50.3692,6.18139e-14,-6.14933e-13,8.96094e-18,-3.91304e-17
108,1,-49.9058,1.30276e-13,-1.26104e-12,2.24769e-17,-9.41235e-17
109,1,-49.4424,2.69158e-13,-2.53461e-12,5.49363e-17,-2.20386e-16
110,1,-48.979,5.45431e-13,-4.99574e-12,1.3094e-16,-5.02674e-16
111,1,-48.5156,1.08466e-12,-9.66093e-12,3.04594e-16,-1.11766e-15
112,1,-48.0522,2.11781e-12,-1.83393e-11,6.92042e-16,-2.42403e-15
113,1,-47.5888,4.06197e-12,-3.41904e-11,1.53683e-15,-5.13146e-15
114,1,-47.1254,7.65689e-12,-6.26305e-11,3.33817e-15,-1.06089e-14
115,1,-46.662,1.41919e-11,-1.12779e-10,7.09707e-15,-2.1432e-14
116,1,-46.1986,2.5876e-11,-1.9972e-10,1.47783e-14,-4.23284e-14
117,1,-45.7352,4.64321e-11,-3.4798e-10,3.01594e-14,-8.17669e-14
118,1,-45.2718,8.20341e-11,-5.96773e-10,6.0359e-14,-1.54552e-13
119,1,-44.8084,1.42761e-10,-1.00777e-09,1.18534e-13,-2.8594e-13
120,1,-44.345,2.44816e-10,-1.67643e-09,2.28546e-13,-5.1797e-13
121,1,-43.8816,4.1387e-10,-2.74815e-09,4.32891e-13,-9.18884e-13
122,1,-43.4182,6.90001e-10,-4.44111e-09,8.05921e-13,-1.59663e-12
