t,T+R,N_0,N_1,N_2
0,1,6.00054e-24,8.2387e-43,2.38419e-49
1,1,6.00094e-24,1.68535e-38,1.11177e-42
2,1,6.00126e-24,2.08366e-37,5.09759e-41
3,1,5.99794e-24,1.0954e-36,5.68846e-40
4,1,6.00067e-24,3.81279e-36,3.33855e-39
5,1,5.99879e-24,1.00085e-35,1.34181e-38
6,1,6.00055e-24,2.24096e-35,4.20875e-38
7,1,6.00337e-24,4.48868e-35,1.11302e-37
8,1,6.00414e-24,8.32398e-35,2.59114e-37
9,1,6.00459e-24,1.44089e-34,5.45113e-37
10,1,6.01281e-24,2.33562e-34,1.05329e-36
11,1,6.01536e-24,3.58488e-34,1.89065e-36
12,1,6.01917e-24,5.23088e-34,3.18281e-36
13,1,6.02193e-24,7.30071e-34,5.06011e-36
14,1,6.0209e-24,9.75686e-34,7.6464e-36
15,1,6.02511e-24,1.25195e-33,1.10404e-35
16,1,6.02452e-24,1.54659e-33,1.53015e-35
17,1,6.02484e-24,1.83884e-33,2.04417e-35
18,1,6.02333e-24,2.10932e-33,2.64211e-35
19,1,6.02373e-24,2.34318e-33,3.31633e-35
20,1,6.01989e-24,2.51963e-33,4.05688e-35
21,1,6.02062e-24,2.62455e-33,4.85064e-35
22,1,6.02395e-24,2.62878e-33,5.67929e-35
23,1,6.02618e-24,2.50972e-33,6.51218e-35
24,1,6.03215e-24,2.25077e-33,7.30023e-35
25,1,6.05022e-24,1.84836e-33,7.97095e-35
26,1,6.05958e-24,1.33357e-33,8.42764e-35
27,1,6.07238e-24,7.82541e-34,8.55918e-35
28,1,6.082e-24,3.46198e-34,8.26759e-35
29,1,6.09091e-24,2.59958e-34,7.51354e-35
30,1,6.10044e-24,8.51934e-34,6.37813e-35
31,1,6.10855e-24,2.52304e-33,5.13211e-35
32,1,6.1155e-24,5.71132e-33,4.299e-35
33,1,6.11018e-24,1.08405e-32,4.69525e-35
34,1,6.10279e-24,1.8243e-32,7.43237e-35
35,1,6.08086e-24,2.80909e-32,1.38632e-34
36,1,6.05495e-24,4.03567e-32,2.54721e-34
37,1,6.02249e-24,5.48054e-32,4.37141e-34
38,1,5.98775e-24,7.09233e-32,6.98141e-34
39,1,5.95473e-24,8.80268e-32,1.04543e-33
40,1,5.92137e-24,1.05239e-31,1.4801e-33
41,1,5.89477e-24,1.21536e-31,1.99479e-33
42,1,5.87023e-24,1.35876e-31,2.57265e-33
43,1,5.86399e-24,1.47403e-31,3.18736e-33
44,1,5.86097e-24,1.55473e-31,3.80485e-33
45,1,5.86492e-24,1.59476e-31,4.38604e-33
46,1,5.87412e-24,1.59179e-31,4.89041e-33
47,1,5.88446e-24,1.54686e-31,5.28112e-33
48,1,5.89808e-24,1.46319e-31,5.52961e-33
49,1,5.90631e-24,1.34829e-31,5.61968e-33
50,1,5.91847e-24,1.21287e-31,5.55025e-33
51,1,5.92901e-24,1.06999e-31,5.33595e-33
52,1,5.93628e-24,9.31279e-32,5.00484e-33
53,1,5.93812e-24,8.08712e-32,4.59438e-33
54,1,5.94113e-24,7.12111e-32,4.14667e-33
55,1,5.94573e-24,6.46552e-32,3.70279e-33
56,1,5.94701e-24,6.12837e-32,3.29807e-33
57,1,5.94887e-24,6.08613e-32,2.95958e-33
58,1,5.95109e-24,6.27388e-32,2.7051e-33
59,1,5.95036e-24,6.60187e-32,2.54362e-33
60,1,5.95057e-24,6.98915e-32,2.47808e-33
61,1,5.94892e-24,7.37123e-32,2.50989e-33
62,1,5.94522e-24,7.73162e-32,2.64414e-33
63,1,5.93939e-24,8.09645e-32,2.89575e-33
64,1,5.93307e-24,8.55106e-32,3.2967e-33
65,1,5.92808e-24,9.23718e-32,3.90581e-33
66,1,5.92504e-24,1.03353e-31,4.82342e-33
67,1,5.91959e-24,1.20611e-31,6.21325e-33
68,1,5.91456e-24,1.4659e-31,8.33203e-33
69,1,5.91041e-24,1.83927e-31,1.15579e-32
70,1,5.9051e-24,2.35695e-31,1.63997e-32
71,1,5.9043e-24,3.05572e-31,2.34674e-32
72,1,5.90629e-24,3.9815e-31,3.34073e-32
73,1,5.90771e-24,5.19267e-31,4.68645e-32
74,1,5.91434e-24,6.767e-31,6.45949e-32
75,1,5.91915e-24,8.80584e-31,8.78553e-32
76,1,5.92297e-24,1.14402e-30,1.19099e-31
77,1,5.92756e-24,1.48361e-30,1.62809e-31
78,1,5.93309e-24,1.92021e-30,2.26075e-31
79,1,5.93269e-24,2.47903e-30,3.18394e-31
80,1,5.92714e-24,3.18892e-30,4.50176e-31
81,1,5.92665e-24,4.08038e-30,6.29631e-31
82,1,5.92651e-24,5.18009e-30,8.58264e-31
83,1,5.92748e-24,6.50481e-30,1.12608e-30
84,1,5.92413e-24,8.05487e-30,1.40885e-30
85,1,5.92082e-24,9.80925e-30,1.67034e-30
86,1,5.92403e-24,1.17257e-29,1.87164e-30
87,1,5.92438e-24,1.37432e-29,1.98661e-30
88,1,5.9291e-24,1.57905e-29,2.01808e-30
89,1,5.93477e-24,1.7793e-29,2.00692e-30
90,1,5.94697e-24,1.96764e-29,2.02693e-30
91,1,5.96288e-24,2.13721e-29,2.16477e-30
92,1,5.97271e-24,2.2819e-29,2.49136e-30
93,1,5.99084e-24,2.39648e-29,3.03646e-30
94,1,5.99825e-24,2.47669e-29,3.77721e-30
95,1,6.00845e-24,2.51971e-29,4.64454e-30
96,1,6.0123e-24,2.52404e-29,5.54353e-30
97,1,6.02008e-24,2.48983e-29,6.37818e-30
98,1,6.02134e-24,2.41836e-29,7.07106e-30
99,1,6.02031e-24,2.31195e-29,7.57245e-30
100,1,6.02044e-24,2.1737e-29,7.85923e-30
101,1,6.01752e-24,2.00745e-29,7.92748e-30
102,1,6.01225e-24,1.81818e-29,7.78441e-30
103,1,6.0014e-24,1.61214e-29,7.44342e-30
104,1,5.9909e-24,1.39663e-29,6.92413e-30
105,1,5.97446e-24,1.17902e-29,6.25565e-30
106,1,5.96424e-24,9.65995e-30,5.4799e-30
107,1,5.95556e-24,7.63115e-30,4.65115e-30
108,1,5.94308e-24,5.74812e-30,3.83013e-30
109,1,5.93315e-24,4.05313e-30,3.07411e-30
110,1,5.92702e-24,2.59271e-30,2.42772e-30
111,1,5.92525e-24,1.41921e-30,1.91943e-30
112,1,5.92942e-24,5.83498e-31,1.56599e-30
113,1,5.93572e-24,1.21117e-31,1.38188e-30
114,1,5.94024e-24,3.91694e-32,1.38715e-30
115,1,5.9495e-24,3.10572e-31,1.6073e-30
116,1,5.95451e-24,8.77322e-31,2.06321e-30
117,1,5.96579e-24,1.66102e-30,2.75523e-30
118,1,5.96963e-24,2.5758e-30,3.64879e-30
119,1,5.97491e-24,3.54219e-30,4.66821e-30
120,1,5.97167e-24,4.49984e-30,5.70252e-30
121,1,5.96942e-24,5.41548e-30,6.62391e-30
122,1,5.97001e-24,6.28087e-30,7.31783e-30
123,1,5.96445e-24,7.07474e-30,7.71675e-30
124,1,5.96172e-24,7.68923e-30,7.81602e-30
125,0.999999,5.95617e-24,7.88018e-30,7.64317e-30
126,0.999998,5.9509e-24,7.43016e-30,7.18461e-30
127,1,5.95593e-24,6.64905e-30,6.36091e-30
128,1,5.96234e-24,6.85498e-30,5.21474e-30
129,1.00001,5.97566e-24,9.8005e-30,4.3616e-30
130,1,5.98145e-24,1.54172e-29,5.34417e-30
131,0.999984,5.96806e-24,2.00812e-29,1.01134e-29
132,0.99997,5.95406e-24,2.23023e-29,1.93017e-29
133,0.999983,5.98388e-24,4.55348e-29,3.13276e-29
134,1.00004,6.10726e-24,1.87916e-28,4.90264e-29
135,1.00011,6.29527e-24,7.21119e-28,1.07018e-28
136,1.00011,6.32487e-24,2.33671e-27,3.43669e-28
137,0.999964,5.8627e-24,6.88471e-27,1.17155e-27
138,0.999711,4.84369e-24,1.95837e-26,3.69888e-27
139,0.999543,4.07701e-24,5.51968e-26,1.08444e-26
140,0.999739,5.47121e-24,1.54397e-25,3.03553e-26
141,1.00042,1.11678e-23,4.25894e-25,8.284e-26
142,1.00128,2.14199e-23,1.1534e-24,2.22545e-25
143,1.00161,3.31681e-23,3.06414e-24,5.89681e-25
144,1.00064,4.36053e-23,7.99355e-24,1.53951e-24
145,0.99825,6.46324e-23,2.05035e-23,3.9556e-24
146,0.995535,1.52736e-22,5.1753e-23,9.99856e-24
147,0.994617,4.58493e-22,1.286e-22,2.48698e-23
148,0.99753,1.30836e-21,3.1467e-22,6.09037e-23
149,1.00454,3.36967e-21,7.5837e-22,1.4692e-22
150,1.0129,8.04261e-21,1.80076e-21,3.49281e-22
151,1.01728,1.84196e-20,4.21442e-21,8.18616e-22
152,1.01219,4.15179e-20,9.72503e-21,1.89204e-21
153,0.99567,9.31923e-20,2.21347e-20,4.31379e-21
154,0.972324,2.08519e-19,4.97087e-20,9.70495e-21
155,0.953414,4.63266e-19,1.10181e-19,2.15511e-20
156,0.952899,1.01779e-18,2.41117e-19,4.72517e-20
157,0.980344,2.20626e-18,5.21098e-19,1.02322e-19
158,1.03372,4.71661e-18,1.11251e-18,2.18903e-19
159,1.09611,9.95039e-18,2.34695e-18,4.62791e-19
160,1.13919,2.0734e-17,4.8936e-18,9.67126e-19
161,1.13381,4.27069e-17,1.00877e-17,1.99829e-18
162,1.06413,8.70004e-17,2.05638e-17,4.08336e-18
163,0.939497,1.75342e-16,4.14635e-17,8.25401e-18
164,0.797949,3.49679e-16,8.27144e-17,1.65082e-17
165,0.697812,6.90137e-16,1.63284e-16,3.26752e-17
166,0.69855,1.34817e-15,3.19045e-16,6.40197e-17
167,0.83676,2.60716e-15,6.17153e-16,1.24187e-16
168,1.10625,4.99221e-15,1.1821e-15,2.38559e-16
169,1.45082,9.46686e-15,2.24246e-15,4.53893e-16
170,1.77452,1.77826e-14,4.21389e-15,8.55524e-16
171,1.96846,3.30937e-14,7.84528e-15,1.59776e-15
172,1.94656,6.10292e-14,1.44737e-14,2.95709e-15
173,1.67932,1.11545e-13,2.64647e-14,5.4246e-15
174,1.21363,2.02095e-13,4.79673e-14,9.86488e-15
175,0.670838,3.63013e-13,8.61952e-14,1.77871e-14
176,0.221418,6.46574e-13,1.53584e-13,3.18033e-14
177,0.0420241,1.14211e-12,2.71395e-13,5.63976e-14
178,0.266323,2.00105e-12,4.75675e-13,9.92043e-14
179,0.943464,3.47797e-12,8.27052e-13,1.73118e-13
180,2.01632,5.99754e-12,1.42668e-12,2.99746e-13
181,3.32645,1.02626e-11,2.44204e-12,5.15016e-13
182,4.64556,1.74274e-11,4.1482e-12,8.7821e-13
183,5.72608,2.93735e-11,6.99367e-12,1.48641e-12
184,6.35863,4.91447e-11,1.17041e-11,2.49742e-12
185,6.42224,8.16297e-11,1.94451e-11,4.1659e-12
186,5.91525,1.34623e-10,3.2075e-11,6.89979e-12
187,4.95962,2.20463e-10,5.25358e-11,1.1348e-11
188,3.77788,3.58546e-10,8.54521e-11,1.85354e-11
189,2.64826,5.7915e-10,1.38042e-10,3.00698e-11
190,1.84815,9.29217e-10,2.21494e-10,4.84557e-11
191,1.59841,1.48104e-09,3.53035e-10,7.75686e-11
192,2.01997,2.34518e-09,5.59007e-10,1.23365e-10
193,3.11109,3.68969e-09,8.79426e-10,1.9494e-10
194,4.74889,5.76824e-09,1.37468e-09,3.06092e-10
195,6.71345,8.96136e-09,2.13529e-09,4.77615e-10
196,8.72858,1.38362e-08,3.29614e-09,7.40654e-10
197,10.5105,2.12329e-08,5.05683e-09,1.14155e-09
198,11.8149,3.23879e-08,7.71095e-09,1.74885e-09
199,12.474,4.91101e-08,1.16876e-08,2.6633e-09
