t,T+R,N_0,N_1,N_2
0,1,1.6644e-23,2.56952e-44,7.75361e-51
1,1,1.66429e-23,6.25178e-41,1.41807e-45
2,1,1.66416e-23,4.91521e-40,1.82416e-44
3,1,1.66403e-23,2.502e-39,1.52768e-43
4,1,1.6637e-23,7.59451e-39,1.24082e-42
5,1,1.66325e-23,8.41818e-39,4.77e-42
6,1,1.66285e-23,5.63953e-39,9.21066e-42
7,1,1.66248e-23,1.4642e-38,7.69958e-42
8,1,1.66199e-23,7.49582e-38,4.30892e-44
9,1,1.66141e-23,2.23557e-37,6.17264e-41
10,1,1.66089e-23,4.93782e-37,5.04779e-40
11,1,1.66029e-23,8.84519e-37,2.18069e-39
12,1,1.65966e-23,1.47043e-36,7.02551e-39
13,1,1.65913e-23,2.30107e-36,1.88977e-38
14,1,1.65847e-23,3.61163e-36,4.44834e-38
15,1,1.65798e-23,5.91131e-36,9.42779e-38
16,1,1.6575e-23,1.00938e-35,1.83342e-37
17,1,1.65714e-23,1.74685e-35,3.31503e-37
18,1,1.65674e-23,2.97898e-35,5.6243e-37
19,1,1.6563e-23,4.93677e-35,9.01416e-37
20,1,1.65597e-23,7.91626e-35,1.37177e-36
21,1,1.65558e-23,1.2163e-34,1.98854e-36
22,1,1.65525e-23,1.7884e-34,2.7496e-36
23,1,1.65513e-23,2.49667e-34,3.62466e-36
24,1,1.65502e-23,3.28659e-34,4.54478e-36
25,1,1.65486e-23,4.06382e-34,5.40036e-36
26,1,1.6549e-23,4.70013e-34,6.05648e-36
27,1,1.65498e-23,5.06011e-34,6.38566e-36
28,1,1.6551e-23,5.05784e-34,6.31714e-36
29,1,1.65542e-23,4.70145e-34,5.88558e-36
30,1,1.65569e-23,4.11416e-34,5.25986e-36
31,1,1.65583e-23,3.55881e-34,4.73779e-36
32,1,1.65611e-23,3.35148e-34,4.69046e-36
33,1,1.65626e-23,3.77065e-34,5.45329e-36
34,1,1.65627e-23,4.94711e-34,7.19205e-36
35,1,1.65632e-23,6.80518e-34,9.78163e-36
36,1,1.6563e-23,9.05861e-34,1.2751e-35
37,1,1.65625e-23,1.13849e-33,1.53294e-35
38,1,1.65616e-23,1.36836e-33,1.66268e-35
39,1,1.65621e-23,1.63033e-33,1.59147e-35
40,1,1.6562e-23,2.03051e-33,1.29585e-35
41,1,1.65613e-23,2.7516e-33,8.32089e-36
42,1,1.65613e-23,4.03248e-33,3.55787e-36
43,1,1.65606e-23,6.1355e-33,1.24503e-36
44,1,1.65586e-23,9.32193e-33,4.8517e-36
45,1,1.65557e-23,1.38059e-32,1.85166e-35
46,1,1.65522e-23,1.97645e-32,4.67974e-35
47,1,1.65498e-23,2.7312e-32,9.44343e-35
48,1,1.65448e-23,3.64976e-32,1.66109e-34
49,1,1.65388e-23,4.72962e-32,2.66131e-34
50,1,1.65311e-23,5.95594e-32,3.97952e-34
51,1,1.6524e-23,7.29856e-32,5.63458e-34
52,1,1.65161e-23,8.71278e-32,7.6217e-34
53,1,1.65087e-23,1.01402e-31,9.90677e-34
54,1,1.64998e-23,1.15181e-31,1.24255e-33
55,1,1.64917e-23,1.27839e-31,1.50897e-33
56,1,1.64839e-23,1.38866e-31,1.77988e-33
57,1,1.64771e-23,1.47938e-31,2.04552e-33
58,1,1.64702e-23,1.5489e-31,2.29768e-33
59,1,1.64652e-23,1.59789e-31,2.53059e-33
60,1,1.64603e-23,1.62786e-31,2.74128e-33
61,1,1.64571e-23,1.64097e-31,2.92913e-33
62,1,1.64547e-23,1.63888e-31,3.09496e-33
63,1,1.64542e-23,1.62203e-31,3.23981e-33
64,1,1.64554e-23,1.59005e-31,3.36376e-33
65,1,1.64557e-23,1.54203e-31,3.46501e-33
66,1,1.64564e-23,1.47768e-31,3.53944e-33
67,1,1.6459e-23,1.39772e-31,3.58128e-33
68,1,1.64625e-23,1.30443e-31,3.58497e-33
69,1,1.64666e-23,1.20151e-31,3.54846e-33
70,1,1.64739e-23,1.09368e-31,3.47635e-33
71,1,1.64794e-23,9.85664e-32,3.38129e-33
72,1,1.64858e-23,8.81935e-32,3.28281e-33
73,1,1.64899e-23,7.86764e-32,3.20484e-33
74,1,1.64943e-23,7.03315e-32,3.1734e-33
75,1,1.6501e-23,6.32955e-32,3.21521e-33
76,1,1.65062e-23,5.75116e-32,3.35614e-33
77,1,1.65118e-23,5.27606e-32,3.61805e-33
78,1,1.65148e-23,4.87476e-32,4.01355e-33
79,1,1.65179e-23,4.52262e-32,4.53975e-33
80,1,1.65209e-23,4.20777e-32,5.17361e-33
81,1,1.65225e-23,3.93418e-32,5.87043e-33
82,1,1.65232e-23,3.71727e-32,6.56622e-33
83,1,1.65234e-23,3.57769e-32,7.18271e-33
84,1,1.6524e-23,3.53246e-32,7.63441e-33
85,1,1.65224e-23,3.5933e-32,7.83872e-33
86,1,1.65208e-23,3.76382e-32,7.73306e-33
87,1,1.65197e-23,4.04262e-32,7.30454e-33
88,1,1.65178e-23,4.42718e-32,6.63514e-33
89,1,1.65156e-23,4.91482e-32,5.95681e-33
90,1,1.6513e-23,5.50446e-32,5.69823e-33
91,1,1.65108e-23,6.19893e-32,6.4964e-33
92,1,1.65083e-23,7.01126e-32,9.15036e-33
93,1,1.6506e-23,7.96877e-32,1.45153e-32
94,1,1.65035e-23,9.11471e-32,2.33663e-32
95,1,1.65002e-23,1.05032e-31,3.62865e-32
96,1,1.64968e-23,1.2197e-31,5.36454e-32
97,1,1.64929e-23,1.42567e-31,7.57215e-32
98,1,1.64904e-23,1.67337e-31,1.03008e-31
99,1,1.64879e-23,1.96717e-31,1.36714e-31
100,1,1.6488e-23,2.31017e-31,1.79449e-31
101,1,1.64886e-23,2.70541e-31,2.3599e-31
102,1,1.64897e-23,3.15592e-31,3.13975e-31
