t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,1,-99.9537,1.57233e-39,-6.8888e-40,2.86135e-46,-6.20174e-47,6.02969e-53,-8.84377e-54
1,1,-99.4903,2.32888e-35,-1.06473e-35,8.77607e-40,-1.81075e-40,4.84269e-44,-5.87302e-45
2,1,-99.0268,3.29752e-34,-1.32505e-34,4.26782e-38,-6.13834e-39,8.04424e-42,-4.42218e-43
3,1,-98.5634,1.69736e-33,-5.45803e-34,4.38103e-37,-2.81994e-38,1.64265e-40,3.45896e-42
4,1,-98.1,5.6598e-33,-1.26002e-33,2.30853e-36,6.34772e-38,1.3717e-39,1.38112e-40
5,1,-97.6366,1.47392e-32,-1.66959e-33,8.40605e-36,9.68125e-37,7.04206e-39,1.12802e-39
6,1,-97.1732,3.26797e-32,-2.85178e-34,2.42588e-35,4.51103e-36,2.67855e-38,5.13739e-39
7,1,-96.7098,6.48299e-32,5.19798e-33,5.9811e-35,1.35442e-35,8.3267e-38,1.59145e-38
8,1,-96.2464,1.18617e-31,1.85583e-32,1.31783e-34,3.20728e-35,2.24e-37,3.78533e-38
9,1,-95.783,2.04033e-31,4.53938e-32,2.66625e-34,6.58172e-35,5.39879e-37,7.53518e-38
10,1,-95.3196,3.34374e-31,9.24429e-32,5.04336e-34,1.21057e-34,1.19278e-36,1.29423e-37
11,1,-94.8562,5.27274e-31,1.68441e-31,9.03556e-34,2.03818e-34,2.45582e-36,1.92832e-37
12,1,-94.3928,8.05999e-31,2.85742e-31,1.54822e-33,3.21877e-34,4.77056e-36,2.50453e-37
13,1,-93.9294,1.20131e-30,4.62115e-31,2.55611e-33,4.86529e-34,8.82618e-36,2.81313e-37
14,1,-93.466,1.75422e-30,7.23252e-31,4.08993e-33,7.14658e-34,1.5667e-35,2.60497e-37
15,1,-93.0026,2.52004e-30,1.10897e-30,6.37235e-33,1.0342e-33,2.68374e-35,1.64038e-37
16,1,-92.5392,3.57512e-30,1.68554e-30,9.70627e-33,1.49636e-33,4.45759e-35,-1.98726e-38
17,1,-92.0758,5.02816e-30,2.56852e-30,1.45037e-32,2.19597e-33,7.20717e-35,-2.75355e-37
18,1,-91.6124,7.03989e-30,3.97686e-30,2.13284e-32,3.315e-33,1.13809e-34,-5.32218e-37
19,1,-91.149,9.86019e-30,6.37972e-30,3.09591e-32,5.2248e-33,1.76018e-34,-5.85349e-37
20,1,-90.6855,1.39006e-29,1.10242e-29,4.44965e-32,8.74189e-33,2.67279e-34,8.48646e-38
21,1,-90.2221,2.0002e-29,2.06259e-29,6.35478e-32,1.6088e-32,3.99332e-34,3.0499e-36
22,1,-89.7587,3.51107e-29,8.52426e-30,9.04356e-32,3.5186e-32,5.87926e-34,1.45921e-35
23,1,-89.2953,1.29177e-28,-1.6428e-28,1.31716e-31,8.46188e-32,8.51282e-34,6.34133e-35
24,1,-88.8319,5.23943e-28,4.31491e-28,2.85082e-31,3.41307e-31,1.20955e-33,2.64805e-34
25,1,-88.3685,1.24792e-27,5.12387e-27,8.59488e-31,3.25436e-30,1.87938e-33,1.72841e-33
26,1,-87.9051,1.93913e-27,1.39303e-26,1.64197e-30,1.16348e-29,3.01134e-33,8.42282e-33
27,1,-87.4417,2.6161e-27,2.39892e-26,2.23378e-30,2.19166e-29,4.04024e-33,1.83639e-32
28,1,-86.9783,3.67209e-27,3.63972e-26,3.04987e-30,3.39466e-29,5.23916e-33,3.03463e-32
29,1,-86.5149,5.2935e-27,5.5207e-26,4.63478e-30,5.24341e-29,7.32855e-33,5.01763e-32
30,1,-86.0515,7.15031e-27,8.34562e-26,7.14083e-30,8.35694e-29,1.09273e-32,8.62292e-32
31,1,-85.5881,8.70853e-27,1.18887e-25,9.72682e-30,1.28045e-28,1.53765e-32,1.43027e-31
32,1,-85.1247,9.85817e-27,1.57308e-25,1.16516e-29,1.77906e-28,1.91496e-32,2.09337e-31
33,1,-84.6613,1.07595e-26,1.97757e-25,1.32275e-29,2.29741e-28,2.24502e-32,2.77011e-31
34,1,-84.1979,1.14492e-26,2.40282e-25,1.46951e-29,2.85871e-28,2.60649e-32,3.5145e-31
35,1,-83.7345,1.19466e-26,2.83667e-25,1.57961e-29,3.45137e-28,2.95093e-32,4.33454e-31
36,1,-83.2711,1.2421e-26,3.27e-25,1.65424e-29,4.04394e-28,3.23309e-32,5.1613e-31
37,1,-82.8076,1.31475e-26,3.70629e-25,1.73642e-29,4.63941e-28,3.51733e-32,5.98572e-31
38,1,-82.3442,1.44914e-26,4.15765e-25,1.88055e-29,5.26742e-28,3.91084e-32,6.87321e-31
39,1,-81.8808,1.69195e-26,4.65345e-25,2.17102e-29,5.97163e-28,4.55636e-32,7.92234e-31
40,1,-81.4174,2.07649e-26,5.25443e-25,2.76264e-29,6.85118e-28,5.7667e-32,9.326e-31
41,1,-80.954,2.58035e-26,6.03374e-25,3.8098e-29,8.10801e-28,8.08297e-32,1.15513e-30
42,1,-80.4906,3.11644e-26,7.02299e-25,5.26875e-29,9.95465e-28,1.1828e-31,1.52918e-30
43,1,-80.0272,3.58231e-26,8.18184e-25,6.83404e-29,1.24113e-27,1.65016e-31,2.08905e-30
44,1,-79.5638,3.92083e-26,9.4281e-25,8.15112e-29,1.52578e-27,2.10012e-31,2.78902e-30
45,1,-79.1004,4.13694e-26,1.06919e-24,9.05579e-29,1.8212e-27,2.44955e-31,3.53958e-30
46,1,-78.637,4.27138e-26,1.1943e-24,9.60286e-29,2.1107e-27,2.68756e-31,4.27509e-30
47,1,-78.1736,4.36663e-26,1.31829e-24,9.94568e-29,2.39188e-27,2.85274e-31,4.97859e-30
48,1,-77.7102,4.44877e-26,1.44257e-24,1.02236e-28,2.67011e-27,2.99374e-31,5.6656e-30
49,1,-77.2468,4.52595e-26,1.56828e-24,1.05122e-28,2.95198e-27,3.14597e-31,6.36175e-30
50,1,-76.7834,4.59563e-26,1.69574e-24,1.08207e-28,3.24156e-27,3.32284e-31,7.08781e-30
51,1,-76.32,4.65334e-26,1.82453e-24,1.11162e-28,3.53895e-27,3.5163e-31,7.85066e-30
52,1,-75.8566,4.6982e-26,1.95395e-24,1.13626e-28,3.84117e-27,3.7076e-31,8.64137e-30
53,1,-75.3932,4.73377e-26,2.08353e-24,1.15494e-28,4.1447e-27,3.88324e-31,9.44306e-30
54,1,-74.9298,4.76574e-26,2.21317e-24,1.16951e-28,4.44778e-27,4.04465e-31,1.02434e-29
55,1,-74.4663,4.79935e-26,2.34304e-24,1.1831e-28,4.75095e-27,4.20521e-31,1.10415e-29
56,1,-74.0029,4.8385e-26,2.47336e-24,1.19822e-28,5.05595e-27,4.38002e-31,1.18459e-29
57,1,-73.5395,4.887e-26,2.60423e-24,1.21621e-28,5.36445e-27,4.57868e-31,1.26666e-29
58,1,-73.0761,4.95134e-26,2.73556e-24,1.23787e-28,5.67741e-27,4.80565e-31,1.35104e-29
59,1,-72.6127,5.04465e-26,2.86713e-24,1.26471e-28,5.99543e-27,5.06581e-31,1.43817e-29
60,1,-72.1493,5.19177e-26,2.9987e-24,1.30041e-28,6.31932e-27,5.37087e-31,1.5286e-29
61,1,-71.6859,5.43473e-26,3.13038e-24,1.3532e-28,6.65083e-27,5.74714e-31,1.62348e-29
62,1,-71.2225,5.83662e-26,3.26328e-24,1.44009e-28,6.99413e-27,6.25111e-31,1.72517e-29
63,1,-70.7591,6.48024e-26,3.40048e-24,1.59304e-28,7.35941e-27,7.0027e-31,1.8387e-29
64,1,-70.2957,7.45849e-26,3.54798e-24,1.86483e-28,7.76919e-27,8.23835e-31,1.97522e-29
65,1,-69.8323,8.85616e-26,3.71513e-24,2.33033e-28,8.26659e-27,1.03692e-30,2.15773e-29
66,1,-69.3689,1.07267e-25,3.91411e-24,3.07887e-28,8.92187e-27,1.4007e-30,2.42815e-29
67,1,-68.9055,1.30714e-25,4.15831e-24,4.19588e-28,9.83231e-27,1.99151e-30,2.8523e-29
68,1,-68.4421,1.58285e-25,4.45983e-24,5.73787e-28,1.11116e-26,2.88602e-30,3.51839e-29
69,1,-67.9787,1.88773e-25,4.82701e-24,7.70927e-28,1.28697e-26,4.13938e-30,4.52605e-29
70,1,-67.5153,2.20571e-25,5.26259e-24,1.00508e-27,1.51876e-26,5.76356e-30,5.96708e-29
71,1,-67.0519,2.51946e-25,5.76329e-24,1.26449e-27,1.80979e-26,7.71515e-30,7.90353e-29
72,1,-66.5884,2.81328e-25,6.32065e-24,1.53371e-27,2.15757e-26,9.89835e-30,1.03511e-28
73,1,-66.125,3.07529e-25,6.92292e-24,1.79664e-27,2.55444e-26,1.21828e-29,1.32742e-28
74,1,-65.6616,3.29851e-25,7.55732e-24,2.03934e-27,2.98939e-26,1.443e-29,1.65939e-28
75,1,-65.1982,3.4808e-25,8.2119e-24,2.25203e-27,3.4502e-26,1.65188e-29,2.02055e-28
76,1,-64.7348,3.62408e-25,8.87687e-24,2.42979e-27,3.92558e-26,1.83635e-29,2.39994e-28
77,1,-64.2714,3.73312e-25,9.54471e-24,2.57212e-27,4.40646e-26,1.99201e-29,2.78781e-28
78,1,-63.808,3.81503e-25,1.02085e-23,2.68187e-27,4.88659e-26,2.11833e-29,3.17673e-28
79,1,-63.3446,3.88199e-25,1.0854e-23,2.76377e-27,5.36236e-26,2.21767e-29,3.56188e-28
80,1,-62.8812,3.96823e-25,1.14249e-23,2.82332e-27,5.83232e-26,2.29404e-29,3.94073e-28
81,1,-62.4178,4.2074e-25,1.16776e-23,2.86582e-27,6.29643e-26,2.35209e-29,4.3125e-28
82,1,-61.9544,5.16106e-25,1.05842e-23,2.89587e-27,6.75544e-26,2.39632e-29,4.67748e-28
83,1,-61.491,9.15019e-25,3.97911e-24,2.91722e-27,7.2104e-26,2.43067e-29,5.03648e-28
84,1,-61.0276,2.54404e-24,-2.43653e-23,2.93295e-27,7.66217e-26,2.45834e-29,5.39042e-28
85,1,-60.5642,8.96626e-24,-1.35278e-22,2.9466e-27,8.11031e-26,2.48178e-29,5.74008e-28
86,1,-60.1008,3.33838e-23,-5.48384e-22,2.96826e-27,8.54779e-26,2.50292e-29,6.086e-28
87,1,-59.6374,1.22967e-22,-2.0282e-21,3.04552e-27,8.9347e-26,2.52354e-29,6.42823e-28
88,1,-59.174,4.40379e-22,-7.14267e-21,3.41622e-27,9.07255e-26,2.54754e-29,6.76525e-28
89,1,-58.7106,1.52744e-21,-2.42223e-20,5.22573e-27,8.03404e-26,2.59325e-29,7.08812e-28
90,1,-58.2471,5.129e-21,-7.93888e-20,1.37325e-26,1.7023e-26,2.75979e-29,7.35036e-28
91,1,-57.7837,1.66819e-20,-2.51882e-19,5.19626e-26,-2.73443e-25,3.56535e-29,7.32165e-28
92,1,-57.3203,5.25914e-20,-7.74423e-19,2.16224e-25,-1.49494e-24,7.58043e-29,5.91598e-28
93,1,-56.8569,1.60832e-19,-2.3093e-18,8.9183e-25,-6.36646e-24,2.69185e-28,-1.73971e-28
94,1,-56.3935,4.77477e-19,-6.68417e-18,3.55543e-24,-2.49433e-23,1.15933e-27,-3.64534e-27
95,1,-55.9301,1.37716e-18,-1.87937e-17,1.36348e-23,-9.28726e-23,5.07268e-27,-1.82858e-26
96,1,-55.4667,3.86178e-18,-5.13685e-17,5.02913e-23,-3.31453e-22,2.15227e-26,-7.69224e-26
97,1,-55.0033,1.05361e-17,-1.3659e-16,1.78571e-22,-1.13734e-21,8.77316e-26,-3.01137e-25
98,1,-54.5399,2.79879e-17,-3.53575e-16,6.11073e-22,-3.7586e-21,3.43244e-25,-1.12144e-24
99,1,-54.0765,7.2437e-17,-8.9164e-16,2.01761e-21,-1.19779e-20,1.29002e-24,-3.99698e-24
100,1,-53.6131,1.82787e-16,-2.19197e-15,6.43478e-21,-3.68516e-20,4.66292e-24,-1.3667e-23
101,1,-53.1497,4.49999e-16,-5.25658e-15,1.98454e-20,-1.09577e-19,1.62307e-23,-4.48968e-23
102,1,-52.6863,1.08154e-15,-1.23048e-14,5.92489e-20,-3.1522e-19,5.44721e-23,-1.41856e-22
103,1,-52.2229,2.53931e-15,-2.81336e-14,1.71412e-19,-8.78162e-19,1.7648e-22,-4.3151e-22
104,1,-51.7595,5.82769e-15,-6.28665e-14,4.81034e-19,-2.37145e-18,5.52596e-22,-1.26479e-21
105,1,-51.2961,1.30812e-14,-1.37378e-13,1.3107e-18,-6.21336e-18,1.67419e-21,-3.57485e-21
106,1,-50.8327,2.87361e-14,-2.93745e-13,3.4708e-18,-1.58087e-17,4.91311e-21,-9.74959e-21
107,1,-50.3692,6.18139e-14,-6.14933e-13,8.94011e-18,-3.90917e-17,1.39805e-20,-2.56697e-20
108,1,-49.9058,1.30277e-13,-1.26104e-12,2.24194e-17,-9.4025e-17,3.86136e-20,-6.52695e-20
109,1,-49.4424,2.69158e-13,-2.53461e-12,5.47818e-17,-2.20143e-16,1.03618e-19,-1.60293e-19
110,1,-48.979,5.45431e-13,-4.99574e-12,1.30537e-16,-5.02099e-16,2.70405e-19,-3.80175e-19
111,1,-48.5156,1.08466e-12,-9.66093e-12,3.0357e-16,-1.11634e-15,6.86865e-19,-8.70404e-19
112,1,-48.0522,2.11781e-12,-1.83393e-11,6.89508e-16,-2.42111e-15,1.69975e-18,-1.92189e-18
113,1,-47.5888,4.06197e-12,-3.41904e-11,1.53071e-15,-5.12523e-15,4.10131e-18,-4.08615e-18
114,1,-47.1254,7.65689e-12,-6.26305e-11,3.32377e-15,-1.05962e-14,9.65681e-18,-8.3435e-18
115,1,-46.662,1.41919e-11,-1.12779e-10,7.06395e-15,-2.1407e-14,2.22055e-17,-1.62924e-17
116,1,-46.1986,2.5876e-11,-1.9972e-10,1.47039e-14,-4.22818e-14,4.99031e-17,-3.02105e-17
117,1,-45.7352,4.64322e-11,-3.4798e-10,2.99957e-14,-8.1685e-14,1.09687e-16,-5.25345e-17
118,1,-45.2718,8.20342e-11,-5.96773e-10,6.00069e-14,-1.5442e-13,2.35961e-16,-8.36166e-17
119,1,-44.8084,1.42761e-10,-1.00777e-09,1.17792e-13,-2.85752e-13,4.97146e-16,-1.15125e-16
120,1,-44.345,2.44817e-10,-1.67643e-09,2.27014e-13,-5.17769e-13,1.02652e-15,-1.1345e-16
121,1,-43.8816,4.13871e-10,-2.74815e-09,4.29789e-13,-9.18847e-13,2.07855e-15,1.83778e-17
122,1,-43.4182,6.90003e-10,-4.44111e-09,7.99756e-13,-1.59728e-12,4.12983e-15,5.22662e-16
123,1,-42.9548,1.13492e-09,-7.07769e-09,1.46348e-12,-2.72006e-12,8.05627e-15,1.95505e-15
124,1,-42.4914,1.84233e-09,-1.11273e-08,2.63487e-12,-4.5375e-12,1.54387e-14,5.51528e-15
125,1,-42.028,2.95266e-09,-1.72637e-08,4.6697e-12,-7.41341e-12,2.90806e-14,1.36762e-14
126,1,-41.5645,4.67366e-09,-2.64399e-08,8.15043e-12,-1.18584e-11,5.38689e-14,3.13443e-14
127,1,-41.1011,7.30881e-09,-3.99854e-08,1.40162e-11,-1.85601e-11,9.81831e-14,6.79434e-14
128,1,-40.6377,1.1296e-08,-5.97296e-08,2.37592e-11,-2.83981e-11,1.76162e-13,1.41063e-13
129,1,-40.1743,1.72597e-08,-8.8155e-08,3.97161e-11,-4.24196e-11,3.11294e-13,2.82703e-13
130,1,-39.711,2.60799e-08,-1.28585e-07,6.54963e-11,-6.17364e-11,5.42018e-13,5.49727e-13
131,1,-39.2476,3.8983e-08,-1.85411e-07,1.06599e-10,-8.72803e-11,9.30317e-13,1.04103e-12
132,1,-38.7842,5.76597e-08,-2.64357e-07,1.71296e-10,-1.19316e-10,1.57474e-12,1.92518e-12
133,1,-38.3208,8.44152e-08,-3.72781e-07,2.71867e-10,-1.56565e-10,2.62985e-12,3.48413e-12
134,1,-37.8574,1.22361e-07,-5.20026e-07,4.26323e-10,-1.94717e-10,4.33477e-12,6.1812e-12
135,1,-37.3941,1.75652e-07,-7.17784e-07,6.60765e-10,-2.24031e-10,7.05481e-12,1.0765e-11
136,1,-36.9307,2.49788e-07,-9.80493e-07,1.01258e-09,-2.25587e-10,1.1341e-11,1.8426e-11
137,1,-36.4674,3.5197e-07,-1.32573e-06,1.5347e-09,-1.65597e-10,1.80143e-11,3.10287e-11
138,1,-36.0041,4.91548e-07,-1.7746e-06,2.30129e-09,1.29795e-11,2.8284e-11,5.1451e-11
139,0.999999,-35.5408,6.80546e-07,-2.35202e-06,3.4151e-09,4.02574e-10,4.39103e-11,8.40737e-11
140,0.999999,-35.0775,9.3429e-07,-3.08699e-06,5.01708e-09,1.1482e-09,6.74273e-11,1.35477e-10
141,0.999999,-34.6143,1.27215e-06,-4.01265e-06,7.29857e-09,2.47135e-09,1.02444e-10,2.15418e-10
142,0.999998,-34.1511,1.71841e-06,-5.16616e-06,1.05168e-08,4.70276e-09,1.54047e-10,3.38189e-10
143,0.999998,-33.688,2.30322e-06,-6.58833e-06,1.50144e-08,8.32651e-09,2.29333e-10,5.24479e-10
144,0.999997,-33.2249,3.0638e-06,-8.3228e-06,2.12434e-08,1.40386e-08,3.38101e-10,8.0389e-10
145,0.999996,-32.7619,4.04564e-06,-1.04149e-05,2.97949e-08,2.28238e-08,4.93761e-10,1.21832e-09
146,0.999995,-32.2991,5.304e-06,-1.29099e-05,4.14349e-08,3.60549e-08,7.14488e-10,1.82645e-09
147,0.999993,-31.8363,6.90547e-06,-1.58504e-05,5.7148e-08,5.56198e-08,1.02469e-09,2.70961e-09
148,0.999991,-31.3736,8.9297e-06,-1.92734e-05,7.81894e-08,8.40815e-08,1.45688e-09,3.97939e-09
149,0.999988,-30.9112,1.14713e-05,-2.32061e-05,1.06146e-07,1.24879e-07,2.05395e-09,5.78753e-09
150,0.999985,-30.4488,1.4642e-05,-2.76608e-05,1.43008e-07,1.82574e-07,2.87208e-09,8.33834e-09
151,0.999981,-29.9867,1.85726e-05,-3.26284e-05,1.91254e-07,2.63154e-07,3.98421e-09,1.19045e-08
152,0.999976,-29.5249,2.34154e-05,-3.80714e-05,2.53947e-07,3.74398e-07,5.48436e-09,1.6847e-08
153,0.99997,-29.0633,2.93466e-05,-4.39149e-05,3.34845e-07,5.2632e-07,7.49274e-09,2.36391e-08
154,0.999963,-28.602,3.65687e-05,-5.00363e-05,4.38526e-07,7.31682e-07,1.0162e-08,3.28972e-08
155,0.999954,-28.1411,4.53132e-05,-5.62534e-05,5.7053e-07,1.00662e-06,1.36843e-08,4.5417e-08
156,0.999943,-27.6806,5.58428e-05,-6.23116e-05,7.37516e-07,1.37136e-06,1.83007e-08,6.22182e-08
157,0.999931,-27.2205,6.84542e-05,-6.7869e-05,9.47438e-07,1.85103e-06,2.43102e-08,8.45979e-08
158,0.999915,-26.7609,8.34805e-05,-7.24797e-05,1.20973e-06,2.47664e-06,3.20826e-08,1.14194e-07
159,0.999897,-26.3019,0.000101293,-7.55762e-05,1.53554e-06,3.28617e-06,4.20715e-08,1.53062e-07
160,0.999876,-25.8436,0.000122305,-7.64505e-05,1.9379e-06,4.32575e-06,5.48303e-08,2.0376e-07
161,0.999851,-25.3859,0.000146972,-7.42326e-05,2.43204e-06,5.65109e-06,7.10298e-08,2.69456e-07
162,0.999821,-24.929,0.000175793,-6.78696e-05,3.03559e-06,7.32897e-06,9.14784e-08,3.54047e-07
163,0.999787,-24.4729,0.000209316,-5.61023e-05,3.76889e-06,9.43897e-06,1.17145e-07,4.62294e-07
164,0.999747,-24.0178,0.000248135,-3.74418e-05,4.65525e-06,1.20752e-05,1.49186e-07,5.99982e-07
