t,T+R,N_0,N_1,N_2,N_3
0,1,6.00054e-24,8.2387e-43,2.38419e-49,7.02021e-56
1,1,6.00094e-24,1.68535e-38,1.11165e-42,8.32265e-47
2,1,6.00169e-24,2.01531e-37,5.05694e-41,1.46838e-44
3,1,5.99994e-24,9.84022e-37,5.32865e-40,3.34351e-43
4,1,5.99869e-24,3.45951e-36,3.00546e-39,3.18258e-42
5,1,5.9943e-24,9.16893e-36,1.19419e-38,1.88471e-41
6,1,5.99625e-24,2.0904e-35,3.74837e-38,8.19258e-41
7,1,5.99493e-24,4.20812e-35,9.96542e-38,2.86301e-40
8,1,5.99766e-24,7.73468e-35,2.32836e-37,8.47786e-40
9,1,6.00035e-24,1.33307e-34,4.9105e-37,2.20054e-39
10,1,6.00522e-24,2.1441e-34,9.50769e-37,5.12459e-39
11,1,6.00992e-24,3.27978e-34,1.7081e-36,1.08784e-38
12,1,6.01349e-24,4.74714e-34,2.8718e-36,2.12947e-38
13,1,6.01718e-24,6.55814e-34,4.5451e-36,3.87731e-38
14,1,6.02124e-24,8.67761e-34,6.81322e-36,6.6139e-38
15,1,6.02076e-24,1.10198e-33,9.7267e-36,1.06383e-37
16,1,6.01853e-24,1.34444e-33,1.32934e-35,1.62352e-37
17,1,6.01965e-24,1.57715e-33,1.7477e-35,2.36515e-37
18,1,6.01837e-24,1.78652e-33,2.22184e-35,3.30952e-37
19,1,6.0092e-24,1.96055e-33,2.74605e-35,4.47664e-37
20,1,6.00663e-24,2.08619e-33,3.3162e-35,5.89133e-37
21,1,6.00604e-24,2.14857e-33,3.92878e-35,7.58869e-37
22,1,6.0099e-24,2.13368e-33,4.57739e-35,9.6155e-37
23,1,6.01744e-24,2.02393e-33,5.24563e-35,1.20231e-36
24,1,6.02855e-24,1.81107e-33,5.89959e-35,1.48495e-36
25,1,6.04156e-24,1.49152e-33,6.48127e-35,1.80923e-36
26,1,6.05377e-24,1.09015e-33,6.9061e-35,2.16816e-36
27,1,6.06716e-24,6.74654e-34,7.07522e-35,2.54683e-36
28,1,6.08038e-24,3.82163e-34,6.89749e-35,2.9252e-36
29,1,6.09531e-24,4.28801e-34,6.33018e-35,3.28711e-36
30,1,6.10678e-24,1.11677e-33,5.43231e-35,3.63762e-36
31,1,6.11722e-24,2.821e-33,4.42498e-35,4.02928e-36
32,1,6.12265e-24,5.94376e-33,3.7424e-35,4.59548e-36
33,1,6.11804e-24,1.08734e-32,4.06248e-35,5.58581e-36
34,1,6.10364e-24,1.78888e-32,6.30272e-35,7.396e-36
35,1,6.08197e-24,2.71202e-32,1.15665e-34,1.05833e-35
36,1,6.0495e-24,3.85152e-32,2.10422e-34,1.58584e-35
37,1,6.01672e-24,5.17765e-32,3.58616e-34,2.40488e-35
38,1,5.98905e-24,6.64293e-32,5.69312e-34,3.60326e-35
39,1,5.95503e-24,8.18182e-32,8.47602e-34,5.26488e-35
40,1,5.92714e-24,9.72134e-32,1.19311e-33,7.45937e-35
41,1,5.89826e-24,1.11714e-31,1.5988e-33,1.02317e-34
42,1,5.87878e-24,1.24581e-31,2.05038e-33,1.35933e-34
43,1,5.86591e-24,1.35123e-31,2.52683e-33,1.75154e-34
44,1,5.86189e-24,1.42721e-31,3.00154e-33,2.19271e-34
45,1,5.86549e-24,1.46984e-31,3.44423e-33,2.67163e-34
46,1,5.87464e-24,1.47468e-31,3.82355e-33,3.17367e-34
47,1,5.89187e-24,1.44223e-31,4.1105e-33,3.6817e-34
48,1,5.90631e-24,1.37537e-31,4.28228e-33,4.17753e-34
49,1,5.91999e-24,1.27951e-31,4.32529e-33,4.64354e-34
50,1,5.9347e-24,1.16188e-31,4.2372e-33,5.06428e-34
51,1,5.94337e-24,1.03201e-31,4.0278e-33,5.42798e-34
52,1,5.95044e-24,9.01984e-32,3.71858e-33,5.72771e-34
53,1,5.95494e-24,7.82701e-32,3.34046e-33,5.96204e-34
