t,T+R,N_0,N_1,N_2,N_3
0,1,1.36648e-21,6.44813e-41,1.60998e-47,3.36318e-54
1,1,1.36684e-21,2.89977e-37,1.4946e-41,8.23927e-46
2,1,1.36683e-21,3.83963e-36,6.85773e-40,1.43353e-43
3,1,1.36638e-21,1.5285e-35,5.82924e-39,2.73379e-42
4,1,1.36564e-21,2.76821e-35,2.18962e-38,1.97504e-41
5,1,1.36501e-21,3.42714e-35,4.68462e-38,7.68314e-41
6,1,1.3641e-21,3.76307e-35,7.01972e-38,1.94909e-40
7,1,1.36366e-21,4.63154e-35,8.93835e-38,3.72157e-40
8,1,1.36344e-21,5.82384e-35,1.16905e-37,6.10915e-40
9,1,1.36357e-21,7.59785e-35,1.77146e-37,1.00152e-39
10,1,1.36441e-21,9.82569e-35,3.00798e-37,1.84272e-39
11,1,1.36552e-21,1.41219e-34,5.3749e-37,3.7736e-39
12,1,1.36597e-21,2.09299e-34,9.76868e-37,7.94286e-39
13,1,1.36593e-21,2.88708e-34,1.73501e-36,1.61184e-38
14,1,1.36578e-21,3.47391e-34,2.87843e-36,3.05086e-38
15,1,1.36542e-21,3.96942e-34,4.37944e-36,5.30687e-38
16,1,1.36492e-21,4.42381e-34,6.1251e-36,8.45727e-38
17,1,1.3645e-21,4.9942e-34,7.93765e-36,1.23975e-37
18,1,1.3642e-21,5.76378e-34,9.66937e-36,1.68716e-37
19,1,1.36402e-21,6.47899e-34,1.12183e-35,2.16034e-37
20,1,1.36452e-21,7.10173e-34,1.258e-35,2.64689e-37
21,1,1.36485e-21,7.26841e-34,1.3809e-35,3.16423e-37
22,1,1.36547e-21,7.01251e-34,1.49767e-35,3.76319e-37
23,1,1.36571e-21,6.68756e-34,1.62699e-35,4.52632e-37
24,1,1.3657e-21,6.67843e-34,1.79926e-35,5.56605e-37
25,1,1.36535e-21,7.18441e-34,2.05518e-35,7.02015e-37
26,1,1.36497e-21,8.4114e-34,2.43391e-35,9.03962e-37
27,1,1.36437e-21,1.06522e-33,2.97386e-35,1.17674e-36
28,1,1.36393e-21,1.44082e-33,3.70455e-35,1.53205e-36
29,1,1.3638e-21,2.03284e-33,4.64401e-35,1.97777e-36
30,1,1.36401e-21,2.84096e-33,5.77702e-35,2.51572e-36
31,1,1.36471e-21,3.76612e-33,7.01293e-35,3.13581e-36
32,1,1.36536e-21,4.53674e-33,8.1753e-35,3.81101e-36
33,1,1.36596e-21,4.86752e-33,9.04931e-35,4.50524e-36
34,1,1.3664e-21,4.66318e-33,9.51821e-35,5.2008e-36
35,1,1.36635e-21,3.92285e-33,9.66539e-35,5.93462e-36
36,1,1.36605e-21,3.08005e-33,9.86228e-35,6.82413e-36
37,1,1.36574e-21,2.39629e-33,1.07396e-34,8.07127e-36
38,1,1.3652e-21,2.05596e-33,1.29693e-34,9.93215e-36
39,1,1.36473e-21,2.22692e-33,1.71388e-34,1.26667e-35
40,1,1.36476e-21,2.99876e-33,2.36395e-34,1.6494e-35
41,1,1.36515e-21,4.51676e-33,3.2622e-34,2.15672e-35
42,1,1.36567e-21,6.97321e-33,4.40394e-34,2.797e-35
43,1,1.36644e-21,1.0524e-32,5.77667e-34,3.5731e-35
44,1,1.36718e-21,1.48568e-32,7.35539e-34,4.48466e-35
45,1,1.36785e-21,1.97193e-32,9.1163e-34,5.53012e-35
46,1,1.36841e-21,2.44249e-32,1.10395e-33,6.7087e-35
47,1,1.36797e-21,2.82358e-32,1.3106e-33,8.02062e-35
48,1,1.36739e-21,3.12468e-32,1.5322e-33,9.46773e-35
49,1,1.3668e-21,3.39567e-32,1.77581e-33,1.1059e-34
50,1,1.3661e-21,3.7447e-32,2.05591e-33,1.28173e-34
51,1,1.36569e-21,4.27817e-32,2.39031e-33,1.47753e-34
52,1,1.36613e-21,5.09191e-32,2.79021e-33,1.69499e-34
53,1,1.3664e-21,6.18069e-32,3.24933e-33,1.93052e-34
54,1,1.36694e-21,7.44908e-32,3.73736e-33,2.17288e-34
55,1,1.36692e-21,8.76975e-32,4.20581e-33,2.40376e-34
56,1,1.36728e-21,9.91488e-32,4.59941e-33,2.60089e-34
57,1,1.36719e-21,1.0658e-31,4.8686e-33,2.74211e-34
58,1,1.36695e-21,1.08999e-31,4.98602e-33,2.81007e-34
59,1,1.36607e-21,1.06005e-31,4.95194e-33,2.79581e-34
60,1,1.36545e-21,9.88863e-32,4.78775e-33,2.6999e-34
61,1,1.3647e-21,8.96073e-32,4.52998e-33,2.53353e-34
62,1,1.36466e-21,8.10249e-32,4.22782e-33,2.32251e-34
63,1,1.36419e-21,7.54877e-32,3.93839e-33,2.11325e-34
64,1,1.36445e-21,7.41733e-32,3.71085e-33,1.97587e-34
65,1,1.36526e-21,7.6637e-32,3.56857e-33,2.00387e-34
66,1,1.36582e-21,8.08225e-32,3.49908e-33,2.31722e-34
67,1,1.36631e-21,8.37315e-32,3.46079e-33,3.08193e-34
68,1,1.3665e-21,8.32589e-32,3.40427e-33,4.5594e-34
69,1,1.36647e-21,7.89135e-32,3.29665e-33,7.19799e-34
70,1,1.36584e-21,7.12335e-32,3.13243e-33,1.17813e-33
71,1,1.36519e-21,6.24239e-32,2.93361e-33,1.96572e-33
72,1,1.3645e-21,5.50489e-32,2.74545e-33,3.30893e-33
73,1,1.36389e-21,5.25013e-32,2.62771e-33,5.57872e-33
74,1,1.36369e-21,5.80911e-32,2.64398e-33,9.36872e-33
75,1,1.36411e-21,7.47789e-32,2.84301e-33,1.56049e-32
76,1,1.36492e-21,1.0532e-31,3.24123e-33,2.56914e-32
77,1,1.36544e-21,1.51545e-31,3.81536e-33,4.16897e-32
78,1,1.36604e-21,2.15826e-31,4.50856e-33,6.65198e-32
79,1,1.36619e-21,3.02666e-31,5.25234e-33,1.04153e-31
80,1,1.3657e-21,4.20069e-31,5.9886e-33,1.59741e-31
81,1,1.36546e-21,5.82358e-31,6.68274e-33,2.39594e-31
82,1,1.36482e-21,8.12193e-31,7.32532e-33,3.509e-31
83,1,1.36446e-21,1.14054e-30,7.91777e-33,5.01064e-31
84,1,1.36418e-21,1.60744e-30,8.45159e-33,6.96608e-31
85,1,1.36411e-21,2.25791e-30,8.88967e-33,9.41665e-31
86,1,1.36469e-21,3.14599e-30,9.16945e-33,1.23628e-30
87,1,1.36516e-21,4.3409e-30,9.24795e-33,1.57492e-30
88,1,1.36592e-21,5.92668e-30,9.16752e-33,1.94561e-30
89,1,1.36699e-21,7.99569e-30,9.08909e-33,2.33023e-30
90,1,1.36724e-21,1.06298e-29,9.27442e-33,2.70603e-30
91,1,1.36674e-21,1.38704e-29,1.00502e-32,3.04828e-30
92,1,1.36628e-21,1.77162e-29,1.18172e-32,3.33367e-30
93,1,1.36525e-21,2.21049e-29,1.5093e-32,3.54377e-30
94,1,1.36454e-21,2.69032e-29,2.05061e-32,3.6682e-30
95,1,1.36375e-21,3.18858e-29,2.86896e-32,3.70694e-30
96,1,1.36367e-21,3.67343e-29,4.00968e-32,3.67229e-30
97,1,1.36416e-21,4.10589e-29,5.48481e-32,3.59081e-30
