E,T,R0,R,N_R0,E/V0
4.64006e-06,2.46473,2.29538,2.29538,0.482211,4.64006e-08
1.28891e-05,2.52391,2.18861,2.18861,0.464424,1.28891e-07
2.52625e-05,2.57915,2.08175,2.08175,0.446641,2.52625e-07
4.17605e-05,2.63031,1.97508,1.97508,0.428863,4.17605e-07
6.2383e-05,2.67727,1.8689,1.8689,0.411094,6.2383e-07
8.713e-05,2.71993,1.7635,1.7635,0.393337,8.713e-07
0.000116001,2.75821,1.65916,1.65916,0.375598,1.16001e-06
0.000148997,2.79205,1.55615,1.55615,0.357883,1.48997e-06
0.000186118,2.82139,1.45474,1.45474,0.3402,1.86118e-06
0.000227363,2.84621,1.35521,1.35521,0.32256,2.27363e-06
0.000272732,2.86648,1.25779,1.25779,0.304974,2.72732e-06
0.000322226,2.8822,1.16275,1.16275,0.287457,3.22226e-06
0.000375845,2.8934,1.07031,1.07031,0.270028,3.75845e-06
0.000433588,2.9001,0.98071,0.98071,0.252707,4.33588e-06
0.000495455,2.90235,0.89415,0.89415,0.23552,4.95455e-06
0.000561447,2.9002,0.810838,0.810838,0.218494,5.61447e-06
0.000631564,2.89372,0.730962,0.730962,0.201663,6.31564e-06
0.000705805,2.88299,0.654699,0.654699,0.185064,7.05805e-06
0.00078417,2.86812,0.582209,0.582209,0.16874,7.8417e-06
0.00086666,2.84921,0.51364,0.51364,0.15274,8.6666e-06
0.000953275,2.82637,0.449125,0.449125,0.137117,9.53275e-06
0.00104401,2.79973,0.38878,0.38878,0.121931,1.04401e-05
0.00113888,2.76943,0.332706,0.332706,0.107251,1.13888e-05
0.00123786,2.73561,0.280989,0.280989,0.0931478,1.23786e-05
0.00134098,2.69842,0.233697,0.233697,0.0797027,1.34098e-05
0.00144821,2.65802,0.190882,0.190882,0.0670022,1.44821e-05
0.00155958,2.61457,0.152581,0.152581,0.05514,1.55958e-05
0.00167506,2.56825,0.118811,0.118811,0.044216,1.67506e-05
0.00179467,2.51923,0.0895751,0.0895751,0.0343357,1.79467e-05
0.00191841,2.46768,0.064859,0.064859,0.0256102,1.91841e-05
0.00204627,2.4138,0.0446317,0.0446317,0.0181545,2.04627e-05
0.00217825,2.35777,0.028846,0.028846,0.0120866,2.17825e-05
0.00231436,2.29976,0.0174387,0.0174387,0.00752574,2.31436e-05
0.00245459,2.23998,0.0103306,0.0103306,0.00459076,2.45459e-05
0.00259895,2.17862,0.00742777,0.00742777,0.00339781,2.59895e-05
0.00274743,2.11585,0.00862062,0.00862062,0.00405777,2.74743e-05
0.00290004,2.05188,0.0137857,0.0137857,0.00667373,2.90004e-05
