t,Norm_0,AvgX_0
0,1,-199.954
1,1,-199.49
2,1,-199.027
3,1,-198.563
4,1,-198.1
5,1,-197.637
6,1,-197.173
7,1,-196.71
8,1,-196.246
9,1,-195.783
10,1,-195.32
11,1,-194.856
12,1,-194.393
13,1,-193.929
14,1,-193.466
15,1,-193.003
16,1,-192.539
17,1,-192.076
18,1,-191.612
19,1,-191.149
20,1,-190.686
21,1,-190.222
22,1,-189.759
23,1,-189.295
24,1,-188.832
25,1,-188.369
26,1,-187.905
27,1,-187.442
28,1,-186.978
29,1,-186.515
30,1,-186.051
31,1,-185.588
32,1,-185.125
33,1,-184.661
34,1,-184.198
35,1,-183.734
36,1,-183.271
37,1,-182.808
38,1,-182.344
39,1,-181.881
40,1,-181.417
41,1,-180.954
42,1,-180.491
43,1,-180.027
44,1,-179.564
45,1,-179.1
46,1,-178.637
47,1,-178.174
48,1,-177.71
49,1,-177.247
50,1,-176.783
51,1,-176.32
52,1,-175.857
53,1,-175.393
54,1,-174.93
55,1,-174.466
56,1,-174.003
57,1,-173.54
58,1,-173.076
59,1,-172.613
60,1,-172.149
61,1,-171.686
62,1,-171.223
63,1,-170.759
64,1,-170.296
65,1,-169.832
66,1,-169.369
67,1,-168.905
68,1,-168.442
69,1,-167.979
70,1,-167.515
71,1,-167.052
72,1,-166.588
73,1,-166.125
74,1,-165.662
75,1,-165.198
76,1,-164.735
77,1,-164.271
78,1,-163.808
79,1,-163.345
80,1,-162.881
81,1,-162.418
82,1,-161.954
83,1,-161.491
84,1,-161.028
85,1,-160.564
86,1,-160.101
87,1,-159.637
88,1,-159.174
89,1,-158.711
90,1,-158.247
91,1,-157.784
92,1,-157.32
93,1,-156.857
94,1,-156.394
95,1,-155.93
96,1,-155.467
97,1,-155.003
98,1,-154.54
99,1,-154.076
100,1,-153.613
101,1,-153.15
102,1,-152.686
103,1,-152.223
104,1,-151.759
105,1,-151.296
106,1,-150.833
107,1,-150.369
108,1,-149.906
109,1,-149.442
110,1,-148.979
111,1,-148.516
112,1,-148.052
113,1,-147.589
114,1,-147.125
115,1,-146.662
116,1,-146.199
117,1,-145.735
118,1,-145.272
119,1,-144.808
120,1,-144.345
121,1,-143.882
122,1,-143.418
123,1,-142.955
124,1,-142.491
125,1,-142.028
126,1,-141.565
127,1,-141.101
128,1,-140.638
129,1,-140.174
130,1,-139.711
131,1,-139.248
132,1,-138.784
133,1,-138.321
134,1,-137.857
135,1,-137.394
136,1,-136.93
137,1,-136.467
138,1,-136.004
139,1,-135.54
140,1,-135.077
141,1,-134.613
142,1,-134.15
143,1,-133.687
144,1,-133.223
145,1,-132.76
146,1,-132.296
147,1,-131.833
148,1,-131.37
149,1,-130.906
150,1,-130.443
151,1,-129.979
152,1,-129.516
153,1,-129.053
154,1,-128.589
155,1,-128.126
156,1,-127.662
157,1,-127.199
158,1,-126.736
159,1,-126.272
160,1,-125.809
161,1,-125.345
162,1,-124.882
163,1,-124.419
164,1,-123.955
165,1,-123.492
166,1,-123.028
167,1,-122.565
168,1,-122.102
169,1,-121.638
170,1,-121.175
171,1,-120.711
172,1,-120.248
173,1,-119.784
174,1,-119.321
175,1,-118.858
176,1,-118.394
177,1,-117.931
178,1,-117.467
179,1,-117.004
180,1,-116.541
181,1,-116.077
182,1,-115.614
183,1,-115.15
184,1,-114.687
185,1,-114.224
186,1,-113.76
187,1,-113.297
188,1,-112.833
189,1,-112.37
190,1,-111.907
191,1,-111.443
192,1,-110.98
193,1,-110.516
194,1,-110.053
195,1,-109.59
196,1,-109.126
197,1,-108.663
198,1,-108.199
199,1,-107.736
200,1,-107.273
201,1,-106.809
202,1,-106.346
203,1,-105.882
204,1,-105.419
205,1,-104.955
206,1,-104.492
207,1,-104.029
208,1,-103.565
209,1,-103.102
210,1,-102.638
211,1,-102.175
212,1,-101.712
213,1,-101.248
214,1,-100.785
215,1,-100.321
216,1,-99.858
217,1,-99.3946
218,1,-98.9312
219,1,-98.4678
220,1,-98.0044
221,1,-97.541
222,1,-97.0776
223,1,-96.6142
224,1,-96.1508
225,1,-95.6874
226,1,-95.224
227,1,-94.7606
228,1,-94.2972
229,1,-93.8338
230,1,-93.3703
231,1,-92.9069
232,1,-92.4435
233,1,-91.9801
234,1,-91.5167
235,1,-91.0533
236,1,-90.5899
237,1,-90.1265
238,1,-89.6631
239,1,-89.1997
240,1,-88.7363
241,1,-88.2729
242,1,-87.8095
243,1,-87.3461
244,1,-86.8827
245,1,-86.4193
246,1,-85.9559
247,1,-85.4925
248,1,-85.029
249,1,-84.5656
250,1,-84.1022
251,1,-83.6388
252,1,-83.1754
253,1,-82.712
254,1,-82.2486
255,1,-81.7852
256,1,-81.3218
257,1,-80.8584
258,1,-80.395
259,1,-79.9316
260,1,-79.4682
261,1,-79.0048
262,1,-78.5414
263,1,-78.078
264,1,-77.6146
265,1,-77.1512
266,1,-76.6877
267,1,-76.2243
268,1,-75.7609
269,1,-75.2975
270,1,-74.8341
271,1,-74.3707
272,1,-73.9073
273,1,-73.4439
274,1,-72.9805
275,1,-72.5171
276,1,-72.0537
277,1,-71.5903
278,1,-71.1269
279,1,-70.6635
280,1,-70.2002
281,1,-69.7368
282,1,-69.2734
283,1,-68.81
284,1,-68.3466
285,1,-67.8832
286,1,-67.4199
287,1,-66.9565
288,1,-66.4932
289,1,-66.0298
290,1,-65.5665
291,1,-65.1031
292,1,-64.6398
293,1,-64.1765
294,1,-63.7132
295,1,-63.2499
296,1,-62.7867
297,1,-62.3234
298,1,-61.8602
299,1,-61.397
300,1,-60.9338
301,1,-60.4706
302,1,-60.0075
303,1,-59.5444
304,1,-59.0814
305,1,-58.6184
306,1,-58.1554
307,1,-57.6925
308,1,-57.2296
309,1,-56.7668
310,1,-56.304
311,1,-55.8414
312,1,-55.3788
313,1,-54.9162
314,1,-54.4538
315,1,-53.9914
316,1,-53.5292
317,1,-53.067
318,1,-52.605
319,1,-52.1431
320,1,-51.6813
321,1,-51.2197
322,1,-50.7582
323,1,-50.2969
324,1,-49.8357
325,1,-49.3748
326,1,-48.914
327,1,-48.4534
328,1,-47.9931
329,1,-47.533
330,1,-47.0731
331,1,-46.6135
332,1,-46.1541
333,1,-45.6951
334,1,-45.2363
335,1,-44.7779
336,1,-44.3197
337,1,-43.862
338,1,-43.4046
339,1,-42.9476
340,1,-42.4909
341,1,-42.0347
