t,T+R,N_0
0,1,3.89786e-23
1,1,3.89813e-23
2,1,3.89823e-23
3,1,3.89792e-23
4,1,3.89785e-23
5,1,3.89745e-23
6,1,3.89745e-23
7,1,3.89795e-23
8,1,3.89844e-23
9,1,3.89878e-23
10,1,3.89925e-23
11,1,3.89974e-23
12,1,3.89983e-23
13,1,3.89989e-23
14,1,3.90001e-23
15,1,3.90025e-23
16,1,3.90046e-23
17,1,3.90038e-23
18,1,3.90034e-23
19,1,3.90013e-23
20,1,3.90031e-23
21,1,3.9005e-23
22,1,3.9002e-23
23,1,3.89999e-23
24,1,3.89972e-23
25,1,3.89955e-23
26,1,3.89988e-23
27,1,3.90002e-23
28,1,3.89984e-23
29,1,3.89982e-23
30,1,3.89965e-23
31,1,3.89982e-23
32,1,3.89987e-23
33,1,3.90004e-23
34,1,3.89969e-23
35,1,3.89963e-23
36,1,3.89946e-23
37,1,3.8987e-23
38,1,3.89812e-23
39,1,3.898e-23
40,1,3.89793e-23
41,1,3.89743e-23
42,1,3.89773e-23
43,1,3.89739e-23
44,1,3.89749e-23
45,1,3.89747e-23
46,1,3.89726e-23
47,1,3.8971e-23
48,1,3.8967e-23
49,1,3.89712e-23
50,1,3.8973e-23
51,1,3.89743e-23
52,1,3.89754e-23
53,1,3.89755e-23
54,1,3.89722e-23
55,1,3.89729e-23
56,1,3.89769e-23
57,1,3.89784e-23
58,1,3.89839e-23
59,1,3.89821e-23
60,1,3.89862e-23
61,1,3.89889e-23
62,1,3.89844e-23
63,1,3.89887e-23
64,1,3.89898e-23
65,1,3.89828e-23
66,1,3.89809e-23
67,1,3.89756e-23
68,1,3.89743e-23
69,1,3.8972e-23
70,1,3.89711e-23
71,1,3.89691e-23
72,1,3.89713e-23
73,1,3.89709e-23
74,1,3.89752e-23
75,1,3.8977e-23
76,1,3.89817e-23
77,1,3.89881e-23
78,1,3.89879e-23
79,1,3.89935e-23
80,1,3.89918e-23
81,1,3.8997e-23
82,1,3.90008e-23
83,1,3.90002e-23
84,1,3.9e-23
85,1,3.90007e-23
86,1,3.90036e-23
87,1,3.90095e-23
88,1,3.90075e-23
89,1,3.90078e-23
90,1,3.9011e-23
91,1,3.90138e-23
92,1,3.90176e-23
93,1,3.90134e-23
94,1,3.90136e-23
95,1,3.90155e-23
96,1,3.90178e-23
97,1,3.90154e-23
98,1,3.90142e-23
99,1,3.90138e-23
100,1,3.90124e-23
101,1,3.90114e-23
102,1,3.90077e-23
103,1,3.90035e-23
104,1,3.90024e-23
105,1,3.90008e-23
106,1,3.89951e-23
107,1,3.8996e-23
108,1,3.89949e-23
109,1,3.89975e-23
110,1,3.8997e-23
111,1,3.89985e-23
112,1,3.90025e-23
113,1,3.90036e-23
114,1,3.90109e-23
115,1,3.90116e-23
116,1,3.90157e-23
117,1,3.90179e-23
118,1,3.90257e-23
119,1,3.90325e-23
120,1,3.90373e-23
121,1,3.90423e-23
122,1,3.90484e-23
123,1,3.90518e-23
124,1,3.90584e-23
125,1,3.90635e-23
126,1,3.90682e-23
127,1,3.90701e-23
128,1,3.90725e-23
129,1,3.90716e-23
130,1,3.90705e-23
131,1,3.90728e-23
132,1,3.90705e-23
133,1,3.90677e-23
134,1,3.90674e-23
135,1,3.90737e-23
136,1,3.90765e-23
137,1,3.90775e-23
138,1,3.90776e-23
139,1,3.90841e-23
140,1,3.90852e-23
141,1,3.90847e-23
142,1,3.90857e-23
143,1,3.90836e-23
144,1,3.90856e-23
145,1,3.90866e-23
146,1,3.90872e-23
147,1,3.90873e-23
148,1,3.90835e-23
149,1,3.90879e-23
150,1,3.9087e-23
151,1,3.9091e-23
152,1,3.9088e-23
153,1,3.90844e-23
154,1,3.9084e-23
155,1,3.90746e-23
156,1,3.9072e-23
157,1,3.90618e-23
158,1,3.90559e-23
159,1,3.9054e-23
160,1,3.90459e-23
161,1,3.9046e-23
162,1,3.90467e-23
163,1,3.90422e-23
164,1,3.90426e-23
165,1,3.904e-23
166,1,3.90385e-23
167,1,3.90318e-23
168,1,3.90324e-23
169,1,3.90332e-23
170,1,3.90299e-23
171,1,3.903e-23
172,1,3.90236e-23
173,1,3.90231e-23
174,1,3.90214e-23
175,1,3.90187e-23
176,1,3.90208e-23
177,1,3.9021e-23
178,1,3.90199e-23
179,1,3.90228e-23
180,1,3.90237e-23
181,1,3.90227e-23
182,1,3.9022e-23
183,1,3.90219e-23
184,1,3.9023e-23
185,1,3.90197e-23
186,1,3.90192e-23
187,1,3.90187e-23
188,1,3.90233e-23
189,1,3.90253e-23
190,1,3.90276e-23
191,1,3.90281e-23
192,1,3.90301e-23
193,1,3.90316e-23
194,1,3.90272e-23
195,1,3.90318e-23
196,1,3.90314e-23
197,1,3.90322e-23
198,1,3.90281e-23
199,1,3.90238e-23
200,1,3.90234e-23
201,1,3.90178e-23
202,1,3.90121e-23
203,1,3.9008e-23
204,1,3.89999e-23
205,1,3.89957e-23
206,1,3.89942e-23
207,1,3.89954e-23
208,1,3.89904e-23
209,1,3.89923e-23
210,1,3.89951e-23
211,1,3.89959e-23
212,1,3.89976e-23
213,1,3.90056e-23
214,1,3.90089e-23
215,1,3.90117e-23
