t,T+R,N_0
0,1,2.13563e-21
1,1,2.13484e-21
2,1,2.13405e-21
3,1,2.13285e-21
4,1,2.13206e-21
5,1,2.1314e-21
6,1,2.13148e-21
7,1,2.1325e-21
8,1,2.13339e-21
9,1,2.13419e-21
10,1,2.13529e-21
11,1,2.1356e-21
12,1,2.13497e-21
13,1,2.13404e-21
14,1,2.13344e-21
15,1,2.13286e-21
16,1,2.13239e-21
17,1,2.13239e-21
18,1,2.13295e-21
19,1,2.13382e-21
20,1,2.13439e-21
21,1,2.13495e-21
22,1,2.13502e-21
23,1,2.13442e-21
24,1,2.13346e-21
25,1,2.13248e-21
26,1,2.13165e-21
27,1,2.13114e-21
28,1,2.13119e-21
29,1,2.13227e-21
30,1,2.13288e-21
31,1,2.13377e-21
32,1,2.13401e-21
33,1,2.13446e-21
34,1,2.13415e-21
35,1,2.13371e-21
36,1,2.13242e-21
37,1,2.13184e-21
38,1,2.13109e-21
39,1,2.13145e-21
40,1,2.1323e-21
41,1,2.13333e-21
42,1,2.13455e-21
43,1,2.13493e-21
44,1,2.1349e-21
45,1,2.13423e-21
46,1,2.13317e-21
47,1,2.13216e-21
48,1,2.13123e-21
49,1,2.13061e-21
50,1,2.13072e-21
51,1,2.13167e-21
52,1,2.13265e-21
53,1,2.1335e-21
54,1,2.13427e-21
55,1,2.13447e-21
56,1,2.13415e-21
57,1,2.13306e-21
58,1,2.1322e-21
59,1,2.13102e-21
60,1,2.13046e-21
61,1,2.13024e-21
62,1,2.13066e-21
63,1,2.13106e-21
64,1,2.13189e-21
65,1,2.13256e-21
66,1,2.13279e-21
67,1,2.13319e-21
68,1,2.13298e-21
69,1,2.13233e-21
70,1,2.13203e-21
71,1,2.13174e-21
72,1,2.13148e-21
73,1,2.13187e-21
74,1,2.13233e-21
75,1,2.13225e-21
76,1,2.13285e-21
77,1,2.13287e-21
78,1,2.13221e-21
79,1,2.13141e-21
80,1,2.13067e-21
81,1,2.13016e-21
82,1,2.13012e-21
83,1,2.13011e-21
84,1,2.13039e-21
85,1,2.13142e-21
86,1,2.13213e-21
87,1,2.13316e-21
88,1,2.13304e-21
89,1,2.13258e-21
90,1,2.13177e-21
91,1,2.13098e-21
92,1,2.13016e-21
93,1,2.12936e-21
94,1,2.1294e-21
95,1,2.12947e-21
96,1,2.13009e-21
97,1,2.13119e-21
98,1,2.13199e-21
99,1,2.13249e-21
100,1,2.13274e-21
101,1,2.13286e-21
102,1,2.13212e-21
103,1,2.13157e-21
104,1,2.13101e-21
105,1,2.13063e-21
106,1,2.13074e-21
107,1,2.13075e-21
108,1,2.13141e-21
109,1,2.13239e-21
110,1,2.13338e-21
111,1,2.13342e-21
112,1,2.13312e-21
113,1,2.13284e-21
114,1,2.132e-21
115,1,2.13141e-21
116,1,2.13098e-21
117,1,2.13078e-21
118,1,2.13163e-21
119,1,2.13244e-21
120,1,2.13319e-21
121,1,2.13343e-21
122,1,2.1335e-21
