t,Norm_0,AvgX_0,Norm_1,AvgX_1
0,1,-199.954,2.71286e-40,-2.72914e-38
1,1,-199.49,2.3094e-36,-2.32302e-34
2,1,-199.027,2.82302e-35,-2.84031e-33
3,1,-198.563,1.25568e-34,-1.26301e-32
4,1,-198.1,3.60541e-34,-3.62463e-32
5,1,-197.637,8.05967e-34,-8.09762e-32
6,1,-197.173,1.5463e-33,-1.55284e-31
7,1,-196.71,2.67781e-33,-2.68807e-31
8,1,-196.246,4.3186e-33,-4.33395e-31
9,1,-195.783,6.60128e-33,-6.62405e-31
10,1,-195.32,9.6904e-33,-9.72456e-31
11,1,-194.856,1.38526e-32,-1.39048e-30
12,1,-194.393,1.94712e-32,-1.9553e-30
13,1,-193.929,2.70755e-32,-2.72035e-30
14,1,-193.466,3.74778e-32,-3.76771e-30
15,1,-193.003,5.18738e-32,-5.21942e-30
16,1,-192.539,7.23542e-32,-7.28915e-30
17,1,-192.076,1.02827e-31,-1.03763e-29
18,1,-191.612,1.50926e-31,-1.52663e-29
19,1,-191.149,2.35062e-31,-2.38693e-29
20,1,-190.686,4.20777e-31,-4.30635e-29
21,1,-190.222,1.43101e-30,-1.50659e-28
22,1,-189.759,1.95449e-29,-2.07793e-27
23,1,-189.295,2.37212e-28,-2.45672e-26
24,1,-188.832,1.37883e-27,-1.38371e-25
25,1,-188.369,4.08515e-27,-3.96697e-25
26,1,-187.905,7.41657e-27,-6.97623e-25
27,1,-187.442,1.08541e-26,-9.99266e-25
28,1,-186.978,1.62371e-26,-1.484e-24
29,1,-186.515,2.4041e-26,-2.174e-24
30,1,-186.051,3.12755e-26,-2.76411e-24
31,1,-185.588,3.56915e-26,-3.05577e-24
32,1,-185.125,3.82783e-26,-3.16755e-24
33,1,-184.661,4.08874e-26,-3.28073e-24
34,1,-184.198,4.39871e-26,-3.43139e-24
35,1,-183.734,4.68911e-26,-3.54952e-24
36,1,-183.271,4.9301e-26,-3.61353e-24
37,1,-182.808,5.23963e-26,-3.7488e-24
38,1,-182.344,5.87654e-26,-4.20952e-24
39,1,-181.881,7.10866e-26,-5.23969e-24
40,1,-181.417,8.98416e-26,-6.84997e-24
41,1,-180.954,1.11974e-25,-8.70778e-24
42,1,-180.491,1.3247e-25,-1.03186e-23
43,1,-180.027,1.47611e-25,-1.13458e-23
44,1,-179.564,1.56701e-25,-1.17572e-23
45,1,-179.1,1.61276e-25,-1.17266e-23
46,1,-178.637,1.63433e-25,-1.14671e-23
47,1,-178.174,1.6481e-25,-1.11378e-23
48,1,-177.71,1.66407e-25,-1.08328e-23
49,1,-177.247,1.68715e-25,-1.05955e-23
50,1,-176.783,1.71815e-25,-1.04291e-23
51,1,-176.32,1.75445e-25,-1.03045e-23
52,1,-175.857,1.7914e-25,-1.01745e-23
53,1,-175.393,1.8243e-25,-9.99451e-24
54,1,-174.93,1.8502e-25,-9.73884e-24
55,1,-174.466,1.86862e-25,-9.40672e-24
56,1,-174.003,1.88141e-25,-9.01942e-24
57,1,-173.54,1.89241e-25,-8.61706e-24
58,1,-173.076,1.90787e-25,-8.26331e-24
59,1,-172.613,1.93796e-25,-8.06069e-24
60,1,-172.149,1.99905e-25,-8.17258e-24
61,1,-171.686,2.1157e-25,-8.84093e-24
62,1,-171.223,2.32091e-25,-1.03846e-23
63,1,-170.759,2.65307e-25,-1.31648e-23
64,1,-170.296,3.14898e-25,-1.75127e-23
65,1,-169.832,3.83419e-25,-2.36349e-23
66,1,-169.369,4.71345e-25,-3.1523e-23
67,1,-168.905,5.76481e-25,-4.09059e-23
68,1,-168.442,6.94019e-25,-5.12662e-23
69,1,-167.979,8.17271e-25,-6.19228e-23
70,1,-167.515,9.3888e-25,-7.21541e-23
71,1,-167.052,1.05212e-24,-8.13248e-23
72,1,-166.588,1.15193e-24,-8.89806e-23
73,1,-166.125,1.23544e-24,-9.48893e-23
74,1,-165.662,1.30192e-24,-9.90313e-23
75,1,-165.198,1.35242e-24,-1.01551e-22
76,1,-164.735,1.38913e-24,-1.02695e-22
77,1,-164.271,1.41482e-24,-1.02757e-22
78,1,-163.808,1.43265e-24,-1.02072e-22
79,1,-163.345,1.44746e-24,-1.01169e-22
80,1,-162.881,1.4726e-24,-1.01603e-22
81,1,-162.418,1.56116e-24,-1.09655e-22
82,1,-161.954,1.93751e-24,-1.51871e-22
83,1,-161.491,3.53044e-24,-3.37802e-22
84,1,-161.028,1.00497e-23,-1.10337e-21
85,1,-160.564,3.57653e-23,-4.1191e-21
86,1,-160.101,1.33571e-22,-1.55537e-20
87,1,-159.637,4.9253e-22,-5.73755e-20
88,1,-159.174,1.76493e-21,-2.05101e-19
89,1,-158.711,6.12483e-21,-7.0952e-19
90,1,-158.247,2.05782e-20,-2.37595e-18
91,1,-157.784,6.69723e-20,-7.70695e-18
92,1,-157.32,2.11289e-19,-2.42346e-17
93,1,-156.857,6.46682e-19,-7.39332e-17
94,1,-156.394,1.92163e-18,-2.18993e-16
95,1,-155.93,5.54815e-18,-6.30291e-16
96,1,-155.467,1.55757e-17,-1.76399e-15
97,1,-155.003,4.2549e-17,-4.80408e-15
98,1,-154.54,1.13183e-16,-1.27408e-14
99,1,-154.076,2.93376e-16,-3.29273e-14
100,1,-153.613,7.41514e-16,-8.2982e-14
101,1,-153.15,1.82874e-15,-2.04065e-13
102,1,-152.686,4.40355e-15,-4.89997e-13
103,1,-152.223,1.03598e-14,-1.14955e-12
104,1,-151.759,2.38264e-14,-2.63661e-12
105,1,-151.296,5.36031e-14,-5.91566e-12
106,1,-150.833,1.18032e-13,-1.29914e-11
107,1,-150.369,2.54527e-13,-2.79416e-11
108,1,-149.906,5.3782e-13,-5.88884e-11
109,1,-149.442,1.11415e-12,-1.21682e-10
110,1,-148.979,2.26401e-12,-2.46645e-10
111,1,-148.516,4.51513e-12,-4.90667e-10
112,1,-148.052,8.84168e-12,-9.58494e-10
113,1,-147.589,1.70091e-11,-1.83946e-09
114,1,-147.125,3.21603e-11,-3.46973e-09
115,1,-146.662,5.97926e-11,-6.43582e-09
116,1,-146.199,1.0936e-10,-1.17439e-08
117,1,-145.735,1.96856e-10,-2.10915e-08
118,1,-145.272,3.48895e-10,-3.72971e-08
119,1,-144.808,6.09089e-10,-6.49674e-08
120,1,-144.345,1.04781e-09,-1.11517e-07
121,1,-143.882,1.77691e-09,-1.88705e-07
122,1,-143.418,2.97166e-09,-3.14911e-07
123,1,-142.955,4.90278e-09,-5.18456e-07
124,1,-142.491,7.98277e-09,-8.42394e-07
125,1,-142.028,1.28317e-08,-1.35129e-06
126,1,-141.565,2.03695e-08,-2.14071e-06
127,1,-141.101,3.19439e-08,-3.35035e-06
128,1,-140.638,4.95049e-08,-5.18183e-06
129,1,-140.174,7.58394e-08,-7.92269e-06
130,1,-139.711,1.14885e-07,-1.19782e-05
131,1,-139.247,1.72139e-07,-1.7913e-05
132,1,-138.784,2.55193e-07,-2.65051e-05
133,1,-138.321,3.74417e-07,-3.88145e-05
134,0.999999,-137.857,5.43822e-07,-5.62706e-05
135,0.999999,-137.394,7.82146e-07,-8.07807e-05
136,0.999999,-136.93,1.1142e-06,-0.000114864
137,0.999998,-136.467,1.57249e-06,-0.000161815
138,0.999998,-136.003,2.19923e-06,-0.0002259
139,0.999997,-135.54,3.04869e-06,-0.000312596
140,0.999996,-135.076,4.19004e-06,-0.000428862
141,0.999994,-134.613,5.71061e-06,-0.000583467
142,0.999992,-134.149,7.71969e-06,-0.000787365
143,0.99999,-133.686,1.0353e-05,-0.00105411
144,0.999986,-133.222,1.37773e-05,-0.00140036
145,0.999982,-132.758,1.81965e-05,-0.00184638
146,0.999976,-132.294,2.38573e-05,-0.00241667
147,0.999969,-131.83,3.1056e-05,-0.00314058
148,0.99996,-131.366,4.0146e-05,-0.00405302
149,0.999948,-130.901,5.15454e-05,-0.0051952
150,0.999934,-130.436,6.57452e-05,-0.00661541
151,0.999917,-129.971,8.33181e-05,-0.00836982
152,0.999895,-129.505,0.000104927,-0.0105233
153,0.999869,-129.039,0.000131335,-0.0131503
154,0.999837,-128.573,0.000163412,-0.0163355
155,0.999798,-128.106,0.000202147,-0.020175
156,0.999751,-127.638,0.000248653,-0.0247764
157,0.999696,-127.169,0.000304178,-0.0302603
158,0.99963,-126.699,0.000370108,-0.0367602
159,0.999552,-126.228,0.000447979,-0.0444235
160,0.999461,-125.755,0.000539476,-0.0534114
161,0.999354,-125.281,0.000646443,-0.0638999
162,0.999229,-124.806,0.000770878,-0.076079
163,0.999085,-124.328,0.00091494,-0.0901535
164,0.998919,-123.849,0.00108095,-0.106342
165,0.998729,-123.367,0.00127136,-0.124877
166,0.998511,-122.882,0.00148881,-0.146004
167,0.998264,-122.395,0.00173606,-0.169981
168,0.997984,-121.904,0.00201598,-0.197076
169,0.997668,-121.411,0.00233161,-0.227569
170,0.997314,-120.913,0.00268606,-0.261748
171,0.996917,-120.411,0.00308255,-0.299907
172,0.996476,-119.906,0.00352436,-0.342346
173,0.995985,-119.395,0.00401484,-0.389367
174,0.995443,-118.88,0.00455737,-0.441276
175,0.994845,-118.359,0.00515535,-0.498375
176,0.994188,-117.833,0.00581215,-0.560966
177,0.993469,-117.302,0.00653114,-0.629341
178,0.992684,-116.764,0.0073156,-0.70379
179,0.991831,-116.219,0.00816874,-0.784587
180,0.990906,-115.669,0.00909368,-0.871998
181,0.989907,-115.111,0.0100934,-0.966271
182,0.988829,-114.546,0.0111707,-1.06764
183,0.987672,-113.974,0.0123282,-1.17632
184,0.986432,-113.395,0.0135684,-1.29249
185,0.985107,-112.807,0.0148935,-1.41634
186,0.983695,-112.212,0.0163054,-1.54799
187,0.982194,-111.609,0.017806,-1.68758
188,0.980603,-110.998,0.0193966,-1.83519
189,0.978921,-110.379,0.0210785,-1.99088
190,0.977148,-109.752,0.0228525,-2.15469
191,0.975281,-109.117,0.0247191,-2.32661
192,0.973321,-108.474,0.0266787,-2.50663
193,0.971269,-107.822,0.0287311,-2.69467
194,0.969124,-107.163,0.0308761,-2.89066
195,0.966887,-106.496,0.0331128,-3.09446
196,0.96456,-105.821,0.0354404,-3.30594
197,0.962143,-105.139,0.0378574,-3.5249
198,0.959638,-104.449,0.0403623,-3.75115
199,0.957047,-103.752,0.0429531,-3.98445
200,0.954372,-103.049,0.0456276,-4.22453
201,0.951617,-102.339,0.0483835,-4.47112
202,0.948782,-101.623,0.0512178,-4.7239
203,0.945872,-100.901,0.0541278,-4.98254
204,0.94289,-100.174,0.0571101,-5.2467
205,0.939839,-99.4411,0.0601615,-5.51601
206,0.936722,-98.7037,0.0632782,-5.79007
207,0.933543,-97.9621,0.0664566,-6.0685
208,0.930307,-97.2164,0.0696927,-6.35089
209,0.927017,-96.4673,0.0729825,-6.63681
210,0.923678,-95.7151,0.0763219,-6.92584
211,0.920293,-94.9602,0.0797065,-7.21755
212,0.916868,-94.203,0.0831322,-7.51149
213,0.913406,-93.4441,0.0865945,-7.80723
214,0.909911,-92.6839,0.090089,-8.10432
215,0.906389,-91.9227,0.0936114,-8.40233
216,0.902843,-91.1611,0.0971572,-8.70082
217,0.899278,-90.3994,0.100722,-8.99937
218,0.895698,-89.6382,0.104302,-9.29753
219,0.892109,-88.8777,0.107891,-9.59491
220,0.888512,-88.1185,0.111488,-9.89108
221,0.884914,-87.3608,0.115086,-10.1857
222,0.881318,-86.6052,0.118682,-10.4782
223,0.877728,-85.852,0.122272,-10.7685
224,0.874148,-85.1014,0.125852,-11.056
225,0.870581,-84.354,0.129419,-11.3404
226,0.867032,-83.61,0.132968,-11.6214
227,0.863503,-82.8697,0.136497,-11.8988
228,0.859998,-82.1335,0.140002,-12.172
229,0.856519,-81.4016,0.143481,-12.441
230,0.853071,-80.6742,0.146929,-12.7055
231,0.849656,-79.9517,0.150344,-12.9651
232,0.846276,-79.2343,0.153724,-13.2196
233,0.842934,-78.5222,0.157066,-13.4688
234,0.839633,-77.8156,0.160367,-13.7126
235,0.836374,-77.1147,0.163626,-13.9507
236,0.83316,-76.4196,0.16684,-14.183
237,0.829992,-75.7305,0.170008,-14.4093
238,0.826873,-75.0475,0.173127,-14.6295
239,0.823803,-74.3708,0.176197,-14.8434
240,0.820784,-73.7005,0.179216,-15.051
241,0.817818,-73.0366,0.182182,-15.2522
242,0.814905,-72.3792,0.185095,-15.4468
243,0.812046,-71.7285,0.187954,-15.6349
244,0.809243,-71.0843,0.190757,-15.8163
245,0.806496,-70.4468,0.193504,-15.9911
246,0.803805,-69.8161,0.196195,-16.1593
247,0.801171,-69.192,0.198829,-16.3207
248,0.798595,-68.5746,0.201405,-16.4755
249,0.796076,-67.9639,0.203924,-16.6235
250,0.793615,-67.3599,0.206385,-16.765
251,0.791211,-66.7625,0.208789,-16.8998
252,0.788865,-66.1718,0.211135,-17.028
253,0.786576,-65.5875,0.213424,-17.1497
254,0.784344,-65.0098,0.215656,-17.2648
255,0.782169,-64.4385,0.217831,-17.3736
256,0.780051,-63.8736,0.219949,-17.476
257,0.777988,-63.3149,0.222012,-17.5722
258,0.77598,-62.7625,0.22402,-17.6622
259,0.774028,-62.2162,0.225972,-17.746
260,0.772129,-61.6759,0.227871,-17.8238
261,0.770284,-61.1415,0.229716,-17.8958
262,0.768491,-60.613,0.231509,-17.9619
263,0.76675,-60.0902,0.23325,-18.0222
264,0.76506,-59.573,0.23494,-18.077
265,0.763419,-59.0614,0.236581,-18.1262
266,0.761829,-58.5551,0.238171,-18.1701
267,0.760286,-58.0542,0.239714,-18.2087
268,0.758791,-57.5584,0.241209,-18.2421
269,0.757342,-57.0677,0.242658,-18.2704
270,0.755939,-56.582,0.244061,-18.2938
271,0.75458,-56.1011,0.24542,-18.3124
272,0.753264,-55.6249,0.246736,-18.3263
273,0.751991,-55.1533,0.248009,-18.3355
274,0.75076,-54.6862,0.24924,-18.3403
275,0.749569,-54.2235,0.250431,-18.3408
276,0.748417,-53.765,0.251583,-18.3369
277,0.747304,-53.3107,0.252696,-18.329
278,0.746228,-52.8605,0.253772,-18.317
279,0.745189,-52.4141,0.254811,-18.3011
280,0.744185,-51.9716,0.255815,-18.2814
281,0.743216,-51.5327,0.256784,-18.258
282,0.74228,-51.0975,0.25772,-18.231
283,0.741377,-50.6657,0.258623,-18.2005
284,0.740505,-50.2374,0.259495,-18.1667
285,0.739665,-49.8123,0.260335,-18.1296
286,0.738854,-49.3904,0.261146,-18.0893
287,0.738072,-48.9716,0.261928,-18.046
288,0.737318,-48.5558,0.262682,-17.9996
289,0.736591,-48.1428,0.263409,-17.9504
290,0.73589,-47.7327,0.26411,-17.8984
291,0.735215,-47.3253,0.264785,-17.8437
292,0.734565,-46.9205,0.265435,-17.7864
293,0.733939,-46.5182,0.266061,-17.7266
294,0.733335,-46.1184,0.266665,-17.6643
295,0.732755,-45.721,0.267245,-17.5997
296,0.732195,-45.3259,0.267805,-17.5328
297,0.731657,-44.933,0.268343,-17.4637
298,0.731138,-44.5422,0.268862,-17.3925
299,0.73064,-44.1536,0.26936,-17.3192
300,0.73016,-43.7669,0.26984,-17.244
301,0.729698,-43.3821,0.270302,-17.1668
302,0.729254,-42.9993,0.270746,-17.0878
303,0.728826,-42.6182,0.271174,-17.0071
304,0.728415,-42.2389,0.271585,-16.9246
305,0.72802,-41.8612,0.27198,-16.8405
306,0.72764,-41.4852,0.27236,-16.7548
307,0.727275,-41.1108,0.272725,-16.6676
308,0.726923,-40.7379,0.273077,-16.579
309,0.726586,-40.3665,0.273414,-16.4889
310,0.726261,-39.9965,0.273739,-16.3974
311,0.725949,-39.6278,0.274051,-16.3047
312,0.725649,-39.2605,0.274351,-16.2106
313,0.725361,-38.8945,0.274639,-16.1154
314,0.725084,-38.5298,0.274916,-16.019
315,0.724819,-38.1662,0.275181,-15.9215
316,0.724563,-37.8038,0.275437,-15.823
317,0.724317,-37.4426,0.275683,-15.7234
318,0.724082,-37.0825,0.275918,-15.6228
319,0.723855,-36.7234,0.276145,-15.5213
320,0.723638,-36.3654,0.276362,-15.4188
321,0.723429,-36.0083,0.276571,-15.3155
322,0.723228,-35.6523,0.276772,-15.2114
323,0.723035,-35.2973,0.276965,-15.1064
324,0.72285,-34.9431,0.27715,-15.0007
325,0.722672,-34.5899,0.277328,-14.8943
326,0.722502,-34.2376,0.277498,-14.7871
327,0.722338,-33.8861,0.277662,-14.6793
328,0.722181,-33.5356,0.277819,-14.5708
329,0.72203,-33.1858,0.27797,-14.4618
330,0.721885,-32.8369,0.278115,-14.3521
331,0.721745,-32.4888,0.278255,-14.2419
332,0.721612,-32.1415,0.278388,-14.1312
333,0.721483,-31.7949,0.278517,-14.0199
334,0.72136,-31.4492,0.27864,-13.9082
335,0.721242,-31.1042,0.278758,-13.7961
336,0.721128,-30.76,0.278872,-13.6835
337,0.721019,-30.4165,0.278981,-13.5705
338,0.720915,-30.0738,0.279085,-13.4571
339,0.720814,-29.7318,0.279186,-13.3433
340,0.720718,-29.3906,0.279282,-13.2292
341,0.720625,-29.0501,0.279375,-13.1148
342,0.720537,-28.7103,0.279463,-13.0001
343,0.720451,-28.3713,0.279549,-12.8851
344,0.72037,-28.033,0.27963,-12.7698
345,0.720291,-27.6954,0.279709,-12.6543
346,0.720216,-27.3585,0.279784,-12.5385
347,0.720143,-27.0224,0.279857,-12.4225
348,0.720074,-26.687,0.279926,-12.3064
349,0.720007,-26.3524,0.279993,-12.1901
350,0.719943,-26.0185,0.280057,-12.0736
351,0.719882,-25.6854,0.280118,-11.9569
352,0.719823,-25.3529,0.280177,-11.8401
353,0.719766,-25.0213,0.280234,-11.7232
354,0.719712,-24.6904,0.280288,-11.6062
355,0.719659,-24.3603,0.280341,-11.4892
356,0.719609,-24.0309,0.280391,-11.372
357,0.719561,-23.7023,0.280439,-11.2548
358,0.719515,-23.3745,0.280485,-11.1375
359,0.719471,-23.0475,0.280529,-11.0202
360,0.719428,-22.7213,0.280572,-10.9029
361,0.719387,-22.3959,0.280613,-10.7856
362,0.719348,-22.0713,0.280652,-10.6683
363,0.71931,-21.7475,0.28069,-10.551
364,0.719274,-21.4245,0.280726,-10.4337
365,0.719239,-21.1024,0.280761,-10.3165
366,0.719206,-20.7811,0.280794,-10.1993
367,0.719174,-20.4606,0.280826,-10.0822
368,0.719143,-20.141,0.280857,-9.96513
369,0.719114,-19.8222,0.280886,-9.84816
370,0.719085,-19.5043,0.280915,-9.73129
371,0.719058,-19.1873,0.280942,-9.61452
372,0.719032,-18.8711,0.280968,-9.49786
373,0.719007,-18.5559,0.280993,-9.38132
374,0.718983,-18.2415,0.281017,-9.26491
375,0.718959,-17.928,0.281041,-9.14865
376,0.718937,-17.6154,0.281063,-9.03253
377,0.718916,-17.3037,0.281084,-8.91658
378,0.718895,-16.9929,0.281105,-8.80078
379,0.718876,-16.6831,0.281124,-8.68517
380,0.718857,-16.3741,0.281143,-8.56974
381,0.718838,-16.0661,0.281162,-8.45449
382,0.718821,-15.759,0.281179,-8.33945
383,0.718804,-15.4528,0.281196,-8.22461
384,0.718788,-15.1476,0.281212,-8.10999
385,0.718772,-14.8433,0.281228,-7.99559
386,0.718757,-14.5399,0.281243,-7.88141
387,0.718743,-14.2374,0.281257,-7.76747
388,0.718729,-13.9359,0.281271,-7.65377
389,0.718716,-13.6354,0.281284,-7.54031
390,0.718703,-13.3358,0.281297,-7.42711
391,0.718691,-13.0371,0.281309,-7.31417
392,0.718679,-12.7394,0.281321,-7.20149
393,0.718668,-12.4426,0.281332,-7.08909
394,0.718657,-12.1467,0.281343,-6.97696
395,0.718647,-11.8518,0.281353,-6.86511
396,0.718637,-11.5579,0.281363,-6.75354
397,0.718627,-11.2648,0.281373,-6.64227
398,0.718618,-10.9727,0.281382,-6.53129
399,0.718609,-10.6816,0.281391,-6.42062
400,0.7186,-10.3914,0.2814,-6.31025
401,0.718592,-10.1021,0.281408,-6.20019
402,0.718584,-9.8137,0.281416,-6.09044
403,0.718576,-9.52626,0.281424,-5.98101
404,0.718569,-9.23974,0.281431,-5.8719
405,0.718562,-8.95413,0.281438,-5.76312
406,0.718555,-8.66944,0.281445,-5.65467
407,0.718548,-8.38565,0.281452,-5.54654
408,0.718542,-8.10277,0.281458,-5.43876
409,0.718536,-7.82079,0.281464,-5.33131
410,0.71853,-7.53971,0.28147,-5.22421
411,0.718525,-7.25951,0.281475,-5.11745
412,0.718519,-6.98021,0.281481,-5.01104
413,0.718514,-6.70178,0.281486,-4.90499
414,0.718509,-6.42424,0.281491,-4.79928
415,0.718504,-6.14756,0.281496,-4.69394
416,0.7185,-5.87175,0.2815,-4.58895
417,0.718495,-5.5968,0.281505,-4.48433
418,0.718491,-5.32272,0.281509,-4.38008
419,0.718487,-5.04948,0.281513,-4.27619
420,0.718483,-4.77709,0.281517,-4.17267
421,0.718479,-4.50555,0.281521,-4.06953
422,0.718475,-4.23484,0.281525,-3.96676
