t,T+R,N_0,N_1
0,1,3.89786e-23,3.19053e-43
1,1,3.89792e-23,7.82985e-40
2,1,3.89791e-23,1.60549e-38
3,1,3.89789e-23,9.94738e-38
4,1,3.89798e-23,2.81963e-37
5,1,3.89722e-23,6.57935e-37
6,1,3.8974e-23,1.29944e-36
7,1,3.89701e-23,2.40004e-36
8,1,3.8974e-23,4.01925e-36
9,1,3.89779e-23,6.26175e-36
10,1,3.89769e-23,9.0703e-36
11,1,3.8979e-23,1.25824e-35
12,1,3.89826e-23,1.69504e-35
13,1,3.8985e-23,2.22431e-35
14,1,3.89883e-23,2.80645e-35
15,1,3.89867e-23,3.38151e-35
16,1,3.89867e-23,3.93163e-35
17,1,3.89857e-23,4.39344e-35
18,1,3.89861e-23,4.77088e-35
19,1,3.89834e-23,5.00898e-35
20,1,3.89841e-23,5.07724e-35
21,1,3.89842e-23,5.03787e-35
22,1,3.898e-23,4.92957e-35
23,1,3.89767e-23,4.84742e-35
24,1,3.89736e-23,4.9484e-35
25,1,3.89742e-23,5.41312e-35
26,1,3.89747e-23,6.42484e-35
27,1,3.89753e-23,8.22593e-35
28,1,3.89796e-23,1.10921e-34
29,1,3.8979e-23,1.54032e-34
30,1,3.89749e-23,2.13247e-34
31,1,3.89697e-23,2.89164e-34
32,1,3.8968e-23,3.81047e-34
33,1,3.89691e-23,4.84033e-34
34,1,3.89675e-23,5.91414e-34
35,1,3.89644e-23,6.93597e-34
36,1,3.89678e-23,7.81066e-34
37,1,3.89644e-23,8.4059e-34
38,1,3.89626e-23,8.60135e-34
39,1,3.89615e-23,8.29385e-34
40,1,3.89574e-23,7.46082e-34
41,1,3.89552e-23,6.18259e-34
42,1,3.89504e-23,4.57189e-34
43,1,3.89497e-23,2.8395e-34
44,1,3.89539e-23,1.28865e-34
45,1,3.89572e-23,2.69386e-35
46,1,3.89567e-23,1.9657e-35
47,1,3.89618e-23,1.44918e-34
48,1,3.89564e-23,4.36489e-34
49,1,3.89522e-23,9.25781e-34
50,1,3.89504e-23,1.63639e-33
51,1,3.89507e-23,2.57067e-33
52,1,3.89524e-23,3.72245e-33
53,1,3.89495e-23,5.06793e-33
54,1,3.89487e-23,6.56986e-33
55,1,3.89485e-23,8.16896e-33
56,1,3.89481e-23,9.78449e-33
57,1,3.89439e-23,1.13242e-32
58,1,3.89417e-23,1.27219e-32
59,1,3.89406e-23,1.39071e-32
60,1,3.89417e-23,1.48107e-32
61,1,3.89408e-23,1.53867e-32
62,1,3.89408e-23,1.56147e-32
63,1,3.89422e-23,1.55222e-32
64,1,3.89411e-23,1.51511e-32
65,1,3.89447e-23,1.46133e-32
66,1,3.89373e-23,1.401e-32
67,1,3.89314e-23,1.34815e-32
68,1,3.89339e-23,1.31718e-32
69,1,3.89305e-23,1.32161e-32
70,1,3.89263e-23,1.37241e-32
71,1,3.89303e-23,1.47891e-32
72,1,3.89301e-23,1.64836e-32
73,1,3.89316e-23,1.88477e-32
74,1,3.89348e-23,2.1898e-32
75,1,3.89328e-23,2.56246e-32
76,1,3.89308e-23,3.00258e-32
77,1,3.89363e-23,3.50945e-32
78,1,3.89381e-23,4.08445e-32
79,1,3.89414e-23,4.73038e-32
80,1,3.89398e-23,5.45346e-32
81,1,3.89451e-23,6.25903e-32
82,1,3.89475e-23,7.1545e-32
83,1,3.89505e-23,8.14846e-32
84,1,3.89619e-23,9.25132e-32
85,1,3.89609e-23,1.04679e-31
86,1,3.89639e-23,1.18012e-31
87,1,3.8962e-23,1.32528e-31
88,1,3.89612e-23,1.48158e-31
89,1,3.89621e-23,1.64845e-31
90,1,3.8967e-23,1.82497e-31
91,1,3.89721e-23,2.00964e-31
92,1,3.89715e-23,2.20115e-31
93,1,3.89679e-23,2.39778e-31
94,1,3.89709e-23,2.59823e-31
95,1,3.89723e-23,2.80072e-31
96,1,3.89757e-23,3.00369e-31
97,1,3.8979e-23,3.2063e-31
98,1,3.89753e-23,3.40779e-31
99,1,3.89714e-23,3.60668e-31
100,1,3.89703e-23,3.80186e-31
101,1,3.8963e-23,3.99158e-31
102,1,3.89625e-23,4.17448e-31
103,1,3.89637e-23,4.34777e-31
104,1,3.89617e-23,4.50868e-31
105,1,3.89613e-23,4.6544e-31
106,1,3.89604e-23,4.783e-31
107,1,3.89606e-23,4.89321e-31
108,1,3.89579e-23,4.98343e-31
109,1,3.89563e-23,5.05151e-31
110,1,3.89578e-23,5.09699e-31
111,1,3.89607e-23,5.12104e-31
112,1,3.8961e-23,5.12528e-31
113,1,3.89646e-23,5.11121e-31
114,1,3.89675e-23,5.08051e-31
115,1,3.89702e-23,5.03546e-31
116,1,3.89735e-23,4.97978e-31
117,1,3.89833e-23,4.91663e-31
118,1,3.89835e-23,4.84886e-31
119,1,3.8991e-23,4.77963e-31
120,1,3.89952e-23,4.71156e-31
121,1,3.89986e-23,4.64674e-31
122,1,3.90063e-23,4.586e-31
123,1,3.90149e-23,4.53048e-31
124,1,3.90145e-23,4.47968e-31
125,1,3.90241e-23,4.43313e-31
126,1,3.90256e-23,4.38862e-31
127,1,3.90329e-23,4.34502e-31
128,1,3.90319e-23,4.3011e-31
129,1,3.90328e-23,4.2503e-31
130,1,3.90333e-23,4.19463e-31
131,1,3.90347e-23,4.12493e-31
132,1,3.9035e-23,4.03928e-31
133,1,3.90311e-23,3.94377e-31
134,1,3.90298e-23,3.82945e-31
135,1,3.90264e-23,3.70045e-31
136,0.999999,3.90285e-23,3.54796e-31
137,1,3.90317e-23,3.37355e-31
138,1,3.9031e-23,3.1885e-31
139,1,3.90313e-23,2.98703e-31
140,1,3.90351e-23,2.77694e-31
141,1,3.90349e-23,2.57168e-31
142,1.00001,3.90363e-23,2.37381e-31
143,1.00001,3.90384e-23,2.18935e-31
144,1.00001,3.90401e-23,2.02382e-31
145,1.00001,3.904e-23,1.89187e-31
146,1.00001,3.9048e-23,1.79529e-31
147,1,3.90559e-23,1.73953e-31
148,0.999996,3.90601e-23,1.7493e-31
149,0.999981,3.90603e-23,1.80099e-31
150,0.99996,3.90647e-23,1.92812e-31
151,0.999934,3.90654e-23,2.13855e-31
152,0.999902,3.90681e-23,2.48733e-31
153,0.99987,3.90658e-23,2.91675e-31
154,0.99984,3.90645e-23,3.47019e-31
155,0.999819,3.90586e-23,4.10494e-31
156,0.999814,3.90562e-23,4.82839e-31
157,0.999835,3.90509e-23,5.90136e-31
158,0.999889,3.90493e-23,7.09333e-31
159,0.999985,3.90429e-23,8.38722e-31
160,1.00013,3.90443e-23,1.00438e-30
161,1.00033,3.90413e-23,1.1521e-30
162,1.00059,3.90373e-23,1.31253e-30
163,1.0009,3.90371e-23,1.50904e-30
164,1.00127,3.90318e-23,1.76729e-30
165,1.00167,3.90287e-23,2.05095e-30
166,1.00209,3.90277e-23,2.3698e-30
167,1.00252,3.90291e-23,2.62217e-30
168,1.00293,3.90332e-23,2.93116e-30
169,1.00329,3.90349e-23,3.26058e-30
170,1.00358,3.90331e-23,3.74784e-30
171,1.00376,3.90306e-23,4.24949e-30
172,1.0038,3.90308e-23,4.98e-30
173,1.00368,3.90354e-23,5.53537e-30
174,1.00338,3.9038e-23,6.28138e-30
175,1.00287,3.90431e-23,7.37373e-30
176,1.00214,3.90431e-23,8.40005e-30
177,1.00119,3.90383e-23,9.55366e-30
178,1.00001,3.90401e-23,1.11639e-29
179,0.998619,3.90399e-23,1.3091e-29
180,0.997021,3.90396e-23,1.51722e-29
181,0.99524,3.90392e-23,1.6403e-29
182,0.993304,3.90362e-23,1.82185e-29
183,0.991248,3.90361e-23,2.01518e-29
184,0.98911,3.90354e-23,2.26106e-29
185,0.986932,3.90343e-23,2.43738e-29
186,0.98476,3.90313e-23,2.67558e-29
187,0.982643,3.90308e-23,2.96032e-29
188,0.980627,3.90345e-23,3.15214e-29
189,0.978762,3.9036e-23,3.22294e-29
190,0.977094,3.90385e-23,3.47051e-29
191,0.975666,3.90423e-23,3.70783e-29
192,0.974521,3.90423e-23,3.76852e-29
193,0.973694,3.90475e-23,3.92555e-29
194,0.973217,3.90467e-23,4.00731e-29
195,0.973116,3.90468e-23,4.11072e-29
196,0.97341,3.90503e-23,4.30573e-29
197,0.974111,3.90504e-23,4.33191e-29
