t,T+R,N_0,N_1
0,1,2.13563e-21,6.00063e-41
1,1,2.1349e-21,3.52832e-36
2,1,2.13391e-21,5.30747e-35
3,1,2.1331e-21,2.38158e-34
4,1,2.13257e-21,6.52301e-34
5,1,2.13252e-21,1.3728e-33
6,1,2.13309e-21,2.39769e-33
7,1,2.13383e-21,3.68046e-33
8,1,2.1351e-21,5.13062e-33
9,1,2.13618e-21,6.60066e-33
10,1,2.13668e-21,7.69615e-33
11,1,2.13678e-21,8.37401e-33
12,1,2.13659e-21,8.59928e-33
13,1,2.13603e-21,8.45777e-33
14,1,2.13501e-21,8.00701e-33
15,1,2.13423e-21,7.4613e-33
16,1,2.13398e-21,7.15424e-33
17,1,2.13436e-21,7.16549e-33
18,1,2.13504e-21,7.62407e-33
19,1,2.13574e-21,8.53627e-33
20,1,2.13607e-21,1.00841e-32
21,1,2.13648e-21,1.2352e-32
22,1,2.13634e-21,1.53542e-32
23,1,2.13594e-21,1.90073e-32
24,1,2.13514e-21,2.34851e-32
25,1,2.13422e-21,2.85187e-32
26,1,2.13374e-21,3.39543e-32
27,1,2.13367e-21,3.88035e-32
28,1,2.13397e-21,4.24844e-32
29,1,2.13459e-21,4.46056e-32
30,1,2.13553e-21,4.49593e-32
31,1,2.136e-21,4.36125e-32
32,1,2.1365e-21,4.15074e-32
33,1,2.13636e-21,4.03867e-32
34,1,2.13595e-21,4.12991e-32
35,1,2.13519e-21,4.56044e-32
36,1,2.13445e-21,5.40267e-32
37,1,2.1334e-21,6.70483e-32
38,1,2.133e-21,8.37546e-32
39,1,2.13358e-21,1.03139e-31
40,1,2.13431e-21,1.2222e-31
41,1,2.13477e-21,1.38398e-31
42,1,2.13567e-21,1.49956e-31
43,1,2.13619e-21,1.55242e-31
44,1,2.13607e-21,1.53452e-31
45,1,2.13566e-21,1.4541e-31
46,1,2.13438e-21,1.32749e-31
47,1,2.13342e-21,1.16389e-31
48,1,2.13281e-21,9.81195e-32
49,1,2.1325e-21,8.00063e-32
50,1,2.13285e-21,6.36496e-32
51,1,2.13367e-21,5.04661e-32
52,1,2.13429e-21,4.10687e-32
53,1,2.13538e-21,3.54346e-32
54,1,2.13595e-21,3.29487e-32
55,1,2.13611e-21,3.25359e-32
56,1,2.13562e-21,3.26027e-32
57,1,2.13454e-21,3.22049e-32
58,1,2.13335e-21,3.08795e-32
59,1,2.13254e-21,2.85246e-32
60,1,2.13168e-21,2.54007e-32
61,1,2.13133e-21,2.20165e-32
62,1,2.13141e-21,1.87036e-32
63,1,2.13179e-21,1.56274e-32
64,1,2.1331e-21,1.30312e-32
65,1,2.13362e-21,1.08942e-32
66,1,2.13395e-21,9.4622e-33
67,1,2.13464e-21,9.04632e-33
68,1,2.13447e-21,9.55457e-33
69,1,2.13383e-21,1.07062e-32
70,1,2.13396e-21,1.20054e-32
71,1,2.13366e-21,1.25851e-32
72,1,2.13355e-21,1.20214e-32
73,1,2.13417e-21,1.04152e-32
74,1,2.1349e-21,8.01248e-33
75,1,2.13532e-21,5.97278e-33
76,1,2.13597e-21,4.87229e-33
77,1,2.136e-21,5.63593e-33
78,1,2.13553e-21,8.60779e-33
79,1,2.13453e-21,1.37241e-32
80,1,2.13372e-21,2.07476e-32
81,1,2.13295e-21,2.94766e-32
82,1,2.13272e-21,3.91152e-32
83,1,2.13321e-21,4.94852e-32
84,1,2.13407e-21,5.9665e-32
85,1,2.13476e-21,6.97961e-32
86,1,2.13581e-21,7.93252e-32
87,1,2.13671e-21,8.86703e-32
88,1,2.13668e-21,9.76643e-32
89,1,2.13698e-21,1.06365e-31
90,1,2.13652e-21,1.15089e-31
91,1,2.13558e-21,1.23881e-31
92,1,2.1345e-21,1.32491e-31
93,1,2.13422e-21,1.40608e-31
94,1,2.13392e-21,1.47396e-31
95,1,2.13472e-21,1.51627e-31
96,1,2.13575e-21,1.52914e-31
97,1,2.13634e-21,1.51246e-31
