t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,1,-199.954,2.71286e-40,-2.72913e-38,2.13617e-46,-2.14556e-44
1,1,-199.49,2.32204e-36,-2.33582e-34,3.67116e-40,-3.68469e-38
2,1,-199.027,2.80437e-35,-2.82102e-33,1.47603e-38,-1.48026e-36
3,1,-198.563,1.23204e-34,-1.23907e-32,1.27831e-37,-1.28121e-35
4,1,-198.1,3.50797e-34,-3.5258e-32,5.70888e-37,-5.71385e-35
5,1,-197.637,7.83281e-34,-7.87011e-32,1.77036e-36,-1.77013e-34
6,1,-197.173,1.50858e-33,-1.51543e-31,4.39915e-36,-4.39556e-34
7,1,-196.71,2.62159e-33,-2.63244e-31,9.46502e-36,-9.44935e-34
8,1,-196.246,4.21748e-33,-4.23328e-31,1.82735e-35,-1.82228e-33
9,1,-195.783,6.43022e-33,-6.45391e-31,3.24397e-35,-3.2312e-33
10,1,-195.32,9.46398e-33,-9.50105e-31,5.40288e-35,-5.37572e-33
11,1,-194.856,1.3578e-32,-1.36357e-30,8.57452e-35,-8.52214e-33
12,1,-194.393,1.91147e-32,-1.9201e-30,1.30868e-34,-1.29921e-32
13,1,-193.929,2.65731e-32,-2.6703e-30,1.93395e-34,-1.91773e-32
14,1,-193.466,3.67384e-32,-3.69434e-30,2.78397e-34,-2.75795e-32
15,1,-193.003,5.08645e-32,-5.11995e-30,3.92762e-34,-3.8883e-32
16,1,-192.539,7.10605e-32,-7.1623e-30,5.46266e-34,-5.40608e-32
17,1,-192.076,1.01176e-31,-1.02148e-29,7.53859e-34,-7.46075e-32
18,1,-191.612,1.48919e-31,-1.50698e-29,1.0404e-33,-1.03013e-31
19,1,-191.149,2.32686e-31,-2.36365e-29,1.45007e-33,-1.4373e-31
20,1,-190.686,4.18071e-31,-4.27982e-29,2.07428e-33,-2.06025e-31
21,1,-190.222,1.42807e-30,-1.50367e-28,3.21417e-33,-3.20707e-31
22,1,-189.759,1.95382e-29,-2.07723e-27,7.14999e-33,-7.20434e-31
23,1,-189.295,2.37098e-28,-2.45555e-26,7.96255e-32,-8.10416e-30
24,1,-188.832,1.37699e-27,-1.38188e-25,1.32117e-30,-1.31161e-28
25,1,-188.369,4.07401e-27,-3.95623e-25,8.16038e-30,-7.86114e-28
26,1,-187.905,7.38729e-27,-6.94892e-25,2.16189e-29,-2.01588e-27
27,1,-187.442,1.08083e-26,-9.95132e-25,3.39428e-29,-3.06416e-27
28,1,-186.978,1.61714e-26,-1.47815e-24,4.88723e-29,-4.35072e-27
29,1,-186.515,2.39309e-26,-2.16418e-24,8.19408e-29,-7.31602e-27
30,1,-186.051,3.11045e-26,-2.749e-24,1.27608e-28,-1.12708e-26
31,1,-185.588,3.54753e-26,-3.03718e-24,1.61433e-28,-1.38807e-26
32,1,-185.125,3.80403e-26,-3.1478e-24,1.77714e-28,-1.47559e-26
33,1,-184.661,4.06331e-26,-3.26031e-24,1.89932e-28,-1.52583e-26
34,1,-184.198,4.37074e-26,-3.40948e-24,2.09073e-28,-1.63948e-26
35,1,-183.734,4.65798e-26,-3.52563e-24,2.33065e-28,-1.78984e-26
36,1,-183.271,4.89635e-26,-3.58834e-24,2.52844e-28,-1.89009e-26
37,1,-182.808,5.20412e-26,-3.72315e-24,2.66246e-28,-1.9261e-26
38,1,-182.344,5.83849e-26,-4.18261e-24,2.85391e-28,-2.02061e-26
39,1,-181.881,7.06348e-26,-5.20709e-24,3.3885e-28,-2.4478e-26
40,1,-181.417,8.92246e-26,-6.80285e-24,4.62818e-28,-3.53787e-26
41,1,-180.954,1.11082e-25,-8.63637e-24,6.68662e-28,-5.36099e-26
42,1,-180.491,1.31248e-25,-1.02187e-23,9.16492e-28,-7.49798e-26
