t,T+R,N_0,N_1,N_2
0,1,6.07373e-24,1.15177e-42,8.97225e-49
1,1,6.07403e-24,2.31138e-39,5.69462e-43
2,1,6.07349e-24,3.23017e-38,2.18254e-41
3,1,6.07326e-24,1.38152e-37,2.07722e-40
4,1,6.07108e-24,3.95711e-37,9.97283e-40
5,1,6.07055e-24,8.30892e-37,3.29408e-39
6,1,6.06959e-24,1.42852e-36,8.32153e-39
7,1,6.06878e-24,2.11627e-36,1.74082e-38
8,1,6.06757e-24,2.85517e-36,3.15131e-38
9,1,6.06677e-24,3.48971e-36,5.11078e-38
10,1,6.0659e-24,3.92179e-36,7.54487e-38
11,1,6.06628e-24,4.19686e-36,1.03471e-37
12,1,6.06609e-24,4.31767e-36,1.34518e-37
13,1,6.06347e-24,4.30955e-36,1.68859e-37
14,1,6.06226e-24,4.13704e-36,2.08036e-37
15,1,6.06177e-24,3.95478e-36,2.56467e-37
16,1,6.06327e-24,3.80126e-36,3.21133e-37
17,1,6.06074e-24,3.86529e-36,4.11779e-37
18,1,6.05884e-24,4.11774e-36,5.40623e-37
19,1,6.05685e-24,4.79725e-36,7.22853e-37
20,1,6.05693e-24,5.76812e-36,9.75354e-37
21,1,6.05559e-24,6.91199e-36,1.31647e-36
22,1,6.05609e-24,8.15e-36,1.76777e-36
23,1,6.05513e-24,9.09509e-36,2.35274e-36
24,1,6.05662e-24,9.31589e-36,3.09067e-36
25,1,6.05677e-24,8.697e-36,3.99724e-36
26,1,6.05655e-24,7.22676e-36,5.0816e-36
27,1,6.05523e-24,5.5654e-36,6.3439e-36
28,1,6.05547e-24,5.05242e-36,7.7739e-36
29,1,6.05595e-24,7.30663e-36,9.34783e-36
30,1,6.05488e-24,1.51264e-35,1.10199e-35
31,1,6.05545e-24,3.23431e-35,1.2717e-35
32,1,6.0547e-24,6.39507e-35,1.43414e-35
33,1,6.05518e-24,1.1683e-34,1.57686e-35
34,1,6.05723e-24,2.00235e-34,1.6847e-35
35,1,6.05705e-24,3.25744e-34,1.74208e-35
36,1,6.05955e-24,5.08629e-34,1.73563e-35
37,1,6.06207e-24,7.7024e-34,1.659e-35
38,1,6.06257e-24,1.13101e-33,1.51687e-35
39,1,6.06282e-24,1.61803e-33,1.33118e-35
40,1,6.06175e-24,2.26539e-33,1.14682e-35
41,1,6.06224e-24,3.11132e-33,1.03683e-35
42,1,6.0624e-24,4.20378e-33,1.10803e-35
43,1,6.0611e-24,5.59589e-33,1.50583e-35
44,1,6.061e-24,7.34471e-33,2.41971e-35
45,1,6.059e-24,9.51955e-33,4.0883e-35
46,1,6.05997e-24,1.21908e-32,6.8024e-35
47,1,6.05854e-24,1.5425e-32,1.09024e-34
48,1,6.0565e-24,1.9285e-32,1.67801e-34
49,1,6.0541e-24,2.38279e-32,2.48687e-34
50,1,6.05256e-24,2.9123e-32,3.56443e-34
51,1,6.05196e-24,3.52133e-32,4.96191e-34
52,1,6.05103e-24,4.21555e-32,6.73337e-34
53,1,6.04926e-24,5.00067e-32,8.93528e-34
54,1,6.04924e-24,5.87957e-32,1.16265e-33
55,1,6.04675e-24,6.85378e-32,1.48668e-33
56,1,6.0461e-24,7.92383e-32,1.8715e-33
57,1,6.04625e-24,9.09387e-32,2.32307e-33
58,1,6.0452e-24,1.03634e-31,2.84736e-33
59,1,6.04365e-24,1.1733e-31,3.45055e-33
60,1,6.0436e-24,1.31984e-31,4.13985e-33
61,1,6.0439e-24,1.47541e-31,4.92364e-33
62,1,6.04369e-24,1.63944e-31,5.81015e-33
63,1,6.04373e-24,1.81108e-31,6.80366e-33
64,1,6.04299e-24,1.98959e-31,7.90234e-33
65,1,6.04338e-24,2.17414e-31,9.10441e-33
66,1,6.04266e-24,2.36308e-31,1.04239e-32
67,1,6.04235e-24,2.55502e-31,1.19055e-32
68,1,6.04203e-24,2.74748e-31,1.36171e-32
69,1,6.04003e-24,2.93843e-31,1.56023e-32
70,1,6.03968e-24,3.12522e-31,1.78121e-32
71,1,6.03816e-24,3.30648e-31,2.00682e-32
72,1,6.03754e-24,3.48148e-31,2.21205e-32
73,1,6.03634e-24,3.64945e-31,2.381e-32
74,1,6.03441e-24,3.80869e-31,2.52614e-32
75,1,6.03306e-24,3.95491e-31,2.69728e-32
76,1,6.0332e-24,4.08023e-31,2.96906e-32
77,1,6.03406e-24,4.17594e-31,3.40738e-32
78,1,6.03208e-24,4.23622e-31,4.02838e-32
79,1,6.0332e-24,4.26271e-31,4.7707e-32
80,1,6.03346e-24,4.26544e-31,5.49793e-32
