t,T+R,N_0,N_1,N_2
0,1,2.13563e-21,6.00063e-41,7.02465e-47
1,1,2.13506e-21,3.30502e-36,5.16298e-40
2,1,2.13405e-21,5.48653e-35,3.11377e-38
3,1,2.13321e-21,2.52531e-34,3.32028e-37
4,1,2.13286e-21,6.74732e-34,1.67994e-36
5,1,2.1329e-21,1.32387e-33,5.57813e-36
6,1,2.13319e-21,2.21964e-33,1.41024e-35
7,1,2.13394e-21,3.29738e-33,2.959e-35
8,1,2.13484e-21,4.33913e-33,5.38315e-35
9,1,2.13561e-21,5.15341e-33,8.69233e-35
10,1,2.13603e-21,5.58463e-33,1.27035e-34
11,1,2.13632e-21,5.61223e-33,1.70737e-34
12,1,2.1356e-21,5.26856e-33,2.14094e-34
13,1,2.13487e-21,4.57894e-33,2.53518e-34
14,1,2.13393e-21,3.5994e-33,2.85807e-34
15,1,2.13266e-21,2.6449e-33,3.09679e-34
16,1,2.13245e-21,1.90982e-33,3.26377e-34
17,1,2.13287e-21,1.45118e-33,3.3973e-34
18,1,2.13344e-21,1.34286e-33,3.56108e-34
19,1,2.13446e-21,1.46936e-33,3.83684e-34
20,1,2.135e-21,1.84207e-33,4.3064e-34
21,1,2.13575e-21,2.59751e-33,5.05811e-34
22,1,2.13584e-21,3.98282e-33,6.20282e-34
23,1,2.13518e-21,6.26343e-33,7.86971e-34
24,1,2.13467e-21,9.65439e-33,1.02176e-33
25,1,2.13368e-21,1.39864e-32,1.34079e-33
26,1,2.13306e-21,1.89699e-32,1.75603e-33
27,1,2.13255e-21,2.40685e-32,2.27399e-33
28,1,2.13262e-21,2.84194e-32,2.89168e-33
29,1,2.13303e-21,3.12286e-32,3.5941e-33
30,1,2.13402e-21,3.2078e-32,4.35496e-33
31,1,2.13483e-21,3.10068e-32,5.14171e-33
32,1,2.13486e-21,2.8428e-32,5.92155e-33
33,1,2.13468e-21,2.54445e-32,6.66586e-33
34,1,2.13439e-21,2.32629e-32,7.35666e-33
35,1,2.13347e-21,2.33543e-32,7.98908e-33
36,1,2.13267e-21,2.63231e-32,8.57001e-33
37,1,2.13221e-21,3.23923e-32,9.11132e-33
38,1,2.13233e-21,4.11344e-32,9.63087e-33
39,1,2.13329e-21,5.10691e-32,1.014e-32
40,1,2.13354e-21,6.14053e-32,1.0635e-32
41,1,2.13426e-21,7.0753e-32,1.11031e-32
42,1,2.1349e-21,7.77829e-32,1.15157e-32
43,1,2.13523e-21,8.20188e-32,1.18316e-32
44,1,2.13503e-21,8.39562e-32,1.2012e-32
45,1,2.1341e-21,8.34993e-32,1.20241e-32
46,1,2.13337e-21,8.13564e-32,1.18487e-32
47,1,2.13246e-21,7.77095e-32,1.14901e-32
48,1,2.13142e-21,7.30536e-32,1.09628e-32
49,1,2.13103e-21,6.76771e-32,1.03057e-32
50,1,2.13121e-21,6.21221e-32,9.57615e-33
