t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,1,-199.954,2.71286e-40,-2.72913e-38,2.13617e-46,-2.14555e-44,1.88092e-52,-1.88791e-50
1,1,-199.49,2.28783e-36,-2.30151e-34,3.63775e-40,-3.65116e-38,8.48148e-44,-8.50599e-42
2,1,-199.027,2.81693e-35,-2.83421e-33,1.46936e-38,-1.47383e-36,1.15069e-41,-1.15282e-39
3,1,-198.563,1.25367e-34,-1.26056e-32,1.29777e-37,-1.3003e-35,2.06287e-40,-2.0643e-38
4,1,-198.1,3.59334e-34,-3.61025e-32,5.85364e-37,-5.85698e-35,1.52433e-39,-1.52303e-37
5,1,-197.637,8.03912e-34,-8.07315e-32,1.83829e-36,-1.83759e-34,6.99141e-39,-6.97728e-37
6,1,-197.173,1.53514e-33,-1.54107e-31,4.60999e-36,-4.60386e-34,2.40942e-38,-2.40162e-36
7,1,-196.71,2.62956e-33,-2.63883e-31,9.84213e-36,-9.8179e-34,6.79297e-38,-6.76082e-36
8,1,-196.246,4.20224e-33,-4.21647e-31,1.87596e-35,-1.86918e-33,1.65148e-37,-1.64077e-35
9,1,-195.783,6.40466e-33,-6.42647e-31,3.30428e-35,-3.28865e-33,3.59827e-37,-3.5682e-35
10,1,-195.32,9.42708e-33,-9.46051e-31,5.47944e-35,-5.44738e-33,7.19423e-37,-7.11959e-35
11,1,-194.856,1.35058e-32,-1.35576e-30,8.65279e-35,-8.59239e-33,1.34008e-36,-1.32337e-34
12,1,-194.393,1.90102e-32,-1.90927e-30,1.31195e-34,-1.30143e-32,2.35032e-36,-2.31604e-34
13,1,-193.929,2.64982e-32,-2.66304e-30,1.92722e-34,-1.9101e-32,3.91485e-36,-3.84976e-34
14,1,-193.466,3.67932e-32,-3.7004e-30,2.76418e-34,-2.73778e-32,6.24121e-36,-6.12549e-34
15,1,-193.003,5.11355e-32,-5.14759e-30,3.89179e-34,-3.85287e-32,9.58277e-36,-9.38839e-34
16,1,-192.539,7.15986e-32,-7.21651e-30,5.40832e-34,-5.35347e-32,1.42471e-35,-1.39364e-33
17,1,-192.076,1.01944e-31,-1.02926e-29,7.45947e-34,-7.38562e-32,2.06123e-35,-2.0137e-33
18,1,-191.612,1.49923e-31,-1.51732e-29,1.02847e-33,-1.01899e-31,2.91513e-35,-2.84512e-33
19,1,-191.149,2.34098e-31,-2.37821e-29,1.43274e-33,-1.42132e-31,4.04955e-35,-3.94986e-33
20,1,-190.686,4.1997e-31,-4.29924e-29,2.05113e-33,-2.0391e-31,5.55607e-35,-5.41822e-33
21,1,-190.222,1.43055e-30,-1.50621e-28,3.18487e-33,-3.18049e-31,7.58265e-35,-7.39763e-33
22,1,-189.759,1.9542e-29,-2.07762e-27,7.1124e-33,-7.17026e-31,1.06212e-34,-1.03843e-32
23,1,-189.295,2.37106e-28,-2.45564e-26,7.9507e-32,-8.09261e-30,1.96073e-34,-1.93342e-32
24,1,-188.832,1.37702e-27,-1.38192e-25,1.31852e-30,-1.30899e-28,1.90547e-33,-1.87834e-31
25,1,-188.369,4.07417e-27,-3.9564e-25,8.13266e-30,-7.83459e-28,1.87094e-32,-1.79372e-30
26,1,-187.905,7.38768e-27,-6.9493e-25,2.15179e-29,-2.00649e-27,6.80557e-32,-6.32798e-30
27,1,-187.442,1.08089e-26,-9.95185e-25,3.37626e-29,-3.04797e-27,1.2138e-31,-1.09118e-29
28,1,-186.978,1.6172e-26,-1.47821e-24,4.862e-29,-4.32855e-27,1.69849e-31,-1.49332e-29
29,1,-186.515,2.39317e-26,-2.16424e-24,8.14993e-29,-7.2769e-27,2.96154e-31,-2.62342e-29
30,1,-186.051,3.11052e-26,-2.74906e-24,1.26812e-28,-1.12004e-26,5.32145e-31,-4.70554e-29
31,1,-185.588,3.54761e-26,-3.03725e-24,1.60315e-28,-1.3784e-26,7.45928e-31,-6.45086e-29
