t,T+R,N_0,N_1,N_2,N_3
0,1,3.89786e-23,3.19053e-43,4.30241e-50,1.27061e-55
1,1,3.89787e-23,5.89887e-40,4.08036e-44,7.88819e-47
2,1,3.89781e-23,7.09442e-39,2.36192e-42,1.41641e-44
3,1,3.89717e-23,4.23558e-38,2.11065e-41,2.97371e-43
4,1,3.89683e-23,1.47864e-37,1.11124e-40,2.49673e-42
5,1,3.89685e-23,3.93385e-37,5.08222e-40,1.30637e-41
6,1,3.89666e-23,8.68971e-37,1.88197e-39,5.08787e-41
7,1,3.8964e-23,1.73612e-36,5.47917e-39,1.58309e-40
8,1,3.89624e-23,3.12151e-36,1.36787e-38,4.11115e-40
9,1,3.89591e-23,5.2766e-36,3.05114e-38,9.30975e-40
10,1,3.896e-23,8.36849e-36,6.18753e-38,1.90078e-39
11,1,3.89644e-23,1.21503e-35,1.15997e-37,3.60063e-39
12,1,3.89683e-23,1.68195e-35,2.04215e-37,6.49484e-39
13,1,3.89677e-23,2.25016e-35,3.4103e-37,1.138e-38
14,1,3.89711e-23,2.89362e-35,5.43632e-37,1.95861e-38
15,1,3.89725e-23,3.52433e-35,8.27183e-37,3.31797e-38
16,1,3.89712e-23,4.06843e-35,1.1997e-36,5.50447e-38
17,1,3.89704e-23,4.50658e-35,1.6613e-36,8.8744e-38
18,1,3.89697e-23,4.77116e-35,2.19698e-36,1.38046e-37
19,1,3.89727e-23,4.91265e-35,2.78196e-36,2.06098e-37
20,1,3.89721e-23,4.85962e-35,3.37955e-36,2.94417e-37
21,1,3.89677e-23,4.71963e-35,3.95322e-36,4.01912e-37
22,1,3.89694e-23,4.53485e-35,4.47902e-36,5.24446e-37
23,1,3.8967e-23,4.37304e-35,4.94715e-36,6.5503e-37
24,1,3.8968e-23,4.32656e-35,5.3704e-36,7.84896e-37
25,1,3.89653e-23,4.50715e-35,5.78664e-36,9.05375e-37
26,1,3.89676e-23,5.18571e-35,6.26589e-36,1.01032e-36
27,1,3.89681e-23,6.56103e-35,6.90846e-36,1.09866e-36
28,1,3.89737e-23,8.87082e-35,7.82256e-36,1.17638e-36
29,1,3.89708e-23,1.23999e-34,9.11657e-36,1.25725e-36
30,1,3.89739e-23,1.74635e-34,1.08903e-35,1.3624e-36
31,1,3.89734e-23,2.42426e-34,1.3218e-35,1.51829e-36
