t,T+R,N_0,N_1,N_2,N_3
0,1,1.16569e-23,4.68735e-43,4.22871e-49,4.33744e-55
1,1,1.16605e-23,8.0768e-40,2.64993e-43,1.09574e-46
2,1,1.16638e-23,6.30313e-39,8.86677e-42,1.46233e-44
3,1,1.16671e-23,2.79434e-38,6.75305e-41,2.6132e-43
4,1,1.16714e-23,1.02196e-37,3.09803e-40,2.02323e-42
5,1,1.16747e-23,2.85316e-37,1.06063e-39,9.98688e-42
6,1,1.16773e-23,5.51007e-37,2.79845e-39,3.632e-41
7,1,1.16791e-23,8.69307e-37,5.80177e-39,1.03724e-40
8,1,1.16826e-23,1.34751e-36,9.88623e-39,2.40617e-40
9,1,1.1685e-23,1.92797e-36,1.42747e-38,4.65527e-40
10,1,1.16874e-23,2.59567e-36,1.73262e-38,7.61187e-40
11,1,1.16887e-23,3.43416e-36,1.74885e-38,1.053e-39
12,1,1.16894e-23,4.61704e-36,1.41446e-38,1.21924e-39
13,1,1.16901e-23,6.32317e-36,8.16541e-39,1.14041e-39
14,1,1.16895e-23,8.84312e-36,3.44806e-39,8.08192e-40
15,1,1.16894e-23,1.22682e-35,7.57462e-39,4.9213e-40
16,1,1.16893e-23,1.67601e-35,3.17667e-38,9.31009e-40
17,1,1.16889e-23,2.20211e-35,8.99127e-38,3.48358e-39
18,1,1.1689e-23,2.79257e-35,1.96494e-37,1.01794e-38
19,1,1.16896e-23,3.42745e-35,3.65849e-37,2.36162e-38
20,1,1.16894e-23,4.07018e-35,6.09945e-37,4.67218e-38
21,1,1.16899e-23,4.69758e-35,9.398e-37,8.245e-38
22,1,1.169e-23,5.2746e-35,1.36698e-36,1.33565e-37
23,1,1.16907e-23,5.72538e-35,1.90257e-36,2.0259e-37
24,1,1.16916e-23,6.00731e-35,2.55502e-36,2.91968e-37
25,1,1.16922e-23,6.14717e-35,3.3299e-36,4.04401e-37
26,1,1.16928e-23,6.24905e-35,4.23243e-36,5.43318e-37
27,1,1.16936e-23,6.39689e-35,5.26333e-36,7.13306e-37
28,1,1.16953e-23,6.78393e-35,6.41177e-36,9.20209e-37
29,1,1.16956e-23,7.63335e-35,7.65436e-36,1.17075e-36
30,1,1.16959e-23,9.26809e-35,8.94996e-36,1.47162e-36
31,1,1.16967e-23,1.18936e-34,1.02389e-35,1.82806e-36
32,1,1.16964e-23,1.57689e-34,1.14336e-35,2.24208e-36
33,1,1.16962e-23,2.13305e-34,1.24201e-35,2.71046e-36
34,1,1.16956e-23,2.91051e-34,1.30659e-35,3.22275e-36
35,1,1.1693e-23,3.96424e-34,1.32335e-35,3.76003e-36
36,1,1.16907e-23,5.41012e-34,1.27977e-35,4.29445e-36
37,1,1.16869e-23,7.37849e-34,1.16722e-35,4.78997e-36
38,1,1.16838e-23,1.00247e-33,9.84715e-36,5.20464e-36
39,1,1.16797e-23,1.35085e-33,7.45415e-36,5.49452e-36
40,1,1.16767e-23,1.81217e-33,4.77923e-36,5.61935e-36
41,1,1.16712e-23,2.41843e-33,2.29682e-36,5.54784e-36
42,1,1.16676e-23,3.20413e-33,7.15245e-37,5.26318e-36
43,1,1.1664e-23,4.20668e-33,1.02134e-36,4.76869e-36
44,1,1.16605e-23,5.47326e-33,4.51584e-36,4.0931e-36
