t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,1,-99.9537,6.28932e-39,-2.75552e-39,6.28932e-39,-2.75552e-39
1,1,-99.4903,9.32063e-35,-4.248e-35,9.32063e-35,-4.248e-35
2,1,-99.0268,1.31877e-33,-5.3389e-34,1.31877e-33,-5.3389e-34
3,1,-98.5634,6.78711e-33,-2.22196e-33,6.78711e-33,-2.22196e-33
4,1,-98.1,2.26422e-32,-5.11156e-33,2.26422e-32,-5.11156e-33
5,1,-97.6366,5.89447e-32,-6.67088e-33,5.89447e-32,-6.67088e-33
6,1,-97.1732,1.30628e-31,-7.54465e-34,1.30628e-31,-7.54465e-34
7,1,-96.7098,2.58941e-31,2.22151e-32,2.58941e-31,2.22151e-32
8,1,-96.2464,4.73457e-31,7.61319e-32,4.73457e-31,7.61319e-32
9,1,-95.783,8.14241e-31,1.82091e-31,8.14241e-31,1.82091e-31
10,1,-95.3196,1.33435e-30,3.69269e-31,1.33435e-30,3.69269e-31
11,1,-94.8562,2.10385e-30,6.73134e-31,2.10385e-30,6.73134e-31
12,1,-94.3928,3.21554e-30,1.14167e-30,3.21554e-30,1.14167e-30
13,1,-93.9294,4.79169e-30,1.84405e-30,4.79169e-30,1.84405e-30
14,1,-93.466,6.99535e-30,2.88482e-30,6.99535e-30,2.88482e-30
15,1,-93.0026,1.00464e-29,4.42985e-30,1.00464e-29,4.42985e-30
16,1,-92.5392,1.42484e-29,6.74683e-30,1.42484e-29,6.74683e-30
17,1,-92.0758,2.0034e-29,1.02929e-29,2.0034e-29,1.02929e-29
18,1,-91.6124,2.80419e-29,1.59234e-29,2.80419e-29,1.59234e-29
19,1,-91.149,3.92674e-29,2.54908e-29,3.92674e-29,2.54908e-29
20,1,-90.6855,5.53518e-29,4.39872e-29,5.53518e-29,4.39872e-29
21,1,-90.2221,7.96485e-29,8.22616e-29,7.96485e-29,8.22616e-29
22,1,-89.7587,1.39936e-28,3.34882e-29,1.39936e-28,3.34882e-29
23,1,-89.2953,5.16029e-28,-6.58567e-28,5.16029e-28,-6.58567e-28
24,1,-88.8319,2.09457e-27,1.72315e-27,2.09457e-27,1.72315e-27
25,1,-88.3685,4.98833e-27,2.04821e-26,4.98833e-27,2.04821e-26
26,1,-87.9051,7.75017e-27,5.56764e-26,7.75017e-27,5.56764e-26
27,1,-87.4417,1.04558e-26,9.58732e-26,1.04558e-26,9.58732e-26
28,1,-86.9783,1.46765e-26,1.4546e-25,1.46765e-26,1.4546e-25
29,1,-86.5149,2.11558e-26,2.20627e-25,2.11558e-26,2.20627e-25
30,1,-86.0515,2.85728e-26,3.335e-25,2.85728e-26,3.335e-25
31,1,-85.5881,3.47951e-26,4.75043e-25,3.47951e-26,4.75043e-25
32,1,-85.1247,3.93859e-26,6.28527e-25,3.93859e-26,6.28527e-25
33,1,-84.6613,4.29849e-26,7.90111e-25,4.29849e-26,7.90111e-25
34,1,-84.1979,4.57379e-26,9.59987e-25,4.57379e-26,9.59987e-25
35,1,-83.7345,4.77232e-26,1.13329e-24,4.77232e-26,1.13329e-24
36,1,-83.2711,4.96178e-26,1.30639e-24,4.96178e-26,1.30639e-24
37,1,-82.8076,5.25203e-26,1.48066e-24,5.25203e-26,1.48066e-24
38,1,-82.3442,5.789e-26,1.66095e-24,5.789e-26,1.66095e-24
39,1,-81.8808,6.75907e-26,1.85899e-24,6.75907e-26,1.85899e-24
40,1,-81.4174,8.29483e-26,2.09903e-24,8.29483e-26,2.09903e-24
41,1,-80.954,1.0306e-25,2.41025e-24,1.0306e-25,2.41025e-24
42,1,-80.4906,1.24445e-25,2.8052e-24,1.24445e-25,2.8052e-24
43,1,-80.0272,1.43018e-25,3.26776e-24,1.43018e-25,3.26776e-24
44,1,-79.5638,1.56506e-25,3.76512e-24,1.56506e-25,3.76512e-24
45,1,-79.1004,1.65115e-25,4.26947e-24,1.65115e-25,4.26947e-24
46,1,-78.637,1.70471e-25,4.76874e-24,1.70471e-25,4.76874e-24
47,1,-78.1736,1.74268e-25,5.26359e-24,1.74268e-25,5.26359e-24
48,1,-77.7102,1.77542e-25,5.75958e-24,1.77542e-25,5.75958e-24
49,1,-77.2468,1.80617e-25,6.26131e-24,1.80617e-25,6.26131e-24
50,1,-76.7834,1.83392e-25,6.77e-24,1.83392e-25,6.77e-24
51,1,-76.32,1.85688e-25,7.28395e-24,1.85688e-25,7.28395e-24
52,1,-75.8566,1.87472e-25,7.80044e-24,1.87472e-25,7.80044e-24
53,1,-75.3932,1.88887e-25,8.31755e-24,1.88887e-25,8.31755e-24
54,1,-74.9298,1.9016e-25,8.83488e-24,1.9016e-25,8.83488e-24
55,1,-74.4663,1.91499e-25,9.35314e-24,1.91499e-25,9.35314e-24
56,1,-74.0029,1.93058e-25,9.8732e-24,1.93058e-25,9.8732e-24
57,1,-73.5395,1.94991e-25,1.03954e-23,1.94991e-25,1.03954e-23
58,1,-73.0761,1.97555e-25,1.09195e-23,1.97555e-25,1.09195e-23
59,1,-72.6127,2.01277e-25,1.14445e-23,2.01277e-25,1.14445e-23
60,1,-72.1493,2.07147e-25,1.19695e-23,2.07147e-25,1.19695e-23
61,1,-71.6859,2.16844e-25,1.24949e-23,2.16844e-25,1.24949e-23
62,1,-71.2225,2.32885e-25,1.30251e-23,2.32885e-25,1.30251e-23
63,1,-70.7591,2.58568e-25,1.35725e-23,2.58568e-25,1.35725e-23
64,1,-70.2957,2.97589e-25,1.41608e-23,2.97589e-25,1.41608e-23
65,1,-69.8323,3.53307e-25,1.48274e-23,3.53307e-25,1.48274e-23
66,1,-69.3689,4.27828e-25,1.56207e-23,4.27828e-25,1.56207e-23
67,1,-68.9055,5.21165e-25,1.65938e-23,5.21165e-25,1.65938e-23
68,1,-68.4421,6.30827e-25,1.77948e-23,6.30827e-25,1.77948e-23
69,1,-67.9787,7.51984e-25,1.92564e-23,7.51984e-25,1.92564e-23
70,1,-67.5153,8.78229e-25,2.09894e-23,8.78229e-25,2.09894e-23
71,1,-67.0519,1.00268e-24,2.29804e-23,1.00268e-24,2.29804e-23
72,1,-66.5884,1.11913e-24,2.51958e-23,1.11913e-24,2.51958e-23
73,1,-66.125,1.22287e-24,2.75889e-23,1.22287e-24,2.75889e-23
74,1,-65.6616,1.31117e-24,3.01089e-23,1.31117e-24,3.01089e-23
75,1,-65.1982,1.38323e-24,3.27086e-23,1.38323e-24,3.27086e-23
76,1,-64.7348,1.43982e-24,3.53493e-23,1.43982e-24,3.53493e-23
77,1,-64.2714,1.48287e-24,3.80012e-23,1.48287e-24,3.80012e-23
78,1,-63.808,1.51519e-24,4.06371e-23,1.51519e-24,4.06371e-23
79,1,-63.3446,1.54164e-24,4.31998e-23,1.54164e-24,4.31998e-23
80,1,-62.8812,1.5759e-24,4.54644e-23,1.5759e-24,4.54644e-23
81,1,-62.4178,1.67139e-24,4.64565e-23,1.67139e-24,4.64565e-23
82,1,-61.9544,2.05274e-24,4.20645e-23,2.05274e-24,4.20645e-23
83,1,-61.491,3.6483e-24,1.56257e-23,3.6483e-24,1.56257e-23
84,1,-61.0276,1.01643e-23,-9.77701e-23,1.01643e-23,-9.77702e-23
85,1,-60.5642,3.58531e-23,-5.41437e-22,3.58531e-23,-5.41437e-22
86,1,-60.1008,1.33523e-22,-2.19388e-21,1.33523e-22,-2.19388e-21
87,1,-59.6374,4.91857e-22,-8.11314e-21,4.91857e-22,-8.11314e-21
88,1,-59.174,1.7615e-21,-2.8571e-20,1.7615e-21,-2.8571e-20
89,1,-58.7106,6.10974e-21,-9.68895e-20,6.10974e-21,-9.68895e-20
