t,T+R,N_0,N_1,N_2
0,1,1.01492e-23,2.84042e-43,2.84042e-43
1,1,1.01484e-23,2.63322e-40,2.63322e-40
2,1,1.01482e-23,3.16701e-39,3.16701e-39
3,1,1.01512e-23,1.11345e-38,1.11345e-38
4,1,1.01516e-23,1.99252e-38,1.99252e-38
5,1,1.01508e-23,2.99252e-38,2.99252e-38
6,1,1.01516e-23,6.81252e-38,6.81252e-38
7,1,1.01525e-23,1.99039e-37,1.99039e-37
8,1,1.0154e-23,5.10225e-37,5.10225e-37
9,1,1.01547e-23,1.13918e-36,1.13918e-36
10,1,1.01577e-23,2.52778e-36,2.52778e-36
11,1,1.01602e-23,5.63631e-36,5.63631e-36
12,1,1.01605e-23,1.18106e-35,1.18106e-35
13,1,1.01617e-23,2.32355e-35,2.32355e-35
14,1,1.0162e-23,4.27371e-35,4.27371e-35
15,1,1.01642e-23,7.43122e-35,7.43122e-35
16,1,1.01637e-23,1.23833e-34,1.23833e-34
17,1,1.01647e-23,1.97562e-34,1.97562e-34
18,1,1.01666e-23,3.0094e-34,3.0094e-34
19,1,1.01676e-23,4.37503e-34,4.37503e-34
20,1,1.01688e-23,6.0621e-34,6.0621e-34
21,1,1.01701e-23,7.95154e-34,7.95154e-34
22,1,1.01692e-23,9.81967e-34,9.81967e-34
23,1,1.01681e-23,1.13523e-33,1.13523e-33
24,1,1.01678e-23,1.22213e-33,1.22213e-33
25,1,1.01691e-23,1.21894e-33,1.21894e-33
26,1,1.01693e-23,1.12312e-33,1.12312e-33
27,1,1.01668e-23,9.70787e-34,9.70787e-34
28,1,1.01669e-23,8.47288e-34,8.47288e-34
29,1,1.01642e-23,8.77282e-34,8.77282e-34
30,1,1.01638e-23,1.19983e-33,1.19983e-33
31,1,1.01625e-23,1.92422e-33,1.92422e-33
32,1,1.01605e-23,3.09451e-33,3.09451e-33
33,1,1.01601e-23,4.67566e-33,4.67566e-33
34,1,1.01597e-23,6.56327e-33,6.56327e-33
35,1,1.01582e-23,8.63871e-33,8.63871e-33
36,1,1.01556e-23,1.0878e-32,1.0878e-32
37,1,1.01554e-23,1.34394e-32,1.34394e-32
38,1,1.01522e-23,1.67447e-32,1.67447e-32
