t,T+R,N_0
0,1,1.01492e-23
10,1,1.015e-23
20,1,1.01534e-23
30,1,1.01522e-23
40,1,1.01379e-23
50,1,1.01171e-23
60,1,1.01185e-23
70,1,1.01266e-23
80,1,1.01089e-23
90,1,1.01198e-23
100,1,1.01253e-23
110,1,1.01179e-23
120,1,1.01319e-23
130,0.999968,1.01188e-23
140,0.996621,1.01733e-23
150,0.972868,1.79885e-23
160,1.27197,9.94375e-21
170,0.727828,1.53068e-17
180,2.06352,8.51565e-15
190,1.34298,2.06321e-12
200,0.412003,2.45404e-10
210,0.0951167,1.57193e-08
220,0.149271,5.83436e-07
230,0.0628586,1.32962e-05
240,0.122474,0.000194709
250,0.108603,0.00189729
260,0.126007,0.0126257
270,0.167091,0.0584611
280,0.288646,0.19094
290,0.530028,0.445633
300,0.826194,0.759361
310,1.04032,0.990831
320,1.11762,1.08421
330,1.12634,1.10557
340,1.1115,1.09953
350,1.07497,1.06807
360,1.03652,1.0318
370,1.00901,1.00458
380,0.991952,0.986853
390,0.985536,0.979483
400,0.985823,0.978937
410,0.989632,0.9822
420,0.994244,0.98656
430,0.998113,0.990397
440,1.0006,0.992977
450,1.00175,0.994259
460,1.0019,0.99453
470,1.0015,0.994217
480,1.00091,0.993672
490,1.00037,0.993151
500,1,0.99277
600,1.00002,0.992744
700,1,0.992724
800,1,0.992723
900,1,0.992723
1000,1,0.992723
1100,1,0.992723
1200,1,0.992723
1300,1,0.992723
1400,1,0.992723
1500,1,0.992723
1600,1,0.992723
1700,1,0.992723
1800,1,0.992723
1900,1,0.992723
2000,1,0.992723
2100,1,0.992723
2200,1,0.992723
2300,1,0.992723
2400,1,0.992723
2500,1,0.992723
2600,1,0.992723
2700,1,0.992723
2800,1,0.992723
2900,1,0.992723
3000,1,0.992723
3100,1,0.992723
3200,1,0.992723
3300,1,0.992723
3400,1,0.992723
3500,1,0.992723
3600,1,0.992723
3700,1,0.992723
3800,1,0.992723
3900,1,0.992723
4000,1,0.992723
4100,1,0.992723
4200,1,0.992723
4300,1,0.992723
4400,1,0.992723
4500,1,0.992723
4600,1,0.992723
4700,1,0.992723
4800,1,0.992723
4900,1,0.992723
5000,1,0.992723
5100,1,0.992723
5200,1,0.992723
5300,1,0.992723
5400,1,0.992723
5500,1,0.992723
5600,1,0.992723
5700,1,0.992723
5800,1,0.992723
5900,1,0.992723
6000,1,0.992723
6100,1,0.992723
6200,1,0.992723
6300,1,0.992723
6400,1,0.992723
6500,1,0.992723
6600,1,0.992723
6700,1,0.992723
6800,1,0.992723
6900,1,0.992723
7000,1,0.992723
7100,1,0.992723
7200,1,0.992723
7300,1,0.992723
7400,1,0.992723
7500,1,0.992723
7600,1,0.992723
7700,1,0.992723
7800,1,0.992723
7900,1,0.992723
8000,1,0.992723
8100,1,0.992723
8200,1,0.992723
8300,1,0.992723
8400,1,0.992723
