t,T+R,N_0,N_1
0,1,1.01492e-23,7.10104e-44
10,1,1.01504e-23,2.47995e-37
20,1,1.01447e-23,1.28727e-34
30,1,1.01385e-23,4.67094e-34
40,1,1.01211e-23,7.15809e-33
50,1,1.0103e-23,1.08933e-31
60,1,1.00995e-23,1.22147e-31
70,1,1.01014e-23,1.83696e-32
80,1,1.00868e-23,2.81403e-32
90,1,1.00945e-23,1.12567e-31
100,1,1.0099e-23,9.96367e-31
110,1,1.00879e-23,3.85332e-30
120,1,1.01024e-23,7.80223e-30
130,0.999968,1.00886e-23,1.7538e-29
140,0.996608,1.01425e-23,1.06679e-29
150,0.972715,1.90155e-23,5.31608e-25
160,1.2707,1.11906e-20,2.68403e-21
170,0.728332,1.69244e-17,4.05362e-18
180,2.06841,9.27189e-15,2.28303e-15
190,1.33656,2.20447e-12,5.59865e-13
200,0.415817,2.56399e-10,6.72782e-11
210,0.0958134,1.60019e-08,4.34412e-09
220,0.14677,5.76557e-07,1.6209e-07
230,0.0656873,1.27087e-05,3.70168e-06
240,0.120937,0.000179375,5.41226e-05
250,0.110031,0.00167951,0.000524468
260,0.127725,0.0107153,0.00345703
270,0.172869,0.047527,0.0158022
280,0.299087,0.148861,0.0508707
290,0.53863,0.334386,0.117234
300,0.82129,0.551922,0.198507
310,1.01819,0.704111,0.259296
320,1.08596,0.763572,0.282582
330,1.09305,0.785942,0.279465
340,1.08394,0.801501,0.263706
350,1.05929,0.80251,0.24381
360,1.03355,0.796526,0.227285
370,1.01571,0.789973,0.217421
380,1.00341,0.781792,0.213618
390,0.996819,0.774582,0.213961
400,0.993582,0.768666,0.216142
410,0.992528,0.764736,0.21851
420,0.992697,0.762779,0.220225
430,0.993559,0.762469,0.221121
440,0.994729,0.763216,0.221394
450,0.995934,0.764426,0.221337
460,0.996949,0.765611,0.221184
470,0.997666,0.766504,0.221056
480,0.998044,0.76701,0.220986
490,0.998141,0.767186,0.220957
500,0.998046,0.76714,0.220943
600,0.997481,0.766629,0.220893
700,0.997482,0.766635,0.220889
800,0.997483,0.766635,0.220889
900,0.997483,0.766635,0.220889
1000,0.997483,0.766635,0.220889
1100,0.997483,0.766635,0.220889
1200,0.997483,0.766635,0.220889
1300,0.997483,0.766635,0.220889
1400,0.997483,0.766635,0.220889
1500,0.997483,0.766635,0.220889
1600,0.997483,0.766635,0.220889
1700,0.997483,0.766635,0.220889
1800,0.997483,0.766635,0.220889
1900,0.997483,0.766635,0.220889
2000,0.997483,0.766635,0.220889
2100,0.997483,0.766635,0.220889
2200,0.997483,0.766635,0.220889
2300,0.997483,0.766635,0.220889
2400,0.997483,0.766635,0.220889
2500,0.997483,0.766635,0.220889
2600,0.997483,0.766635,0.220889
2700,0.997483,0.766635,0.220889
2800,0.997483,0.766635,0.220889
2900,0.997483,0.766635,0.220889
3000,0.997483,0.766635,0.220889
3100,0.997483,0.766635,0.220889
3200,0.997483,0.766635,0.220889
3300,0.997483,0.766635,0.220889
3400,0.997483,0.766635,0.220889
3500,0.997483,0.766635,0.220889
3600,0.997483,0.766635,0.220889
3700,0.997483,0.766635,0.220889
3800,0.997483,0.766635,0.220889
3900,0.997483,0.766635,0.220889
4000,0.997483,0.766635,0.220889
4100,0.997483,0.766635,0.220889
4200,0.997483,0.766635,0.220889
4300,0.997483,0.766635,0.220889
4400,0.997483,0.766635,0.220889
4500,0.997483,0.766635,0.220889
4600,0.997483,0.766635,0.220889
4700,0.997483,0.766635,0.220889
4800,0.997483,0.766635,0.220889
4900,0.997483,0.766635,0.220889
5000,0.997483,0.766635,0.220889
5100,0.997483,0.766635,0.220889
5200,0.997483,0.766635,0.220889
5300,0.997483,0.766635,0.220889
5400,0.997483,0.766635,0.220889
5500,0.997483,0.766635,0.220889
5600,0.997483,0.766635,0.220889
5700,0.997483,0.766635,0.220889
5800,0.997483,0.766635,0.220889
5900,0.997483,0.766635,0.220889
6000,0.997483,0.766635,0.220889
6100,0.997483,0.766635,0.220889
6200,0.997483,0.766635,0.220889
6300,0.997483,0.766635,0.220889
6400,0.997483,0.766635,0.220889
6500,0.997483,0.766635,0.220889
6600,0.997483,0.766635,0.220889
6700,0.997483,0.766635,0.220889
6800,0.997483,0.766635,0.220889
6900,0.997483,0.766635,0.220889
7000,0.997483,0.766635,0.220889
7100,0.997483,0.766635,0.220889
7200,0.997483,0.766635,0.220889
7300,0.997483,0.766635,0.220889
7400,0.997483,0.766635,0.220889
7500,0.997483,0.766635,0.220889
7600,0.997483,0.766635,0.220889
7700,0.997483,0.766635,0.220889
7800,0.997483,0.766635,0.220889
7900,0.997483,0.766635,0.220889
8000,0.997483,0.766635,0.220889
8100,0.997483,0.766635,0.220889
8200,0.997483,0.766635,0.220889
8300,0.997483,0.766635,0.220889
8400,0.997483,0.766635,0.220889
