t,T+R,N_0,N_1
0,1,1.6644e-23,2.56952e-44
10,1,1.66092e-23,2.49956e-37
20,1,1.65622e-23,7.39892e-35
30,1,1.65569e-23,3.90074e-34
40,1,1.65643e-23,2.00892e-33
50,1,1.65385e-23,6.13505e-32
60,1,1.64679e-23,1.70193e-31
70,1,1.6475e-23,1.2626e-31
80,1,1.65212e-23,5.28245e-32
90,1,1.65137e-23,6.47079e-32
100,1,1.6479e-23,2.53389e-31
110,1,1.64986e-23,1.03814e-30
120,1,1.65243e-23,3.0617e-30
130,1.0002,1.65051e-23,2.54862e-30
140,1.00613,1.65046e-23,8.68927e-30
150,1.05585,2.33707e-23,1.59897e-25
160,0.666951,3.51729e-21,8.93643e-22
170,1.92554,6.09066e-18,1.49148e-18
180,1.09382,3.62448e-15,9.13556e-16
190,0.53789,9.23168e-13,2.4014e-13
200,0.0257297,1.13571e-10,3.05504e-11
210,0.130015,7.41607e-09,2.06691e-09
220,0.0561807,2.76885e-07,8.0114e-08
230,0.113083,6.26543e-06,1.88634e-06
240,0.128366,8.98486e-05,2.82316e-05
250,0.157639,0.000843633,0.000277866
260,0.197578,0.00530144,0.00184328
270,0.255573,0.022579,0.00838634
280,0.357637,0.0655749,0.0265503
290,0.496828,0.130847,0.0596887
300,0.631779,0.18517,0.099491
310,0.723636,0.205806,0.133859
320,0.790825,0.2131,0.161733
330,0.84966,0.22161,0.185891
340,0.892524,0.224488,0.205067
350,0.923704,0.224929,0.219797
360,0.946562,0.224466,0.230976
370,0.962417,0.223083,0.239157
380,0.973584,0.221627,0.245079
390,0.981156,0.220101,0.249256
400,0.986293,0.218743,0.252158
410,0.989702,0.217561,0.254132
420,0.991933,0.216577,0.255448
430,0.993374,0.215786,0.256306
440,0.994282,0.215156,0.25685
450,0.994847,0.21467,0.257185
460,0.995186,0.214297,0.257381
470,0.995384,0.214016,0.257489
480,0.995495,0.213807,0.257542
490,0.995552,0.213652,0.257563
500,0.995578,0.213539,0.257565
600,0.995548,0.213269,0.257491
700,0.995541,0.213262,0.257485
800,0.99554,0.213262,0.257485
900,0.99554,0.213262,0.257485
1000,0.99554,0.213262,0.257485
1100,0.99554,0.213262,0.257485
1200,0.99554,0.213262,0.257485
1300,0.99554,0.213262,0.257485
1400,0.99554,0.213262,0.257485
1500,0.99554,0.213262,0.257485
1600,0.99554,0.213262,0.257485
1700,0.99554,0.213262,0.257485
1800,0.99554,0.213262,0.257485
1900,0.99554,0.213262,0.257485
2000,0.99554,0.213262,0.257485
2100,0.99554,0.213262,0.257485
2200,0.99554,0.213262,0.257485
2300,0.99554,0.213262,0.257485
2400,0.99554,0.213262,0.257485
2500,0.99554,0.213262,0.257485
2600,0.99554,0.213262,0.257485
2700,0.99554,0.213262,0.257485
2800,0.99554,0.213262,0.257485
2900,0.99554,0.213262,0.257485
3000,0.99554,0.213262,0.257485
3100,0.99554,0.213262,0.257485
3200,0.99554,0.213262,0.257485
3300,0.99554,0.213262,0.257485
3400,0.99554,0.213262,0.257485
3500,0.99554,0.213262,0.257485
3600,0.99554,0.213262,0.257485
3700,0.99554,0.213262,0.257485
3800,0.99554,0.213262,0.257485
3900,0.99554,0.213262,0.257485
4000,0.99554,0.213262,0.257485
4100,0.99554,0.213262,0.257485
4200,0.99554,0.213262,0.257485
4300,0.99554,0.213262,0.257485
4400,0.99554,0.213262,0.257485
4500,0.99554,0.213262,0.257485
4600,0.99554,0.213262,0.257485
4700,0.99554,0.213262,0.257485
4800,0.99554,0.213262,0.257485
4900,0.99554,0.213262,0.257485
5000,0.99554,0.213262,0.257485
5100,0.99554,0.213262,0.257485
5200,0.99554,0.213262,0.257485
5300,0.99554,0.213262,0.257485
5400,0.99554,0.213262,0.257485
5500,0.99554,0.213262,0.257485
5600,0.99554,0.213262,0.257485
5700,0.99554,0.213262,0.257485
5800,0.99554,0.213262,0.257485
5900,0.99554,0.213262,0.257485
6000,0.99554,0.213262,0.257485
6100,0.99554,0.213262,0.257485
6200,0.99554,0.213262,0.257485
6300,0.99554,0.213262,0.257485
6400,0.99554,0.213262,0.257485
6500,0.99554,0.213262,0.257485
6600,0.99554,0.213262,0.257485
6700,0.99554,0.213262,0.257485
6800,0.99554,0.213262,0.257485
6900,0.99554,0.213262,0.257485
7000,0.99554,0.213262,0.257485
7100,0.99554,0.213262,0.257485
7200,0.99554,0.213262,0.257485
7300,0.99554,0.213262,0.257485
7400,0.99554,0.213262,0.257485
7500,0.99554,0.213262,0.257485
7600,0.99554,0.213262,0.257485
7700,0.99554,0.213262,0.257485
7800,0.99554,0.213262,0.257485
7900,0.99554,0.213262,0.257485
8000,0.99554,0.213262,0.257485
8100,0.99554,0.213262,0.257485
8200,0.99554,0.213262,0.257485
8300,0.99554,0.213262,0.257485
8400,0.99554,0.213262,0.257485
