t,T+R,N_0,N_1,N_2
0,1,1.01492e-23,7.10104e-44,1.46205e-50
10,1,1.01533e-23,5.14503e-37,2.90303e-39
20,1,1.0158e-23,1.35024e-34,1.94346e-36
30,1,1.01554e-23,4.10999e-34,5.93262e-36
40,1,1.01411e-23,6.67239e-33,9.15927e-36
50,1,1.01322e-23,1.06633e-31,8.25521e-34
60,1,1.01257e-23,1.1524e-31,2.59284e-33
70,1,1.01246e-23,1.71529e-32,1.29227e-33
80,1,1.01191e-23,3.54551e-32,1.37997e-33
90,1,1.01222e-23,1.36759e-31,3.53954e-32
100,1,1.01212e-23,7.73778e-31,6.23903e-31
110,1,1.01172e-23,1.98074e-30,1.2172e-30
120,1,1.01335e-23,3.16311e-30,5.601e-31
130,0.999968,1.01106e-23,3.91254e-30,1.3385e-30
140,0.996608,1.01612e-23,9.52869e-30,2.17367e-29
150,0.972716,1.90828e-23,6.17043e-25,1.29948e-25
160,1.27071,1.11548e-20,3.05375e-21,6.67649e-22
170,0.72833,1.68216e-17,4.52635e-18,1.02594e-18
180,2.06831,9.18982e-15,2.48904e-15,5.87367e-16
190,1.33677,2.1789e-12,5.92762e-13,1.46211e-13
200,0.415639,2.52806e-10,6.87887e-11,1.77984e-11
210,0.095868,1.575e-08,4.26462e-09,1.16123e-09
220,0.146853,5.6712e-07,1.51882e-07,4.36511e-08
230,0.0655612,1.25128e-05,3.29142e-06,1.00088e-06
240,0.121072,0.000177154,4.5418e-05,1.46369e-05
250,0.109968,0.00166806,0.000413542,0.000141292
260,0.127802,0.0107316,0.00255525,0.000924088
270,0.172751,0.0481168,0.0109619,0.00417754
280,0.298486,0.152573,0.0333332,0.0132776
290,0.537523,0.346834,0.0735412,0.030232
300,0.820821,0.577612,0.121752,0.0507247
310,1.01952,0.739288,0.159838,0.0657213
320,1.08891,0.798225,0.180571,0.0703546
330,1.09664,0.811524,0.190475,0.0668599
340,1.08627,0.812937,0.194581,0.0596226
350,1.05861,0.799584,0.193189,0.0521632
360,1.02952,0.783979,0.188166,0.0466335
370,1.00934,0.774483,0.181784,0.0435488
380,0.996693,0.769373,0.175625,0.0423864
390,0.99168,0.768725,0.171046,0.042375
400,0.991157,0.769932,0.168472,0.0428815
410,0.992847,0.771491,0.167667,0.0435302
420,0.994905,0.772422,0.167999,0.0441346
430,0.996425,0.772548,0.168812,0.0446091
440,0.99716,0.772096,0.169637,0.0449186
450,0.997293,0.771441,0.170253,0.0450644
460,0.997113,0.770862,0.170621,0.0450794
470,0.996891,0.770516,0.170796,0.0450164
480,0.996755,0.770405,0.170849,0.0449286
490,0.996743,0.770475,0.170839,0.0448537
500,0.996815,0.770633,0.170799,0.0448078
600,0.996986,0.770979,0.170655,0.0448095
700,0.997001,0.770989,0.170658,0.0448097
800,0.997,0.770989,0.170658,0.0448097
900,0.997,0.770989,0.170658,0.0448097
1000,0.997,0.770989,0.170658,0.0448097
1100,0.997,0.770989,0.170658,0.0448097
1200,0.997,0.770989,0.170658,0.0448097
1300,0.997,0.770989,0.170658,0.0448097
1400,0.997,0.770989,0.170658,0.0448097
1500,0.997,0.770989,0.170658,0.0448097
1600,0.997,0.770989,0.170658,0.0448097
1700,0.997,0.770989,0.170658,0.0448097
1800,0.997,0.770989,0.170658,0.0448097
1900,0.997,0.770989,0.170658,0.0448097
2000,0.997,0.770989,0.170658,0.0448097
2100,0.997,0.770989,0.170658,0.0448097
2200,0.997,0.770989,0.170658,0.0448097
2300,0.997,0.770989,0.170658,0.0448097
2400,0.997,0.770989,0.170658,0.0448097
2500,0.997,0.770989,0.170658,0.0448097
2600,0.997,0.770989,0.170658,0.0448097
2700,0.997,0.770989,0.170658,0.0448097
2800,0.997,0.770989,0.170658,0.0448097
2900,0.997,0.770989,0.170658,0.0448097
3000,0.997,0.770989,0.170658,0.0448097
3100,0.997,0.770989,0.170658,0.0448097
3200,0.997,0.770989,0.170658,0.0448097
3300,0.997,0.770989,0.170658,0.0448097
3400,0.997,0.770989,0.170658,0.0448097
3500,0.997,0.770989,0.170658,0.0448097
3600,0.997,0.770989,0.170658,0.0448097
3700,0.997,0.770989,0.170658,0.0448097
3800,0.997,0.770989,0.170658,0.0448097
3900,0.997,0.770989,0.170658,0.0448097
4000,0.997,0.770989,0.170658,0.0448097
4100,0.997,0.770989,0.170658,0.0448097
