t,T+R,N_0,N_1,N_2,N_3
0,1,4.54037e-23,5.88752e-45,5.82275e-51,2.78803e-57
10,1,4.53968e-23,1.53197e-36,5.03881e-39,2.25559e-41
20,1,4.53678e-23,1.29234e-35,4.55856e-37,1.34328e-38
30,1,4.53581e-23,6.12274e-34,1.07942e-35,2.87111e-37
40,1,4.53388e-23,1.08419e-35,4.42402e-36,4.86417e-37
50,1,4.53001e-23,1.25662e-32,1.28198e-34,2.87532e-36
60,1,4.52716e-23,1.04071e-31,1.57186e-33,5.8876e-35
70,1,4.52947e-23,1.97515e-31,4.12899e-33,2.26348e-34
80,1,4.5319e-23,2.81564e-31,6.88446e-33,6.14335e-34
90,1,4.5313e-23,1.37822e-31,5.29525e-33,3.41435e-32
100,1,4.53007e-23,4.71322e-31,5.11903e-34,1.00458e-30
110,1,4.53305e-23,2.16733e-30,7.62649e-33,6.53417e-30
120,1.00001,4.53539e-23,1.10349e-29,2.80799e-32,2.29525e-29
130,1.00045,4.53716e-23,4.43908e-29,4.96626e-32,4.26874e-29
140,1.019,4.53686e-23,1.10209e-28,3.56966e-31,3.4605e-29
150,0.929569,4.33269e-23,2.60982e-26,7.8983e-27,1.4145e-27
160,1.46916,1.0494e-21,1.97828e-22,5.32203e-23,1.18533e-23
170,0.657494,1.30808e-18,3.76929e-19,1.03288e-19,2.40917e-20
180,0.183099,8.85313e-16,2.5378e-16,7.06394e-17,1.73743e-17
190,0.0408601,2.46153e-13,7.06568e-14,1.99402e-14,5.19957e-15
200,0.0694051,3.20009e-11,9.18908e-12,2.6237e-12,7.2966e-13
210,0.0777229,2.13487e-09,6.1318e-10,1.76765e-10,5.2799e-11
220,0.157902,7.83417e-08,2.2539e-08,6.54902e-09,2.11959e-09
230,0.240523,1.66049e-06,4.80281e-07,1.40539e-07,4.98644e-08
240,0.389737,2.09408e-05,6.13148e-06,1.80782e-06,7.14743e-07
250,0.580398,0.000158845,4.76363e-05,1.41882e-05,6.40144e-06
260,0.805674,0.000718022,0.000224839,6.80031e-05,3.63142e-05
270,1.0009,0.0018698,0.000631565,0.000195583,0.000131086
280,1.10696,0.00261783,0.00101106,0.000323636,0.00030104
290,1.10218,0.00173729,0.000858077,0.000282578,0.000440547
300,1.03596,0.00046919,0.000348075,0.000103528,0.000414598
310,0.979741,0.000159621,7.01549e-05,4.40234e-06,0.000249496
320,0.967525,0.000238063,5.4786e-05,3.55566e-05,8.2251e-05
330,0.985383,0.000269125,0.000104479,0.000100108,4.33866e-06
340,1.00369,0.000164918,0.000113662,0.000114,1.46164e-05
350,1.00794,6.72932e-05,8.5376e-05,7.4012e-05,5.3678e-05
360,1.00231,3.6152e-05,5.31289e-05,2.80642e-05,7.0429e-05
370,0.996555,5.84998e-05,3.6e-05,1.21416e-05,5.67717e-05
380,0.995326,8.64541e-05,3.14415e-05,2.3301e-05,3.42984e-05
390,0.997173,9.28175e-05,3.22042e-05,3.83155e-05,2.31264e-05
400,0.998955,8.18131e-05,3.49666e-05,4.21285e-05,2.58897e-05
410,0.999237,6.95796e-05,3.85793e-05,3.66979e-05,3.34023e-05
420,0.998538,6.59491e-05,4.13069e-05,3.11069e-05,3.74561e-05
430,0.997906,6.9888e-05,4.16498e-05,3.01814e-05,3.67859e-05
440,0.997822,7.51237e-05,4.00165e-05,3.23312e-05,3.44899e-05
450,0.998105,7.71282e-05,3.82383e-05,3.41032e-05,3.323e-05
460,0.99837,7.57328e-05,3.76695e-05,3.41386e-05,3.33188e-05
470,0.998421,7.33974e-05,3.82081e-05,3.33016e-05,3.37876e-05
480,0.998309,7.22601e-05,3.89374e-05,3.27716e-05,3.39442e-05
490,0.998188,7.26608e-05,3.92233e-05,3.28334e-05,3.38152e-05
500,0.998153,7.36342e-05,3.90966e-05,3.30948e-05,3.36992e-05
600,0.998238,7.36369e-05,3.88629e-05,3.30749e-05,3.38021e-05
700,0.998235,7.366e-05,3.88567e-05,3.30775e-05,3.37933e-05
800,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
900,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1000,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1100,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1200,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1300,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1400,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1500,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1600,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1700,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1800,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
1900,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
2000,0.998235,7.36592e-05,3.88568e-05,3.30772e-05,3.37938e-05
