t,T+R,N_0,N_1,N_2,N_3
0,1,1.36648e-21,6.44813e-41,1.60998e-47,3.36318e-54
10,1,1.36441e-21,9.82569e-35,3.00798e-37,1.84272e-39
20,1,1.36452e-21,7.10173e-34,1.258e-35,2.64689e-37
30,1,1.36401e-21,2.84096e-33,5.77702e-35,2.51572e-36
40,1,1.36476e-21,2.99876e-33,2.36395e-34,1.6494e-35
50,1,1.3661e-21,3.7447e-32,2.05591e-33,1.28173e-34
60,1,1.36545e-21,9.88863e-32,4.78775e-33,2.6999e-34
70,1,1.36584e-21,7.12335e-32,3.13243e-33,1.17813e-33
80,1,1.3657e-21,4.20069e-31,5.9886e-33,1.59741e-31
90,1,1.36724e-21,1.06298e-29,9.27442e-33,2.70603e-30
100,1,1.366e-21,4.74802e-29,1.14906e-31,3.61657e-30
110,1.00003,1.3668e-21,2.11513e-29,8.246e-32,3.1788e-29
120,1.00919,1.36409e-21,2.25812e-28,7.00627e-31,6.85907e-29
130,0.852215,1.36509e-21,3.06106e-29,1.25e-30,6.92149e-29
140,0.336931,1.3629e-21,1.07853e-28,5.29378e-32,1.35507e-29
150,0.0468625,1.36663e-21,1.27527e-27,5.92921e-28,2.5563e-28
160,0.0652955,1.57799e-21,1.86693e-23,5.97755e-24,1.54475e-24
170,0.146503,1.32761e-19,3.76772e-20,1.23001e-20,3.32166e-21
180,0.56269,6.22733e-17,2.10475e-17,7.07052e-18,2.03692e-18
190,1.23036,1.10724e-14,3.82012e-15,1.32287e-15,4.11096e-16
200,1.20279,7.56633e-13,2.62727e-13,9.33884e-14,3.16303e-14
210,0.869299,2.36847e-11,8.20663e-12,2.95993e-12,1.10045e-12
220,1.07174,3.99308e-10,1.37276e-10,4.96346e-11,2.04191e-11
230,0.96257,3.98792e-09,1.35673e-09,4.85739e-10,2.24163e-10
240,1.01141,2.51129e-08,8.44581e-09,2.94261e-09,1.55062e-09
250,1.00537,1.03903e-07,3.46144e-08,1.14662e-08,7.05665e-09
