t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,0.999992,0.0463751,4.11021e-06,1.90613e-07,4.11021e-06,1.90613e-07
1,0.999006,0.509623,0.000497085,0.000253578,0.000497131,0.000253602
2,0.996381,0.970359,0.00180926,0.00176201,0.00180987,0.00176261
3,0.992129,1.42632,0.00393403,0.00565569,0.00393694,0.00565989
4,0.98627,1.87528,0.0068607,0.0130448,0.0068696,0.0130617
5,0.97883,2.31506,0.0105745,0.0250101,0.0105958,0.0250604
6,0.969843,2.74356,0.0150568,0.0425938,0.0151002,0.0427166
7,0.959351,3.15876,0.020285,0.0667905,0.0203644,0.0670519
8,0.9474,3.55874,0.0262328,0.098539,0.0263667,0.099042
9,0.934047,3.94172,0.0328702,0.138714,0.0330825,0.13961
10,0.919352,4.30602,0.0401638,0.188117,0.0404842,0.189618
11,0.903382,4.65011,0.0480768,0.247473,0.0485415,0.249865
12,0.886209,4.97264,0.0565694,0.317419,0.0572212,0.321076
13,0.867913,5.27241,0.0655987,0.3985,0.0664879,0.403902
14,0.848577,5.5484,0.0751191,0.491165,0.0763036,0.498909
15,0.828289,5.79978,0.0850828,0.59576,0.0866279,0.606579
16,0.807142,6.02593,0.0954393,0.712526,0.0974187,0.727305
17,0.785232,6.2264,0.106136,0.841595,0.108632,0.861383
18,0.762659,6.40098,0.11712,0.982984,0.120221,1.00902
19,0.739525,6.54965,0.128335,1.1366,0.13214,1.17031
20,0.715938,6.67262,0.139723,1.30224,0.144339,1.34526
21,0.692002,6.77032,0.151229,1.47957,0.156769,1.53377
22,0.667829,6.84337,0.162793,1.66817,0.169378,1.73565
23,0.643527,6.89262,0.174357,1.86748,0.182116,1.95059
24,0.619208,6.91913,0.185862,2.07685,0.194931,2.17819
25,0.594981,6.92416,0.19725,2.29552,0.20777,2.41794
26,0.570957,6.90917,0.208462,2.52261,0.220581,2.66926
27,0.547244,6.87582,0.219443,2.75718,0.233313,2.93145
28,0.523951,6.82594,0.230136,2.99817,0.245913,3.20371
29,0.501182,6.76154,0.240486,3.24444,0.258331,3.48519
30,0.479042,6.68478,0.250442,3.49478,0.270517,3.77492
31,0.457629,6.59799,0.259951,3.74791,0.282421,4.07188
32,0.43704,6.50361,0.268965,4.00248,0.293995,4.37495
33,0.417369,6.40422,0.277438,4.25709,0.305193,4.68296
34,0.398703,6.30248,0.285327,4.5103,0.315969,4.99467
35,0.381127,6.20117,0.292591,4.76064,0.326282,5.3088
36,0.364719,6.10311,0.299193,5.00662,0.336088,5.62401
37,0.349552,6.01118,0.305098,5.24671,0.34535,5.93893
38,0.335694,5.92831,0.310275,5.47942,0.354031,6.25214
39,0.323205,5.85742,0.314699,5.70325,0.362096,6.56222
40,0.312143,5.80144,0.318344,5.9167,0.369513,6.86772
41,0.302553,5.76327,0.321193,6.11834,0.376254,7.16718
42,0.294479,5.74577,0.32323,6.30676,0.382292,7.45915
43,0.287953,5.75174,0.324444,6.48061,0.387603,7.74219
44,0.283005,5.78388,0.324827,6.6386,0.392168,8.01487
45,0.279654,5.84479,0.324378,6.77953,0.395969,8.27579
46,0.277912,5.93698,0.323097,6.90226,0.398992,8.52359
47,0.277784,6.06277,0.320991,7.00578,0.401226,8.75695
48,0.279268,6.22437,0.318069,7.08916,0.402663,8.9746
49,0.282355,6.42378,0.314346,7.15159,0.403299,9.17534
50,0.287027,6.66283,0.30984,7.19239,0.403133,9.35802
51,0.293259,6.94313,0.304574,7.21101,0.402167,9.52158
52,0.301021,7.26608,0.298574,7.20702,0.400405,9.66504
53,0.310272,7.63285,0.29187,7.18017,0.397858,9.78751
54,0.320967,8.04436,0.284497,7.13032,0.394535,9.88818
55,0.333055,8.50127,0.276492,7.0575,0.390453,9.96636
56,0.346475,9.00397,0.267896,6.96191,0.385628,10.0215
57,0.361164,9.55261,0.258753,6.8439,0.380082,10.053
58,0.37705,10.147,0.249111,6.70398,0.373839,10.0606
59,0.394057,10.7868,0.239019,6.54282,0.366924,10.044
60,0.412104,11.4712,0.228529,6.36126,0.359366,10.0032
61,0.431105,12.1992,0.217698,6.16031,0.351198,9.93804
62,0.450968,12.9696,0.20658,5.94113,0.342452,9.84872
63,0.4716,13.7807,0.195235,5.70502,0.333165,9.73549
64,0.492901,14.6308,0.183724,5.45346,0.323375,9.59873
65,0.514772,15.5176,0.172106,5.18807,0.313122,9.43895
66,0.537109,16.4389,0.160444,4.91059,0.302447,9.25678
67,0.559805,17.3919,0.148801,4.62293,0.291394,9.05299
68,0.582753,18.3738,0.13724,4.32707,0.280008,8.82844
69,0.605844,19.3814,0.125823,4.02517,0.268333,8.58415
70,0.62897,20.4114,0.114613,3.71944,0.256416,8.32123
71,0.652021,21.4602,0.103673,3.41222,0.244306,8.04091
72,0.674889,22.5241,0.0930624,3.10592,0.232049,7.74452
73,0.697464,23.5992,0.0828417,2.80301,0.219694,7.43349
74,0.719642,24.6814,0.073069,2.50603,0.207289,7.10935
75,0.741316,25.7664,0.0638006,2.21756,0.194884,6.77372
76,0.762384,26.8501,0.0550907,1.94022,0.182525,6.42829
77,0.782748,27.928,0.0469912,1.67662,0.170261,6.07483
78,0.80231,28.9957,0.0395513,1.42939,0.158139,5.71516
79,0.820979,30.0486,0.0328173,1.20114,0.146204,5.35119
80,0.838666,31.0822,0.0268324,0.994448,0.134502,4.98484
81,0.855287,32.0921,0.0216362,0.811834,0.123076,4.61808
82,0.870764,33.0738,0.0172651,0.655771,0.111971,4.25292
83,0.885024,34.0228,0.0137515,0.528646,0.101225,3.89136
84,0.897998,34.9349,0.0111239,0.432755,0.0908783,3.53545
85,0.909625,35.8058,0.00940681,0.370283,0.0809686,3.18719
86,0.919849,36.6315,0.00862039,0.343293,0.071531,2.84861
87,0.928621,37.4081,0.00878052,0.35371,0.0625986,2.52169
88,0.935899,38.1317,0.00989863,0.403304,0.0542021,2.20838
89,0.941648,38.799,0.0119817,0.493683,0.0463701,1.9106
90,0.94584,39.4065,0.0150319,0.626275,0.0391285,1.63021
91,0.948452,39.9513,0.0190472,0.80232,0.0325005,1.36901
92,0.949473,40.4307,0.0240207,1.02285,0.0265068,1.12872
93,0.948894,40.8421,0.0299408,1.2887,0.0211652,0.910987
94,0.946718,41.1833,0.0367916,1.60048,0.0164908,0.717368
95,0.942952,41.4526,0.0445526,1.95855,0.0124957,0.549317
96,0.937612,41.6484,0.0531988,2.36307,0.00918925,0.408183
97,0.930721,41.7696,0.0627008,2.81394,0.00657772,0.2952
98,0.92231,41.8155,0.0730253,3.31081,0.00466456,0.211481
99,0.912415,41.7856,0.0841346,3.85309,0.00345026,0.158011
100,0.90108,41.68,0.0959872,4.43994,0.00293242,0.13564
101,0.888356,41.4989,0.108538,5.07027,0.00310573,0.145082
102,0.8743,41.2433,0.121738,5.74273,0.00396207,0.186902
103,0.858974,40.9142,0.135535,6.45574,0.00549053,0.261522
104,0.842448,40.5132,0.149875,7.20745,0.0076775,0.36921
105,0.824795,40.0423,0.164698,7.99579,0.0105067,0.510081
106,0.806096,39.5038,0.179945,8.81845,0.0139593,0.684095
107,0.786434,38.9005,0.195552,9.67289,0.0180141,0.891056
108,0.765897,38.2355,0.211455,10.5564,0.0226473,1.13061
109,0.74458,37.5122,0.227587,11.4659,0.0278332,1.40225
110,0.722576,36.7344,0.24388,12.3984,0.0335438,1.70531
111,0.699986,35.9064,0.260264,13.3505,0.0397492,2.03897
112,0.676912,35.0325,0.27667,14.3186,0.0464176,2.40227
113,0.653456,34.1175,0.293028,15.2992,0.0535156,2.7941
114,0.629726,33.1665,0.309266,16.2885,0.0610082,3.2132
115,0.605826,32.1848,0.325314,17.2825,0.0688592,3.65817
116,0.581866,31.1778,0.341104,18.2772,0.0770309,4.12751
117,0.557951,30.1514,0.356564,19.2686,0.0854848,4.61956
118,0.53419,29.1115,0.371628,20.2524,0.0941815,5.13256
119,0.510689,28.064,0.38623,21.2246,0.103081,5.66463
120,0.487552,27.0152,0.400305,22.1809,0.112143,6.21381
121,0.464883,25.9714,0.413791,23.117,0.121326,6.77803
122,0.442784,24.9388,0.426628,24.0289,0.130589,7.35513
123,0.421351,23.9239,0.438758,24.9123,0.139891,7.94289
124,0.400681,22.9331,0.450128,25.7632,0.149192,8.53903
125,0.380863,21.9725,0.460686,26.5776,0.15845,9.14121
126,0.361987,21.0485,0.470386,27.3517,0.167627,9.74704
127,0.344134,20.1673,0.479184,28.0816,0.176682,10.3541
128,0.327382,19.3348,0.487039,28.7639,0.185579,10.96
129,0.311804,18.5568,0.493918,29.3951,0.194278,11.5623
130,0.297468,17.839,0.499788,29.9721,0.202745,12.1585
131,0.284434,17.1869,0.504622,30.4918,0.210944,12.7463
132,0.272758,16.6055,0.5084,30.9514,0.218842,13.3231
133,0.262488,16.0998,0.511103,31.3486,0.226409,13.8868
134,0.253668,15.6741,0.51272,31.681,0.233612,14.4349
135,0.246331,15.3328,0.513243,31.9467,0.240426,14.9653
136,0.240507,15.0796,0.51267,32.1441,0.246823,15.4757
137,0.236217,14.918,0.511004,32.2719,0.25278,15.964
138,0.233475,14.851,0.508251,32.329,0.258273,16.4283
139,0.232289,14.881,0.504426,32.3148,0.263285,16.8667
140,0.232657,15.0102,0.499546,32.229,0.267797,17.2773
141,0.234572,15.2403,0.493634,32.0717,0.271794,17.6586
142,0.238021,15.5723,0.486717,31.8431,0.275262,18.0089
143,0.24298,16.007,0.478827,31.5442,0.278193,18.3268
144,0.24942,16.5444,0.470002,31.176,0.280578,18.6111
145,0.257307,17.1842,0.460283,30.7399,0.28241,18.8607
146,0.266598,17.9255,0.449715,30.238,0.283688,19.0746
147,0.277242,18.7669,0.438348,29.6723,0.284409,19.252
148,0.289187,19.7064,0.426236,29.0455,0.284577,19.3923
149,0.302369,20.7416,0.413436,28.3605,0.284195,19.4949
150,0.316722,21.8696,0.400009,27.6205,0.283269,19.5596
151,0.332174,23.0868,0.386018,26.8291,0.281807,19.5862
152,0.348647,24.3895,0.371531,25.9902,0.279822,19.5748
153,0.36606,25.7731,0.356615,25.1081,0.277325,19.5256
154,0.384325,27.2328,0.341343,24.1872,0.274332,19.4388
155,0.403353,28.7633,0.325788,23.2322,0.270859,19.3152
156,0.423049,30.359,0.310025,22.2481,0.266926,19.1553
157,0.443317,32.0137,0.29413,21.2403,0.262553,18.96
158,0.464058,33.721,0.27818,20.2141,0.257763,18.7304
159,0.48517,35.474,0.262252,19.175,0.252578,18.4677
160,0.50655,37.2658,0.246426,18.129,0.247024,18.1731
161,0.528094,39.0889,0.230778,17.0819,0.241129,17.8481
162,0.549697,40.9357,0.215385,16.0397,0.234918,17.4943
163,0.571254,42.7985,0.200324,15.0084,0.228422,17.1134
164,0.59266,44.6693,0.185671,13.9942,0.221669,16.7074
165,0.613812,46.5399,0.171498,13.0032,0.214689,16.278
166,0.634607,48.4023,0.157878,12.0416,0.207514,15.8274
167,0.654945,50.2482,0.14488,11.1154,0.200175,15.3577
168,0.674726,52.0694,0.132571,10.2307,0.192703,14.8711
169,0.693855,53.8576,0.121015,9.39327,0.18513,14.3699
170,0.71224,55.6048,0.110273,8.60902,0.177487,13.8565
171,0.729792,57.303,0.100402,7.88351,0.169806,13.3331
172,0.746425,58.9443,0.0914561,7.22218,0.162119,12.8023
173,0.762059,60.5211,0.0834853,6.63022,0.154455,12.2665
174,0.776619,62.026,0.076535,6.11259,0.146846,11.7281
175,0.790033,63.4518,0.0706461,5.67397,0.139321,11.1896
176,0.802237,64.7917,0.0658552,5.31872,0.131908,10.6534
177,0.813171,66.0394,0.0621939,5.0509,0.124635,10.1219
