t,T+R,N_0,N_1,N_2
0,1,6.837e-28,4.08239e-33,2.17021e-33
1,0.999993,6.86178e-28,5.00219e-31,2.63864e-31
2,0.999975,6.9778e-28,1.77766e-30,9.56695e-31
3,0.999946,6.78642e-28,3.84719e-30,2.01174e-30
4,0.999905,6.74236e-28,6.3832e-30,3.7859e-30
5,0.999854,6.77614e-28,9.32142e-30,5.76564e-30
6,0.999793,6.63673e-28,1.31803e-29,7.90534e-30
7,0.999722,6.17854e-28,1.73591e-29,1.04306e-29
8,0.999641,5.92724e-28,2.16036e-29,1.32541e-29
9,0.999551,6.34178e-28,2.4732e-29,1.74339e-29
10,0.999453,5.99553e-28,2.94176e-29,2.03896e-29
11,0.999347,6.18957e-28,3.17844e-29,2.2685e-29
12,0.999234,5.76245e-28,3.85386e-29,2.46724e-29
13,0.999116,5.58325e-28,3.93555e-29,2.86814e-29
14,0.998991,5.24202e-28,4.26436e-29,3.36061e-29
15,0.998863,5.28637e-28,4.27248e-29,3.66789e-29
16,0.99873,5.00152e-28,5.37282e-29,4.24583e-29
17,0.998595,4.87087e-28,5.08209e-29,4.79169e-29
18,0.998458,4.90517e-28,5.6604e-29,5.16119e-29
19,0.998321,4.79161e-28,6.30299e-29,5.10542e-29
20,0.998183,4.51675e-28,5.92001e-29,6.37196e-29
21,0.998047,4.88823e-28,7.71842e-29,7.1101e-29
22,0.997913,4.8144e-28,7.18388e-29,7.73067e-29
23,0.997782,4.58528e-28,7.52292e-29,7.95796e-29
24,0.997655,5.0236e-28,7.89288e-29,9.30085e-29
25,0.997533,5.00933e-28,6.88122e-29,9.89401e-29
26,0.997417,4.88714e-28,8.82994e-29,1.14636e-28
27,0.997308,5.0442e-28,9.55815e-29,1.13258e-28
28,0.997207,5.18302e-28,8.89036e-29,1.12087e-28
29,0.997114,5.0876e-28,8.93621e-29,1.32451e-28
30,0.99703,5.3969e-28,9.55577e-29,1.24361e-28
31,0.996957,5.05274e-28,9.49963e-29,1.33827e-28
32,0.996895,4.45942e-28,1.09408e-28,1.38961e-28
33,0.996844,4.92115e-28,8.33745e-29,1.32052e-28
34,0.996805,4.70897e-28,8.84678e-29,1.63312e-28
35,0.996778,4.53726e-28,9.21541e-29,1.99413e-28
36,0.996764,4.27005e-28,1.0914e-28,1.79527e-28
37,0.996764,4.57349e-28,1.05608e-28,2.04847e-28
38,0.996778,3.97506e-28,1.11224e-28,2.09906e-28
39,0.996805,4.23067e-28,1.24158e-28,2.4396e-28
40,0.996846,4.05187e-28,1.11811e-28,2.91951e-28
41,0.996902,3.69597e-28,1.37665e-28,2.92775e-28
42,0.996972,4.05018e-28,1.16544e-28,3.26197e-28
43,0.997056,3.62599e-28,1.05943e-28,3.55054e-28
44,0.997153,3.86753e-28,1.03551e-28,3.85168e-28
45,0.997265,3.00666e-28,1.23056e-28,4.08774e-28
46,0.99739,3.51602e-28,1.13483e-28,4.11715e-28
47,0.997529,3.19521e-28,1.27519e-28,4.5434e-28
48,0.99768,3.26325e-28,8.53816e-29,4.76925e-28
49,0.997844,3.0698e-28,1.04734e-28,4.43642e-28
50,0.998019,3.05785e-28,1.14255e-28,5.04218e-28
51,0.998206,3.09241e-28,1.07878e-28,5.2393e-28
52,0.998404,2.87985e-28,1.11413e-28,5.37905e-28
53,0.998611,2.91666e-28,8.26705e-29,5.46968e-28
54,0.998828,2.90562e-28,1.17355e-28,5.75755e-28
55,0.999053,3.05768e-28,1.36068e-28,5.30547e-28
56,0.999286,2.74573e-28,1.12766e-28,5.55687e-28
57,0.999526,2.27869e-28,1.15191e-28,5.49348e-28
58,0.999772,2.66402e-28,1.04157e-28,5.2613e-28
59,1.00002,3.086e-28,1.25533e-28,5.23143e-28
60,1.00028,3.18336e-28,1.02973e-28,5.12586e-28
61,1.00054,3.13705e-28,1.11645e-28,4.93258e-28
62,1.0008,2.64368e-28,1.15854e-28,4.49116e-28
63,1.00107,3.40102e-28,1.17724e-28,4.46352e-28
64,1.00133,3.90576e-28,1.01409e-28,4.24446e-28
65,1.0016,4.35735e-28,1.25552e-28,4.78005e-28
66,1.00186,3.76101e-28,1.25824e-28,4.57659e-28
67,1.00212,3.49786e-28,1.11163e-28,4.52208e-28
68,1.00238,4.15609e-28,8.68707e-29,3.91628e-28
69,1.00264,4.89831e-28,9.87501e-29,4.50793e-28
70,1.0029,4.50724e-28,1.02306e-28,4.34513e-28
71,1.00315,4.03511e-28,8.60258e-29,4.46066e-28
72,1.0034,4.34456e-28,8.79759e-29,3.96321e-28
73,1.00364,4.78838e-28,7.54868e-29,4.60068e-28
74,1.00387,5.51218e-28,5.05154e-29,4.09864e-28
75,1.0041,5.73824e-28,6.9955e-29,4.0149e-28
76,1.00433,4.63076e-28,7.62842e-29,3.9641e-28
77,1.00454,4.41864e-28,5.18438e-29,3.66293e-28
78,1.00475,4.96347e-28,4.26602e-29,3.24932e-28
79,1.00496,4.82979e-28,3.69679e-29,4.16268e-28
80,1.00515,4.90856e-28,3.8527e-29,3.20906e-28
81,1.00534,4.72059e-28,4.75952e-29,2.8569e-28
82,1.00552,4.69845e-28,2.9018e-29,3.0905e-28
83,1.0057,4.16844e-28,3.31459e-29,2.974e-28
84,1.00587,4.52483e-28,2.83274e-29,3.00326e-28
85,1.00603,3.81057e-28,2.09517e-29,2.30724e-28
86,1.00619,4.23804e-28,1.93202e-29,2.66437e-28
87,1.00634,3.88243e-28,1.43133e-29,2.35762e-28
88,1.00649,4.04369e-28,1.41672e-29,2.55358e-28
89,1.00663,2.8349e-28,1.90132e-29,2.3586e-28
90,1.00677,4.60326e-28,8.58205e-30,2.10763e-28
91,1.00691,3.66777e-28,1.8096e-29,1.67556e-28
92,1.00704,4.33246e-28,1.30284e-29,1.84907e-28
93,1.00717,3.97863e-28,2.43968e-29,1.56968e-28
94,1.0073,4.27376e-28,2.14132e-29,1.64298e-28
95,1.00743,4.84203e-28,2.65927e-29,1.11773e-28
96,1.00756,4.65997e-28,1.97986e-29,1.07049e-28
97,1.00769,4.23624e-28,3.53752e-29,1.04975e-28
98,1.00782,5.18259e-28,3.75574e-29,1.06959e-28
99,1.00795,4.80664e-28,3.41692e-29,7.57465e-29
100,1.00808,5.29561e-28,5.21267e-29,7.49947e-29
101,1.00822,5.99933e-28,5.59225e-29,5.70087e-29
102,1.00836,5.6712e-28,5.78153e-29,6.48835e-29
103,1.00851,5.43604e-28,6.95439e-29,3.83968e-29
104,1.00866,6.00902e-28,7.31141e-29,6.62144e-29
105,1.00882,6.05185e-28,7.0913e-29,4.13978e-29
106,1.00898,5.90265e-28,7.27814e-29,4.83153e-29
107,1.00915,4.8729e-28,9.77928e-29,2.69348e-29
108,1.00933,6.51781e-28,7.08267e-29,3.6281e-29
109,1.00951,5.65486e-28,1.07555e-28,3.5351e-29
110,1.0097,5.43393e-28,1.0289e-28,3.9148e-29
111,1.0099,5.32199e-28,1.25509e-28,2.22929e-29
112,1.01011,4.48127e-28,9.9938e-29,3.58762e-29
113,1.01032,5.31483e-28,1.26392e-28,4.59073e-29
114,1.01054,4.91791e-28,1.15102e-28,5.98306e-29
115,1.01077,5.62406e-28,7.44249e-29,2.57276e-29
116,1.01101,4.4202e-28,5.08083e-29,6.13578e-29
117,1.01125,4.64855e-28,5.22319e-29,5.59843e-29
118,1.0115,4.31486e-28,7.269e-29,6.84212e-29
119,1.01176,5.80323e-28,5.28588e-29,9.12522e-29
120,1.01202,4.27305e-28,1.20806e-29,1.06826e-28
121,1.01229,4.61698e-28,2.75894e-30,1.11296e-28
122,1.01255,4.76346e-28,3.79628e-29,1.24705e-28
123,1.01283,4.96475e-28,2.48412e-29,1.42305e-28
124,1.0131,4.65746e-28,3.0246e-29,1.5838e-28
125,1.01338,4.85666e-28,-2.12186e-29,1.41471e-28
126,1.01365,5.0189e-28,-1.519e-29,1.78987e-28
127,1.01392,5.0434e-28,8.47967e-30,1.99479e-28
128,1.0142,5.64167e-28,3.07437e-29,2.42247e-28
129,1.01446,5.24221e-28,9.2159e-30,2.55674e-28
130,1.01472,5.66995e-28,2.44321e-29,1.93844e-28
131,1.01498,5.46212e-28,1.52591e-29,2.54497e-28
132,1.01523,5.47439e-28,2.15109e-29,2.71357e-28
133,1.01547,5.26836e-28,6.02123e-29,3.26552e-28
134,1.01569,6.03808e-28,6.61727e-29,2.99878e-28
135,1.01591,6.10641e-28,8.34579e-30,3.34463e-28
136,1.01611,6.15324e-28,5.30578e-29,3.56203e-28
137,1.0163,5.58214e-28,5.23929e-29,3.88773e-28
138,1.01647,6.37853e-28,6.78199e-29,4.27061e-28
139,1.01663,5.88727e-28,7.88744e-29,4.56628e-28
140,1.01676,6.63e-28,5.48886e-29,5.67157e-28
141,1.01687,6.93029e-28,1.07756e-28,4.86766e-28
142,1.01697,7.29734e-28,1.17125e-28,5.75706e-28
143,1.01704,7.59525e-28,1.51739e-28,6.0168e-28
144,1.01708,7.78132e-28,1.74161e-28,7.09762e-28
145,1.0171,7.3234e-28,1.43567e-28,7.17313e-28
146,1.0171,8.4134e-28,1.70716e-28,5.96467e-28
147,1.01707,8.30317e-28,2.25632e-28,7.29852e-28
148,1.01701,1.02565e-27,1.85074e-28,7.3863e-28
149,1.01692,8.42456e-28,2.19097e-28,7.85587e-28
150,1.0168,1.0259e-27,2.49458e-28,7.58747e-28
151,1.01666,1.00607e-27,2.32394e-28,8.19821e-28
152,1.01648,9.92141e-28,2.20567e-28,7.79234e-28
153,1.01628,1.00626e-27,1.9395e-28,8.051e-28
154,1.01605,1.05114e-27,1.85694e-28,7.56062e-28
155,1.01579,1.2504e-27,2.52764e-28,8.53613e-28
156,1.0155,1.07883e-27,2.59523e-28,8.39466e-28
157,1.01518,9.98373e-28,2.53236e-28,8.48672e-28
158,1.01483,9.1102e-28,2.14984e-28,7.8439e-28
159,1.01445,1.1134e-27,2.19085e-28,7.89951e-28
160,1.01405,9.41562e-28,2.44831e-28,7.19863e-28
161,1.01362,8.34048e-28,2.1677e-28,7.34063e-28
162,1.01317,9.1382e-28,2.41077e-28,7.27031e-28
163,1.0127,7.56405e-28,2.02589e-28,7.74005e-28
164,1.0122,8.49607e-28,2.03545e-28,6.64978e-28
165,1.01168,7.30661e-28,1.92835e-28,7.07987e-28
166,1.01115,6.76599e-28,1.70406e-28,6.89072e-28
167,1.01059,6.65972e-28,1.69042e-28,6.32241e-28
168,1.01003,9.46646e-28,1.38409e-28,6.47004e-28
169,1.00944,8.21774e-28,1.09487e-28,6.4837e-28
170,1.00885,7.19763e-28,1.51172e-28,7.14182e-28
171,1.00824,7.77458e-28,1.2588e-28,6.72396e-28
172,1.00763,9.09823e-28,1.69579e-28,5.85115e-28
173,1.00702,1.14207e-27,8.19118e-29,8.10592e-28
174,1.00639,1.30965e-27,5.25873e-29,5.63196e-28
175,1.00577,1.15051e-27,1.26109e-28,6.73519e-28
176,1.00515,1.52138e-27,1.10633e-28,5.68789e-28
