t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,0.999988,0.0463749,4.1102e-06,1.90612e-07,4.1102e-06,1.90612e-07,4.1102e-06,1.90613e-07
1,0.998509,0.509369,0.000496838,0.000253452,0.000496905,0.000253486,0.000496962,0.000253515
2,0.99458,0.968604,0.00180598,0.00175882,0.00180687,0.00175968,0.00180762,0.00176041
3,0.988233,1.42072,0.0039185,0.00563337,0.0039227,0.00563941,0.00392626,0.00564453
4,0.979523,1.86245,0.00681335,0.0129548,0.00682615,0.0129791,0.00683701,0.0129998
5,0.968528,2.29069,0.0104617,0.0247432,0.0104922,0.0248153,0.0105181,0.0248765
6,0.955342,2.70253,0.0148272,0.0419441,0.0148892,0.0421194,0.0149418,0.0422684
7,0.940079,3.0953,0.0198663,0.0654116,0.0199792,0.0657833,0.0200752,0.0660997
8,0.922873,3.46661,0.0255287,0.0958942,0.0257183,0.0966061,0.0258798,0.097213
9,0.903873,3.81438,0.0317581,0.13402,0.032057,0.135282,0.0323123,0.136359
10,0.883243,4.13689,0.0384921,0.180287,0.0389406,0.182388,0.0393244,0.184186
11,0.861163,4.43279,0.0456635,0.235051,0.0463096,0.238377,0.0468641,0.24123
12,0.837824,4.70114,0.0532007,0.298517,0.0541006,0.303566,0.0548749,0.30791
13,0.813428,4.94142,0.0610283,0.370736,0.0622463,0.378134,0.0632972,0.384519
14,0.788187,5.15354,0.069068,0.451599,0.0706762,0.462115,0.0720685,0.471218
15,0.76232,5.33786,0.0772391,0.540838,0.0793177,0.555393,0.0811235,0.568037
16,0.736049,5.49516,0.0854597,0.638021,0.0880962,0.657705,0.0903951,0.674868
17,0.709602,5.6267,0.0936473,0.742565,0.0969357,0.76864,0.0998146,0.791467
18,0.683208,5.73415,0.10172,0.853731,0.10576,0.887641,0.109312,0.917457
19,0.657093,5.81958,0.109595,0.970638,0.114493,1.01401,0.118819,1.05232
20,0.631483,5.8855,0.117195,1.09227,0.123058,1.14692,0.128263,1.19543
21,0.606598,5.93475,0.124442,1.2175,0.131383,1.28541,0.137577,1.346
22,0.582651,5.97053,0.131263,1.34508,0.139395,1.4284,0.146691,1.50317
23,0.559847,5.99635,0.137589,1.47368,0.147024,1.57473,0.15554,1.66594
24,0.538381,6.01596,0.143356,1.60188,0.154204,1.72311,0.164059,1.83322
25,0.518435,6.03335,0.148504,1.72823,0.160874,1.8722,0.172186,2.00384
26,0.500179,6.05269,0.152981,1.85123,0.166976,2.02058,0.179864,2.17654
27,0.483766,6.07826,0.156741,1.96937,0.172456,2.16682,0.187036,2.35001
28,0.469334,6.1144,0.159746,2.08114,0.177267,2.30941,0.193653,2.52287
29,0.457003,6.1655,0.161963,2.18508,0.181368,2.44686,0.199666,2.69373
30,0.446873,6.23588,0.163371,2.27975,0.184721,2.57769,0.205035,2.86116
31,0.439027,6.32979,0.163952,2.36383,0.187299,2.70044,0.209722,3.02372
32,0.433525,6.45129,0.163702,2.43606,0.189079,2.81369,0.213695,3.18
33,0.430408,6.60429,0.162621,2.4953,0.190044,2.91609,0.216927,3.32858
34,0.429695,6.79238,0.16072,2.54057,0.190187,3.00637,0.219398,3.46812
35,0.431384,7.01889,0.158017,2.57104,0.189506,3.08337,0.221093,3.59731
36,0.435453,7.28676,0.15454,2.58603,0.188005,3.14603,0.222001,3.71491
37,0.441856,7.59853,0.150324,2.58509,0.185699,3.19344,0.222121,3.81977
38,0.450529,7.95629,0.145411,2.56794,0.182607,3.22481,0.221453,3.91083
39,0.461387,8.36167,0.139852,2.53452,0.178754,3.23954,0.220006,3.98715
40,0.474325,8.81575,0.133705,2.48502,0.174175,3.2372,0.217794,4.0479
41,0.489221,9.31908,0.127033,2.41983,0.168909,3.21751,0.214837,4.09238
42,0.505935,9.87165,0.119907,2.33959,0.163,3.18041,0.211158,4.12004
43,0.524311,10.4729,0.112401,2.24516,0.156501,3.12604,0.206787,4.13047
44,0.544178,11.1215,0.104595,2.13765,0.149468,3.05472,0.201759,4.12343
45,0.565352,11.8159,0.0965733,2.01839,0.14196,2.96699,0.196114,4.09881
46,0.587639,12.5536,0.0884216,1.88894,0.134045,2.86358,0.189895,4.05669
47,0.610833,13.3317,0.0802291,1.75104,0.12579,2.74542,0.183148,3.9973
48,0.634722,14.1468,0.0720859,1.60666,0.117267,2.61366,0.175925,3.92104
49,0.659087,14.9947,0.064083,1.45793,0.108551,2.46961,0.16828,3.82848
50,0.683704,15.871,0.0563107,1.30715,0.0997178,2.31477,0.160268,3.72034
51,0.708348,16.7707,0.0488583,1.15676,0.0908451,2.15082,0.151948,3.59748
52,0.732795,17.6883,0.041813,1.00929,0.0820107,1.97959,0.143381,3.46095
53,0.756821,18.6182,0.0352591,0.867393,0.0732924,1.80303,0.134628,3.31191
54,0.780206,19.5542,0.0292771,0.733768,0.0647672,1.62325,0.12575,3.15166
55,0.802736,20.4899,0.023943,0.611148,0.0565108,1.44244,0.116811,2.98161
56,0.824205,21.4189,0.0193275,0.502269,0.0485965,1.26289,0.107871,2.80329
57,0.844416,22.3344,0.0154951,0.409839,0.0410953,1.08695,0.0989937,2.61834
58,0.863184,23.2297,0.012504,0.336504,0.0340745,0.917001,0.0902377,2.42844
59,0.880336,24.098,0.0104048,0.284818,0.0275979,0.755455,0.0816617,2.23538
60,0.895713,24.9327,0.00924033,0.257211,0.0217246,0.604717,0.0733222,2.04097
61,0.909173,25.7274,0.00904516,0.255956,0.0165088,0.467158,0.0652731,1.84707
62,0.92059,26.4757,0.00984516,0.283141,0.0119994,0.345095,0.0575654,1.65555
63,0.929857,27.1716,0.0116572,0.340637,0.00823943,0.240766,0.0502467,1.46827
64,0.936884,27.8095,0.0144888,0.430072,0.00526584,0.156306,0.0433612,1.28709
65,0.941604,28.3843,0.0183383,0.552802,0.00310898,0.0937191,0.0369492,1.11382
66,0.943966,28.8913,0.0231944,0.709894,0.00179246,0.0548604,0.0310467,0.950224
67,0.943945,29.3263,0.0290364,0.902098,0.00133294,0.0414115,0.0256855,0.797994
68,0.941533,29.6859,0.0358344,1.12983,0.00173997,0.05486,0.0208927,0.658733
69,0.936744,29.9671,0.0435491,1.39317,0.00301589,0.0964806,0.0166907,0.533948
70,0.929614,30.1679,0.0521328,1.69182,0.00515583,0.167317,0.013097,0.425025
71,0.920199,30.2868,0.0615289,2.02512,0.00814771,0.268168,0.0101242,0.333222
72,0.908574,30.3233,0.0716731,2.39206,0.0119723,0.399571,0.00778005,0.259656
73,0.894836,30.2774,0.0824935,2.79122,0.0166036,0.561794,0.00606719,0.205287
74,0.879097,30.1501,0.0939112,3.22085,0.0220086,0.754824,0.00498345,0.170916
75,0.861489,29.9434,0.105841,3.67881,0.0281481,0.978363,0.00452185,0.157169
76,0.842159,29.6597,0.118194,4.16262,0.0349765,1.23182,0.00467071,0.164496
77,0.821271,29.3025,0.130873,4.66946,0.0424425,1.51433,0.00541383,0.193162
78,0.799,28.8761,0.143779,5.19622,0.0504896,1.82471,0.00673067,0.243248
79,0.775535,28.3853,0.156812,5.73946,0.0590562,2.16151,0.00859661,0.314644
80,0.751074,27.8359,0.169866,6.2955,0.0680765,2.52302,0.0109832,0.407054
81,0.725824,27.2344,0.182837,6.86042,0.0774806,2.90723,0.0138584,0.519996
82,0.699998,26.5877,0.195619,7.43011,0.0871955,3.3119,0.017187,0.652807
83,0.673815,25.9034,0.208108,8.00026,0.0971457,3.73455,0.0209309,0.804645
84,0.647497,25.1897,0.2202,8.56648,0.107253,4.17248,0.0250495,0.974502
85,0.621265,24.455,0.231796,9.12427,0.117439,4.62279,0.0294997,1.16121
86,0.595341,23.7085,0.242799,9.6691,0.127623,5.08239,0.0342372,1.36344
87,0.569942,22.9592,0.253117,10.1964,0.137725,5.54806,0.0392158,1.57975
88,0.545281,22.2166,0.262663,10.7018,0.147667,6.01645,0.0443886,1.80854
89,0.521566,21.4902,0.271357,11.1808,0.157369,6.4841,0.049708,2.04813
90,0.498993,20.7896,0.279126,11.6292,0.166755,6.9475,0.0551263,2.29673
91,0.47775,20.1241,0.285903,12.043,0.175751,7.40311,0.0605959,2.55246
92,0.458012,19.5032,0.291631,12.4183,0.184287,7.84735,0.06607,2.81341
93,0.43994,18.9358,0.296263,12.7517,0.192295,8.27669,0.0715026,3.0776
94,0.423681,18.4306,0.299758,13.0398,0.199711,8.68768,0.0768492,3.34303
95,0.409365,17.9959,0.302089,13.28,0.206479,9.07692,0.0820668,3.60769
96,0.397106,17.6393,0.303235,13.4696,0.212545,9.44116,0.0871147,3.86961
97,0.386996,17.3679,0.303189,13.6068,0.21786,9.7773,0.0919543,4.1268
98,0.379113,17.1881,0.301953,13.6899,0.222384,10.0824,0.0965497,4.37735
99,0.37351,17.1055,0.29954,13.718,0.226082,10.3538,0.100868,4.61942
100,0.370224,17.1249,0.295973,13.6904,0.228924,10.589,0.104879,4.85124
101,0.369268,17.2501,0.291286,13.6072,0.23089,10.7858,0.108557,5.07114
102,0.370636,17.484,0.285524,13.469,0.231963,10.9424,0.111877,5.27756
103,0.374302,17.8285,0.27874,13.2768,0.232137,11.057,0.114821,5.46908
104,0.380218,18.2846,0.270998,13.0323,0.231411,11.1285,0.117372,5.6444
105,0.388317,18.8521,0.262372,12.7377,0.229792,11.156,0.119519,5.80241
106,0.398513,19.5297,0.252942,12.3958,0.227293,11.1388,0.121252,5.94213
107,0.4107,20.3151,0.242798,12.0099,0.223935,11.0768,0.122568,6.06275
108,0.424756,21.2049,0.232034,11.5837,0.219745,10.9702,0.123465,6.16365
109,0.440542,22.1947,0.220754,11.1217,0.214758,10.8196,0.123945,6.24441
110,0.457905,23.279,0.209066,10.6285,0.209013,10.6258,0.124016,6.30475
111,0.476676,24.4515,0.197081,10.1094,0.202557,10.3903,0.123687,6.34462
112,0.496674,25.7046,0.184914,9.56993,0.195441,10.1148,0.12297,6.36413
113,0.51771,27.0301,0.172684,9.01599,0.187723,9.80118,0.121882,6.36359
114,0.539584,28.4189,0.160511,8.45381,0.179463,9.45199,0.120442,6.34347
115,0.562089,29.8612,0.148513,7.88983,0.170727,9.06994,0.118671,6.30445
116,0.585012,31.3465,0.136811,7.33069,0.161584,8.65807,0.116593,6.24733
117,0.608139,32.8636,0.125522,6.78313,0.152106,8.21973,0.114233,6.17311
118,0.631253,34.401,0.11476,6.25399,0.142368,7.75853,0.11162,6.08291
119,0.654136,35.9469,0.104636,5.75008,0.132445,7.27829,0.108783,5.97798
