t,T+R,N_0,N_1,N_2,N_3
0,1,6.78006e-28,2.52279e-33,2.6537e-33,3.2348e-33
1,0.999979,6.61539e-28,3.04988e-31,3.25535e-31,3.79768e-31
2,0.999923,6.54438e-28,1.12912e-30,1.17086e-30,1.35706e-30
3,0.999833,6.23187e-28,2.45401e-30,2.59325e-30,2.82008e-30
4,0.99971,6.1187e-28,4.23504e-30,4.66247e-30,4.84895e-30
5,0.999554,5.62398e-28,6.62949e-30,7.19127e-30,7.29432e-30
6,0.999368,5.97643e-28,9.08509e-30,1.00938e-29,1.00335e-29
7,0.999153,5.32996e-28,1.19695e-29,1.26709e-29,1.28795e-29
8,0.99891,5.5269e-28,1.55902e-29,1.58086e-29,1.69848e-29
9,0.998644,5.45346e-28,1.89002e-29,2.01777e-29,2.00237e-29
10,0.998355,5.28731e-28,2.1381e-29,2.24406e-29,2.3548e-29
11,0.998047,5.19701e-28,2.3553e-29,2.66779e-29,2.88771e-29
12,0.997722,5.05825e-28,2.79723e-29,2.7635e-29,3.1387e-29
13,0.997385,5.05547e-28,3.41228e-29,3.19477e-29,3.67783e-29
14,0.997037,4.60899e-28,3.46973e-29,3.7065e-29,3.75275e-29
15,0.996683,4.79603e-28,3.53397e-29,4.33916e-29,3.95309e-29
16,0.996325,4.89073e-28,4.0692e-29,4.34739e-29,4.50705e-29
17,0.995967,4.59842e-28,4.48401e-29,4.65913e-29,5.13161e-29
18,0.995613,4.47043e-28,4.99014e-29,4.79503e-29,5.37508e-29
19,0.995265,4.66845e-28,5.04234e-29,5.75912e-29,6.141e-29
20,0.994928,4.36197e-28,5.75574e-29,5.98245e-29,5.88054e-29
21,0.994605,4.10755e-28,6.83164e-29,6.9833e-29,6.90934e-29
22,0.994297,4.81529e-28,6.77452e-29,6.73894e-29,8.41303e-29
23,0.99401,4.06741e-28,7.73443e-29,7.01233e-29,8.60834e-29
24,0.993744,4.51322e-28,7.92907e-29,8.27889e-29,9.59533e-29
25,0.993504,4.12288e-28,8.71585e-29,9.07965e-29,9.69256e-29
26,0.993291,4.19506e-28,1.00457e-28,9.73919e-29,1.11332e-28
27,0.993107,3.45998e-28,1.08461e-28,9.13849e-29,1.2062e-28
28,0.992954,3.96767e-28,1.04947e-28,9.82983e-29,1.15365e-28
29,0.992834,3.60985e-28,1.11492e-28,1.08603e-28,1.33703e-28
30,0.992749,3.88497e-28,1.18102e-28,1.18136e-28,1.2345e-28
31,0.992698,3.35526e-28,1.19958e-28,1.13288e-28,1.30905e-28
32,0.992683,3.08233e-28,1.12837e-28,1.04494e-28,1.60885e-28
33,0.992705,3.15492e-28,1.18465e-28,1.18509e-28,1.64596e-28
34,0.992762,3.22383e-28,1.26102e-28,1.15763e-28,1.53177e-28
35,0.992856,2.80757e-28,1.17235e-28,1.18335e-28,1.64653e-28
36,0.992985,2.50273e-28,1.38858e-28,1.17948e-28,1.67574e-28
37,0.993149,2.67708e-28,1.24976e-28,1.08747e-28,1.71974e-28
38,0.993346,2.873e-28,1.308e-28,1.21495e-28,1.87949e-28
39,0.993576,2.65787e-28,1.21142e-28,1.36528e-28,1.64612e-28
40,0.993836,2.96779e-28,1.3215e-28,1.08256e-28,2.06633e-28
41,0.994125,2.8159e-28,1.42403e-28,1.10352e-28,2.04188e-28
42,0.99444,3.31089e-28,1.36306e-28,1.16446e-28,1.95881e-28
43,0.994781,2.94668e-28,1.14748e-28,1.31743e-28,2.03029e-28
44,0.995143,3.9081e-28,1.16894e-28,1.17899e-28,1.7177e-28
45,0.995525,3.27222e-28,1.09224e-28,1.25923e-28,2.07391e-28
46,0.995924,3.47754e-28,1.11116e-28,1.04933e-28,1.98461e-28
47,0.996337,3.79129e-28,9.88759e-29,1.15617e-28,1.78559e-28
48,0.996762,3.79252e-28,7.71483e-29,1.1915e-28,1.72124e-28
49,0.997195,4.07128e-28,5.69147e-29,1.19684e-28,1.75245e-28
50,0.997634,3.95937e-28,6.31154e-29,1.05207e-28,1.76895e-28
51,0.998077,3.93383e-28,5.98118e-29,8.58521e-29,1.61505e-28
52,0.99852,4.27803e-28,4.62143e-29,1.18853e-28,1.5462e-28
53,0.99896,4.44885e-28,3.17676e-29,1.20742e-28,1.69112e-28
54,0.999396,4.20705e-28,2.73124e-29,9.86854e-29,1.40808e-28
55,0.999825,4.10014e-28,3.24574e-29,8.41258e-29,1.3229e-28
56,1.00025,3.97991e-28,2.8767e-29,8.80649e-29,1.22567e-28
57,1.00065,4.70107e-28,1.68778e-29,8.40789e-29,1.24791e-28
58,1.00105,4.85564e-28,1.45556e-29,8.57402e-29,1.24614e-28
59,1.00143,4.694e-28,3.10195e-30,6.99604e-29,1.11007e-28
60,1.00179,4.28676e-28,9.49879e-30,5.35943e-29,1.11215e-28
61,1.00214,4.59346e-28,4.52933e-30,5.45294e-29,1.066e-28
62,1.00247,4.73398e-28,3.42582e-30,5.15827e-29,9.80174e-29
63,1.00278,4.77845e-28,9.18751e-31,4.95743e-29,9.99726e-29
64,1.00307,4.87435e-28,1.545e-31,3.90395e-29,7.61471e-29
65,1.00333,4.80778e-28,-1.43734e-30,1.58214e-29,1.0082e-28
66,1.00358,4.58667e-28,-1.26609e-30,2.56717e-29,8.34888e-29
67,1.00381,4.46082e-28,-6.38565e-31,2.37802e-29,7.82138e-29
68,1.00402,4.1209e-28,5.28321e-30,1.79929e-29,7.32108e-29
69,1.00421,4.695e-28,-5.75991e-31,1.24911e-29,7.72007e-29
70,1.00438,4.34366e-28,4.42308e-31,7.38565e-30,7.34263e-29
71,1.00454,3.93897e-28,5.88813e-30,3.63045e-30,7.16304e-29
72,1.00468,4.27722e-28,9.15127e-30,3.68261e-30,6.80843e-29
73,1.0048,4.64655e-28,1.58036e-29,2.43037e-30,6.6393e-29
74,1.00491,3.58731e-28,2.01719e-29,3.12814e-30,6.15969e-29
75,1.00501,4.1774e-28,1.29558e-29,8.08796e-31,6.5545e-29
76,1.0051,3.99405e-28,2.9373e-29,2.67351e-30,5.52503e-29
77,1.00518,3.87706e-28,2.41873e-29,7.11252e-31,5.60371e-29
78,1.00526,3.75906e-28,3.29636e-29,4.76518e-30,5.57271e-29
79,1.00532,2.60015e-28,2.95251e-29,4.57137e-30,5.13168e-29
80,1.00539,3.3497e-28,1.70275e-29,1.6034e-29,6.36241e-29
81,1.00545,3.18028e-28,3.37907e-29,1.25081e-29,5.05647e-29
82,1.00551,3.23639e-28,3.9219e-29,2.68186e-29,5.06108e-29
83,1.00558,3.05307e-28,6.31005e-29,3.62623e-29,5.06184e-29
84,1.00564,2.42934e-28,3.36245e-29,3.90859e-29,4.61134e-29
85,1.00571,3.05088e-28,4.9517e-29,5.65882e-29,7.01508e-29
86,1.00579,2.77219e-28,4.76607e-29,7.68654e-29,5.86679e-29
87,1.00587,2.82398e-28,6.78749e-29,9.92227e-29,5.57029e-29
88,1.00596,2.59526e-28,5.87122e-29,1.11406e-28,5.47774e-29
89,1.00605,3.06599e-28,5.66918e-29,1.13858e-28,7.12675e-29
90,1.00616,2.788e-28,8.53318e-29,1.35215e-28,6.59966e-29
91,1.00627,2.66658e-28,5.10321e-29,1.73228e-28,6.52864e-29
92,1.00639,2.36815e-28,1.04163e-28,1.88627e-28,6.1695e-29
93,1.00652,2.2758e-28,6.98335e-29,2.37015e-28,7.17258e-29
94,1.00666,3.24084e-28,8.96988e-29,2.28773e-28,8.89315e-29
95,1.0068,2.78197e-28,1.14104e-28,2.52145e-28,9.43269e-29
96,1.00695,3.20089e-28,1.24039e-28,2.9213e-28,7.4247e-29
97,1.00711,2.56892e-28,1.272e-28,2.92824e-28,8.16667e-29
98,1.00728,3.11369e-28,1.15688e-28,3.43857e-28,7.50043e-29
99,1.00745,2.40596e-28,1.14406e-28,3.64968e-28,9.26725e-29
100,1.00763,2.5184e-28,1.5268e-28,3.53523e-28,9.87178e-29
101,1.0078,2.50054e-28,1.52737e-28,4.29466e-28,1.03765e-28
102,1.00798,2.60722e-28,1.10836e-28,4.43081e-28,1.24973e-28
103,1.00816,2.78397e-28,9.50876e-29,4.22392e-28,1.23904e-28
104,1.00834,2.3488e-28,1.36553e-28,4.44269e-28,1.15512e-28
105,1.00851,2.0893e-28,1.20432e-28,4.97632e-28,1.48466e-28
106,1.00868,1.99718e-28,6.98367e-29,4.67376e-28,1.42722e-28
107,1.00885,2.11958e-28,4.00368e-29,5.40249e-28,1.40728e-28
108,1.00901,1.17157e-28,4.27909e-29,5.53605e-28,1.79899e-28
109,1.00916,1.44803e-28,6.89765e-29,5.31625e-28,1.67382e-28
110,1.00931,1.82718e-28,9.51287e-29,5.95556e-28,1.93168e-28
111,1.00944,1.45653e-28,3.49689e-29,5.50227e-28,2.11452e-28
112,1.00956,1.02808e-28,2.04512e-29,5.99615e-28,2.31797e-28
113,1.00967,8.82987e-29,2.46411e-29,6.75428e-28,2.11279e-28
114,1.00978,8.06626e-29,5.11714e-29,7.02453e-28,2.14286e-28
115,1.00986,1.50833e-28,1.60409e-29,6.26566e-28,1.99656e-28
116,1.00994,6.31074e-29,3.16852e-30,6.27151e-28,1.96481e-28
117,1.01,1.52874e-28,5.34396e-30,6.73227e-28,2.27039e-28
118,1.01005,1.18206e-28,2.07187e-29,7.24296e-28,1.71296e-28
119,1.01009,1.30552e-28,7.48615e-30,6.82053e-28,1.48582e-28
120,1.01012,1.23738e-28,7.40364e-30,6.4704e-28,1.61542e-28
121,1.01014,1.86139e-28,1.38409e-30,6.03738e-28,1.65952e-28
122,1.01014,1.87855e-28,1.34592e-29,6.94824e-28,1.23617e-28
