t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
0,0.999984,0.0463747,4.11018e-06,1.90611e-07,4.11018e-06,1.90612e-07,4.11018e-06,1.90612e-07,4.11019e-06,1.90612e-07
1,0.998013,0.509117,0.000496509,0.000253284,0.000496596,0.000253329,0.000496673,0.000253368,0.00049674,0.000253402
2,0.992787,0.966859,0.00180162,0.00175457,0.00180278,0.00175569,0.0018038,0.00175669,0.00180469,0.00175755
3,0.984378,1.41518,0.00389787,0.00560372,0.00390334,0.00561158,0.00390818,0.00561853,0.00391237,0.00562457
4,0.972905,1.84987,0.00675063,0.0128355,0.00676725,0.0128671,0.00678196,0.0128951,0.00679473,0.0129194
5,0.958531,2.26705,0.0103127,0.0243909,0.0103522,0.0244842,0.0103871,0.0245668,0.0104175,0.0246386
6,0.941456,2.66325,0.0145252,0.0410899,0.014605,0.0413157,0.0146758,0.041516,0.0147375,0.0416905
7,0.921923,3.03552,0.0193185,0.0636079,0.019463,0.0640839,0.0195915,0.0645069,0.0197036,0.0648761
8,0.900207,3.38147,0.024613,0.0924545,0.0248542,0.0933603,0.025069,0.0941671,0.0252569,0.094873
9,0.876613,3.69934,0.0303212,0.127957,0.0306987,0.12955,0.0310358,0.130972,0.0313315,0.13222
10,0.851473,3.98809,0.0363483,0.170246,0.03691,0.172877,0.0374131,0.175234,0.0378556,0.177306
11,0.825141,4.24737,0.0425942,0.219252,0.0433961,0.223379,0.0441166,0.227088,0.0447523,0.23036
12,0.797986,4.47761,0.0489551,0.274694,0.0500607,0.280897,0.0510577,0.286492,0.0519403,0.291444
13,0.77039,4.67998,0.0553252,0.33609,0.056805,0.34508,0.0581446,0.353218,0.0593351,0.36045
14,0.742739,4.85638,0.0615983,0.402759,0.0635287,0.415381,0.0652839,0.426857,0.0668502,0.437098
15,0.71542,5.00946,0.0676695,0.47383,0.0701319,0.491072,0.0723813,0.506823,0.0743976,0.520941
16,0.688814,5.14252,0.0734374,0.548266,0.0765162,0.571251,0.0793431,0.592357,0.0818896,0.611368
17,0.663291,5.25948,0.0788052,0.624876,0.0825865,0.65486,0.0860777,0.682543,0.0892394,0.707613
18,0.639207,5.36485,0.0836827,0.702347,0.0882522,0.740699,0.0924964,0.77632,0.0963621,0.808765
19,0.616893,5.46355,0.0879877,0.779268,0.0934285,0.827455,0.0985146,0.872501,0.103176,0.913784
20,0.596658,5.56093,0.0916473,0.854164,0.0980378,0.913724,0.104053,0.96979,0.109603,1.02152
21,0.578778,5.66257,0.0945996,0.92553,0.102011,0.99804,0.10904,1.06681,0.115571,1.13071
22,0.563496,5.77425,0.0967939,0.991865,0.105288,1.0789,0.113409,1.16212,0.121013,1.24005
23,0.551016,5.90176,0.0981927,1.05171,0.107819,1.15481,0.117103,1.25426,0.125869,1.34814
24,0.541503,6.05085,0.0987715,1.10369,0.109565,1.2243,0.120075,1.34174,0.130085,1.45359
25,0.535079,6.22704,0.0985199,1.14654,0.110501,1.28596,0.122285,1.4231,0.133616,1.55497
26,0.531819,6.43557,0.0974414,1.17914,0.11061,1.33849,0.123705,1.49696,0.136425,1.65089
27,0.531755,6.68121,0.0955539,1.20058,0.10989,1.3807,0.124317,1.56197,0.138484,1.73998
28,0.534872,6.96821,0.0928893,1.21015,0.108351,1.41158,0.124113,1.61692,0.139775,1.82096
29,0.541108,7.30018,0.089493,1.20737,0.106016,1.43027,0.123097,1.66073,0.140286,1.89263
30,0.550358,7.67996,0.0854235,1.19204,0.102918,1.43617,0.121283,1.69244,0.140018,1.95388
31,0.562472,8.10959,0.0807515,1.16426,0.0991037,1.42886,0.118695,1.71132,0.138978,2.00375
32,0.57726,8.59022,0.0755587,1.12439,0.0946302,1.40819,0.115368,1.7168,0.137183,2.04143
33,0.594492,9.12204,0.069937,1.07313,0.0895644,1.3743,0.111347,1.70853,0.13466,2.06626
34,0.613905,9.70428,0.0639865,1.01146,0.0839828,1.32755,0.106683,1.68639,0.131442,2.07777
35,0.635203,10.3351,0.0578147,0.94068,0.0779703,1.26862,0.10144,1.65049,0.127572,2.07567
36,0.658064,11.0119,0.0515341,0.862358,0.0716186,1.19845,0.0956862,1.60119,0.123097,2.05987
37,0.682143,11.7307,0.0452611,0.778347,0.0650253,1.11823,0.0894974,1.53907,0.118073,2.03048
38,0.707077,12.4869,0.0391138,0.690744,0.0582924,1.02944,0.082955,1.46498,0.112561,1.98782
39,0.732493,13.2749,0.0332102,0.601864,0.0515247,0.933776,0.0761447,1.37996,0.106627,1.9324
40,0.758009,14.0882,0.0276664,0.514204,0.0448286,0.833179,0.0691557,1.28532,0.100341,1.86492
41,0.783242,14.9198,0.0225947,0.430402,0.0383105,0.729768,0.0620793,1.18254,0.0937738,1.78628
42,0.807814,15.7618,0.0181018,0.353197,0.0320748,0.625833,0.0550076,1.07329,0.0870018,1.69755
43,0.831357,16.606,0.0142869,0.285374,0.0262231,0.523795,0.0480327,0.959431,0.0801007,1.59998
44,0.853516,17.4436,0.0112403,0.229721,0.0208525,0.426169,0.041245,0.842938,0.0731466,1.49492
45,0.873957,18.2658,0.00904159,0.18897,0.0160537,0.335524,0.0347322,0.725908,0.066215,1.3839
46,0.892373,19.0636,0.00775859,0.165745,0.0119104,0.254439,0.0285786,0.610519,0.0593796,1.26852
47,0.908482,19.8281,0.00744589,0.16251,0.00849748,0.185462,0.0228631,0.498998,0.0527116,1.15046
48,0.922038,20.5505,0.00814394,0.181513,0.00588033,0.131062,0.0176589,0.393584,0.0462788,1.03147
49,0.932831,21.2226,0.00987828,0.224738,0.00411349,0.0935848,0.0130324,0.296497,0.0401449,0.913326
50,0.94069,21.8365,0.0126589,0.293854,0.00324001,0.0752112,0.00904228,0.209901,0.0343685,0.797805
51,0.945488,22.3851,0.0164799,0.390173,0.00329075,0.0779108,0.00573863,0.135866,0.0290028,0.686662
52,0.94714,22.8622,0.0213194,0.514612,0.00428379,0.103403,0.00316258,0.0763388,0.0240947,0.581601
53,0.945606,23.2624,0.0271399,0.667655,0.00622419,0.153118,0.00134567,0.0331041,0.0196846,0.484251
54,0.940893,23.5815,0.0338881,0.849333,0.00910376,0.228166,0.000309462,0.007756,0.0158058,0.39614
55,0.933053,23.8163,0.0414962,1.0592,0.0129011,0.329303,6.53458e-05,0.00166796,0.0124846,0.318672
56,0.922182,23.9651,0.0498823,1.29631,0.017582,0.45691,0.000614391,0.0159664,0.00973957,0.253106
57,0.90842,24.0272,0.0589518,1.55924,0.0230994,0.610968,0.0019474,0.0515077,0.00758176,0.200534
